date,open,high,low,close,volume
1990-01-02,0.315,0.335,0.312,0.261,183198400
1990-01-03,0.339,0.339,0.335,0.262,207995200
1990-01-04,0.342,0.346,0.333,0.263,221513600
1990-01-05,0.337,0.342,0.330,0.264,123312000
1990-01-08,0.335,0.339,0.330,0.266,101572800
1990-01-09,0.339,0.339,0.330,0.263,86139200
1990-01-10,0.336,0.336,0.319,0.252,199718400
1990-01-11,0.324,0.324,0.308,0.241,211052800
1990-01-12,0.306,0.310,0.301,0.241,171897600
1990-01-15,0.308,0.319,0.306,0.240,161739200
1990-01-16,0.299,0.312,0.292,0.244,214244800
1990-01-17,0.310,0.310,0.295,0.233,197299200
1990-01-18,0.295,0.299,0.288,0.227,273291200
1990-01-19,0.301,0.308,0.299,0.240,265137600
1990-01-22,0.304,0.308,0.297,0.233,145611200
1990-01-23,0.301,0.306,0.295,0.236,140873600
1990-01-24,0.290,0.306,0.288,0.238,169792000
1990-01-25,0.306,0.310,0.304,0.239,111540800
1990-01-26,0.304,0.304,0.288,0.229,181249600
1990-01-29,0.295,0.299,0.287,0.233,119929600
1990-01-30,0.297,0.308,0.295,0.238,116446400
1990-01-31,0.308,0.310,0.295,0.238,143942400
1990-02-01,0.308,0.309,0.299,0.235,117073600
1990-02-02,0.297,0.310,0.297,0.240,118473600
1990-02-05,0.306,0.315,0.304,0.245,101752000
1990-02-06,0.310,0.312,0.304,0.243,73920000
1990-02-07,0.295,0.304,0.290,0.233,312446400
1990-02-08,0.297,0.299,0.288,0.231,186636800
1990-02-09,0.299,0.308,0.297,0.240,168078400
1990-02-12,0.306,0.308,0.301,0.238,74916800
1990-02-13,0.304,0.312,0.301,0.241,102166400
1990-02-14,0.308,0.310,0.301,0.240,96062400
1990-02-15,0.301,0.306,0.299,0.240,97966400
1990-02-16,0.306,0.308,0.301,0.237,127209600
1990-02-20,0.299,0.301,0.295,0.235,123244800
1990-02-21,0.292,0.306,0.290,0.239,175907200
1990-02-22,0.304,0.308,0.295,0.232,195182400
1990-02-23,0.292,0.299,0.292,0.233,149956800
1990-02-26,0.295,0.306,0.295,0.239,79609600
1990-02-27,0.304,0.306,0.299,0.235,73953600
1990-02-28,0.299,0.304,0.297,0.239,109334400
1990-03-01,0.299,0.310,0.297,0.240,203896000
1990-03-02,0.299,0.310,0.297,0.237,104899200
1990-03-05,0.299,0.310,0.299,0.242,182470400
1990-03-06,0.312,0.315,0.308,0.248,156016000
1990-03-07,0.312,0.321,0.312,0.248,204220800
1990-03-08,0.319,0.330,0.312,0.258,223843200
1990-03-09,0.328,0.335,0.324,0.259,230473600
1990-03-12,0.333,0.335,0.324,0.257,163956800
1990-03-13,0.326,0.333,0.324,0.259,148579200
1990-03-14,0.328,0.333,0.326,0.260,101785600
1990-03-15,0.326,0.339,0.326,0.258,120232000
1990-03-16,0.357,0.364,0.349,0.283,644761600
1990-03-19,0.362,0.379,0.357,0.298,431793600
1990-03-20,0.377,0.384,0.364,0.291,391316800
1990-03-21,0.368,0.377,0.368,0.292,152734400
1990-03-22,0.373,0.377,0.364,0.286,231660800
1990-03-23,0.368,0.384,0.366,0.297,227987200
1990-03-26,0.379,0.387,0.375,0.297,128060800
1990-03-27,0.375,0.377,0.368,0.295,84604800
1990-03-28,0.375,0.376,0.366,0.290,102939200
1990-03-29,0.366,0.371,0.364,0.289,96891200
1990-03-30,0.357,0.366,0.357,0.283,223350400
1990-04-02,0.357,0.363,0.353,0.283,148769600
1990-04-03,0.362,0.373,0.362,0.293,139708800
1990-04-04,0.371,0.375,0.364,0.290,149732800
1990-04-05,0.366,0.368,0.357,0.283,108192000
1990-04-06,0.359,0.368,0.355,0.280,118238400
1990-04-09,0.355,0.371,0.353,0.289,105481600
1990-04-10,0.368,0.375,0.366,0.290,131320000
1990-04-11,0.371,0.384,0.371,0.298,213158400
1990-04-12,0.384,0.393,0.379,0.304,211803200
1990-04-16,0.388,0.395,0.386,0.307,226889600
1990-04-17,0.386,0.388,0.382,0.304,131107200
1990-04-18,0.386,0.391,0.379,0.304,193446400
1990-04-19,0.373,0.385,0.357,0.283,481476800
1990-04-20,0.365,0.371,0.355,0.283,323523200
1990-04-23,0.359,0.362,0.353,0.279,128352000
1990-04-24,0.357,0.362,0.344,0.272,303732800
1990-04-25,0.346,0.348,0.342,0.272,132574400
1990-04-26,0.348,0.353,0.340,0.273,142161600
1990-04-27,0.348,0.353,0.346,0.275,116412800
1990-04-30,0.350,0.355,0.348,0.276,136393600
1990-05-01,0.355,0.357,0.352,0.278,163609600
1990-05-02,0.355,0.357,0.350,0.279,135430400
1990-05-03,0.355,0.359,0.355,0.281,166308800
1990-05-04,0.357,0.364,0.350,0.281,169534400
1990-05-07,0.355,0.373,0.355,0.291,135990400
1990-05-08,0.366,0.375,0.366,0.293,112459200
1990-05-09,0.372,0.375,0.368,0.294,97238400
1990-05-10,0.373,0.373,0.362,0.291,179043200
1990-05-11,0.369,0.382,0.364,0.299,215241600
1990-05-14,0.382,0.382,0.368,0.293,226385600
1990-05-15,0.369,0.375,0.366,0.293,149385600
1990-05-16,0.373,0.373,0.366,0.292,87304000
1990-05-17,0.373,0.377,0.366,0.291,153585600
1990-05-18,0.368,0.371,0.353,0.279,258462400
1990-05-21,0.353,0.357,0.346,0.278,262483200
1990-05-22,0.358,0.371,0.357,0.291,301089600
1990-05-23,0.368,0.379,0.368,0.296,207513600
1990-05-24,0.377,0.377,0.371,0.296,148131200
1990-05-25,0.353,0.364,0.348,0.282,323321600
1990-05-29,0.357,0.368,0.350,0.289,243208000
1990-05-30,0.372,0.373,0.368,0.291,276819200
1990-05-31,0.371,0.371,0.366,0.290,103084800
1990-06-01,0.369,0.375,0.364,0.287,157236800
1990-06-04,0.364,0.366,0.355,0.287,179424000
1990-06-05,0.366,0.366,0.348,0.278,299432000
1990-06-06,0.348,0.353,0.346,0.278,211747200
1990-06-07,0.353,0.355,0.344,0.275,186435200
1990-06-08,0.344,0.344,0.335,0.269,333883200
1990-06-11,0.337,0.348,0.337,0.275,157897600
1990-06-12,0.349,0.362,0.346,0.285,165032000
1990-06-13,0.360,0.364,0.355,0.280,138947200
1990-06-14,0.357,0.359,0.350,0.280,140324800
1990-06-15,0.355,0.357,0.349,0.278,144144000
1990-06-18,0.350,0.353,0.348,0.276,111395200
1990-06-19,0.348,0.355,0.343,0.279,157225600
1990-06-20,0.356,0.359,0.355,0.282,154739200
1990-06-21,0.357,0.375,0.357,0.295,208600000
1990-06-22,0.375,0.381,0.368,0.292,283976000
1990-06-25,0.371,0.373,0.359,0.290,122001600
1990-06-26,0.373,0.375,0.360,0.286,127254400
1990-06-27,0.364,0.375,0.359,0.292,97227200
1990-06-28,0.382,0.386,0.373,0.303,249939200
1990-06-29,0.384,0.401,0.382,0.315,325192000
1990-07-02,0.397,0.397,0.391,0.310,135408000
1990-07-03,0.392,0.397,0.391,0.310,99500800
1990-07-05,0.391,0.395,0.386,0.306,107464000
1990-07-06,0.388,0.402,0.386,0.315,209059200
1990-07-09,0.402,0.420,0.400,0.328,315459200
1990-07-10,0.420,0.424,0.417,0.331,361424000
1990-07-11,0.417,0.420,0.408,0.331,246153600
1990-07-12,0.417,0.424,0.415,0.334,182470400
1990-07-13,0.424,0.426,0.417,0.329,230977600
1990-07-16,0.417,0.421,0.404,0.321,179704000
1990-07-17,0.408,0.411,0.393,0.312,136852800
1990-07-18,0.397,0.402,0.384,0.314,288366400
1990-07-19,0.364,0.379,0.357,0.294,585984000
1990-07-20,0.375,0.379,0.364,0.289,191844800
1990-07-23,0.366,0.373,0.357,0.292,270188800
1990-07-24,0.375,0.377,0.366,0.297,193916800
1990-07-25,0.375,0.386,0.373,0.297,104921600
1990-07-26,0.377,0.379,0.366,0.291,80337600
1990-07-27,0.368,0.373,0.362,0.291,62316800
1990-07-30,0.364,0.379,0.364,0.298,85456000
1990-07-31,0.379,0.382,0.371,0.296,96006400
1990-08-01,0.375,0.382,0.371,0.298,93508800
1990-08-02,0.368,0.391,0.368,0.306,223126400
1990-08-03,0.388,0.391,0.355,0.290,268968000
1990-08-06,0.348,0.362,0.344,0.278,179659200
1990-08-07,0.359,0.363,0.346,0.278,198531200
1990-08-08,0.353,0.364,0.353,0.283,102536000
1990-08-09,0.359,0.362,0.350,0.278,96387200
1990-08-10,0.346,0.350,0.342,0.273,102704000
1990-08-13,0.339,0.357,0.338,0.281,156116800
1990-08-14,0.357,0.357,0.350,0.280,98168000
1990-08-15,0.357,0.359,0.350,0.276,92052800
1990-08-16,0.348,0.354,0.344,0.271,123894400
1990-08-17,0.344,0.344,0.319,0.257,246108800
