date,open,high,low,close,volume
1997-05-15,0.122,0.125,0.096,0.098,1443120000
1997-05-16,0.098,0.099,0.085,0.086,294000000
1997-05-19,0.088,0.089,0.081,0.085,122136000
1997-05-20,0.086,0.087,0.082,0.082,109344000
1997-05-21,0.082,0.082,0.069,0.071,377064000
1997-05-22,0.072,0.072,0.066,0.070,235536000
1997-05-23,0.070,0.076,0.067,0.075,318744000
1997-05-27,0.076,0.082,0.073,0.079,173952000
1997-05-28,0.081,0.082,0.077,0.077,91488000
1997-05-29,0.077,0.077,0.074,0.075,69456000
1997-05-30,0.075,0.076,0.074,0.075,51888000
1997-06-02,0.076,0.077,0.075,0.076,11832000
1997-06-03,0.077,0.077,0.074,0.074,23664000
1997-06-04,0.074,0.074,0.070,0.071,61608000
1997-06-05,0.071,0.077,0.069,0.077,113448000
1997-06-06,0.076,0.085,0.076,0.083,156144000
1997-06-09,0.083,0.085,0.083,0.084,47040000
1997-06-10,0.085,0.085,0.077,0.079,109176000
1997-06-11,0.080,0.080,0.077,0.077,23760000
1997-06-12,0.079,0.082,0.078,0.080,32640000
1997-06-13,0.081,0.081,0.079,0.079,13872000
1997-06-16,0.080,0.080,0.078,0.079,18264000
1997-06-17,0.080,0.080,0.075,0.075,94128000
1997-06-18,0.076,0.077,0.075,0.076,49296000
1997-06-19,0.076,0.077,0.075,0.076,20064000
1997-06-20,0.077,0.078,0.075,0.076,67752000
1997-06-23,0.077,0.077,0.074,0.075,20952000
1997-06-24,0.075,0.076,0.074,0.076,15024000
1997-06-25,0.076,0.076,0.074,0.076,42120000
1997-06-26,0.076,0.076,0.075,0.076,63792000
1997-06-27,0.076,0.076,0.074,0.074,23760000
1997-06-30,0.076,0.080,0.074,0.077,54936000
1997-07-01,0.077,0.077,0.076,0.076,25848000
1997-07-02,0.076,0.080,0.076,0.079,77640000
1997-07-03,0.080,0.096,0.080,0.096,251544000
1997-07-07,0.092,0.101,0.092,0.100,161064000
1997-07-08,0.102,0.117,0.102,0.115,310344000
1997-07-09,0.115,0.119,0.114,0.116,165240000
1997-07-10,0.117,0.129,0.117,0.128,181032000
1997-07-11,0.126,0.126,0.110,0.115,210624000
1997-07-14,0.116,0.117,0.106,0.107,92088000
1997-07-15,0.107,0.124,0.107,0.122,185496000
1997-07-16,0.122,0.125,0.115,0.117,60480000
1997-07-17,0.117,0.117,0.108,0.111,63384000
1997-07-18,0.109,0.111,0.108,0.108,15600000
1997-07-21,0.109,0.110,0.107,0.109,11496000
1997-07-22,0.108,0.109,0.103,0.107,31272000
1997-07-23,0.109,0.117,0.109,0.115,65184000
1997-07-24,0.115,0.116,0.111,0.113,24336000
1997-07-25,0.111,0.112,0.111,0.111,12408000
1997-07-28,0.111,0.120,0.111,0.116,51480000
1997-07-29,0.118,0.125,0.117,0.124,96288000
1997-07-30,0.125,0.125,0.121,0.122,50352000
1997-07-31,0.122,0.122,0.117,0.120,29088000
1997-08-01,0.117,0.121,0.112,0.121,71760000
1997-08-04,0.119,0.121,0.115,0.116,53424000
1997-08-05,0.117,0.117,0.107,0.110,60648000
1997-08-06,0.110,0.116,0.109,0.112,24864000
1997-08-07,0.112,0.113,0.106,0.109,40680000
1997-08-08,0.108,0.115,0.105,0.115,44232000
1997-08-11,0.115,0.117,0.112,0.116,24792000
1997-08-12,0.114,0.115,0.110,0.110,11424000
1997-08-13,0.111,0.111,0.108,0.110,11808000
1997-08-14,0.109,0.112,0.106,0.108,20832000
1997-08-15,0.107,0.108,0.097,0.106,31944000
1997-08-18,0.103,0.103,0.098,0.102,35688000
1997-08-19,0.105,0.110,0.103,0.108,20064000
1997-08-20,0.109,0.109,0.104,0.108,19992000
1997-08-21,0.107,0.109,0.104,0.106,12480000
1997-08-22,0.105,0.106,0.105,0.106,14256000
1997-08-25,0.105,0.113,0.105,0.111,22536000
1997-08-26,0.112,0.118,0.111,0.117,51480000
1997-08-27,0.115,0.116,0.112,0.116,27840000
1997-08-28,0.115,0.120,0.114,0.119,22944000
1997-08-29,0.118,0.119,0.116,0.117,14448000
1997-09-02,0.117,0.119,0.117,0.118,14640000
1997-09-03,0.117,0.121,0.116,0.117,39288000
1997-09-04,0.118,0.128,0.117,0.128,66960000
1997-09-05,0.129,0.133,0.123,0.125,38160000
1997-09-08,0.127,0.151,0.125,0.150,112968000
1997-09-09,0.157,0.169,0.151,0.162,179424000
1997-09-10,0.166,0.166,0.156,0.165,77328000
1997-09-11,0.167,0.167,0.152,0.158,85248000
1997-09-12,0.159,0.185,0.158,0.184,66672000
1997-09-15,0.183,0.184,0.153,0.155,111672000
1997-09-16,0.156,0.177,0.156,0.168,128640000
1997-09-17,0.173,0.175,0.167,0.170,52152000
1997-09-18,0.172,0.173,0.164,0.165,42576000
1997-09-19,0.169,0.204,0.169,0.197,178584000
1997-09-22,0.200,0.234,0.197,0.225,338760000
1997-09-23,0.224,0.232,0.220,0.231,153648000
1997-09-24,0.232,0.241,0.215,0.219,164016000
1997-09-25,0.217,0.218,0.203,0.204,99360000
1997-09-26,0.204,0.213,0.203,0.208,54624000
1997-09-29,0.207,0.209,0.198,0.202,47424000
1997-09-30,0.200,0.217,0.190,0.217,105096000
1997-10-01,0.222,0.225,0.197,0.201,99984000
1997-10-02,0.202,0.209,0.199,0.201,37536000
1997-10-03,0.204,0.206,0.199,0.201,23280000
1997-10-06,0.200,0.206,0.197,0.206,40560000
1997-10-07,0.204,0.209,0.202,0.203,34848000
1997-10-08,0.207,0.208,0.199,0.200,56136000
1997-10-09,0.200,0.201,0.187,0.188,79008000
1997-10-10,0.186,0.203,0.183,0.195,75744000
1997-10-13,0.196,0.202,0.196,0.200,16296000
1997-10-14,0.203,0.205,0.192,0.199,30936000
1997-10-15,0.198,0.198,0.189,0.196,47112000
1997-10-16,0.199,0.199,0.180,0.181,69624000
1997-10-17,0.181,0.183,0.176,0.181,50688000
1997-10-20,0.184,0.194,0.183,0.191,98256000
1997-10-21,0.198,0.222,0.193,0.221,241920000
1997-10-22,0.221,0.231,0.219,0.226,104160000
1997-10-23,0.211,0.228,0.209,0.225,113136000
1997-10-24,0.237,0.253,0.227,0.251,189840000
1997-10-27,0.240,0.251,0.211,0.214,121824000
1997-10-28,0.196,0.250,0.194,0.247,234384000
1997-10-29,0.257,0.275,0.250,0.270,142536000
1997-10-30,0.260,0.268,0.252,0.256,95400000
1997-10-31,0.268,0.273,0.248,0.254,100536000
1997-11-03,0.261,0.261,0.247,0.254,39984000
1997-11-04,0.250,0.253,0.241,0.248,47304000
1997-11-05,0.249,0.256,0.244,0.244,61872000
1997-11-06,0.246,0.246,0.232,0.233,58272000
1997-11-07,0.221,0.232,0.219,0.224,52536000
1997-11-10,0.225,0.228,0.210,0.210,55296000
1997-11-11,0.212,0.216,0.196,0.197,86256000
1997-11-12,0.189,0.209,0.183,0.189,173664000
1997-11-13,0.197,0.198,0.189,0.193,85800000
1997-11-14,0.197,0.210,0.189,0.208,117384000
1997-11-17,0.211,0.227,0.211,0.219,147888000
1997-11-18,0.219,0.224,0.217,0.221,37320000
1997-11-19,0.220,0.226,0.216,0.226,50688000
1997-11-20,0.229,0.230,0.226,0.229,118464000
1997-11-21,0.228,0.229,0.224,0.224,52056000
1997-11-24,0.219,0.221,0.211,0.211,40392000
1997-11-25,0.212,0.217,0.202,0.210,66096000
1997-11-26,0.212,0.221,0.212,0.213,32616000
1997-11-28,0.214,0.217,0.206,0.206,32064000
1997-12-01,0.212,0.219,0.207,0.214,47664000
1997-12-02,0.213,0.215,0.209,0.212,25248000
1997-12-03,0.210,0.219,0.209,0.218,25800000
1997-12-04,0.220,0.228,0.219,0.225,60768000
1997-12-05,0.222,0.230,0.218,0.230,53232000
1997-12-08,0.227,0.239,0.226,0.235,95328000
1997-12-09,0.233,0.239,0.230,0.234,26640000
1997-12-10,0.229,0.231,0.220,0.226,28896000
1997-12-11,0.220,0.242,0.220,0.234,100296000
1997-12-12,0.232,0.240,0.220,0.227,53448000
1997-12-15,0.229,0.233,0.220,0.229,33888000
1997-12-16,0.232,0.232,0.223,0.223,33744000
1997-12-17,0.219,0.223,0.213,0.220,122808000
1997-12-18,0.218,0.221,0.211,0.215,64080000
1997-12-19,0.211,0.226,0.208,0.225,95064000
1997-12-22,0.225,0.239,0.222,0.235,87048000
1997-12-23,0.234,0.237,0.231,0.231,23544000
1997-12-24,0.231,0.235,0.223,0.230,46728000
1997-12-26,0.228,0.232,0.224,0.226,9744000
1997-12-29,0.229,0.239,0.227,0.237,51048000
1997-12-30,0.242,0.245,0.239,0.242,125712000
1997-12-31,0.244,0.252,0.242,0.251,88920000
1998-01-02,0.250,0.250,0.240,0.248,33216000
1998-01-05,0.244,0.247,0.235,0.237,71808000
1998-01-06,0.235,0.244,0.233,0.242,83496000
1998-01-07,0.242,0.242,0.235,0.239,54504000
1998-01-08,0.235,0.235,0.227,0.231,120312000
1998-01-09,0.233,0.233,0.211,0.213,132864000
1998-01-12,0.208,0.219,0.207,0.215,148032000
1998-01-13,0.217,0.233,0.216,0.232,146424000
1998-01-14,0.233,0.244,0.231,0.244,170112000
1998-01-15,0.240,0.251,0.240,0.248,120288000
1998-01-16,0.248,0.249,0.239,0.240,51264000
1998-01-20,0.241,0.251,0.241,0.248,109344000
1998-01-21,0.247,0.258,0.244,0.254,174768000
1998-01-22,0.254,0.264,0.251,0.257,189432000
1998-01-23,0.267,0.267,0.247,0.247,182376000
1998-01-26,0.249,0.249,0.237,0.241,94248000
1998-01-27,0.241,0.243,0.233,0.237,82080000
1998-01-28,0.237,0.242,0.231,0.239,105864000
1998-01-29,0.240,0.249,0.239,0.248,96720000
1998-01-30,0.250,0.253,0.244,0.246,74448000
1998-02-02,0.247,0.260,0.247,0.260,138264000
1998-02-03,0.259,0.262,0.255,0.258,88584000
1998-02-04,0.253,0.259,0.253,0.253,24696000
1998-02-05,0.256,0.256,0.244,0.247,116640000
1998-02-06,0.246,0.251,0.244,0.245,42456000
1998-02-09,0.246,0.248,0.239,0.243,52536000
1998-02-10,0.244,0.266,0.242,0.265,245928000
1998-02-11,0.265,0.273,0.264,0.265,129480000
1998-02-12,0.264,0.265,0.259,0.263,60720000
1998-02-13,0.262,0.264,0.257,0.259,168408000
1998-02-17,0.261,0.261,0.254,0.257,47520000
1998-02-18,0.257,0.257,0.253,0.254,59424000
1998-02-19,0.255,0.265,0.254,0.261,88728000
1998-02-20,0.261,0.265,0.256,0.264,54072000
1998-02-23,0.265,0.271,0.260,0.270,79560000
1998-02-24,0.271,0.284,0.268,0.270,278904000
1998-02-25,0.273,0.277,0.263,0.274,134904000
1998-02-26,0.273,0.304,0.272,0.303,307464000
1998-02-27,0.301,0.332,0.299,0.321,494136000
1998-03-02,0.316,0.322,0.312,0.318,219144000
1998-03-03,0.315,0.316,0.298,0.299,160320000
1998-03-04,0.300,0.309,0.292,0.306,146280000
