date,open,high,low,close,volume
1996-10-08,579.000,593.000,579.000,590.000,0
1996-10-09,590.000,591.000,582.000,583.000,0
1996-10-10,583.000,585.000,578.000,585.000,0
1996-10-11,585.000,586.000,582.000,584.000,0
1996-10-14,584.000,584.000,581.000,584.000,0
1996-10-15,584.000,585.000,574.000,579.000,0
1996-10-16,577.000,577.000,560.000,561.000,0
1996-10-17,561.000,570.000,561.000,570.000,0
1996-10-18,570.000,573.000,569.000,570.000,0
1996-10-21,570.000,570.000,557.000,557.000,0
1996-10-22,557.000,557.000,548.000,557.000,0
1996-10-23,555.000,561.000,548.000,561.000,0
1996-10-24,561.000,566.000,560.000,561.000,0
1996-10-25,561.000,561.000,558.000,560.000,0
1996-10-28,560.000,563.000,560.000,562.000,0
1996-10-29,563.000,571.000,562.000,570.000,0
1996-10-30,571.000,571.000,568.000,570.000,0
1996-10-31,570.000,571.000,567.000,571.000,0
1996-11-01,570.000,574.000,570.000,574.000,0
1996-11-04,574.000,583.000,574.000,582.000,0
1996-11-05,582.000,587.000,582.000,584.000,0
1996-11-06,584.000,584.000,578.000,580.000,0
1996-11-07,581.000,584.000,577.000,583.000,0
1996-11-08,583.000,583.000,579.000,579.000,0
1996-11-11,580.000,588.000,579.000,588.000,0
1996-11-12,588.000,597.000,588.000,593.000,0
1996-11-13,593.000,599.000,593.000,597.000,0
1996-11-14,597.000,605.000,597.000,605.000,0
1996-11-15,605.000,609.000,603.000,603.000,0
1996-11-18,604.000,609.000,604.000,609.000,0
1996-11-19,609.000,610.000,606.000,607.000,0
1996-11-20,607.000,607.000,597.000,603.000,0
1996-11-21,603.000,606.000,602.000,603.000,0
1996-11-22,603.000,608.000,603.000,607.000,0
1996-11-25,607.000,611.000,607.000,607.000,0
1996-11-26,607.000,611.000,606.000,611.000,0
1996-11-27,611.000,612.000,602.000,604.000,0
1996-11-28,604.000,604.000,601.000,604.000,0
1996-11-29,604.000,618.000,604.000,617.000,0
1996-12-02,617.000,629.000,615.000,629.000,0
1996-12-03,629.000,640.000,629.000,636.000,0
1996-12-04,636.000,636.000,624.000,629.000,0
1996-12-05,629.000,637.000,627.000,637.000,0
1996-12-06,636.000,636.000,626.000,627.000,0
1996-12-09,627.000,628.000,627.000,627.000,0
1996-12-10,627.000,634.000,627.000,632.000,0
1996-12-11,632.000,632.000,609.000,609.000,0
1996-12-12,608.000,608.000,592.000,593.000,0
1996-12-13,594.000,600.000,594.000,600.000,0
1996-12-16,600.000,601.000,600.000,600.000,0
1996-12-17,601.000,613.000,600.000,613.000,0
1996-12-18,613.000,620.000,613.000,618.000,0
1996-12-19,615.000,627.000,615.000,626.000,0
1996-12-20,626.000,628.000,622.000,628.000,0
1996-12-23,628.000,638.000,628.000,638.000,0
1996-12-24,638.000,642.000,638.000,642.000,0
1996-12-26,642.000,650.000,642.000,650.000,0
1996-12-27,650.000,658.000,649.000,650.000,0
1996-12-30,650.000,651.000,648.000,649.000,0
1997-01-03,640.000,653.000,640.000,652.000,0
1997-01-06,652.000,662.000,652.000,657.000,0
1997-01-07,657.000,664.000,657.000,664.000,0
1997-01-08,664.000,672.000,664.000,665.000,0
1997-01-09,665.000,672.000,665.000,672.000,0
1997-01-10,672.000,675.000,671.000,671.000,0
1997-01-13,675.000,678.000,670.000,674.000,0
1997-01-14,675.000,691.000,675.000,688.000,0
1997-01-15,688.000,692.000,685.000,692.000,0
1997-01-16,692.000,698.000,683.000,686.000,0
1997-01-17,686.000,687.000,680.000,681.000,0
1997-01-20,681.000,687.000,679.000,687.000,0
1997-01-21,687.000,693.000,686.000,687.000,0
1997-01-22,687.000,689.000,679.000,680.000,0
1997-01-23,680.000,683.000,677.000,677.000,0
1997-01-24,677.000,677.000,659.000,662.000,0
1997-01-27,662.000,662.000,653.000,657.000,0
1997-01-28,657.000,674.000,657.000,666.000,0
1997-01-29,666.000,677.000,666.000,677.000,0
1997-01-30,678.000,689.000,678.000,689.000,0
1997-01-31,691.000,695.000,690.000,693.000,0
1997-02-03,693.000,706.000,693.000,706.000,0
1997-02-04,706.000,709.000,702.000,708.000,0
1997-02-05,708.000,711.000,699.000,699.000,0
1997-02-06,700.000,700.000,690.000,698.000,0
1997-02-07,699.000,705.000,699.000,703.000,0
1997-02-10,703.000,707.000,699.000,707.000,0
1997-02-11,708.000,712.000,707.000,708.000,0
1997-02-12,708.000,718.000,708.000,718.000,0
1997-02-13,719.000,725.000,719.000,725.000,0
1997-02-14,724.000,726.000,720.000,726.000,0
1997-02-17,725.000,734.000,725.000,734.000,0
1997-02-18,734.000,734.000,727.000,732.000,0
1997-02-19,732.000,739.000,729.000,730.000,0
1997-02-20,730.000,730.000,726.000,727.000,0
1997-02-21,728.000,741.000,727.000,741.000,0
1997-02-24,741.000,759.000,741.000,759.000,0
1997-02-25,759.000,760.000,749.000,753.000,0
