date,open,high,low,close,volume
2011-03-03,30.300,30.440,30.240,25.622,9800
2011-03-04,30.460,30.500,30.160,25.538,28900
2011-03-07,30.120,30.400,30.120,25.605,11150
2011-03-08,30.340,30.540,30.340,25.706,4650
2011-03-09,30.540,30.540,30.260,25.538,4950
2011-03-10,30.160,30.160,29.360,24.914,17700
2011-03-11,29.720,29.720,29.260,24.947,12250
2011-03-14,29.620,29.800,29.120,24.745,7250
2011-03-15,28.760,28.820,28.100,24.306,6550
2011-03-16,29.020,29.020,28.100,23.800,1550
2011-03-17,28.700,28.760,28.700,24.256,150
2011-03-18,29.420,29.420,28.840,24.323,1700
2011-03-21,29.500,29.500,29.180,24.610,900
2011-03-22,29.500,29.500,29.180,24.610,1000
2011-03-23,29.260,29.260,29.160,24.644,1000
2011-03-24,29.580,29.580,29.300,24.897,850
2011-03-25,29.700,29.700,29.400,24.846,3700
2011-03-28,29.520,29.680,29.320,24.880,2550
2011-03-29,29.660,29.760,29.640,25.099,4000
2011-03-30,29.920,30.260,29.840,25.369,17950
2011-03-31,30.100,30.200,30.000,25.352,6050
2011-04-01,30.620,30.780,30.600,25.942,5900
2011-04-04,31.160,31.260,30.980,26.297,13000
2011-04-05,31.220,31.580,31.080,26.567,6600
2011-04-06,31.740,31.740,31.180,26.465,5200
2011-04-07,31.280,31.280,31.020,26.196,4350
2011-04-08,31.380,31.440,31.300,26.516,4000
2011-04-11,31.480,31.580,31.000,26.145,9400
2011-04-12,30.940,30.940,30.320,25.757,5800
2011-04-13,30.520,30.640,30.400,25.841,6900
2011-04-14,30.280,30.420,30.200,25.470,4550
2011-04-15,30.300,30.300,30.040,25.555,2750
2011-04-18,29.900,29.900,29.380,24.981,5300
2011-04-19,29.680,30.080,29.680,25.369,700
2011-04-20,30.500,30.500,30.300,25.555,2300
2011-04-21,30.600,30.640,30.400,25.639,3450
2011-04-25,30.400,30.500,30.220,25.639,2400
2011-04-26,30.080,30.120,30.020,25.352,1600
