date,open,high,low,close,volume
2014-10-31,20.420,20.420,20.380,18.392,2700
2014-11-03,20.490,20.490,20.350,18.392,2300
2014-11-04,20.200,20.270,20.200,18.283,7900
2014-11-05,20.510,20.510,20.000,18.049,14900
2014-11-06,20.090,20.140,20.070,18.175,2000
2014-11-07,20.150,20.150,20.080,18.157,1500
2014-11-10,20.160,20.300,20.160,18.319,3900
2014-11-11,20.690,20.690,20.234,18.310,2900
2014-11-12,20.260,20.360,20.240,18.373,2300
2014-11-13,20.400,20.420,20.300,18.355,11900
2014-11-14,20.420,20.440,20.420,18.446,1300
2014-11-17,20.590,20.590,20.360,18.419,3400
2014-11-18,20.600,20.600,20.600,18.590,1000
2014-11-19,20.290,20.290,20.290,18.310,1100
2014-11-20,20.120,20.280,20.100,18.301,1300
2014-11-21,20.370,20.370,20.358,18.373,1300
2014-11-24,20.350,20.490,20.350,18.491,2000
2014-11-25,20.520,20.520,20.520,18.518,600
2014-11-26,20.530,20.560,20.530,18.554,900
2014-11-28,20.540,20.650,20.530,18.581,1500
2014-12-01,20.270,20.270,20.270,18.292,600
2014-12-02,20.050,20.050,20.050,18.094,900
2014-12-03,20.090,20.090,20.090,18.130,600
2014-12-04,20.130,20.180,20.040,18.103,1900
2014-12-05,20.190,20.190,20.100,18.148,7400
2014-12-08,20.090,20.090,19.680,17.805,900
2014-12-09,19.580,19.780,19.500,17.850,1400
2014-12-10,20.040,20.040,19.730,17.805,900
2014-12-11,19.850,19.850,19.770,17.841,900
2014-12-12,19.820,19.820,19.608,17.695,800
2014-12-15,19.640,19.640,19.280,17.399,1300
2014-12-16,19.060,19.240,18.950,17.101,1500
2014-12-17,19.060,19.160,18.950,17.291,800
2014-12-18,19.840,19.900,19.840,17.940,1100
2014-12-19,20.190,20.190,20.030,18.193,2100
2014-12-22,20.350,20.350,20.247,18.346,1200
2014-12-23,20.400,20.400,20.300,18.353,1800
2014-12-24,20.650,20.650,20.370,18.382,3200
2014-12-26,20.410,20.600,20.410,18.590,2400
2014-12-29,20.469,20.469,20.420,18.434,1500
2014-12-30,20.580,20.580,20.280,18.319,1000
2014-12-31,20.350,20.410,20.160,18.193,1300
2015-01-02,21.000,21.000,19.960,18.202,5600
2015-01-05,20.370,20.370,19.653,17.763,3200
2015-01-06,19.790,19.790,19.360,17.697,3300
2015-01-07,19.830,19.830,19.650,17.778,3900
2015-01-08,19.940,20.140,19.940,18.175,700
2015-01-09,20.100,20.100,19.940,18.022,1100
2015-01-12,20.730,20.730,20.150,18.184,1500
2015-01-13,20.260,20.260,19.982,18.040,400
2015-01-14,19.930,19.930,19.826,17.985,3200
2015-01-15,19.910,19.910,19.480,17.579,2900
2015-01-16,19.990,19.990,19.590,17.697,900
2015-01-20,19.800,19.900,19.690,17.949,1000
2015-01-21,19.970,20.250,19.970,18.274,400
