date,open,high,low,close,volume
1992-11-11,763.060,763.720,757.870,757.870,0
1992-11-12,757.750,760.680,754.550,758.270,0
1992-11-13,758.270,761.450,757.240,761.450,0
1992-11-16,761.210,763.920,759.720,763.870,0
1992-11-17,763.620,773.610,763.620,773.450,0
1992-11-18,773.810,778.470,773.810,776.620,0
1992-11-19,776.500,783.810,776.440,783.710,0
1992-11-20,783.230,784.920,779.620,779.790,0
1992-11-23,779.980,782.390,778.870,778.870,0
1992-11-24,777.860,777.860,765.760,769.640,0
1992-11-25,769.640,770.250,766.350,768.580,0
1992-11-26,768.340,768.340,762.090,764.330,0
1992-11-27,764.080,764.730,757.970,761.220,0
1992-11-30,761.580,762.480,759.640,762.480,0
1992-12-01,762.480,762.480,759.190,760.100,0
1992-12-02,759.740,762.170,757.490,759.910,0
1992-12-03,759.650,759.650,750.640,751.540,0
1992-12-04,751.280,754.870,750.700,754.310,0
1992-12-07,754.070,755.750,751.220,755.750,0
1992-12-09,755.720,758.430,752.780,754.700,0
1992-12-10,756.140,756.140,750.460,751.970,0
1992-12-11,751.520,751.520,740.240,742.680,0
1992-12-14,742.920,749.140,741.540,749.140,0
1992-12-15,749.520,752.940,749.520,751.810,0
1992-12-16,752.060,752.060,738.770,738.770,0
1992-12-17,738.530,738.530,720.950,720.950,0
1992-12-18,720.820,721.050,713.890,716.770,0
1992-12-21,717.010,722.900,716.500,722.900,0
1992-12-22,723.270,739.430,723.270,739.430,0
1992-12-23,739.260,752.410,739.260,752.310,0
1992-12-28,752.300,754.880,751.610,752.860,0
1992-12-29,752.220,754.080,749.170,749.430,0
1992-12-30,749.690,751.760,744.030,747.700,0
1993-01-04,747.310,747.310,723.020,723.020,0
1993-01-05,722.750,737.130,722.750,736.330,0
1993-01-07,736.450,736.450,730.790,730.960,0
1993-01-08,730.710,731.980,724.920,725.800,0
1993-01-11,725.990,725.990,719.910,721.350,0
1993-01-12,721.290,721.300,715.480,716.230,0
1993-01-13,716.470,716.970,712.550,712.570,0
1993-01-14,712.370,714.210,710.080,712.240,0
1993-01-15,712.240,714.640,711.630,712.060,0
1993-01-18,712.250,719.080,712.250,719.080,0
1993-01-19,719.160,730.800,719.090,730.640,0
1993-01-20,731.000,732.610,729.300,731.100,0
1993-01-21,730.910,734.920,730.910,732.400,0
1993-01-22,732.400,732.750,727.930,730.970,0
1993-01-25,730.970,730.970,726.180,728.190,0
1993-01-26,728.310,743.710,728.310,743.710,0
1993-01-27,744.100,763.590,744.100,760.970,0
1993-01-28,760.970,765.410,760.970,763.460,0
1993-01-29,763.520,771.460,763.320,771.400,0
1993-02-01,771.850,787.980,771.850,787.980,0
1993-02-02,788.590,794.910,787.310,788.270,0
1993-02-03,788.340,797.480,788.340,797.190,0
1993-02-04,797.190,805.920,795.240,795.240,0
1993-02-05,795.220,806.000,795.220,801.390,0
1993-02-08,801.030,801.030,799.120,799.150,0
1993-02-09,798.540,799.380,793.550,795.900,0
1993-02-10,795.830,795.830,790.080,791.250,0
1993-02-11,791.250,791.250,782.750,782.750,0
1993-02-12,782.750,791.180,782.750,791.010,0
1993-02-15,791.140,801.330,791.140,801.330,0
1993-02-16,801.720,815.250,801.720,815.180,0
1993-02-17,815.050,815.050,804.330,807.380,0
1993-02-18,807.120,816.610,807.120,815.630,0
1993-02-19,815.500,819.880,815.400,818.020,0
1993-02-22,818.020,837.190,818.020,837.120,0
1993-02-23,837.060,837.530,831.510,831.670,0
1993-02-24,831.410,831.410,820.570,820.570,0
1993-02-25,820.570,826.090,820.510,826.070,0
1993-02-26,826.210,837.280,826.210,837.120,0
1993-03-01,837.380,857.330,837.380,857.330,0
1993-03-02,857.260,860.250,853.250,860.080,0
1993-03-03,859.960,871.010,859.960,860.170,0
1993-03-04,860.350,860.530,853.890,854.150,0
1993-03-05,854.020,859.560,854.020,858.310,0
1993-03-08,858.440,858.440,854.450,854.750,0
1993-03-09,854.940,861.410,854.940,855.970,0
1993-03-10,855.960,855.960,844.560,846.700,0
1993-03-11,846.510,846.530,832.970,838.730,0
1993-03-12,838.800,838.830,834.050,836.230,0
1993-03-15,836.410,841.760,836.370,840.850,0
1993-03-16,841.040,841.040,837.190,838.080,0
1993-03-17,838.210,838.300,829.670,829.740,0
1993-03-18,829.810,829.810,825.330,827.760,0
1993-03-19,827.820,827.820,816.950,816.950,0
1993-03-22,816.330,816.330,782.910,783.860,0
1993-03-23,784.120,785.000,778.290,778.290,0
1993-03-24,778.290,779.520,770.530,778.830,0
1993-03-25,778.700,786.750,778.700,781.890,0
1993-03-26,782.980,791.400,782.980,791.400,0
1993-03-29,792.280,799.340,792.280,797.660,0
1993-03-30,798.000,798.000,790.850,791.680,0
1993-03-31,791.170,791.180,777.360,778.690,0
1993-04-01,778.240,778.240,764.660,769.480,0
1993-04-02,769.440,769.440,765.630,767.590,0
1993-04-05,767.230,769.030,765.460,769.030,0
1993-04-06,769.150,779.490,769.150,778.310,0
1993-04-07,778.120,779.610,777.430,779.250,0
1993-04-08,779.120,783.050,779.030,783.040,0
1993-04-13,783.040,790.150,783.040,789.190,0
1993-04-14,788.940,788.940,779.610,779.860,0
1993-04-15,779.730,779.730,775.270,775.270,0
1993-04-16,775.010,775.010,759.810,765.460,0
1993-04-19,765.590,771.760,765.590,771.760,0
1993-04-20,771.700,771.700,767.630,769.190,0
1993-04-21,768.940,771.970,767.720,771.970,0
1993-04-22,771.780,781.190,771.780,780.540,0
1993-04-23,779.960,783.410,778.800,778.880,0
1993-04-26,778.370,778.370,771.060,771.520,0
1993-04-27,771.450,774.350,770.770,771.910,0
1993-04-28,772.550,775.240,769.530,769.540,0
1993-04-29,769.670,769.670,760.640,764.100,0
1993-04-30,764.290,766.500,763.090,763.850,0
1993-05-03,763.980,763.980,757.200,761.750,0
1993-05-04,761.800,764.980,761.800,764.820,0
1993-05-05,764.750,764.750,761.100,764.280,0
1993-05-06,764.220,771.310,764.150,770.290,0
1993-05-07,770.290,771.450,767.640,770.350,0
1993-05-10,769.990,770.340,766.800,769.190,0
1993-05-11,769.250,770.140,766.820,769.130,0
1993-05-12,769.130,778.180,769.100,777.180,0
1993-05-13,777.050,789.260,777.030,789.020,0
1993-05-14,789.140,790.930,785.720,790.650,0
1993-05-17,790.530,795.530,790.360,795.530,0
1993-05-18,795.920,803.420,795.920,800.600,0
1993-05-19,800.360,800.360,796.560,798.890,0
1993-05-21,799.090,801.370,799.060,800.340,0
1993-05-24,799.980,799.980,791.320,791.690,0
1993-05-25,792.060,796.230,791.860,794.960,0
1993-05-26,794.640,796.230,794.270,796.210,0
1993-05-27,796.340,799.040,795.660,797.460,0
1993-05-28,797.650,798.870,797.120,797.550,0
1993-06-01,797.360,797.360,791.470,793.940,0
1993-06-02,793.940,800.130,793.940,800.030,0
1993-06-03,800.150,805.840,800.150,805.630,0
1993-06-04,805.760,815.900,805.760,815.770,0
1993-06-07,816.290,826.080,816.290,822.050,0
1993-06-08,821.790,822.380,817.300,820.480,0
1993-06-09,820.470,827.090,820.470,825.300,0
1993-06-11,825.620,838.530,825.590,837.730,0
1993-06-14,837.860,850.640,837.860,850.190,0
1993-06-15,849.930,849.980,840.550,844.370,0
1993-06-16,844.120,844.130,836.170,839.510,0
1993-06-17,839.510,842.030,833.140,833.140,0
1993-06-18,833.260,840.850,832.970,838.990,0
1993-06-21,838.860,848.090,838.860,848.090,0
1993-06-22,848.330,861.840,848.330,856.870,0
1993-06-23,856.500,860.650,854.040,859.700,0
1993-06-24,859.580,860.840,856.450,856.450,0
1993-06-25,856.330,856.570,852.540,853.190,0
1993-06-28,853.620,861.550,853.620,860.530,0
1993-06-29,860.400,862.550,856.080,857.390,0
1993-06-30,857.520,858.920,851.680,851.700,0
1993-07-01,851.770,853.940,849.280,852.580,0
1993-07-02,852.460,852.460,839.460,840.000,0
1993-07-05,840.010,840.310,825.020,825.450,0
1993-07-06,825.490,830.220,825.390,829.910,0
1993-07-07,829.850,834.490,828.790,834.490,0
1993-07-08,834.370,859.380,834.370,859.020,0
1993-07-09,859.020,882.880,859.020,868.390,0
1993-07-12,868.390,878.210,868.300,876.750,0
1993-07-13,876.690,876.700,867.130,869.640,0
1993-07-14,869.460,871.710,861.540,871.340,0
1993-07-15,871.520,878.330,871.520,876.860,0
1993-07-16,876.930,880.730,873.440,877.990,0
1993-07-19,878.120,900.450,878.090,898.770,0
1993-07-20,898.650,909.210,898.650,903.960,0
1993-07-21,903.650,912.570,900.290,912.570,0
1993-07-22,912.450,924.180,912.450,923.250,0
1993-07-23,922.900,938.270,921.440,936.900,0
