date,open,high,low,close,volume
2005-02-25,17.865,18.060,17.761,18.039,260109
2005-02-28,18.166,18.226,18.083,18.226,406600
2005-03-01,18.200,18.270,18.046,18.180,209045
2005-03-02,17.973,17.998,17.846,17.956,172157
2005-03-03,18.007,18.112,17.956,18.083,159723
2005-03-04,18.270,18.555,18.270,18.399,279753
2005-03-07,18.630,18.742,18.555,18.704,501632
2005-03-08,18.547,18.630,18.450,18.555,283363
2005-03-09,18.523,18.592,18.442,18.458,158124
2005-03-10,18.442,18.576,18.263,18.344,331078
2005-03-11,18.383,18.547,18.315,18.361,209179
2005-03-14,18.368,18.405,18.255,18.329,240859
2005-03-15,18.329,18.368,18.030,18.030,216801
2005-03-16,18.068,18.226,18.007,18.046,106796
2005-03-17,17.768,17.902,17.664,17.805,408871
2005-03-18,17.777,17.798,17.402,17.463,371980
2005-03-21,17.320,17.367,17.095,17.134,461132
2005-03-22,17.208,17.508,17.095,17.095,249946
2005-03-23,16.908,16.968,16.849,16.864,460867
2005-03-24,16.955,17.109,16.901,16.908,227358
2005-03-28,16.916,17.020,16.841,16.849,316378
2005-03-29,16.948,17.073,16.841,16.876,206108
2005-03-30,17.028,17.268,17.028,17.184,107998
2005-03-31,17.357,17.357,17.028,17.073,100781
2005-04-01,17.259,17.312,17.080,17.102,357546
2005-04-04,17.058,17.304,17.058,17.244,51992
2005-04-05,17.221,17.373,17.221,17.367,77657
2005-04-06,17.373,17.508,17.367,17.483,120294
2005-04-07,17.431,17.431,17.230,17.230,414618
2005-04-08,17.208,17.470,17.142,17.456,64961
2005-04-11,17.463,17.490,17.367,17.439,63623
2005-04-12,17.134,17.470,17.134,17.470,109867
2005-04-13,17.367,17.402,17.268,17.268,70037
2005-04-14,17.268,17.290,17.013,17.058,238584
2005-04-15,16.982,17.020,16.577,16.585,622195
2005-04-18,16.518,16.585,16.469,16.518,234846
2005-04-19,16.557,16.638,16.557,16.610,107462
2005-04-20,16.773,16.876,16.655,16.663,91827
2005-04-21,16.832,17.013,16.788,16.933,112541
2005-04-22,17.036,17.102,16.813,16.832,270129
2005-04-25,16.960,16.990,16.870,16.870,53467
2005-04-26,16.933,16.948,16.813,16.813,97174
2005-04-27,16.752,16.759,16.585,16.698,91962
2005-04-28,16.610,16.685,16.302,16.310,192472
2005-04-29,16.452,16.518,16.369,16.452,113880
2005-05-02,16.354,16.421,16.244,16.369,188463
2005-05-03,16.294,16.369,16.244,16.273,81667
2005-05-04,16.325,16.461,16.325,16.430,112413
2005-05-05,16.461,16.461,16.310,16.346,73114
2005-05-06,16.190,16.310,16.190,16.212,111606
