date,open,high,low,close,volume
1991-01-02,984.310,984.310,984.310,984.310,0
1991-01-03,989.930,989.930,989.930,989.930,0
1991-01-04,980.220,980.220,980.220,980.220,0
1991-01-07,964.620,964.620,964.620,964.620,0
1991-01-08,953.170,953.170,953.170,953.170,0
1991-01-09,982.330,982.330,982.330,982.330,0
1991-01-10,957.120,957.120,957.120,957.120,0
1991-01-11,959.150,959.150,959.150,959.150,0
1991-01-14,931.980,931.980,931.980,931.980,0
1991-01-15,932.840,932.840,932.840,932.840,0
1991-01-16,928.570,928.570,928.570,928.570,0
1991-01-17,988.170,988.170,988.170,988.170,0
1991-01-18,975.670,975.670,975.670,975.670,0
1991-01-21,969.240,969.240,969.240,969.240,0
1991-01-22,960.030,960.030,960.030,960.030,0
1991-01-23,946.890,946.890,946.890,946.890,0
1991-01-24,958.180,958.180,958.180,958.180,0
1991-01-25,960.470,960.470,960.470,960.470,0
1991-01-28,956.820,956.820,956.820,956.820,0
1991-01-29,956.470,956.470,956.470,956.470,0
1991-01-30,967.210,967.210,967.210,967.210,0
1991-01-31,974.860,974.860,974.860,974.860,0
1991-02-01,978.180,978.180,978.180,978.180,0
1991-02-04,979.580,979.580,979.580,979.580,0
1991-02-05,1001.030,1001.030,1001.030,1001.030,0
1991-02-06,1006.930,1006.930,1006.930,1006.930,0
1991-02-07,1017.020,1017.020,1017.020,1017.020,0
1991-02-08,1029.280,1029.280,1029.280,1029.280,0
1991-02-11,1047.820,1047.820,1047.820,1047.820,0
1991-02-12,1057.410,1057.410,1057.410,1057.410,0
1991-02-13,1055.450,1055.450,1055.450,1055.450,0
1991-02-14,1059.220,1059.220,1059.220,1059.220,0
1991-02-15,1080.140,1080.140,1080.140,1080.140,0
1991-02-18,1098.650,1098.650,1098.650,1098.650,0
1991-02-19,1125.500,1125.500,1125.500,1125.500,0
1991-02-20,1103.690,1103.690,1103.690,1103.690,0
1991-02-21,1114.210,1114.210,1114.210,1114.210,0
1991-02-22,1115.220,1115.220,1115.220,1115.220,0
1991-02-25,1136.420,1136.420,1136.420,1136.420,0
1991-02-26,1120.330,1120.330,1120.330,1120.330,0
1991-02-27,1120.810,1120.810,1120.810,1120.810,0
1991-02-28,1141.830,1141.830,1141.830,1141.830,0
1991-03-01,1127.360,1127.360,1127.360,1127.360,0
1991-03-04,1139.870,1139.870,1139.870,1139.870,0
1991-03-05,1154.410,1154.410,1154.410,1154.410,0
1991-03-06,1182.870,1182.870,1182.870,1182.870,0
1991-03-07,1181.110,1181.110,1181.110,1181.110,0
1991-03-08,1197.960,1197.960,1197.960,1197.960,0
1991-03-11,1193.750,1193.750,1193.750,1193.750,0
1991-03-12,1188.880,1188.880,1188.880,1188.880,0
