date,open,high,low,close,volume
2005-02-25,13.264,13.374,13.185,13.374,70802
2005-02-28,13.524,13.524,13.363,13.412,57326
2005-03-01,13.426,13.469,13.412,13.412,44836
2005-03-02,13.391,13.391,13.264,13.306,747769
2005-03-03,13.256,13.311,13.185,13.251,433055
2005-03-04,13.460,13.561,13.406,13.561,105994
2005-03-07,13.569,13.646,13.517,13.622,63852
2005-03-08,13.728,13.807,13.630,13.735,55905
2005-03-09,13.779,13.791,13.693,13.744,48951
2005-03-10,13.721,13.735,13.586,13.693,44412
2005-03-11,13.700,13.700,13.622,13.666,48951
2005-03-14,13.602,13.608,13.419,13.554,148700
2005-03-15,13.547,13.547,13.406,13.448,33202
2005-03-16,13.530,13.580,13.448,13.487,48388
2005-03-17,13.398,13.524,13.363,13.517,134941
2005-03-18,13.510,13.547,13.398,13.487,32350
2005-03-21,13.370,13.426,13.286,13.356,78747
2005-03-22,13.292,13.419,13.143,13.143,52075
2005-03-23,13.080,13.096,12.706,12.896,116495
2005-03-24,13.176,13.298,13.170,13.222,87973
2005-03-28,13.264,13.264,13.163,13.251,38169
2005-03-29,13.143,13.209,13.048,13.059,47959
2005-03-30,13.176,13.348,13.176,13.341,38879
2005-03-31,13.311,13.334,13.243,13.251,77191
2005-04-01,13.370,13.383,13.143,13.243,128269
2005-04-04,13.176,13.327,13.054,13.209,37882
2005-04-05,13.215,13.348,13.215,13.320,124015
2005-04-06,13.374,13.406,13.298,13.383,103155
2005-04-07,13.476,13.530,13.264,13.398,41860
2005-04-08,13.383,13.569,13.363,13.494,34623
2005-04-11,13.483,13.569,13.469,13.547,31359
2005-04-12,13.434,13.502,13.426,13.460,73357
2005-04-13,13.460,13.639,13.441,13.510,73357
2005-04-14,13.460,13.460,13.363,13.383,58744
2005-04-15,13.277,13.374,13.125,13.163,200492
2005-04-18,13.143,13.306,13.143,13.251,81302
2005-04-19,13.215,13.286,13.157,13.251,231994
2005-04-20,13.251,13.306,13.125,13.132,94074
2005-04-21,13.251,13.320,13.163,13.277,24264
2005-04-22,13.271,13.320,13.137,13.150,44981
2005-04-25,13.286,13.363,13.201,13.320,29513
2005-04-26,13.201,13.251,13.096,13.243,32774
2005-04-27,13.125,13.125,12.974,13.048,60448
2005-04-28,12.833,12.880,12.629,12.629,137068
2005-04-29,12.790,12.919,12.706,12.833,56473
2005-05-02,12.814,12.926,12.785,12.862,21141
2005-05-03,12.820,13.054,12.820,12.880,470655
2005-05-04,12.967,13.039,12.926,13.018,36466
2005-05-05,13.096,13.185,13.088,13.109,33344
2005-05-06,13.215,13.215,13.018,13.039,26246
2005-05-09,13.088,13.101,12.986,13.059,12346
2005-05-10,13.039,13.039,12.926,12.926,19862
2005-05-11,12.880,13.018,12.876,12.947,22561
2005-05-12,12.796,12.876,12.730,12.796,22134
2005-05-13,12.672,12.749,12.438,12.525,60728
2005-05-16,12.580,12.666,12.551,12.601,48529
2005-05-17,12.580,12.629,12.572,12.587,15040
2005-05-18,12.557,12.699,12.557,12.678,69104
2005-05-19,12.722,12.827,12.658,12.805,189427
2005-05-20,12.714,12.805,12.694,12.796,28094
2005-05-23,12.730,12.827,12.699,12.785,25114
2005-05-24,12.876,12.888,12.790,12.796,14616
2005-05-25,12.862,12.880,12.796,12.880,37742
2005-05-26,12.785,12.814,12.722,12.755,17452
2005-05-27,12.785,12.827,12.755,12.805,15466
2005-05-31,12.666,12.678,12.544,12.629,48951
2005-06-01,12.595,12.672,12.460,12.572,254413
2005-06-02,12.686,12.686,12.595,12.678,37176
2005-06-03,12.616,12.714,12.538,12.595,224756
2005-06-06,12.587,12.587,12.496,12.557,174527
2005-06-07,12.538,12.666,12.519,12.551,129125
2005-06-08,12.587,12.678,12.488,12.488,140900
2005-06-09,12.595,12.672,11.846,12.658,201627
2005-06-10,12.636,12.672,12.551,12.565,11067
2005-06-13,12.511,12.572,12.481,12.511,90246
2005-06-14,12.488,12.572,12.488,12.504,102021
2005-06-15,12.551,12.644,12.544,12.644,260370
2005-06-16,12.629,12.749,12.629,12.699,39872
2005-06-17,12.805,12.888,12.778,12.842,151965
2005-06-20,12.699,12.699,12.572,12.609,188148
2005-06-21,12.621,12.869,12.621,12.869,178073
2005-06-22,12.741,12.869,12.741,12.785,206310
2005-06-23,12.629,12.714,12.629,12.650,50937
2005-06-24,12.580,12.636,12.538,12.551,17166
2005-06-27,12.557,12.616,12.519,12.544,28804
2005-06-28,12.532,12.557,12.474,12.525,22418
2005-06-29,12.544,12.658,12.538,12.658,23414
2005-06-30,12.616,12.658,12.601,12.644,21994
2005-07-01,12.650,12.650,12.551,12.609,16460
2005-07-05,12.438,12.595,12.426,12.580,114221
2005-07-06,12.544,12.666,12.481,12.532,249586
2005-07-07,12.390,12.580,12.383,12.572,112945
2005-07-08,12.538,12.636,12.481,12.557,112519
2005-07-11,12.666,12.796,12.636,12.790,68532
2005-07-12,12.842,12.941,12.820,12.941,26246
2005-07-13,12.650,12.833,12.650,12.833,20149
2005-07-14,12.947,12.961,12.862,12.961,27529
2005-07-15,12.820,12.933,12.820,12.919,27100
2005-07-18,12.764,12.926,12.764,12.833,30506
2005-07-19,12.856,13.032,12.820,13.032,56614
2005-07-20,13.032,13.143,12.913,13.143,49945
2005-07-21,13.150,13.209,13.080,13.132,20718
2005-07-22,13.101,13.132,12.979,12.986,36184
2005-07-25,13.088,13.088,12.905,13.018,26109
2005-07-26,12.986,13.072,12.961,13.032,61014
2005-07-27,13.080,13.170,13.032,13.157,39019
2005-07-28,13.157,13.292,13.157,13.277,24121
2005-07-29,13.277,13.286,13.143,13.215,15466
2005-08-01,13.251,13.356,13.251,13.341,21994
2005-08-02,13.383,13.441,13.383,13.441,32918
2005-08-03,13.524,13.659,13.524,13.639,56898
2005-08-04,13.580,13.608,13.524,13.539,268601
2005-08-05,13.586,13.586,13.356,13.426,53776
2005-08-08,13.460,13.569,13.460,13.517,32774
2005-08-09,13.547,13.735,13.547,13.700,21994
2005-08-10,13.700,13.759,13.646,13.666,38879
2005-08-11,13.764,13.850,13.721,13.844,20007
2005-08-12,13.707,13.751,13.622,13.671,39303
2005-08-15,13.685,13.685,13.561,13.671,18588
2005-08-16,13.554,13.615,13.524,13.547,26959
2005-08-17,13.426,13.561,13.412,13.524,32491
