date,open,high,low,close,volume
2000-07-14,18.750,18.875,18.750,7.177,25000
2000-07-17,19.938,20.000,19.938,7.605,10000
2000-07-18,19.938,19.938,19.938,7.581,10000
2000-07-19,19.438,19.438,19.438,7.391,10000
2000-07-20,19.875,19.875,19.875,7.557,5000
2000-07-21,20.000,20.000,20.000,7.605,200
2000-07-24,20.000,20.000,20.000,7.605,0
2000-07-25,20.000,20.000,20.000,7.605,0
2000-07-26,20.000,20.000,20.000,7.605,0
2000-07-27,19.750,19.750,19.750,7.510,100
2000-07-28,20.000,20.000,19.375,7.367,21300
2000-07-31,19.312,19.375,19.312,7.367,200
2000-08-01,19.000,19.250,19.000,7.320,7400
2000-08-02,19.000,19.000,19.000,7.224,100
2000-08-03,18.875,18.875,18.875,7.177,10000
2000-08-04,19.375,19.625,19.375,7.462,700
2000-08-07,19.562,19.625,19.438,7.462,1100
2000-08-08,19.625,19.625,19.625,7.462,0
2000-08-09,19.625,19.625,19.625,7.462,0
2000-08-10,19.000,19.000,19.000,7.224,200
2000-08-11,19.438,19.438,19.438,7.391,600
2000-08-14,19.438,19.438,19.438,7.391,0
2000-08-15,20.250,20.250,20.000,7.605,5400
2000-08-16,20.000,20.000,20.000,7.605,0
2000-08-17,20.312,20.312,20.312,7.724,300
2000-08-18,19.750,19.750,19.750,7.510,200
2000-08-21,19.750,19.750,19.750,7.510,300
2000-08-22,19.750,19.750,19.750,7.510,0
2000-08-23,19.750,19.750,19.750,7.510,0
2000-08-24,19.250,19.250,19.250,7.457,15000
2000-08-25,19.500,19.625,19.500,7.602,2200
2000-08-28,19.750,19.750,19.688,7.626,500
2000-08-29,19.000,19.375,19.000,7.433,27300
2000-08-30,19.188,19.188,19.188,7.433,0
2000-08-31,19.812,19.875,19.750,7.651,2600
2000-09-01,19.750,19.750,19.750,7.651,4900
2000-09-05,19.625,19.625,19.625,7.602,300
2000-09-06,20.188,20.250,20.125,7.844,2700
2000-09-07,20.375,20.375,20.250,7.869,4400
2000-09-08,20.000,20.000,19.500,7.554,1100
2000-09-11,19.500,20.062,19.500,7.748,1400
2000-09-12,19.688,19.688,19.688,7.626,500
2000-09-13,19.375,19.438,19.250,7.457,2100
2000-09-14,19.000,19.000,19.000,7.360,1100
2000-09-15,18.438,18.625,18.438,7.215,10600
2000-09-18,18.375,18.375,18.125,7.045,1000
2000-09-19,18.000,18.062,18.000,6.997,10500
2000-09-20,17.625,17.688,17.625,6.852,400
2000-09-21,18.000,18.000,18.000,6.973,10000
2000-09-22,18.062,18.062,18.062,6.997,1800
2000-09-25,18.438,18.438,18.438,7.142,2000
2000-09-26,17.750,18.250,17.750,7.070,10700
2000-09-27,17.938,17.938,17.938,6.949,100
2000-09-28,17.938,17.938,17.938,6.949,0
2000-09-29,18.125,18.125,18.125,7.021,300
2000-10-02,18.062,18.062,17.625,6.900,500
2000-10-03,17.562,17.562,17.562,6.803,5100
2000-10-04,17.562,18.000,17.562,6.973,200
2000-10-05,18.188,18.188,18.188,7.045,200
2000-10-06,18.000,18.000,18.000,6.973,200
2000-10-09,17.188,17.188,17.188,6.658,100
2000-10-10,17.750,17.938,17.500,6.779,900
2000-10-11,17.688,17.688,17.688,6.852,200
2000-10-12,17.062,17.062,17.062,6.610,500
2000-10-13,17.188,17.250,17.125,6.682,12200
2000-10-16,17.438,17.438,17.438,6.755,5800
2000-10-17,17.188,17.188,17.000,6.585,300
2000-10-18,17.000,17.000,17.000,6.585,0
2000-10-19,17.188,17.188,17.188,6.658,2000
2000-10-20,16.875,16.938,16.875,6.561,1500
2000-10-23,16.688,16.688,16.125,6.246,300
2000-10-24,16.125,16.125,16.125,6.246,0
2000-10-25,15.125,15.125,15.125,5.859,200
2000-10-26,15.188,15.188,15.188,5.883,100
2000-10-27,15.188,15.188,15.188,5.883,0
2000-10-30,15.188,15.188,15.188,5.883,0
2000-10-31,16.125,16.125,16.125,6.246,500
2000-11-01,16.312,16.500,16.312,6.392,1200
2000-11-02,16.500,16.500,16.500,6.392,3100
2000-11-03,16.250,16.250,15.750,6.198,1800
2000-11-06,16.000,16.000,16.000,6.198,700
2000-11-07,16.000,16.000,16.000,6.198,12000
2000-11-08,16.688,16.688,16.000,6.198,7300
2000-11-09,15.562,15.562,15.500,6.004,1500
2000-11-10,15.500,15.500,15.500,6.004,0
2000-11-13,15.750,15.750,15.312,5.932,4400
2000-11-14,16.000,16.000,15.938,6.174,300
2000-11-15,15.938,15.938,15.938,6.174,0
2000-11-16,15.812,15.812,15.812,6.125,200
2000-11-17,15.250,15.438,15.250,5.956,2800
2000-11-20,15.375,15.375,15.375,5.956,0
2000-11-21,15.375,15.375,15.375,5.956,0
2000-11-22,15.375,15.375,15.375,5.956,0
2000-11-24,15.375,15.375,15.375,5.956,0
2000-11-27,15.562,15.562,15.312,5.932,7800
