date,open,high,low,close,volume
1990-01-02,3962.200,4004.400,3962.200,3994.231,164600
1990-01-03,4014.300,4020.900,4007.200,3999.318,147600
1990-01-04,4011.200,4016.200,3996.700,3990.740,297100
1990-01-05,3997.700,4007.600,3989.300,3980.266,279500
1990-01-08,3981.200,3981.200,3963.000,3961.016,242800
1990-01-09,3974.100,3974.100,3951.100,3942.363,251400
1990-01-10,3943.700,3946.100,3932.700,3931.591,340600
1990-01-11,3945.000,3947.500,3937.700,3931.690,344500
1990-01-12,3907.600,3907.600,3879.700,3871.942,432100
1990-01-15,3885.800,3898.900,3873.000,3884.111,235200
1990-01-16,3872.600,3902.000,3872.600,3890.096,315100
1990-01-17,3894.000,3897.200,3872.300,3862.466,327600
1990-01-18,3862.400,3868.800,3850.900,3847.604,262000
1990-01-19,3872.400,3872.400,3856.000,3855.285,309000
1990-01-22,3856.500,3856.500,3800.900,3791.846,262100
1990-01-23,3821.300,3821.300,3793.500,3803.018,304600
1990-01-24,3760.400,3763.400,3747.100,3751.948,447200
1990-01-25,3764.400,3764.400,3748.400,3739.878,260400
1990-01-26,3756.500,3757.200,3720.200,3724.219,308900
1990-01-29,3738.800,3740.900,3720.000,3713.047,192200
1990-01-30,3716.000,3716.400,3696.600,3697.586,273200
1990-01-31,3708.200,3708.200,3690.500,3694.993,318900
1990-02-01,3714.000,3714.000,3699.700,3699.681,299900
1990-02-02,3703.800,3726.600,3703.800,3710.154,223400
1990-02-05,3733.200,3767.200,3733.200,3757.633,254600
1990-02-06,3770.800,3778.600,3759.800,3759.528,251500
1990-02-07,3758.600,3783.300,3758.600,3769.603,310300
1990-02-08,3785.000,3795.300,3781.400,3773.692,310800
1990-02-09,3779.200,3785.500,3775.700,3768.207,266800
1990-02-12,3775.900,3779.300,3764.700,3756.736,230900
1990-02-13,3763.000,3763.000,3744.300,3742.372,266700
1990-02-14,3754.300,3760.000,3749.700,3740.876,227600
1990-02-15,3749.600,3750.300,3731.800,3723.221,349900
1990-02-16,3737.500,3743.800,3730.800,3722.223,243200
1990-02-19,3733.000,3737.000,3733.000,3725.515,167400
1990-02-20,3717.800,3717.800,3682.900,3682.924,288100
1990-02-21,3660.000,3672.600,3660.000,3663.174,303000
1990-02-22,3675.700,3684.400,3667.900,3659.284,293600
1990-02-23,3654.100,3663.800,3646.300,3643.324,238000
1990-02-26,3633.200,3650.400,3628.400,3640.232,217700
1990-02-27,3659.300,3667.200,3656.700,3651.005,198500
1990-02-28,3659.600,3692.800,3659.600,3677.338,245100
1990-03-01,3682.500,3709.500,3682.500,3690.803,217800
1990-03-02,3699.400,3711.100,3699.400,3697.985,202900
1990-03-05,3712.700,3717.600,3709.200,3702.573,154000
1990-03-06,3715.600,3723.200,3706.100,3713.745,204500
1990-03-07,3727.600,3734.800,3723.700,3719.131,225400
1990-03-08,3732.800,3752.000,3732.800,3742.472,195000
1990-03-09,3739.200,3745.100,3729.800,3723.420,181700
1990-03-12,3728.500,3740.900,3728.500,3730.702,152300
1990-03-13,3728.100,3734.100,3723.100,3724.617,163100
1990-03-14,3734.700,3741.700,3727.500,3725.116,204700
1990-03-15,3750.800,3757.400,3748.700,3747.858,264500
1990-03-16,3772.000,3773.800,3760.700,3751.150,250100
1990-03-19,3749.200,3772.100,3749.200,3762.521,211000
1990-03-20,3767.300,3774.200,3739.100,3735.091,249600
1990-03-21,3741.500,3747.600,3735.800,3726.313,224400
1990-03-22,3726.500,3732.100,3697.500,3695.491,259600
1990-03-23,3711.300,3716.100,3696.400,3692.000,196600
1990-03-26,3681.400,3685.200,3666.600,3658.187,229900
1990-03-27,3667.000,3678.700,3662.200,3669.158,201500
1990-03-28,3675.200,3687.000,3674.800,3667.962,208600
1990-03-29,3677.300,3686.900,3665.000,3656.590,191700
1990-03-30,3652.200,3652.200,3633.900,3630.258,277200
1990-04-02,3599.400,3612.600,3599.400,3603.027,182700
1990-04-03,3626.400,3649.900,3626.400,3638.836,200200
1990-04-04,3649.500,3654.800,3634.100,3625.769,287100
1990-04-05,3639.000,3643.800,3630.400,3621.380,199000
1990-04-06,3630.400,3637.200,3620.600,3623.076,184300
1990-04-09,3622.200,3622.200,3612.600,3604.424,155800
1990-04-10,3604.300,3604.300,3590.000,3585.771,191600
1990-04-11,3587.600,3589.300,3565.800,3556.745,208000
1990-04-12,3566.500,3570.700,3560.300,3552.057,157200
1990-04-16,3568.300,3568.300,3549.300,3540.287,132200
1990-04-17,3531.100,3531.100,3505.800,3504.378,197800
1990-04-18,3508.900,3508.900,3475.200,3467.572,276100
1990-04-19,3458.800,3458.800,3408.400,3401.939,298700
1990-04-20,3413.800,3413.800,3338.900,3347.079,300600
1990-04-23,3347.300,3348.300,3331.400,3335.608,226700
1990-04-24,3359.700,3361.900,3341.000,3332.516,209900
1990-04-25,3342.500,3344.300,3329.100,3334.710,188500
1990-04-26,3356.900,3369.500,3346.900,3360.943,177600
1990-04-27,3372.600,3372.600,3336.100,3327.628,144100
1990-04-30,3329.600,3340.900,3323.300,3332.416,200900
1990-05-01,3349.100,3349.100,3334.100,3325.634,163100
1990-05-02,3338.500,3340.300,3324.600,3331.817,213100
1990-05-03,3346.600,3355.500,3345.200,3338.201,190600
1990-05-04,3362.500,3367.800,3350.900,3359.248,245200
1990-05-07,3379.600,3423.400,3379.600,3412.811,215100
1990-05-08,3434.100,3438.200,3425.800,3429.269,192400
1990-05-09,3430.200,3464.000,3430.200,3455.203,260900
1990-05-10,3476.200,3489.600,3472.200,3477.646,294700
1990-05-11,3513.400,3536.300,3513.400,3526.023,269200
1990-05-14,3543.000,3557.600,3526.500,3517.544,239500
1990-05-15,3505.400,3508.000,3500.300,3496.398,197400
1990-05-16,3502.800,3504.000,3479.200,3477.945,202200
1990-05-17,3494.700,3510.000,3492.600,3500.488,220100
1990-05-18,3506.400,3521.300,3497.000,3512.358,228000
1990-05-22,3547.800,3551.300,3529.200,3531.509,263900
1990-05-23,3510.100,3519.700,3508.400,3510.463,231400
1990-05-24,3518.500,3519.700,3507.200,3501.685,197500
1990-05-25,3500.800,3503.600,3493.300,3485.825,152600
1990-05-28,3494.000,3500.000,3491.000,3488.119,102800
1990-05-29,3498.400,3524.200,3495.900,3515.250,191500
1990-05-30,3546.600,3565.700,3546.100,3556.545,266800
