date,open,high,low,close,volume
1996-03-18,10.312,10.312,10.312,4.371,500
1996-03-19,10.375,10.375,10.375,4.397,200
1996-03-20,10.375,10.375,10.375,4.397,0
1996-03-21,10.375,10.375,10.375,4.397,0
1996-03-22,10.375,10.375,10.375,4.397,0
1996-03-25,10.375,10.375,10.375,4.397,200
1996-03-26,10.375,10.375,10.375,4.397,0
1996-03-27,10.375,10.375,10.375,4.397,10100
1996-03-28,10.375,10.375,10.375,4.397,0
1996-03-29,10.438,10.438,10.438,4.424,100
1996-04-01,10.438,10.438,10.438,4.424,300
1996-04-02,10.500,10.500,10.500,4.450,1000
1996-04-03,10.500,10.500,10.500,4.450,100300
1996-04-04,10.500,10.500,10.500,4.450,0
1996-04-08,10.500,10.500,10.500,4.450,0
1996-04-09,10.500,10.500,10.500,4.450,0
1996-04-10,10.625,10.625,10.625,4.503,900
1996-04-11,10.500,10.500,10.500,4.450,1000
1996-04-12,10.500,10.500,10.500,4.450,100
1996-04-15,10.500,10.500,10.500,4.450,400
1996-04-16,10.625,10.625,10.625,4.503,1500
1996-04-17,10.625,10.750,10.625,4.556,18700
1996-04-18,10.875,10.875,10.625,4.503,2600
1996-04-19,10.750,10.750,10.750,4.556,400
1996-04-22,10.875,10.875,10.750,4.556,3300
1996-04-23,10.750,10.750,10.750,4.556,10000
1996-04-24,10.812,10.812,10.750,4.556,23000
1996-04-25,10.750,10.750,10.750,4.556,3000
1996-04-26,10.750,10.812,10.750,4.582,12500
1996-04-29,10.875,10.875,10.812,4.609,2900
1996-04-30,10.812,10.812,10.812,4.582,4800
1996-05-01,10.750,10.750,10.750,4.556,1200
1996-05-02,10.750,10.750,10.625,4.503,6200
1996-05-03,10.688,10.688,10.688,4.529,500
1996-05-06,10.688,10.750,10.688,4.529,2400
1996-05-07,10.688,10.688,10.688,4.529,0
1996-05-08,10.688,10.688,10.688,4.529,6600
1996-05-09,10.688,10.688,10.688,4.529,0
1996-05-10,10.688,10.688,10.688,4.529,100
1996-05-13,10.688,10.688,10.688,4.529,0
1996-05-14,10.688,10.688,10.688,4.529,0
1996-05-15,10.750,10.750,10.750,4.556,500
1996-05-16,10.875,10.875,10.875,4.609,1000
1996-05-17,11.125,11.250,10.938,4.635,3600
1996-05-20,10.875,10.875,10.875,4.609,900
1996-05-21,10.938,10.938,10.938,4.635,100
1996-05-22,10.875,10.875,10.875,4.609,400
1996-05-23,10.875,10.875,10.875,4.609,0
1996-05-24,10.875,10.875,10.875,4.609,100
1996-05-28,10.938,10.938,10.938,4.635,100
1996-05-29,10.875,10.875,10.875,4.609,100
1996-05-30,10.750,10.750,10.750,4.556,1000
1996-05-31,10.750,10.750,10.750,4.556,0
1996-06-03,10.812,10.812,10.812,4.582,100
1996-06-04,10.812,10.812,10.812,4.582,0
1996-06-05,10.812,10.812,10.812,4.582,0
1996-06-06,10.812,10.812,10.812,4.582,3000
1996-06-07,10.750,10.812,10.750,4.582,2000
1996-06-10,10.750,10.750,10.750,4.556,13100
1996-06-11,10.750,10.750,10.750,4.556,5000
1996-06-12,10.750,10.750,10.750,4.556,0
1996-06-13,10.750,10.750,10.750,4.556,0
1996-06-14,10.750,10.750,10.750,4.556,0
1996-06-17,10.562,10.562,10.562,4.477,300
1996-06-18,10.562,10.562,10.562,4.477,0
1996-06-19,10.562,10.562,10.562,4.477,0
1996-06-20,10.562,10.562,10.562,4.477,0
1996-06-21,10.625,10.625,10.625,4.503,5300
1996-06-24,10.625,10.625,10.625,4.503,3600
1996-06-25,10.625,10.625,10.625,4.503,100
1996-06-26,10.562,10.562,10.562,4.477,100
1996-06-27,10.562,10.562,10.562,4.477,0
1996-06-28,10.562,10.562,10.562,4.477,0
1996-07-01,10.625,10.625,10.625,4.503,300
1996-07-02,10.750,10.750,10.750,4.556,700
1996-07-03,10.750,10.750,10.750,4.556,300
1996-07-05,10.750,10.750,10.750,4.556,0
1996-07-08,10.625,10.688,10.625,4.529,4000
1996-07-09,10.688,10.875,10.688,4.609,28000
1996-07-10,10.750,10.750,10.750,4.556,1000
1996-07-11,10.562,10.562,10.562,4.477,800
1996-07-12,10.562,10.562,10.562,4.477,0
1996-07-15,10.688,10.688,10.688,4.529,9200
1996-07-16,10.500,10.500,10.250,4.344,2300
1996-07-17,10.438,10.438,10.438,4.424,100
1996-07-18,10.500,10.500,10.375,4.397,6900
1996-07-19,10.375,10.375,10.375,4.397,0
1996-07-22,10.375,10.375,10.375,4.397,0
1996-07-23,10.375,10.375,10.375,4.397,0
