date,open,high,low,close,volume
2007-11-20,47.690,48.330,47.390,30.917,400
2007-11-21,46.260,46.260,45.380,30.010,37600
2007-11-23,46.630,46.850,46.520,30.461,15800
2007-11-26,46.750,46.930,45.680,29.867,36700
2007-11-27,45.480,46.000,45.340,29.984,19500
2007-11-28,47.070,47.920,46.920,31.217,12900
2007-11-29,48.470,48.910,48.330,31.641,87900
2007-11-30,49.660,50.630,49.310,32.235,32600
2007-12-03,49.560,49.560,49.120,32.150,81700
2007-12-04,48.640,48.800,48.310,31.517,14900
2007-12-05,49.180,50.030,49.170,32.640,20200
2007-12-06,50.400,51.520,50.350,33.533,137900
2007-12-07,51.820,51.820,51.340,33.533,76000
2007-12-10,51.350,51.540,51.040,33.325,15100
2007-12-11,50.680,51.480,49.510,32.313,32300
2007-12-12,50.080,50.430,48.260,31.648,47800
2007-12-13,47.470,47.480,46.800,30.891,43700
2007-12-14,46.660,47.570,46.370,30.904,28000
2007-12-17,46.730,47.000,45.750,29.932,8900
2007-12-18,46.910,46.910,45.700,30.147,34600
2007-12-19,46.500,46.540,46.220,30.245,7300
2007-12-20,47.500,48.320,46.870,31.198,21500
2007-12-21,49.460,49.460,48.600,31.954,33200
2007-12-24,49.200,49.220,48.710,31.934,25600
2007-12-26,48.610,48.900,48.530,31.934,8000
2007-12-27,48.870,49.090,48.440,31.634,36400
2007-12-28,48.500,48.790,48.430,31.791,8000
2007-12-31,48.400,48.580,48.370,31.719,76300
2008-01-02,48.550,48.550,47.480,31.092,29800
2008-01-03,47.430,47.860,47.350,31.164,43900
2008-01-04,46.960,46.960,46.080,30.295,15800
2008-01-07,46.150,46.290,45.370,29.773,28100
2008-01-08,45.870,46.020,45.360,29.688,13200
2008-01-09,44.450,45.200,44.330,29.485,105700
2008-01-10,45.460,46.490,45.350,30.302,89400
2008-01-11,47.310,47.310,46.670,30.746,26700
2008-01-14,49.580,49.580,47.060,30.915,34300
2008-01-15,47.350,47.350,44.990,29.381,38200
2008-01-16,44.100,44.560,43.400,28.826,42700
2008-01-17,44.850,44.850,42.340,27.650,52800
2008-01-18,43.090,43.260,42.110,27.676,58200
2008-01-22,39.950,43.910,39.900,28.009,29700
2008-01-23,40.310,43.690,40.000,26.840,8700
2008-01-24,43.790,45.170,43.790,29.440,30200
2008-01-25,48.410,48.410,44.440,29.022,14400
2008-01-28,44.220,45.410,44.220,29.655,49600
2008-01-29,47.360,47.360,46.270,30.452,37500
2008-01-30,47.360,48.000,46.610,30.550,23900
2008-01-31,46.330,47.710,45.790,31.157,142900
2008-02-01,47.550,47.880,47.210,31.190,21700
2008-02-04,48.090,48.220,47.350,31.196,45400
2008-02-05,46.720,46.720,45.000,29.400,14700
2008-02-06,45.200,45.750,45.000,29.655,58100
2008-02-07,44.750,45.180,44.490,29.237,24700
2008-02-08,45.920,45.920,45.190,29.890,35900
2008-02-11,45.890,46.450,45.770,30.334,15300
2008-02-12,47.420,47.930,47.200,31.262,60100
2008-02-13,48.220,48.820,47.880,31.836,44400
2008-02-14,48.530,48.800,47.990,31.340,30700
2008-02-15,47.460,47.620,47.200,30.968,45400
2008-02-19,48.980,49.000,47.750,31.183,27900
2008-02-20,47.720,48.750,47.690,31.836,7400
2008-02-21,48.690,49.120,48.540,31.849,10300
2008-02-22,49.260,49.260,48.520,32.104,36400
2008-02-25,49.060,49.430,48.480,32.222,40000
2008-02-26,49.380,49.670,48.990,32.176,45400
2008-02-27,49.370,49.900,49.130,32.483,26600
