date,open,high,low,close,volume
2005-01-04,994.769,994.769,980.658,982.794,7412869
2005-01-05,981.577,997.323,979.877,992.564,7119109
2005-01-06,993.331,993.788,980.330,983.174,6288029
2005-01-07,983.045,995.711,979.812,983.958,7298694
2005-01-10,983.760,993.959,979.789,993.879,5791698
2005-01-11,994.189,999.554,991.092,997.135,5849080
2005-01-12,996.651,996.976,989.257,996.748,5014525
2005-01-13,996.078,999.473,992.695,996.877,6044066
2005-01-14,996.617,1006.463,987.233,988.306,7297842
2005-01-17,979.111,981.525,965.078,967.452,7288189
2005-01-18,967.374,974.872,960.293,974.689,7311848
2005-01-19,974.333,974.333,965.258,967.210,6338091
2005-01-20,963.213,963.213,952.230,956.245,7727107
2005-01-21,954.462,984.274,943.439,982.604,14450060
2005-01-24,1001.854,1001.854,986.239,998.133,14359462
2005-01-25,995.637,997.951,985.237,997.775,9862529
2005-01-26,995.780,999.474,988.475,989.928,7663290
2005-01-27,987.342,987.702,973.771,974.631,6945365
2005-01-28,974.631,975.624,965.209,969.209,5748807
2005-01-31,965.785,965.785,953.142,954.879,6788706
2005-02-01,953.330,965.477,952.741,955.951,7433067
2005-02-02,956.701,1006.932,956.701,1006.913,17057339
2005-02-03,1005.563,1014.187,992.155,993.215,16974539
2005-02-04,992.250,1021.025,989.939,1016.858,15736215
2005-02-16,1023.324,1033.248,1018.487,1023.584,12131293
2005-02-17,1024.430,1024.430,1010.476,1020.606,8968298
2005-02-18,1020.122,1021.199,1005.631,1006.055,8139939
2005-02-21,1006.693,1025.656,1006.693,1025.633,9886094
2005-02-22,1026.837,1048.678,1024.527,1046.744,17937842
2005-02-23,1046.812,1049.609,1036.625,1043.944,18696930
2005-02-24,1042.253,1045.958,1034.731,1045.460,14681789
2005-02-25,1046.274,1059.483,1045.982,1046.761,18170003
2005-02-28,1046.206,1048.278,1035.039,1039.989,12971046
2005-03-01,1039.351,1042.737,1031.168,1035.934,9962090
2005-03-02,1036.368,1045.760,1021.004,1021.320,14225136
2005-03-03,1019.876,1028.402,1014.752,1027.710,9203086
2005-03-04,1027.927,1031.847,1022.176,1023.667,8173642
2005-03-07,1024.480,1031.344,1024.480,1029.871,7932950
2005-03-08,1033.786,1049.287,1032.850,1048.987,14295794
