date,open,high,low,close,volume
2023-01-03,0.990,0.998,0.980,0.992,23767048
2023-01-04,0.992,0.996,0.983,0.986,6992719
2023-01-05,0.990,1.018,0.990,1.018,18327420
2023-01-06,1.014,1.041,1.014,1.031,8641363
2023-01-09,1.035,1.048,1.033,1.038,5149199
2023-01-10,1.037,1.058,1.036,1.055,3461740
2023-01-11,1.057,1.060,1.041,1.043,2206836
2023-01-12,1.044,1.059,1.044,1.049,1964578
2023-01-13,1.056,1.061,1.049,1.061,2881071
2023-01-16,1.049,1.094,1.049,1.082,2770386
2023-01-17,1.078,1.091,1.077,1.086,1640607
2023-01-18,1.086,1.090,1.080,1.083,2332779
2023-01-19,1.081,1.093,1.078,1.093,1934432
2023-01-20,1.097,1.104,1.094,1.102,1972426
2023-01-30,1.137,1.143,1.114,1.115,2784160
2023-01-31,1.115,1.117,1.096,1.099,1639761
2023-02-01,1.100,1.114,1.097,1.114,1981658
2023-02-02,1.120,1.121,1.105,1.107,1858731
2023-02-03,1.102,1.107,1.083,1.093,1998365
2023-02-06,1.090,1.090,1.069,1.078,2365394
2023-02-07,1.078,1.084,1.069,1.076,2239406
2023-02-08,1.076,1.082,1.070,1.072,2798261
2023-02-09,1.072,1.089,1.066,1.088,2600360
2023-02-10,1.087,1.088,1.072,1.080,2536661
2023-02-13,1.080,1.090,1.072,1.087,2366245
2023-02-14,1.089,1.092,1.078,1.084,2616591
2023-02-15,1.084,1.089,1.071,1.072,2759527
2023-02-16,1.072,1.081,1.051,1.059,2128213
2023-02-17,1.059,1.061,1.030,1.032,2471894
2023-02-20,1.023,1.044,1.019,1.043,2153723
2023-02-21,1.042,1.043,1.030,1.037,2365110
2023-02-22,1.033,1.037,1.024,1.029,2005124
2023-02-23,1.029,1.037,1.028,1.033,2462080
2023-02-24,1.034,1.035,1.014,1.018,2438700
2023-02-27,1.013,1.019,1.005,1.009,3143470
2023-02-28,1.016,1.020,1.007,1.017,3142157
2023-03-01,1.014,1.025,1.009,1.022,3042859
2023-03-02,1.020,1.022,1.007,1.012,2817357
2023-03-03,1.014,1.018,1.005,1.013,2753565
2023-03-06,1.015,1.018,0.997,1.016,2903441
2023-03-07,1.015,1.017,0.998,0.999,3086007
2023-03-08,0.999,1.002,0.989,0.992,4107877
2023-03-09,0.995,1.000,0.989,0.993,3730444
2023-03-10,0.990,1.002,0.984,0.994,2693491
2023-03-13,0.995,0.996,0.981,0.986,2232678
2023-03-14,0.982,0.984,0.960,0.976,2306381
2023-03-15,0.978,0.990,0.972,0.974,2366083
2023-03-16,0.969,0.972,0.958,0.960,2723221
2023-03-17,0.965,0.967,0.950,0.953,2933318
2023-03-20,0.954,0.964,0.944,0.954,2743639
2023-03-21,0.961,0.975,0.956,0.975,3111980
2023-03-22,0.975,0.984,0.967,0.972,2963037
2023-03-23,0.971,0.978,0.966,0.977,2814160
2023-03-24,0.977,0.985,0.972,0.985,2915168
2023-03-27,0.982,0.990,0.976,0.989,3372389
2023-03-28,0.989,0.989,0.975,0.976,2747289
2023-03-29,0.976,0.984,0.976,0.983,2595968
2023-03-30,0.980,0.986,0.975,0.985,2940560
2023-03-31,0.986,0.993,0.984,0.986,3820662
2023-04-03,0.986,1.004,0.986,1.002,3745855
2023-04-04,1.001,1.001,0.982,0.990,4255739
2023-04-06,0.987,0.988,0.978,0.987,4996536
2023-04-07,0.985,1.002,0.985,0.996,4513223
2023-04-10,1.000,1.006,0.995,1.002,2701958
2023-04-11,1.000,1.013,0.995,0.999,2136947
2023-04-12,0.999,1.000,0.989,0.994,2208642
2023-04-13,0.992,0.992,0.984,0.986,2036854
2023-04-14,0.985,0.998,0.985,0.995,2171492
2023-04-17,0.995,1.004,0.992,1.001,1593252
2023-04-18,1.000,1.008,0.996,0.999,1765667
2023-04-19,0.997,0.997,0.989,0.991,1919092
2023-04-20,0.991,0.991,0.970,0.972,1914376
2023-04-21,0.973,0.979,0.955,0.958,2391658
2023-04-24,0.957,0.957,0.930,0.937,3242227
2023-04-25,0.939,0.940,0.909,0.915,3904954
2023-04-26,0.915,0.943,0.909,0.939,4882574
2023-04-27,0.937,0.947,0.932,0.943,2504076
2023-04-28,0.945,0.953,0.939,0.947,2083058
2023-05-04,0.944,0.946,0.932,0.933,3088313
2023-05-05,0.930,0.933,0.920,0.927,2273960
2023-05-08,0.926,0.931,0.918,0.931,2246599
2023-05-09,0.930,0.932,0.918,0.920,3450242
2023-05-10,0.919,0.935,0.909,0.931,4659110
2023-05-11,0.930,0.949,0.927,0.945,2239370
2023-05-12,0.941,0.947,0.930,0.930,1874977
2023-05-15,0.931,0.950,0.931,0.948,3134534
2023-05-16,0.954,0.955,0.945,0.950,2382857
2023-05-17,0.949,0.953,0.942,0.948,2233124
2023-05-18,0.948,0.949,0.930,0.937,2330941
2023-05-19,0.933,0.942,0.930,0.938,2162859
2023-05-22,0.938,0.944,0.932,0.938,2357255
2023-05-23,0.938,0.940,0.926,0.930,1820056
2023-05-24,0.925,0.934,0.922,0.925,1936165
2023-05-25,0.923,0.929,0.918,0.924,2457606
2023-05-26,0.924,0.924,0.907,0.914,3153224
2023-05-29,0.914,0.916,0.897,0.900,2561971
2023-05-30,0.899,0.908,0.891,0.904,2485048
2023-05-31,0.904,0.904,0.890,0.895,2416494
2023-06-01,0.894,0.907,0.890,0.900,2391265
2023-06-02,0.902,0.915,0.901,0.911,2580496
2023-06-05,0.913,0.913,0.893,0.895,2721725
2023-06-06,0.895,0.895,0.882,0.884,2376142
2023-06-07,0.882,0.882,0.862,0.865,2478344
2023-06-08,0.865,0.871,0.860,0.862,2869702
2023-06-09,0.861,0.868,0.860,0.867,2299294
2023-06-12,0.867,0.879,0.863,0.875,1914086
2023-06-13,0.873,0.881,0.872,0.880,2229061
2023-06-14,0.881,0.884,0.877,0.878,2472753
2023-06-15,0.879,0.915,0.879,0.915,3121560
2023-06-16,0.920,0.931,0.913,0.930,2336742
2023-06-19,0.930,0.932,0.923,0.929,2123884
2023-06-20,0.926,0.933,0.924,0.930,2951080
2023-06-21,0.925,0.928,0.905,0.906,2362681
2023-06-26,0.903,0.907,0.889,0.898,3513988
2023-06-27,0.901,0.904,0.892,0.896,3293225
2023-06-28,0.897,0.897,0.885,0.893,3041889
2023-06-29,0.894,0.900,0.891,0.892,4394446
2023-06-30,0.896,0.912,0.888,0.909,6703863
2023-07-03,0.907,0.916,0.904,0.907,5391415
2023-07-04,0.907,0.915,0.905,0.912,3440428
2023-07-05,0.912,0.919,0.905,0.907,2931060
2023-07-06,0.905,0.909,0.896,0.899,2311096
2023-07-07,0.899,0.899,0.887,0.888,1969668
2023-07-10,0.889,0.908,0.889,0.900,2560047
2023-07-11,0.902,0.910,0.898,0.910,2066640
2023-07-12,0.909,0.912,0.901,0.902,2029929
2023-07-13,0.906,0.920,0.906,0.919,2633619
2023-07-14,0.920,0.920,0.912,0.915,1437344
2023-07-17,0.912,0.912,0.901,0.906,1583170
2023-07-18,0.908,0.909,0.900,0.904,1404213
2023-07-19,0.902,0.902,0.888,0.891,2057718
2023-07-20,0.893,0.901,0.881,0.881,2307326
2023-07-21,0.881,0.890,0.879,0.883,1867133
2023-07-24,0.880,0.885,0.873,0.877,1927506
2023-07-25,0.887,0.900,0.887,0.897,2432822
2023-07-26,0.897,0.899,0.892,0.898,1556740
2023-07-27,0.898,0.905,0.894,0.895,1626656
2023-07-28,0.891,0.912,0.889,0.909,2583296
2023-07-31,0.912,0.929,0.912,0.920,2952242
2023-08-01,0.919,0.925,0.909,0.913,1912439
2023-08-02,0.912,0.918,0.910,0.913,1658170
2023-08-03,0.910,0.923,0.909,0.923,2048030
2023-08-04,0.934,0.943,0.926,0.935,2666725
2023-08-07,0.932,0.932,0.921,0.923,2003238
2023-08-08,0.922,0.926,0.918,0.920,1798254
2023-08-09,0.916,0.924,0.915,0.920,1730818
2023-08-10,0.920,0.925,0.915,0.923,1505859
2023-08-11,0.923,0.923,0.900,0.905,2109913
2023-08-14,0.895,0.895,0.881,0.888,2324554
2023-08-15,0.890,0.892,0.877,0.885,1891396
2023-08-16,0.883,0.887,0.878,0.879,1690327
2023-08-17,0.879,0.885,0.870,0.884,1712573
2023-08-18,0.883,0.889,0.873,0.873,1626927
2023-08-21,0.870,0.870,0.858,0.858,2124411
2023-08-22,0.858,0.866,0.841,0.859,2160847
2023-08-23,0.855,0.855,0.837,0.837,2229208
2023-08-24,0.841,0.857,0.839,0.850,1930899
2023-08-25,0.844,0.844,0.834,0.837,1730195
2023-08-28,0.896,0.897,0.845,0.849,1997062
2023-08-29,0.847,0.878,0.840,0.873,2021649
2023-08-30,0.874,0.880,0.867,0.873,1750795
2023-08-31,0.871,0.871,0.862,0.865,1380863
2023-09-01,0.868,0.870,0.860,0.862,1387970
2023-09-04,0.863,0.871,0.857,0.870,1561890
2023-09-05,0.870,0.871,0.865,0.868,1248766
2023-09-06,0.867,0.867,0.855,0.862,1728641
2023-09-07,0.861,0.861,0.841,0.841,1856422
2023-09-08,0.837,0.840,0.831,0.837,1332929
2023-09-11,0.837,0.846,0.831,0.841,1286737
2023-09-12,0.840,0.841,0.833,0.834,1219294
2023-09-13,0.834,0.835,0.818,0.822,1859046
2023-09-14,0.818,0.822,0.813,0.817,1537101
2023-09-15,0.818,0.819,0.808,0.810,1942149
2023-09-18,0.805,0.825,0.805,0.819,1900432
2023-09-19,0.818,0.818,0.809,0.814,1594391
2023-09-20,0.814,0.814,0.806,0.806,1425031
2023-09-21,0.803,0.807,0.797,0.799,1206902
2023-09-22,0.798,0.817,0.795,0.817,2027635
2023-09-25,0.815,0.816,0.810,0.813,1222411
2023-09-26,0.813,0.813,0.805,0.806,1193597
2023-09-27,0.806,0.822,0.805,0.813,1436012
2023-09-28,0.814,0.818,0.808,0.813,2676681
2023-10-09,0.809,0.813,0.800,0.811,1737363
2023-10-10,0.809,0.816,0.804,0.804,2099743
2023-10-11,0.806,0.820,0.806,0.813,2025989
2023-10-12,0.815,0.822,0.812,0.820,1516658
2023-10-13,0.814,0.814,0.804,0.807,1390128
2023-10-16,0.809,0.809,0.787,0.793,1397663
2023-10-17,0.792,0.797,0.788,0.793,1368212
2023-10-18,0.790,0.790,0.780,0.783,1620992
2023-10-19,0.776,0.782,0.773,0.774,1503377
2023-10-20,0.770,0.778,0.766,0.767,1553982
2023-10-23,0.765,0.766,0.750,0.754,1327133
2023-10-24,0.758,0.765,0.753,0.761,1669061
2023-10-25,0.763,0.767,0.752,0.753,2136193
2023-10-26,0.748,0.757,0.739,0.756,1903664
2023-10-27,0.751,0.783,0.750,0.780,2192487
2023-10-30,0.775,0.803,0.773,0.802,2188927
2023-10-31,0.797,0.798,0.791,0.797,1570110
2023-11-01,0.798,0.799,0.788,0.791,1411067
2023-11-02,0.792,0.799,0.786,0.786,1426917
2023-11-03,0.786,0.801,0.786,0.799,1515471
2023-11-06,0.805,0.829,0.804,0.828,4604321
2023-11-07,0.825,0.827,0.817,0.823,2935284
2023-11-08,0.820,0.828,0.817,0.823,1596115
2023-11-09,0.822,0.827,0.818,0.820,1365351
2023-11-10,0.817,0.817,0.811,0.815,1358827
2023-11-13,0.816,0.821,0.810,0.813,1473164
2023-11-14,0.814,0.819,0.806,0.811,1653715
2023-11-15,0.819,0.824,0.812,0.815,1601648
2023-11-16,0.814,0.814,0.798,0.798,2633380
2023-11-17,0.796,0.803,0.795,0.803,1543402
2023-11-20,0.802,0.806,0.794,0.805,1413125
2023-11-21,0.805,0.813,0.799,0.799,1676829
2023-11-22,0.799,0.799,0.785,0.787,1435085
2023-11-23,0.783,0.789,0.781,0.788,1125589
2023-11-24,0.787,0.788,0.777,0.779,1418138
2023-11-27,0.779,0.779,0.769,0.774,1245260
2023-11-28,0.773,0.779,0.769,0.779,1135610
2023-11-29,0.777,0.779,0.769,0.771,1063991
2023-11-30,0.771,0.777,0.768,0.775,1084128
2023-12-01,0.775,0.778,0.765,0.775,1339465
2023-12-04,0.774,0.774,0.764,0.764,1191484
2023-12-05,0.765,0.765,0.750,0.752,1239729
2023-12-06,0.750,0.763,0.747,0.755,1392203
2023-12-07,0.754,0.757,0.746,0.752,1345943
2023-12-08,0.753,0.761,0.749,0.759,1202816
2023-12-11,0.756,0.770,0.749,0.770,1530996
2023-12-12,0.766,0.768,0.760,0.764,1072843
2023-12-13,0.762,0.763,0.749,0.750,1187642
2023-12-14,0.752,0.760,0.744,0.745,1164416
2023-12-15,0.746,0.753,0.739,0.741,1096766
2023-12-18,0.738,0.740,0.725,0.727,1522073
2023-12-19,0.727,0.737,0.725,0.733,1414832
2023-12-20,0.735,0.735,0.722,0.723,1138135
2023-12-21,0.723,0.741,0.719,0.739,1506956
2023-12-22,0.738,0.744,0.728,0.735,1568678
2023-12-25,0.732,0.738,0.730,0.737,834135
2023-12-26,0.735,0.737,0.723,0.727,1106027
2023-12-27,0.724,0.729,0.719,0.724,1339418
2023-12-28,0.725,0.760,0.723,0.758,2293450
2023-12-29,0.757,0.764,0.756,0.762,3223713
2024-01-02,0.760,0.760,0.743,0.745,1834253
2024-01-03,0.742,0.745,0.732,0.736,1740809
2024-01-04,0.735,0.735,0.717,0.722,1877304
2024-01-05,0.720,0.728,0.706,0.710,1642084
2024-01-08,0.709,0.714,0.700,0.700,1607100
2024-01-09,0.700,0.714,0.697,0.703,3311347
2024-01-10,0.699,0.712,0.692,0.699,1564284
2024-01-11,0.700,0.720,0.699,0.715,1935429
2024-01-12,0.713,0.717,0.706,0.707,1515923
2024-01-15,0.703,0.709,0.696,0.701,1244602
2024-01-16,0.700,0.705,0.693,0.705,3895013
2024-01-17,0.702,0.702,0.684,0.685,1689600
2024-01-18,0.679,0.702,0.672,0.701,2040941
2024-01-19,0.700,0.706,0.694,0.696,1605657
2024-01-22,0.693,0.696,0.675,0.678,1662664
2024-01-23,0.678,0.694,0.671,0.688,2109647
2024-01-24,0.690,0.692,0.667,0.689,1795055
2024-01-25,0.685,0.699,0.677,0.699,1981261
2024-01-26,0.692,0.695,0.679,0.681,1753998
2024-01-29,0.681,0.683,0.652,0.653,2029130
2024-01-30,0.650,0.658,0.637,0.638,1767467
2024-01-31,0.637,0.649,0.637,0.638,2595546
2024-02-01,0.635,0.657,0.631,0.645,2428517
2024-02-02,0.647,0.648,0.614,0.628,2190777
2024-02-05,0.619,0.653,0.604,0.638,3094299
2024-02-06,0.626,0.680,0.626,0.680,3589282
2024-02-07,0.681,0.692,0.673,0.685,4221631
2024-02-08,0.695,0.712,0.688,0.700,5125724
2024-02-19,0.705,0.711,0.700,0.710,1659221
2024-02-20,0.705,0.711,0.699,0.708,1198691
2024-02-21,0.704,0.725,0.699,0.711,2521698
2024-02-22,0.710,0.717,0.708,0.715,1767719
2024-02-23,0.718,0.719,0.709,0.716,1026339
2024-02-26,0.715,0.716,0.706,0.711,1318253
2024-02-27,0.711,0.728,0.706,0.727,1660246
2024-02-28,0.727,0.743,0.711,0.712,2929858
2024-02-29,0.708,0.737,0.706,0.737,2032899
2024-03-01,0.736,0.747,0.730,0.745,2006605
2024-03-04,0.744,0.753,0.741,0.749,2372649
2024-03-05,0.749,0.751,0.738,0.748,1993417
2024-03-06,0.745,0.757,0.738,0.749,1653438
2024-03-07,0.746,0.749,0.729,0.730,1612025
2024-03-08,0.730,0.740,0.725,0.736,1536258
2024-03-11,0.737,0.778,0.737,0.777,3244879
2024-03-12,0.778,0.788,0.773,0.783,4815188
2024-03-13,0.784,0.786,0.778,0.780,933725
2024-03-14,0.779,0.788,0.770,0.776,2032078
2024-03-15,0.777,0.777,0.758,0.775,1528116
2024-03-18,0.781,0.795,0.781,0.795,1363866
2024-03-19,0.790,0.794,0.783,0.785,1175388
2024-03-20,0.782,0.788,0.778,0.784,1209997
2024-03-21,0.783,0.788,0.778,0.780,2040757
2024-03-22,0.777,0.778,0.762,0.767,2024762
2024-03-25,0.763,0.769,0.752,0.752,2018448
2024-03-26,0.751,0.764,0.751,0.758,2438598
2024-03-27,0.753,0.758,0.736,0.737,1722829
2024-03-28,0.736,0.753,0.735,0.744,1478077
2024-03-29,0.744,0.751,0.740,0.749,2799495
2024-04-01,0.750,0.772,0.750,0.770,1295870
2024-04-02,0.770,0.772,0.763,0.768,1156360
2024-04-03,0.766,0.766,0.756,0.756,1136370
2024-04-08,0.754,0.757,0.744,0.745,1217174
2024-04-09,0.745,0.753,0.742,0.753,2613557
2024-04-10,0.753,0.753,0.733,0.737,1335408
2024-04-11,0.730,0.740,0.730,0.733,1119485
2024-04-12,0.729,0.736,0.725,0.726,1285146
2024-04-15,0.724,0.746,0.724,0.742,1438817
2024-04-16,0.738,0.739,0.727,0.728,1825893
2024-04-17,0.729,0.744,0.729,0.743,1386818
2024-04-18,0.738,0.746,0.729,0.738,1388708
2024-04-19,0.735,0.736,0.715,0.722,1362812
2024-04-22,0.716,0.726,0.713,0.719,908621
2024-04-23,0.719,0.725,0.714,0.719,1317089
2024-04-24,0.721,0.726,0.715,0.725,1158470
2024-04-25,0.721,0.730,0.716,0.726,2592803
2024-04-26,0.725,0.754,0.725,0.754,1525255
2024-04-29,0.755,0.791,0.755,0.782,1949458
2024-04-30,0.784,0.784,0.772,0.774,1119785
2024-05-06,0.785,0.795,0.785,0.790,1119938
2024-05-07,0.786,0.790,0.783,0.785,1001415
2024-05-08,0.784,0.784,0.770,0.770,1119295
2024-05-09,0.772,0.786,0.772,0.785,1210248
2024-05-10,0.785,0.785,0.771,0.774,1141277
2024-05-13,0.770,0.773,0.761,0.766,1090901
2024-05-14,0.765,0.771,0.760,0.764,1217703
2024-05-15,0.764,0.769,0.756,0.758,1030971
