date,open,high,low,close,volume
2011-04-05,45.434,45.484,45.349,45.364,4403
2011-04-06,45.661,45.833,45.459,45.596,5426
2011-04-07,45.707,45.774,45.342,45.511,8620
2011-04-08,45.874,45.874,45.443,45.620,7337
2011-04-11,45.698,45.765,44.942,44.951,21683
2011-04-12,44.660,44.788,44.381,44.637,8417
2011-04-13,45.172,45.172,44.883,45.085,2281
2011-04-14,45.085,45.305,45.017,45.220,5502
2011-04-15,45.406,45.536,45.155,45.536,11364
2011-04-18,44.669,44.864,44.363,44.821,2199
2011-04-19,44.848,44.883,44.602,44.754,4522
2011-04-20,45.630,45.671,45.382,45.553,6234
2011-04-21,45.901,46.070,45.791,46.070,2477
2011-04-25,45.865,46.077,45.511,45.596,1127
2011-04-26,45.739,45.765,45.425,45.638,5066
2011-04-27,45.569,45.569,44.731,44.933,17780
2011-04-28,44.582,44.848,44.582,44.711,1084
2011-04-29,44.602,44.821,44.261,44.813,2119
2011-05-02,45.008,45.296,44.942,45.017,6532
2011-05-03,44.396,44.396,43.830,43.863,7769
2011-05-04,43.429,43.462,43.207,43.371,2288
2011-05-05,43.074,43.181,43.074,43.181,471
2011-05-06,44.007,44.007,43.327,43.327,9069
2011-05-09,43.590,43.981,43.472,43.820,31875
2011-05-10,43.930,44.040,43.930,43.998,5672
2011-05-11,43.956,43.956,43.190,43.190,2474
2011-05-12,43.296,43.296,43.296,43.296,116
2011-05-13,43.566,43.566,43.006,43.099,2302
2011-05-16,43.207,43.576,43.172,43.252,1666
2011-05-17,43.429,43.429,42.954,43.064,6606
2011-05-18,43.490,44.185,43.490,44.185,1059
2011-05-19,43.856,44.289,43.856,43.956,7589
2011-05-20,43.692,43.811,43.590,43.710,4898
2011-05-23,42.717,42.717,42.540,42.540,3684
2011-05-24,43.217,43.252,42.764,42.902,14905
2011-05-25,42.818,43.217,42.818,43.190,6359
2011-05-26,43.267,43.267,42.945,43.217,2457
2011-05-27,43.624,43.659,43.523,43.548,5631
2011-05-31,44.482,44.518,44.297,44.518,1599
2011-06-01,44.472,44.472,43.871,43.871,1471
2011-06-02,43.717,44.016,43.624,44.016,17190
2011-06-03,43.310,43.448,43.260,43.267,2826
2011-06-06,43.126,43.126,42.980,42.980,369
2011-06-07,43.404,43.412,43.190,43.243,1768
2011-06-08,42.758,42.862,42.547,42.547,1314
2011-06-09,42.572,42.836,42.223,42.809,6006
2011-06-10,42.344,42.344,41.586,41.865,3063
2011-06-13,41.945,41.945,41.502,41.586,170356
2011-06-14,42.336,42.411,42.171,42.171,12742
2011-06-15,41.527,41.935,41.272,41.364,10641
2011-06-16,41.172,41.509,40.991,41.205,8301
2011-06-17,41.485,41.485,41.135,41.154,3555
2011-06-20,41.016,41.094,40.975,41.094,826
2011-06-21,41.502,41.892,41.502,41.865,4357
2011-06-22,40.696,40.872,40.686,40.686,2312
2011-06-23,39.965,40.237,39.879,40.167,5120
2011-06-24,41.416,41.416,41.060,41.086,1167
2011-06-27,41.442,41.799,41.416,41.799,6124
2011-06-28,41.612,42.087,41.612,41.977,3534
2011-06-29,41.764,42.028,41.656,42.028,2826
2011-06-30,42.428,42.436,42.428,42.436,472
2011-07-01,42.912,42.999,42.572,42.999,8078
2011-07-05,43.074,43.074,42.999,43.031,2826
2011-07-06,42.742,42.742,42.357,42.357,3047
2011-07-07,43.080,43.080,43.080,43.080,587
2011-07-08,42.364,42.364,42.364,42.364,116
2011-07-11,41.962,41.962,41.509,41.509,706
2011-07-12,41.110,41.272,41.110,41.110,1059
2011-07-13,42.046,42.046,41.814,41.814,2356
2011-07-14,41.517,41.595,41.350,41.460,1179
2011-07-15,41.469,41.621,41.469,41.469,353
2011-07-18,41.272,41.358,41.009,41.298,4178
2011-07-19,41.543,41.656,41.517,41.612,627
2011-07-20,41.750,41.807,41.673,41.807,2934
2011-07-21,41.918,42.079,41.918,42.079,356
2011-07-22,42.290,42.402,42.290,42.402,800
2011-07-25,41.731,42.021,41.731,42.021,1414
2011-07-27,42.056,42.056,41.698,41.698,706
2011-07-28,42.021,42.138,41.865,42.079,20267
2011-07-29,42.138,42.138,42.138,42.138,232
2011-08-01,42.462,42.462,41.469,41.586,3612
2011-08-02,41.451,41.451,41.042,41.307,5889
2011-08-03,40.313,40.531,40.185,40.531,38069
2011-08-04,39.915,39.915,39.012,39.396,8922
2011-08-05,38.334,38.603,36.942,38.214,35340
2011-08-08,37.084,37.502,35.590,35.590,3475
2011-08-09,36.312,36.882,35.694,36.771,13157
2011-08-10,36.177,36.379,35.702,35.702,4594
2011-08-11,35.888,36.347,35.888,36.169,80024
2011-08-12,36.840,36.840,36.561,36.688,2487
2011-08-15,37.612,37.874,37.474,37.874,4139
2011-08-16,37.748,37.798,37.561,37.707,7802
2011-08-19,35.853,36.252,35.853,35.888,3988
2011-08-22,35.668,35.711,35.199,35.362,4918
2011-08-23,35.678,36.228,35.490,36.228,1616
2011-08-24,35.760,36.135,35.717,35.925,4840
2011-08-25,36.424,36.424,35.653,35.804,4414
2011-08-26,35.294,36.050,35.132,36.050,2826
2011-08-29,36.748,37.010,36.748,37.002,1061
2011-08-30,37.110,37.274,36.849,37.240,1708
2011-08-31,37.920,38.047,37.707,37.892,10439
