date,open,high,low,close,volume
2010-06-01,986.015,994.793,948.118,973.233,1356285
2010-06-02,967.609,997.119,952.611,997.119,1074628
2010-06-03,1002.355,1026.702,997.775,998.394,1616805
2010-06-04,989.681,1027.681,986.504,1027.681,1500295
2010-06-07,1005.028,1075.225,1001.702,1069.468,2655275
2010-06-08,1067.324,1075.503,1050.965,1067.154,1976721
2010-06-09,1070.852,1102.098,1069.431,1077.823,2541568
2010-06-10,1077.675,1119.106,1076.281,1117.478,2197405
2010-06-11,1122.443,1128.228,1118.706,1122.199,2224874
2010-06-17,1126.130,1129.685,1064.839,1064.839,1764284
2010-06-18,1052.067,1053.138,993.174,1000.277,1630651
2010-06-21,991.957,1043.156,976.414,1040.802,1574798
2010-06-22,1037.039,1057.365,1033.647,1034.995,1427162
2010-06-23,1026.865,1056.348,1023.737,1047.337,1257359
2010-06-24,1046.759,1059.754,1041.539,1050.601,1069133
2010-06-25,1046.212,1046.212,999.163,1016.283,1237298
2010-06-28,1009.223,1014.413,984.216,987.827,920673
2010-06-29,985.572,992.227,912.540,913.309,1497800
2010-06-30,898.291,921.810,881.360,919.314,1223661
2010-07-01,914.395,921.214,882.190,882.190,1049573
2010-07-02,878.951,885.338,832.623,873.120,1288834
2010-07-05,857.369,870.863,842.733,862.268,915864
2010-07-06,859.258,898.445,857.797,893.718,1165232
2010-07-07,896.532,908.549,890.336,908.549,1046163
2010-07-08,911.997,914.296,887.027,905.509,1098088
2010-07-09,903.496,936.530,896.886,932.147,1451460
2010-07-12,931.535,941.071,924.058,930.173,1263618
2010-07-13,924.948,936.644,906.304,931.080,1468657
2010-07-14,929.749,937.932,916.074,922.362,1423586
2010-07-15,920.046,930.555,892.557,892.557,1175881
2010-07-16,885.067,895.056,869.022,892.298,1009312
2010-07-19,881.656,910.176,878.065,908.049,938803
2010-07-20,909.543,937.545,909.543,937.017,1365809
2010-07-21,940.097,959.038,938.160,941.250,1665746
2010-07-22,938.218,950.209,932.019,950.209,1326603
2010-07-23,951.840,964.743,948.126,960.588,1721251
2010-07-26,962.760,966.732,954.759,966.154,1476036
2010-07-27,963.544,968.040,955.731,957.967,1361821
2010-07-28,955.188,972.534,954.521,972.534,1566183
2010-07-29,974.295,982.015,965.606,975.362,1794193
2010-07-30,971.663,971.663,955.918,968.431,1458487
2010-08-02,968.450,994.228,968.450,994.228,1810364
2010-08-03,995.195,996.263,975.645,975.645,1757059
2010-08-04,971.407,978.014,955.930,978.014,1446165
2010-08-05,980.270,998.101,978.333,987.351,1770400
2010-08-06,987.967,1011.390,985.630,1011.390,1899061
2010-08-09,1013.245,1032.339,1013.245,1032.339,2091995
2010-08-10,1031.978,1034.332,993.992,993.992,2177072
2010-08-11,991.278,1006.448,990.940,1004.637,1615078
2010-08-12,994.052,1007.576,987.978,991.777,1689189
2010-08-13,992.626,1007.520,986.623,1007.206,1471798
2010-08-16,1007.498,1031.052,1005.052,1030.217,1880400
2010-08-17,1031.075,1036.821,1023.079,1033.581,1800777
2010-08-18,1033.707,1035.611,1018.496,1026.722,1643501
2010-08-19,1026.983,1033.248,1021.704,1025.526,1624534
2010-08-20,1021.458,1022.448,993.560,995.944,2404561
2010-08-23,994.938,1001.183,991.518,995.613,1773928
2010-08-24,993.576,1007.760,987.224,1004.985,1608155
2010-08-25,1000.269,1002.329,976.555,976.878,2166638
2010-08-26,978.598,984.868,973.002,980.630,1700768
2010-08-27,978.514,1000.861,975.720,999.456,2173481
2010-08-30,1002.987,1025.153,1002.987,1024.928,2358186
2010-08-31,1020.747,1029.802,1015.133,1025.570,2175335
2010-09-01,1025.678,1029.805,987.588,995.586,2400153
2010-09-02,1001.597,1018.275,996.524,1014.922,2758004
2010-09-03,1017.637,1045.213,1017.510,1036.703,3186013
2010-09-06,1039.464,1043.240,1007.426,1010.764,2546963
2010-09-07,1010.115,1022.622,1007.637,1022.622,1686002
2010-09-08,1020.229,1027.637,1016.836,1026.327,1801644
2010-09-09,1029.106,1040.670,1019.688,1021.832,2365284
2010-09-10,1021.874,1037.511,1016.191,1034.939,2210901
2010-09-13,1034.390,1045.390,1033.254,1042.482,2010293
2010-09-14,1044.302,1046.132,1028.769,1031.219,1940842
2010-09-15,1029.520,1030.021,987.049,990.103,2216464
