date,open,high,low,close,volume
2011-12-09,0.795,0.814,0.795,0.797,1061772
2011-12-12,0.790,0.803,0.790,0.790,311065
2011-12-13,0.788,0.788,0.763,0.768,967444
2011-12-14,0.768,0.777,0.755,0.760,816095
2011-12-15,0.755,0.764,0.747,0.752,417005
2011-12-16,0.750,0.784,0.748,0.781,829384
2011-12-19,0.775,0.795,0.766,0.795,1068735
2011-12-20,0.795,0.800,0.780,0.780,651992
2011-12-21,0.786,0.791,0.766,0.766,485425
2011-12-22,0.756,0.768,0.730,0.757,709384
2011-12-23,0.750,0.773,0.749,0.761,1013603
2011-12-26,0.759,0.773,0.751,0.755,456855
2011-12-27,0.750,0.754,0.727,0.729,1099160
2011-12-28,0.720,0.724,0.703,0.719,1157039
2011-12-29,0.713,0.726,0.711,0.718,339720
2011-12-30,0.723,0.732,0.722,0.729,772575
2012-01-04,0.735,0.739,0.708,0.708,360494
2012-01-05,0.705,0.705,0.666,0.672,663822
2012-01-06,0.668,0.676,0.647,0.670,1387941
2012-01-09,0.667,0.698,0.658,0.696,1778471
2012-01-10,0.696,0.722,0.691,0.720,755561
2012-01-11,0.717,0.731,0.711,0.723,1259414
2012-01-12,0.717,0.730,0.710,0.711,798386
2012-01-13,0.709,0.711,0.666,0.668,2112041
2012-01-16,0.656,0.660,0.635,0.635,925035
2012-01-17,0.635,0.670,0.627,0.666,2269983
2012-01-18,0.665,0.669,0.624,0.624,877042
2012-01-19,0.619,0.639,0.615,0.635,1010846
2012-01-20,0.634,0.653,0.634,0.648,1076399
2012-01-30,0.649,0.663,0.645,0.655,923797
2012-01-31,0.652,0.655,0.638,0.650,620033
2012-02-01,0.651,0.666,0.648,0.653,1507848
2012-02-02,0.654,0.670,0.653,0.670,738967
2012-02-03,0.669,0.685,0.664,0.682,1039459
2012-02-06,0.683,0.693,0.683,0.690,1299406
2012-02-07,0.683,0.685,0.671,0.675,1092323
2012-02-08,0.677,0.697,0.671,0.696,2008554
2012-02-09,0.694,0.708,0.693,0.701,1164093
2012-02-10,0.700,0.708,0.695,0.701,1130999
2012-02-13,0.694,0.721,0.691,0.718,1172847
2012-02-14,0.715,0.719,0.708,0.715,580792
2012-02-15,0.714,0.727,0.708,0.726,791499
2012-02-16,0.723,0.734,0.715,0.723,500557
2012-02-17,0.726,0.728,0.710,0.719,679878
2012-02-20,0.725,0.734,0.722,0.723,391840
2012-02-21,0.721,0.739,0.716,0.738,773069
2012-02-22,0.738,0.767,0.737,0.762,1931577
2012-02-23,0.765,0.768,0.750,0.760,1242343
2012-02-24,0.758,0.768,0.755,0.764,1364451
2012-02-27,0.764,0.774,0.761,0.763,1102135
2012-02-28,0.758,0.759,0.740,0.750,938067
2012-02-29,0.745,0.751,0.734,0.737,827837
2012-03-01,0.733,0.750,0.733,0.743,825474
2012-03-02,0.744,0.759,0.743,0.759,645977
2012-03-05,0.760,0.769,0.758,0.761,471584
2012-03-06,0.756,0.760,0.744,0.752,541517
2012-03-07,0.743,0.761,0.740,0.749,613845
2012-03-08,0.750,0.766,0.750,0.765,401792
2012-03-09,0.767,0.780,0.765,0.779,1229445
2012-03-12,0.783,0.787,0.779,0.786,1078038
2012-03-13,0.787,0.794,0.783,0.793,353075
2012-03-14,0.800,0.802,0.751,0.756,1256207
2012-03-15,0.759,0.762,0.735,0.747,1291506
