date,open,high,low,close,volume
2015-07-07,20.000,20.050,19.400,18.966,81200
2015-07-08,20.000,20.100,19.600,18.757,111600
2015-07-09,20.120,20.580,19.980,18.985,249500
2015-07-10,20.460,20.460,20.150,19.240,155700
2015-07-13,20.640,20.840,20.300,19.288,145000
2015-07-14,20.510,20.620,20.360,19.534,215500
2015-07-15,20.730,20.730,20.300,19.307,204600
2015-07-16,20.550,20.550,20.320,19.439,221600
2015-07-17,20.600,20.600,20.370,19.411,218600
2015-07-20,20.590,20.590,20.250,19.269,282200
2015-07-21,20.390,20.440,20.080,19.108,291000
2015-07-22,20.000,20.200,20.000,19.041,190200
2015-07-23,20.380,20.760,20.230,19.411,251800
2015-07-24,20.650,20.700,20.250,19.278,135900
2015-07-27,20.200,20.200,19.785,18.805,134500
2015-07-28,20.000,20.050,19.680,18.994,159900
2015-07-29,19.920,20.050,19.700,18.897,153600
2015-07-30,20.140,20.140,19.750,18.956,130000
2015-07-31,20.110,20.130,19.955,18.909,200200
2015-08-03,19.940,19.940,19.600,18.757,77700
2015-08-04,19.660,19.930,19.660,18.748,90700
2015-08-05,20.020,20.220,19.967,19.003,124300
2015-08-06,20.130,20.130,19.480,18.539,131400
2015-08-07,19.730,19.740,19.440,18.611,124200
2015-08-10,19.900,20.059,19.840,18.994,93200
2015-08-11,19.850,19.900,19.480,18.577,101600
2015-08-12,19.500,19.510,19.074,18.435,115300
2015-08-13,19.560,19.670,19.470,18.520,96000
2015-08-14,19.620,19.650,19.494,18.606,100300
2015-08-17,19.610,19.800,19.481,18.729,97900
2015-08-18,19.830,19.830,19.560,18.548,67800
2015-08-19,19.550,19.589,19.360,18.435,90700
2015-08-20,19.340,19.340,18.540,17.564,142700
2015-08-21,18.340,18.480,17.930,17.099,207100
2015-08-24,16.720,17.970,16.020,16.446,360500
2015-08-25,18.160,18.424,17.410,16.512,124500
2015-08-26,17.890,17.960,17.280,16.900,189700
2015-08-27,18.090,18.120,17.735,17.071,196300
2015-08-28,17.980,18.150,17.950,17.090,73500
2015-08-31,18.050,18.070,17.800,16.908,74700
