date,open,high,low,close,volume
2001-10-15,1401.000,1406.000,1400.000,1403.000,0
2001-10-16,1413.000,1423.000,1404.000,1415.000,0
2001-10-17,1419.000,1425.000,1415.000,1416.000,0
2001-10-18,1401.000,1404.000,1394.000,1394.000,0
2001-10-19,1382.000,1383.000,1373.000,1374.000,0
2001-10-22,1366.000,1376.000,1364.000,1369.000,0
2001-10-23,1383.000,1414.000,1383.000,1393.000,0
2001-10-24,1386.000,1386.000,1369.000,1374.000,0
2001-10-25,1378.000,1384.000,1375.000,1379.000,0
2001-10-26,1386.000,1400.000,1386.000,1396.000,0
2001-10-29,1391.000,1391.000,1377.000,1377.000,0
2001-10-30,1387.000,1392.000,1384.000,1392.000,0
2001-10-31,1386.000,1389.000,1369.000,1374.000,0
2001-11-01,1372.000,1378.000,1355.000,1363.000,0
2001-11-02,1362.000,1365.000,1352.000,1353.000,0
2001-11-05,1353.000,1359.000,1351.000,1359.000,0
2001-11-06,1363.000,1369.000,1359.000,1361.000,0
2001-11-07,1345.000,1345.000,1336.000,1338.500,0
2001-11-08,1347.000,1368.000,1342.000,1359.000,0
2001-11-09,1356.000,1409.000,1353.000,1404.000,0
2001-11-12,1399.000,1439.000,1386.000,1434.000,0
2001-11-13,1428.000,1494.000,1420.000,1469.000,0
2001-11-14,1495.000,1515.000,1477.000,1477.000,0
2001-11-15,1472.000,1474.000,1461.000,1464.000,0
2001-11-16,1478.000,1505.000,1464.000,1498.000,0
2001-11-19,1502.000,1513.000,1491.000,1497.000,0
2001-11-20,1479.000,1488.000,1473.000,1482.500,0
2001-11-21,1480.000,1494.000,1480.000,1486.000,0
2001-11-22,1483.000,1485.000,1471.000,1472.000,0
2001-11-23,1472.000,1484.000,1472.000,1482.000,0
2001-11-26,1494.000,1517.000,1494.000,1515.000,0
2001-11-27,1545.000,1562.000,1530.000,1538.500,0
2001-11-28,1538.000,1555.000,1524.000,1539.000,0
2001-11-29,1550.000,1577.000,1542.000,1570.000,0
2001-11-30,1564.000,1595.000,1551.000,1572.500,0
2001-12-03,1562.000,1570.000,1542.000,1543.000,0
2001-12-04,1525.000,1547.000,1525.000,1536.000,0
2001-12-05,1517.000,1523.000,1500.000,1522.000,0
2001-12-06,1522.000,1545.000,1515.000,1517.000,0
2001-12-07,1512.000,1519.000,1485.000,1490.000,0
2001-12-10,1490.000,1493.000,1476.000,1488.000,0
2001-12-11,1486.000,1505.000,1485.000,1504.000,0
2001-12-12,1497.000,1497.000,1472.000,1475.000,0
2001-12-13,1470.000,1472.000,1463.000,1472.000,0
2001-12-14,1472.000,1479.000,1465.000,1473.000,0
2001-12-17,1467.000,1489.000,1465.000,1488.000,0
2001-12-18,1491.000,1505.000,1484.000,1494.000,0
2001-12-19,1491.500,1491.500,1475.000,1482.000,0
2001-12-20,1486.000,1486.000,1472.000,1478.000,0
2001-12-21,1475.000,1485.000,1468.000,1485.000,0
2001-12-27,1499.000,1499.500,1492.000,1492.000,0
2001-12-28,1488.000,1491.000,1482.000,1483.000,0
2002-01-02,1448.000,1456.000,1443.000,1445.000,0
2002-01-03,1446.000,1454.000,1440.000,1451.000,0
2002-01-04,1467.000,1477.000,1465.000,1469.000,0
2002-01-07,1503.000,1541.000,1501.000,1539.500,0
2002-01-08,1562.000,1564.000,1543.000,1549.500,0
2002-01-09,1547.000,1573.000,1547.000,1565.000,0
2002-01-10,1564.000,1570.000,1540.000,1545.000,0
2002-01-11,1541.000,1545.000,1527.000,1534.000,0
2002-01-14,1557.000,1559.000,1540.000,1550.000,0
2002-01-15,1549.000,1552.000,1528.000,1538.000,0
2002-01-16,1531.000,1550.500,1525.000,1550.500,0
2002-01-17,1545.000,1553.000,1540.000,1544.000,0
2002-01-18,1541.000,1547.000,1525.000,1525.000,0
2002-01-21,1525.000,1534.000,1524.000,1533.500,0
2002-01-22,1521.000,1533.000,1521.000,1532.500,0
2002-01-23,1535.000,1553.000,1527.000,1550.000,0
2002-01-24,1554.000,1560.000,1547.000,1560.000,0
2002-01-25,1560.000,1573.000,1550.000,1551.000,0
2002-01-28,1542.000,1548.000,1534.000,1536.000,0
2002-01-29,1527.000,1535.000,1525.000,1530.500,0
2002-01-30,1527.000,1533.000,1523.000,1529.000,0
2002-01-31,1539.000,1575.000,1533.000,1572.000,0
2002-02-01,1603.000,1614.000,1596.000,1601.000,0
2002-02-04,1606.000,1613.000,1594.000,1595.000,0
2002-02-05,1591.000,1600.000,1589.000,1595.000,0
2002-02-06,1600.000,1600.000,1584.000,1587.000,0
2002-02-07,1585.000,1596.000,1583.000,1594.000,0
2002-02-08,1610.000,1613.000,1602.000,1602.000,0
2002-02-11,1590.000,1596.000,1586.000,1587.500,0
2002-02-12,1588.000,1594.000,1587.000,1594.000,0
2002-02-13,1605.000,1632.000,1605.000,1627.000,0
2002-02-14,1633.000,1637.000,1621.000,1621.000,0
2002-02-15,1620.000,1621.000,1600.000,1605.000,0
2002-02-18,1596.000,1596.000,1591.000,1593.000,0
2002-02-19,1585.000,1585.000,1558.000,1565.000,0
2002-02-20,1561.000,1561.000,1544.000,1554.000,0
2002-02-21,1563.000,1566.000,1556.000,1566.000,0
2002-02-22,1550.000,1550.000,1536.000,1543.000,0
2002-02-25,1541.000,1552.000,1537.000,1548.000,0
2002-02-26,1550.000,1550.000,1536.000,1543.000,0
2002-02-27,1545.000,1579.000,1544.000,1577.000,0
2002-02-28,1568.000,1580.000,1562.000,1568.000,0
2002-03-01,1556.000,1599.000,1552.000,1592.000,0
2002-03-04,1612.000,1621.000,1607.000,1609.000,0
2002-03-05,1615.000,1619.000,1606.000,1607.000,0
2002-03-06,1616.000,1634.000,1607.000,1627.000,0
