date,open,high,low,close,volume
2011-11-15,25.100,25.180,25.100,25.180,200
2011-11-16,24.750,25.190,24.750,25.190,1000
2011-11-17,25.190,25.190,25.190,25.190,0
2011-11-18,24.430,24.430,24.430,24.430,200
2011-11-21,26.960,26.960,23.680,23.690,1200
2011-11-22,23.690,23.690,23.690,23.690,0
2011-11-23,23.310,23.500,23.310,23.500,1000
2011-11-25,23.500,23.500,23.500,23.500,0
2011-11-28,24.170,27.040,24.110,24.130,4000
2011-11-29,24.110,24.250,24.110,24.250,7500
2011-11-30,25.200,25.200,25.200,25.200,200
2011-12-01,25.200,25.200,25.200,25.200,0
2011-12-02,25.200,25.200,25.200,25.200,0
2011-12-05,25.890,25.970,25.330,25.330,4600
2011-12-06,25.400,25.400,25.400,25.400,100
2011-12-07,25.290,25.290,25.290,25.290,400
2011-12-08,25.250,25.250,25.250,25.250,100
2011-12-09,25.230,25.560,25.230,25.480,900
2011-12-12,24.900,24.900,24.900,24.900,400
2011-12-13,24.590,24.590,24.200,24.200,900
2011-12-14,23.900,23.900,23.280,23.400,4700
2011-12-15,23.400,23.400,23.400,23.400,500
2011-12-16,23.770,23.870,23.770,23.870,1500
2011-12-19,23.680,23.680,23.400,23.400,900
2011-12-20,24.050,24.080,23.990,24.080,2100
2011-12-21,24.120,24.130,24.120,24.130,400
2011-12-22,24.250,24.430,24.250,24.380,1000
2011-12-23,24.880,24.880,24.740,24.740,2800
2011-12-27,24.360,24.360,24.360,24.360,500
2011-12-28,24.360,24.360,24.360,24.360,0
2011-12-29,23.960,23.990,23.960,23.990,2200
2011-12-30,24.490,24.500,24.490,24.500,300
2012-01-03,24.950,25.180,24.950,25.160,900
2012-01-04,24.570,24.570,24.400,24.400,800
2012-01-05,24.350,24.350,24.350,24.350,100
2012-01-06,24.420,24.420,24.420,24.420,500
2012-01-09,24.420,24.420,24.420,24.420,0
2012-01-10,24.420,24.420,24.420,24.420,0
2012-01-11,25.100,25.220,25.100,25.220,1000
2012-01-12,25.720,25.720,25.720,25.720,100
2012-01-13,25.870,25.870,25.530,25.530,300
2012-01-17,25.530,25.530,25.530,25.530,0
2012-01-18,25.530,25.530,25.530,25.530,0
2012-01-19,26.800,27.140,26.800,27.030,900
2012-01-20,26.970,26.970,26.650,26.650,200
2012-01-23,27.050,27.120,26.980,27.120,8900
2012-01-24,26.770,27.060,26.770,27.060,800
2012-01-25,27.100,27.360,27.100,27.260,8400
2012-01-26,27.690,27.740,27.600,27.600,6800
2012-01-27,27.650,27.710,27.610,27.700,3300
2012-01-30,27.190,27.190,27.190,27.190,100
2012-01-31,27.410,27.410,27.090,27.200,3800
2012-02-01,27.200,27.300,27.200,27.300,500
2012-02-02,26.980,26.980,26.790,26.820,400
2012-02-03,27.200,27.760,27.200,27.760,3300
2012-02-06,27.430,27.430,27.430,27.430,600
2012-02-07,27.310,27.570,27.200,27.550,2000
2012-02-08,27.900,27.940,27.710,27.720,1800
2012-02-09,28.200,28.250,28.200,28.220,1200
2012-02-10,27.550,27.550,27.350,27.350,1000
2012-02-13,27.200,27.200,27.020,27.180,400
2012-02-14,27.180,27.180,27.180,27.180,400
2012-02-15,27.180,27.180,27.180,27.180,0
2012-02-16,27.180,27.180,27.180,27.180,0
2012-02-17,26.910,26.910,26.460,26.460,900
2012-02-21,27.210,27.310,27.210,27.310,600
2012-02-22,27.130,27.260,27.130,27.260,400
2012-02-23,26.840,26.980,26.840,26.950,2300
2012-02-24,26.940,27.490,26.940,27.490,3200
2012-02-27,27.480,27.480,27.480,27.480,100
2012-02-28,27.560,27.710,27.560,27.630,6300
2012-02-29,27.230,27.230,27.230,27.230,400
2012-03-01,27.770,27.770,27.720,27.720,500
2012-03-02,27.670,27.700,27.650,27.690,1200
2012-03-05,27.660,27.660,27.180,27.320,2200
2012-03-06,26.670,26.670,26.640,26.640,2900
2012-03-07,26.710,26.710,26.710,26.710,200
2012-03-08,26.710,26.710,26.710,26.710,0
2012-03-09,27.300,27.300,27.180,27.180,500
2012-03-12,27.180,27.270,27.180,27.230,1400
2012-03-13,27.570,27.630,27.490,27.600,2200
2012-03-14,27.600,27.600,27.600,27.600,0
2012-03-15,27.550,27.550,27.550,27.550,100
2012-03-16,27.400,27.470,27.380,27.380,1000
2012-03-19,27.550,27.600,27.550,27.600,200
2012-03-20,27.270,27.270,27.040,27.150,2000
2012-03-21,27.130,27.190,27.130,27.160,600
2012-03-22,26.650,26.650,26.520,26.650,1500
2012-03-23,26.810,26.940,26.700,26.940,1400
2012-03-26,27.460,27.460,27.420,27.420,1500
2012-03-27,27.490,27.490,27.360,27.380,1200
2012-03-28,26.800,26.800,26.800,26.800,100
2012-03-29,26.730,26.810,26.730,26.810,1100
2012-03-30,27.130,27.130,27.130,27.130,100
2012-04-02,27.620,27.620,27.620,27.620,100
2012-04-03,27.460,27.460,27.460,27.460,200
2012-04-04,26.870,26.870,26.870,26.870,400
2012-04-05,26.870,26.870,26.870,26.870,0
2012-04-09,26.300,26.440,26.210,26.440,700
2012-04-10,26.010,26.010,26.010,26.010,300
2012-04-11,25.760,25.760,25.720,25.720,500
2012-04-12,26.030,26.030,26.030,26.030,100
2012-04-13,25.700,25.700,25.600,25.600,700
2012-04-16,25.550,25.580,25.450,25.580,1100
2012-04-17,25.750,25.840,25.750,25.840,400
2012-04-18,25.840,25.840,25.840,25.840,0
2012-04-19,25.840,25.840,25.840,25.840,0
2012-04-20,26.100,26.160,26.070,26.110,1300
2012-04-23,25.590,25.660,25.590,25.660,200
2012-04-24,25.890,25.890,25.890,25.890,100
2012-04-25,26.170,26.170,26.170,26.170,200
2012-04-26,26.400,26.730,26.400,26.710,600
2012-04-27,28.000,28.000,26.890,26.910,900
2012-04-30,26.830,26.960,26.830,26.960,600
2012-05-01,26.990,27.020,26.990,27.020,600
2012-05-02,27.020,27.020,27.020,27.020,0
2012-05-03,26.330,26.340,26.330,26.340,1100
2012-05-04,26.300,26.340,26.100,26.100,2900
2012-05-07,26.100,26.100,26.100,26.100,0
2012-05-08,25.700,25.870,25.700,25.870,500
2012-05-09,25.710,25.710,25.710,25.710,200
2012-05-10,26.000,26.000,25.770,25.770,3000
2012-05-11,25.530,25.530,25.530,25.530,200
2012-05-14,25.000,25.000,25.000,25.000,400
2012-05-15,25.000,25.000,25.000,25.000,0
2012-05-16,24.210,24.380,24.210,24.380,600
2012-05-17,24.490,24.490,24.490,24.490,2000
2012-05-18,24.490,24.490,24.490,24.490,0
2012-05-21,24.490,24.490,24.490,24.490,0
2012-05-22,24.640,24.640,24.450,24.450,1000
