date,open,high,low,close,volume
2016-12-19,999.580,1003.570,993.680,999.740,0
2016-12-20,999.760,1005.790,999.190,1002.300,0
2016-12-21,1002.320,1005.440,1000.180,1002.970,0
2016-12-22,1002.890,1007.460,1000.510,1005.730,0
2016-12-23,1005.670,1009.600,1003.780,1007.370,0
2016-12-27,1007.610,1011.750,1007.600,1011.750,0
2016-12-28,1011.340,1012.810,1009.020,1012.810,0
2016-12-29,1012.310,1016.820,1007.010,1016.690,0
2016-12-30,1016.780,1017.090,1013.650,1015.880,0
2017-01-03,1034.610,1041.930,1030.880,1030.890,0
2017-01-04,1030.780,1033.010,1025.420,1025.780,0
2017-01-05,1025.840,1036.180,1025.590,1034.990,0
2017-01-06,1035.180,1040.300,1033.970,1037.590,0
2017-01-09,1037.590,1042.460,1030.290,1031.500,0
2017-01-10,1031.750,1034.110,1025.940,1026.300,0
2017-01-11,1027.330,1034.340,1025.470,1034.270,0
2017-01-12,1033.480,1033.480,1020.250,1024.950,0
2017-01-13,1025.050,1039.680,1025.050,1039.680,0
2017-01-17,1038.060,1038.060,1031.040,1033.550,0
2017-01-18,1033.600,1037.080,1027.040,1030.350,0
2017-01-19,1030.640,1035.130,1029.070,1033.500,0
2017-01-20,1033.440,1036.090,1029.060,1033.490,0
2017-01-23,1032.640,1032.640,1025.850,1026.280,0
2017-01-24,1026.860,1031.750,1023.100,1024.960,0
2017-01-25,1025.920,1038.840,1025.920,1038.840,0
2017-01-26,1039.020,1049.540,1039.020,1044.710,0
2017-01-27,1045.080,1052.620,1043.240,1052.620,0
2017-01-30,1052.460,1052.460,1044.150,1048.150,0
2017-01-31,1048.140,1055.720,1047.090,1049.560,0
2017-02-01,1049.630,1066.150,1049.630,1061.130,0
2017-02-02,1065.040,1065.220,1049.960,1055.490,0
2017-02-03,1055.720,1061.050,1054.800,1060.790,0
2017-02-06,1060.740,1063.480,1053.770,1053.770,0
2017-02-07,1053.410,1053.420,1047.250,1052.380,0
2017-02-08,1052.930,1052.930,1042.290,1044.900,0
2017-02-09,1045.180,1061.030,1045.180,1060.940,0
2017-02-10,1060.940,1067.280,1058.770,1065.910,0
2017-02-13,1065.910,1071.640,1064.950,1071.580,0
2017-02-14,1071.240,1074.100,1067.540,1071.500,0
2017-02-15,1072.250,1075.340,1071.080,1074.790,0
2017-02-16,1074.910,1079.190,1073.780,1076.810,0
2017-02-17,1076.810,1077.090,1067.810,1072.360,0
2017-02-21,1067.450,1077.000,1063.460,1076.860,0
2017-02-22,1076.520,1077.660,1069.640,1074.720,0
2017-02-23,1074.750,1078.080,1072.390,1072.430,0
2017-02-24,1073.800,1073.800,1060.510,1061.080,0
2017-02-27,1061.920,1065.450,1057.930,1059.720,0
2017-02-28,1059.780,1062.820,1053.850,1060.330,0
2017-03-01,1060.600,1073.190,1060.600,1072.330,0
2017-03-02,1072.630,1076.950,1072.110,1072.680,0
2017-03-03,1072.540,1072.540,1064.510,1066.510,0
2017-03-06,1066.550,1066.550,1059.700,1061.950,0
2017-03-07,1061.800,1062.900,1055.380,1056.490,0
2017-03-08,1056.560,1058.770,1053.110,1057.430,0
2017-03-09,1057.470,1058.010,1050.050,1056.090,0
2017-03-10,1056.280,1065.810,1056.280,1065.530,0
2017-03-13,1065.990,1070.020,1064.840,1070.020,0
2017-03-14,1070.020,1073.110,1067.760,1071.320,0
2017-03-15,1071.350,1073.310,1068.830,1073.050,0
2017-03-16,1073.080,1081.150,1073.080,1078.010,0
2017-03-17,1077.970,1077.970,1071.010,1075.630,0
2017-03-20,1075.520,1076.970,1072.090,1075.440,13417600
2017-03-21,1075.620,1079.340,1059.710,1061.120,16878300
2017-03-22,1060.410,1060.410,1042.820,1054.300,17756200
2017-03-23,1054.300,1064.730,1053.270,1064.530,17410200
2017-03-24,1064.770,1067.850,1062.000,1066.900,17670300
2017-03-27,1065.840,1065.840,1058.500,1062.490,12419000
2017-03-28,1063.230,1068.980,1063.230,1067.840,11238900
2017-03-29,1068.060,1069.380,1062.470,1067.400,13292600
2017-03-30,1068.310,1073.610,1068.230,1072.920,13266700
2017-03-31,1073.010,1076.820,1067.110,1075.070,19040000
2017-04-03,1075.070,1078.770,1066.000,1066.000,17850700
2017-04-04,1065.940,1076.750,1065.940,1076.560,18812100
2017-04-05,1077.410,1082.030,1077.170,1078.860,21738000
2017-04-06,1077.820,1080.380,1071.100,1077.860,15228600
2017-04-07,1077.350,1077.350,1069.730,1073.420,15105900
2017-04-10,1073.570,1080.710,1073.570,1080.660,11801400
2017-04-11,1080.850,1084.940,1075.650,1080.150,14990300
2017-04-12,1080.200,1089.490,1080.200,1088.490,13042200
2017-04-18,1088.410,1089.340,1070.650,1073.390,20753700
2017-04-19,1073.540,1083.500,1073.540,1081.590,15531000
2017-04-20,1081.370,1090.510,1081.370,1090.440,14477900
2017-04-21,1090.470,1092.460,1082.400,1082.560,16629200
2017-04-24,1086.610,1100.670,1086.610,1098.860,17158900
2017-04-25,1098.860,1105.180,1098.500,1104.570,16042000
2017-04-26,1104.700,1115.100,1103.300,1115.100,18343600
2017-04-27,1115.170,1120.560,1110.370,1120.120,17270400
2017-04-28,1120.230,1127.390,1118.600,1126.440,19717300
2017-05-01,1126.250,1128.820,1124.510,1124.610,6123700
2017-05-02,1124.830,1129.730,1123.810,1128.700,21586500
2017-05-03,1135.800,1139.410,1129.030,1129.610,24573200
2017-05-04,1130.440,1139.220,1130.440,1134.400,19681000
2017-05-05,1134.110,1146.220,1133.480,1145.770,25165100
2017-05-08,1146.050,1151.490,1138.770,1144.070,18772200
2017-05-09,1144.480,1152.840,1137.120,1137.570,33947300
