date,open,high,low,close,volume
1992-01-02,3152.100,3172.630,3139.310,3172.400,23550000
1992-01-03,3172.400,3210.640,3165.920,3201.500,23620000
1992-01-06,3201.500,3213.330,3191.860,3200.100,27280000
1992-01-07,3200.100,3210.200,3184.480,3204.800,25510000
1992-01-08,3204.800,3229.200,3185.820,3203.900,29040000
1992-01-09,3203.900,3228.310,3192.750,3209.500,29820000
1992-01-10,3209.500,3217.130,3185.380,3199.500,23440000
1992-01-13,3199.500,3201.250,3179.110,3185.600,19300000
1992-01-14,3185.600,3248.880,3182.920,3246.200,24220000
1992-01-15,3246.200,3263.420,3232.110,3258.500,29560000
1992-01-16,3258.500,3262.750,3222.050,3249.600,38100000
1992-01-17,3249.600,3279.960,3243.290,3265.000,39780000
1992-01-20,3265.000,3269.900,3245.080,3254.000,18190000
1992-01-21,3254.000,3254.470,3215.340,3223.400,24160000
1992-01-22,3223.400,3256.040,3216.910,3255.800,21590000
1992-01-23,3255.800,3266.990,3222.940,3226.700,22140000
1992-01-24,3226.700,3248.430,3216.680,3232.800,22600000
1992-01-27,3232.800,3246.650,3230.550,3240.600,19110000
1992-01-28,3240.600,3275.490,3239.940,3272.100,24960000
1992-01-29,3272.100,3299.190,3218.470,3225.000,32500000
1992-01-30,3225.000,3247.320,3216.010,3244.900,22080000
1992-01-31,3244.900,3255.370,3222.720,3223.400,20610000
1992-02-03,3223.400,3239.040,3213.550,3234.100,18860000
1992-02-04,3234.100,3272.810,3229.430,3272.800,23970000
1992-02-05,3272.800,3282.200,3251.790,3257.600,27360000
1992-02-06,3257.600,3265.650,3238.600,3255.600,20490000
1992-02-07,3255.600,3269.900,3207.960,3225.400,21660000
1992-02-10,3225.400,3247.990,3223.840,3245.100,16100000
1992-02-11,3245.100,3259.620,3236.140,3251.600,23400000
1992-02-12,3251.600,3286.000,3244.630,3276.800,21580000
1992-02-13,3276.800,3283.990,3236.360,3246.700,22200000
1992-02-14,3246.700,3254.700,3221.820,3246.000,21260000
1992-02-18,3246.000,3268.560,3219.140,3224.700,21970000
1992-02-19,3224.700,3241.730,3215.340,3230.300,22930000
1992-02-20,3230.600,3283.770,3230.550,3280.600,25840000
1992-02-21,3280.600,3286.670,3252.910,3280.200,26840000
1992-02-24,3280.200,3289.800,3266.100,3282.400,17880000
1992-02-25,3282.200,3282.200,3240.380,3257.800,20980000
1992-02-26,3257.800,3290.920,3254.470,3283.300,21160000
1992-02-27,3283.300,3286.900,3265.880,3269.500,18710000
1992-02-28,3269.500,3293.380,3259.390,3267.700,17960000
1992-03-02,3267.700,3276.620,3261.400,3275.300,17220000
1992-03-03,3275.300,3295.620,3272.810,3290.300,19520000
1992-03-04,3290.300,3299.640,3268.560,3268.600,22800000
1992-03-05,3268.300,3268.340,3235.690,3241.500,18220000
1992-03-06,3241.500,3252.010,3213.770,3221.600,18460000
1992-03-09,3221.600,3227.190,3211.310,3215.100,16530000
1992-03-10,3215.100,3248.210,3214.670,3231.000,20730000
1992-03-11,3231.000,3233.450,3198.350,3208.600,17670000
1992-03-12,3208.600,3213.100,3188.280,3208.600,18080000
1992-03-13,3208.600,3237.030,3208.180,3235.900,16370000
1992-03-16,3235.900,3236.580,3208.410,3236.400,15050000
1992-03-17,3236.400,3260.060,3235.910,3256.000,18020000
1992-03-18,3256.000,3271.910,3246.200,3254.300,17890000
1992-03-19,3254.300,3269.900,3251.150,3261.400,17170000
1992-03-20,3261.400,3277.280,3255.810,3276.400,28640000
1992-03-23,3275.900,3275.940,3261.180,3272.100,15690000
1992-03-24,3272.100,3284.440,3249.110,3261.000,24380000
1992-03-25,3261.000,3276.390,3251.120,3259.400,18960000
1992-03-26,3259.400,3275.040,3251.340,3267.700,18120000
1992-03-27,3267.700,3268.110,3226.520,3231.400,15140000
1992-03-30,3231.400,3248.880,3229.430,3235.200,12640000
1992-03-31,3235.200,3260.730,3228.980,3235.500,15110000
1992-04-01,3235.500,3252.240,3215.340,3249.300,18840000
1992-04-02,3249.300,3259.620,3220.260,3234.100,19020000
1992-04-03,3234.100,3250.890,3211.310,3249.100,21150000
1992-04-06,3249.300,3276.830,3249.300,3275.500,20110000
1992-04-07,3275.500,3279.290,3211.090,3213.600,22490000
1992-04-08,3213.600,3213.600,3161.230,3181.400,29710000
1992-04-09,3181.800,3231.660,3181.800,3225.000,24490000
1992-04-10,3225.600,3262.970,3225.600,3255.400,18650000
1992-04-13,3255.400,3270.570,3248.430,3269.900,13220000
1992-04-14,3269.900,3322.230,3269.450,3306.100,26050000
1992-04-15,3307.000,3354.200,3307.000,3353.800,25460000
1992-04-16,3353.800,3366.500,3343.250,3366.500,27840000
1992-04-20,3365.600,3365.610,3315.520,3336.300,22290000
1992-04-21,3336.300,3350.630,3320.890,3343.300,20080000
1992-04-22,3343.300,3352.860,3330.720,3338.800,18160000
1992-04-23,3338.800,3352.860,3330.720,3348.600,24810000
1992-04-24,3348.600,3361.810,3323.120,3324.500,21220000
1992-04-27,3324.000,3324.020,3303.670,3304.560,21610000
1992-04-28,3304.500,3317.080,3283.990,3307.900,18860000
1992-04-29,3308.100,3338.770,3308.100,3333.200,21280000
1992-04-30,3333.200,3361.140,3328.490,3359.100,22960000
1992-05-01,3359.100,3362.030,3324.020,3336.100,19380000
1992-05-04,3336.100,3387.520,3335.870,3378.100,18680000
1992-05-05,3378.100,3378.130,3358.900,3359.400,18080000
1992-05-06,3360.000,3383.720,3360.000,3369.400,17940000
1992-05-07,3369.400,3374.780,3357.330,3363.400,17570000
1992-05-08,3363.400,3375.670,3353.530,3369.400,14560000
1992-05-11,3369.400,3397.810,3368.960,3397.600,14110000
1992-05-12,3397.600,3440.670,3373.910,3385.100,19030000
1992-05-13,3385.100,3396.790,3378.710,3392.000,17720000
1992-05-14,3392.000,3393.580,3357.210,3368.900,18270000
1992-05-15,3368.900,3368.900,3346.000,3353.100,18430000
1992-05-18,3353.100,3381.640,3353.090,3376.000,14960000
1992-05-19,3376.000,3440.190,3368.470,3398.000,20950000
1992-05-20,3398.000,3404.340,3388.230,3393.800,34230000
1992-05-21,3393.800,3394.090,3365.540,3378.700,19190000
1992-05-22,3378.700,3392.620,3376.520,3386.800,17690000
1992-05-26,3386.800,3386.800,3356.440,3364.200,25940000
1992-05-27,3364.200,3380.330,3360.070,3370.400,22390000
1992-05-28,3370.400,3398.430,3368.620,3398.400,18350000
1992-05-29,3398.400,3420.210,3396.100,3396.900,20770000
1992-06-01,3396.900,3413.470,3373.030,3413.200,21280000
1992-06-02,3413.200,3420.470,3392.730,3396.100,22350000
1992-06-03,3396.100,3422.280,3389.360,3407.000,22690000
1992-06-04,3407.000,3410.100,3392.470,3399.700,24370000
1992-06-05,3399.700,3403.100,3392.470,3398.700,23760000
1992-06-08,3398.700,3404.130,3391.690,3404.100,16280000
1992-06-09,3404.100,3405.430,3359.550,3369.900,17510000
1992-06-10,3369.900,3370.950,3338.290,3343.200,20880000
1992-06-11,3343.200,3352.550,3323.780,3351.500,24850000
1992-06-12,3352.000,3381.580,3352.000,3354.400,19820000
1992-06-15,3354.400,3363.190,3337.510,3354.900,17220000
1992-06-16,3354.900,3367.200,3329.490,3329.500,19190000
1992-06-17,3329.500,3329.750,3283.750,3287.800,28140000
1992-06-18,3287.800,3290.430,3269.030,3274.100,25690000
1992-06-19,3274.400,3299.530,3274.380,3285.400,26660000
1992-06-22,3285.400,3285.890,3254.050,3280.800,20420000
1992-06-23,3280.800,3296.850,3280.540,3285.600,26320000
1992-06-24,3285.600,3302.740,3284.010,3290.700,24360000
1992-06-25,3290.700,3304.080,3271.440,3284.000,21160000
1992-06-26,3284.000,3290.970,3269.840,3282.400,16650000
1992-06-29,3282.700,3319.860,3282.680,3319.860,17130000
1992-06-30,3319.900,3331.630,3316.650,3318.500,18630000
1992-07-01,3318.800,3354.100,3318.790,3354.100,22780000
1992-07-02,3354.100,3373.890,3326.540,3330.300,25900000
1992-07-06,3330.300,3340.290,3326.780,3339.200,23870000
1992-07-07,3339.200,3352.710,3291.390,3295.200,25200000
1992-07-08,3295.200,3303.270,3273.560,3293.300,23540000
1992-07-09,3293.600,3336.500,3293.550,3324.100,23090000
1992-07-10,3324.100,3339.750,3315.160,3330.600,15400000
1992-07-13,3330.600,3344.070,3327.050,3337.300,13650000
1992-07-14,3337.300,3358.930,3328.670,3358.400,19130000
1992-07-15,3358.400,3363.250,3339.750,3345.400,21110000
1992-07-16,3345.400,3364.330,3333.260,3361.600,21500000
1992-07-17,3361.100,3361.100,3317.050,3331.600,22830000
1992-07-20,3331.100,3331.100,3287.060,3303.000,18060000
1992-07-21,3303.300,3322.730,3303.270,3308.400,16810000
1992-07-22,3307.900,3307.900,3275.180,3277.600,19750000
1992-07-23,3277.600,3291.390,3266.530,3290.000,23000000
1992-07-24,3290.000,3297.300,3276.800,3285.700,13420000
1992-07-27,3285.700,3299.490,3282.200,3282.200,14760000
1992-07-28,3282.200,3335.150,3282.200,3334.100,22000000
1992-07-29,3334.100,3385.130,3334.090,3379.200,30410000
1992-07-30,3379.200,3395.940,3374.330,3391.900,20060000
1992-07-31,3391.900,3402.960,3385.670,3393.800,13500000
1992-08-03,3393.800,3399.990,3384.050,3395.400,17280000
1992-08-04,3395.400,3396.750,3377.570,3384.300,16430000
1992-08-05,3384.300,3384.320,3360.280,3365.100,17830000
1992-08-06,3365.100,3365.680,3338.930,3340.600,21950000
1992-08-07,3340.600,3369.730,3331.370,3332.200,22310000
1992-08-10,3332.200,3337.580,3316.780,3337.560,15580000
1992-08-11,3337.600,3342.180,3314.350,3331.100,18000000
1992-08-12,3331.100,3342.180,3310.840,3320.800,15480000
1992-08-13,3320.800,3337.040,3306.790,3313.300,19900000
1992-08-14,3313.300,3331.910,3311.110,3328.900,15400000
1992-08-17,3328.900,3338.930,3321.640,3324.900,13860000
1992-08-18,3324.900,3332.450,3315.700,3329.500,12930000
1992-08-19,3329.500,3335.690,3307.060,3307.100,14420000
1992-08-20,3307.100,3315.430,3295.440,3304.900,14690000
1992-08-21,3304.900,3324.080,3254.100,3254.100,21610000
1992-08-24,3254.100,3254.100,3223.040,3228.200,18360000
1992-08-25,3228.200,3235.190,3207.100,3232.200,22460000
1992-08-26,3232.200,3250.050,3225.470,3246.800,17870000
1992-08-27,3246.800,3273.020,3246.800,3254.600,19790000
1992-08-28,3254.600,3269.770,3249.780,3267.600,14430000
1992-08-31,3267.600,3274.100,3254.370,3257.400,12800000
1992-09-01,3257.400,3266.260,3254.100,3266.260,15460000
1992-09-02,3266.300,3292.470,3263.830,3290.300,18670000
1992-09-03,3290.300,3313.540,3285.180,3292.200,23480000
1992-09-04,3292.200,3296.520,3277.610,3281.900,13210000
1992-09-08,3281.900,3282.740,3257.620,3260.600,15630000
1992-09-09,3260.600,3273.020,3258.160,3271.400,18870000
1992-09-10,3271.400,3312.730,3270.850,3305.200,22820000
1992-09-11,3305.200,3317.320,3300.840,3305.700,16780000
1992-09-14,3306.800,3376.490,3306.790,3376.200,30720000
1992-09-15,3375.400,3375.410,3323.000,3327.300,20210000
1992-09-16,3327.300,3333.890,3307.600,3319.200,26850000
1992-09-17,3319.200,3328.670,3311.380,3315.700,20170000
1992-09-18,3315.700,3327.320,3308.680,3327.100,24980000
1992-09-21,3327.100,3327.840,3310.570,3320.800,15850000
1992-09-22,3320.800,3321.100,3280.040,3280.900,21070000
1992-09-23,3280.900,3287.600,3264.910,3278.700,23860000
1992-09-24,3279.000,3294.900,3278.960,3287.900,26240000
1992-09-25,3287.900,3289.770,3244.840,3250.300,22110000
1992-09-28,3250.300,3276.260,3242.760,3276.260,18020000
1992-09-29,3276.300,3280.040,3259.240,3266.800,22280000
1992-09-30,3266.800,3276.800,3264.370,3271.700,19290000
1992-10-01,3271.700,3280.850,3246.000,3254.400,21020000
1992-10-02,3254.400,3259.240,3198.720,3200.600,20670000
1992-10-05,3200.600,3200.610,3095.790,3179.000,37360000
1992-10-06,3179.000,3191.970,3157.660,3178.200,20220000
1992-10-07,3178.200,3187.910,3145.770,3152.300,19530000
1992-10-08,3152.300,3178.190,3145.770,3176.000,22490000
1992-10-09,3176.000,3176.300,3131.720,3136.600,19310000
1992-10-12,3136.600,3174.680,3136.310,3174.400,14260000
1992-10-13,3174.400,3211.960,3167.650,3201.400,20360000
1992-10-14,3201.400,3217.090,3179.000,3195.500,18730000
1992-10-15,3195.500,3198.450,3167.380,3174.700,32240000
1992-10-16,3174.700,3180.350,3142.530,3174.400,40880000
1992-10-19,3174.400,3197.640,3169.000,3188.500,26190000
1992-10-20,3188.500,3213.040,3179.000,3186.000,26500000
1992-10-21,3186.000,3199.800,3179.810,3187.100,24690000
1992-10-22,3187.100,3202.500,3174.680,3200.900,23070000
1992-10-23,3200.900,3215.200,3196.020,3207.600,26490000
1992-10-26,3207.600,3244.920,3205.200,3244.100,23440000
1992-10-27,3244.100,3251.400,3221.950,3235.700,24860000
1992-10-28,3235.700,3251.400,3224.120,3251.400,29930000
1992-10-29,3251.400,3254.910,3236.810,3246.300,20070000
1992-10-30,3230.600,3230.600,3224.120,3226.300,18450000
1992-11-02,3226.300,3262.210,3221.410,3262.200,23860000
1992-11-03,3262.200,3266.800,3236.810,3252.500,25520000
1992-11-04,3252.500,3268.150,3219.520,3223.000,20330000
1992-11-05,3223.000,3245.190,3215.200,3243.800,27030000
1992-11-06,3243.800,3250.050,3234.350,3240.100,23660000
1992-11-09,3240.100,3259.780,3231.680,3240.900,19980000
1992-11-10,3240.900,3252.480,3224.660,3225.500,21540000
1992-11-11,3225.500,3245.730,3219.250,3240.300,22660000
1992-11-12,3240.300,3250.050,3230.870,3239.800,22880000
1992-11-13,3239.800,3240.600,3224.120,3233.000,19110000
1992-11-16,3233.000,3233.030,3203.850,3205.700,17400000
1992-11-17,3205.700,3211.960,3184.670,3193.300,18600000
1992-11-18,3193.300,3214.930,3191.430,3207.400,23240000
