date,open,high,low,close,volume
1998-01-20,77.812,78.844,77.406,43.644,1744600
1998-01-21,78.094,78.375,77.281,43.108,1839600
1998-01-22,77.188,77.859,76.938,42.744,1662600
1998-01-23,77.500,77.750,76.312,42.641,1693700
1998-01-26,77.375,77.672,76.938,42.814,1172800
1998-01-27,77.125,78.562,77.078,43.315,1454500
1998-01-28,78.375,79.234,78.219,43.817,1181200
1998-01-29,79.062,80.250,78.891,43.973,1468500
1998-01-30,79.938,79.938,78.969,43.878,1095600
1998-02-02,80.625,81.312,80.406,44.864,955600
1998-02-03,81.000,81.672,80.656,45.219,619400
1998-02-04,81.219,81.656,80.812,44.977,753200
1998-02-05,81.812,81.906,80.734,44.985,1067600
1998-02-06,81.500,82.172,81.359,45.470,1069700
1998-02-09,82.094,82.250,81.438,45.288,515900
1998-02-10,82.031,83.344,81.922,46.050,892100
1998-02-11,82.969,83.391,82.844,46.050,515000
1998-02-12,82.734,84.109,82.375,46.344,1065000
1998-02-13,83.344,83.844,83.172,46.318,596700
1998-02-17,84.312,84.719,83.891,46.552,840600
1998-02-18,84.078,84.703,83.844,46.863,773000
1998-02-19,84.641,84.703,83.828,46.422,804800
1998-02-20,84.078,84.469,83.312,46.673,540600
1998-02-23,85.000,85.000,83.969,46.655,639200
1998-02-24,84.125,84.406,83.531,46.517,702700
1998-02-25,84.250,85.156,84.078,46.898,687400
1998-02-26,84.609,85.219,84.406,47.157,439800
1998-02-27,85.109,85.953,84.891,47.400,451300
1998-03-02,85.750,85.859,85.281,47.469,1062800
1998-03-03,85.219,86.125,85.188,47.685,596600
1998-03-04,85.625,85.875,85.109,47.365,691700
1998-03-05,84.500,85.266,84.219,46.950,778300
1998-03-06,85.094,86.031,85.094,47.642,933100
1998-03-09,85.625,86.578,85.594,47.555,685300
1998-03-10,86.375,86.750,86.156,48.023,563700
1998-03-11,86.938,87.234,86.734,48.178,406600
1998-03-12,86.938,87.062,86.312,48.118,576700
1998-03-13,87.188,87.250,86.094,47.711,458900
1998-03-16,86.562,87.469,86.344,48.438,733000
1998-03-17,87.281,87.781,87.078,48.602,499900
1998-03-18,87.594,88.016,87.281,48.723,410900
1998-03-19,88.000,88.297,87.844,48.862,730000
1998-03-20,88.562,89.406,88.281,49.372,754300
1998-03-23,89.188,89.188,88.391,49.000,551600
1998-03-24,88.969,89.859,88.922,49.528,470300
1998-03-25,90.062,90.062,88.250,49.217,966200
1998-03-26,88.844,89.297,88.516,49.078,412800
1998-03-27,89.344,89.406,87.875,48.879,584100
1998-03-30,88.281,88.562,87.688,48.819,562400
1998-03-31,88.469,89.312,88.062,48.836,620000
1998-04-01,88.359,89.203,87.719,49.251,373700
1998-04-02,88.906,90.250,88.828,49.926,440600
1998-04-03,90.250,90.578,89.812,49.892,493300
1998-04-06,90.875,91.250,90.344,50.047,610500
1998-04-07,90.375,90.391,89.250,49.779,707300
1998-04-08,90.062,90.062,88.828,49.442,949500
1998-04-09,89.656,90.469,89.625,50.047,451700
1998-04-13,90.734,90.734,89.562,50.030,337900
1998-04-14,90.531,91.516,90.531,50.636,451500
1998-04-15,91.656,92.016,91.203,50.956,261800
1998-04-16,91.703,91.703,90.797,50.428,232800
1998-04-17,90.734,91.750,90.578,50.973,382900
1998-04-20,91.594,91.656,91.000,50.747,299400
1998-04-21,91.250,91.922,90.969,51.086,372000
1998-04-22,91.859,92.109,91.688,51.051,503400
1998-04-23,91.719,92.031,91.109,50.756,597700
1998-04-24,91.219,91.562,90.062,50.330,820200
1998-04-27,89.438,89.875,88.391,49.609,1916800
1998-04-28,90.031,90.125,88.656,49.462,437200
1998-04-29,89.281,89.953,88.922,49.705,298700
1998-04-30,90.328,91.312,90.219,50.513,443100
1998-05-01,91.094,91.656,90.812,50.947,338300
1998-05-04,91.984,92.578,91.812,51.034,542500
1998-05-05,91.500,91.859,90.969,50.851,325600
1998-05-06,91.844,91.859,90.281,50.183,665500
1998-05-07,90.625,90.625,89.719,49.879,593100
1998-05-08,89.750,90.984,89.688,50.547,638100
1998-05-11,91.281,91.844,90.688,50.539,703100
1998-05-12,90.906,91.922,90.609,51.095,479000
1998-05-13,91.906,92.359,91.625,51.277,399400
1998-05-14,91.562,92.297,91.344,51.034,622900
1998-05-15,91.875,91.875,90.797,50.519,280900
1998-05-18,90.875,91.328,90.000,50.371,249200
1998-05-19,91.125,91.312,90.375,50.388,482100
1998-05-20,91.250,91.875,90.641,51.067,304400
1998-05-21,91.938,92.172,91.109,50.840,530600
1998-05-22,91.594,91.594,90.938,50.762,219000
1998-05-26,91.734,91.844,89.656,49.884,561300
1998-05-27,89.000,89.859,87.938,49.884,1041100
