date,open,high,low,close,volume
1990-01-01,93.190,93.310,93.080,93.210,0
1990-01-02,93.130,94.310,93.080,94.290,0
1990-01-03,94.150,94.520,94.080,94.420,0
1990-01-04,93.720,93.880,92.390,92.520,0
1990-01-05,93.340,93.420,92.550,92.850,0
1990-01-08,92.520,92.540,91.940,92.050,0
1990-01-09,92.530,92.790,92.310,92.350,0
1990-01-10,92.200,92.590,91.930,92.390,0
1990-01-11,92.640,92.730,92.320,92.400,0
1990-01-12,92.360,92.460,91.940,92.430,0
1990-01-15,92.370,92.900,92.350,92.840,0
1990-01-16,93.410,93.520,92.750,92.940,0
1990-01-17,92.950,92.980,92.430,92.720,0
1990-01-18,93.350,93.840,93.100,93.740,0
1990-01-19,93.830,93.960,93.450,93.690,0
1990-01-22,94.000,94.540,93.970,94.320,0
1990-01-23,93.630,93.670,93.040,93.190,0
1990-01-24,92.560,93.080,92.360,93.030,0
1990-01-25,92.760,92.940,92.530,92.650,0
1990-01-26,92.650,92.990,92.470,92.520,0
1990-01-29,92.000,92.280,91.890,92.100,0
1990-01-30,92.190,93.310,91.980,92.910,0
1990-01-31,92.380,92.600,92.250,92.410,0
1990-02-01,92.320,92.490,92.130,92.160,0
1990-02-02,92.450,92.750,92.310,92.440,0
1990-02-05,92.090,92.090,91.450,91.540,0
1990-02-06,91.270,91.640,91.260,91.550,0
1990-02-07,91.300,91.830,91.280,91.750,0
1990-02-08,91.920,92.220,91.890,91.980,0
1990-02-09,92.060,92.310,91.960,91.980,0
1990-02-12,92.110,92.240,91.880,92.110,0
1990-02-13,92.580,92.700,92.170,92.300,0
1990-02-14,92.090,92.210,91.950,92.130,0
1990-02-15,92.240,92.860,92.230,92.790,0
1990-02-16,92.810,93.110,92.050,92.180,0
1990-02-19,92.810,93.110,92.050,92.180,0
1990-02-20,92.010,92.240,91.800,91.820,0
1990-02-21,91.720,91.920,91.560,91.800,0
1990-02-22,91.870,92.020,91.620,91.980,0
1990-02-23,92.170,92.250,91.980,92.160,0
1990-02-26,92.650,92.970,92.580,92.970,0
1990-02-27,92.860,92.860,92.580,92.710,0
1990-02-28,92.840,93.450,92.790,93.290,0
1990-03-01,93.670,94.120,93.540,94.000,0
1990-03-02,93.860,94.330,93.640,94.010,0
1990-03-05,93.370,93.790,93.230,93.270,0
1990-03-06,93.280,93.660,93.260,93.560,0
1990-03-07,93.760,93.960,93.580,93.640,0
1990-03-08,93.580,93.660,93.430,93.530,0
1990-03-09,93.770,93.960,93.660,93.870,0
1990-03-12,94.170,94.490,94.020,94.390,0
1990-03-13,94.590,94.720,94.160,94.300,0
1990-03-14,94.350,94.470,94.140,94.250,0
1990-03-15,94.370,94.410,93.710,93.780,0
1990-03-16,93.830,93.830,93.480,93.800,0
1990-03-19,93.450,93.590,93.280,93.490,0
1990-03-20,93.480,94.380,93.430,94.290,0
1990-03-21,94.350,94.570,94.250,94.410,0
1990-03-22,94.630,94.650,94.070,94.170,0
1990-03-23,94.270,94.440,93.970,94.370,0
1990-03-26,94.470,94.620,94.130,94.280,0
1990-03-27,94.520,94.640,94.330,94.410,0
1990-03-28,94.560,94.600,94.310,94.470,0
1990-03-29,94.000,94.040,93.570,93.730,0
1990-03-30,93.860,93.950,93.390,93.690,0
1990-04-02,94.280,94.320,94.010,94.060,0
