date,open,high,low,close,volume
2007-03-01,24.930,25.000,24.930,20.549,4600
2007-03-02,25.020,25.260,24.950,20.541,2400
2007-03-05,25.110,25.130,25.100,20.673,1100
2007-03-06,25.100,25.100,25.100,20.656,400
2007-03-07,25.080,25.080,24.990,20.574,2800
2007-03-08,25.150,25.150,25.120,20.673,42200
2007-03-09,25.200,25.200,25.160,20.706,700
2007-03-12,25.080,25.080,25.080,20.640,200
2007-03-13,25.000,25.020,25.000,20.590,1100
2007-03-14,25.040,25.040,24.960,20.541,2000
2007-03-15,24.960,24.960,24.960,20.541,0
2007-03-16,24.860,24.890,24.860,20.467,4000
2007-03-19,24.870,25.000,24.870,20.574,2200
2007-03-20,24.880,24.880,24.850,20.450,1400
2007-03-21,24.780,24.780,24.780,20.393,200
2007-03-22,24.800,24.800,24.600,20.393,17500
2007-03-23,24.870,24.930,24.870,20.516,4100
2007-03-26,24.910,24.910,24.850,20.450,3100
2007-03-27,24.870,24.870,24.840,20.442,200
2007-03-28,24.800,24.850,24.800,20.442,3400
2007-03-29,24.870,24.870,24.870,20.467,100
2007-03-30,24.800,24.800,24.790,20.401,200
2007-04-02,24.830,24.850,24.760,20.450,4100
2007-04-03,24.890,24.890,24.880,20.475,5200
2007-04-04,24.850,24.850,24.850,20.450,500
2007-04-05,24.770,24.770,24.770,20.385,1100
2007-04-09,24.930,24.960,24.920,20.516,22700
2007-04-10,24.840,24.870,24.830,20.450,30500
2007-04-11,24.850,25.260,24.820,20.450,172000
2007-04-12,24.780,24.780,24.700,20.327,8900
2007-04-13,24.660,24.710,24.640,20.319,8300
2007-04-16,24.690,24.690,24.590,20.236,22600
2007-04-17,24.600,24.600,24.550,20.228,23600
2007-04-18,24.520,24.560,24.460,20.204,18300
2007-04-19,24.540,24.560,24.510,20.204,26800
2007-04-20,24.550,24.550,24.430,20.129,24200
2007-04-23,24.630,24.630,24.550,20.236,29300
2007-04-24,24.590,24.630,24.500,20.212,42300
2007-04-25,24.540,24.550,24.500,20.179,7600
2007-04-26,24.630,24.640,24.600,20.261,40800
2007-04-27,24.500,24.600,24.440,20.195,55800
2007-04-30,24.510,24.530,24.470,20.154,6300
2007-05-01,24.500,24.650,24.500,20.278,2500
2007-05-02,24.650,24.670,24.580,20.294,21300
2007-05-03,24.660,24.750,24.660,20.319,13100
2007-05-04,24.640,24.660,24.560,20.245,90800
2007-05-07,24.600,24.750,24.600,20.294,52500
2007-05-08,24.660,24.740,24.660,20.352,147000
2007-05-09,24.680,24.760,24.680,20.376,9700
2007-05-10,24.790,24.860,24.760,20.401,15000
2007-05-11,24.820,24.830,24.770,20.418,24100
2007-05-14,24.740,24.800,24.390,20.401,15400
2007-05-15,24.810,24.810,24.640,20.335,31100
2007-05-16,24.780,24.830,24.680,20.426,13000
2007-05-17,24.880,24.890,24.860,20.475,8100
2007-05-18,24.870,24.880,24.820,20.434,10400
2007-05-21,24.920,24.940,24.890,20.492,16400
2007-05-22,24.910,24.920,24.880,20.500,7800
2007-05-23,24.850,24.900,24.600,20.483,9900
2007-05-24,24.880,24.930,24.880,20.516,6100
2007-05-25,24.920,24.920,24.870,20.500,10700
2007-05-29,24.830,24.920,24.810,20.508,9600
2007-05-30,24.920,24.970,24.890,20.541,22600
2007-05-31,24.880,24.920,24.880,20.508,2400
2007-06-01,24.960,24.980,24.900,20.516,12500
2007-06-04,24.830,24.830,24.820,20.434,8000
2007-06-05,24.750,24.800,24.600,20.376,95700
2007-06-06,24.840,24.880,24.470,20.409,54500
2007-06-07,24.880,24.960,24.860,20.541,16300
2007-06-08,25.090,25.090,24.560,20.607,8400
2007-06-11,25.090,25.120,25.060,20.656,9700
2007-06-12,25.120,25.150,25.070,20.697,156700
2007-06-13,25.210,25.220,25.170,20.738,10200
2007-06-14,25.210,25.230,25.170,20.763,12100
2007-06-15,25.150,25.170,25.090,20.648,52500
2007-06-18,25.070,25.150,25.060,20.623,54900
2007-06-19,25.110,25.110,25.070,20.632,2500
2007-06-20,25.050,28.970,24.080,19.850,4300
2007-06-21,25.100,25.220,25.040,20.656,3300
2007-06-22,25.000,25.050,24.950,20.533,46800
2007-06-25,25.010,25.050,25.000,20.599,9400
2007-06-26,24.980,25.020,24.930,20.566,17800
2007-06-27,25.010,25.030,25.010,20.599,2400
2007-06-28,24.970,25.030,24.970,20.599,5900
2007-06-29,24.920,24.990,24.880,20.475,3600
2007-07-02,24.840,24.850,24.620,20.368,15800
2007-07-03,24.710,24.810,24.710,20.335,6500
2007-07-05,24.810,24.830,24.810,20.434,12100
2007-07-06,24.810,24.810,24.780,20.393,500
2007-07-09,24.790,24.820,24.780,20.401,8800
2007-07-10,24.700,24.700,24.620,20.261,4900
2007-07-11,24.580,24.620,24.580,20.236,4900
2007-07-12,24.560,24.580,24.540,20.204,73000
2007-07-13,24.550,24.570,24.550,20.220,600
2007-07-16,24.560,24.580,24.530,20.212,3800
2007-07-17,24.560,24.570,24.560,20.212,700
2007-07-18,24.500,24.540,24.500,20.195,1100
2007-07-19,24.500,24.530,24.490,20.187,11200
2007-07-20,24.480,24.490,24.460,20.154,600
2007-07-23,24.500,24.540,24.490,20.195,16800
2007-07-24,24.480,24.500,24.350,20.039,18100
2007-07-25,24.540,24.590,24.540,20.212,6100
2007-07-26,24.560,24.560,24.440,20.121,3000
2007-07-27,24.640,26.500,24.640,20.286,26500
2007-07-30,24.670,24.690,24.670,20.319,5200
2007-07-31,24.670,24.670,24.300,20.286,6600
2007-08-01,24.710,24.710,24.610,20.294,11200
2007-08-02,24.670,24.700,24.640,20.327,900
2007-08-03,24.590,24.590,24.470,20.138,20100
2007-08-06,24.480,24.520,24.480,20.179,3300
2007-08-07,24.530,24.610,24.530,20.236,13700
2007-08-08,24.490,24.530,24.490,20.179,4300
2007-08-09,24.710,24.710,24.680,20.335,6200
2007-08-10,24.740,24.750,24.710,20.352,40500
2007-08-13,24.750,24.830,24.720,20.409,25400
2007-08-14,24.880,24.960,24.880,20.541,39600
2007-08-15,25.060,25.100,25.020,20.632,26800
2007-08-16,25.020,25.050,24.990,20.574,30800
2007-08-17,24.650,25.000,24.650,20.516,16300
2007-08-20,24.980,25.000,24.950,20.566,13300
2007-08-21,24.980,25.000,24.980,20.574,6800
2007-08-22,24.940,24.970,24.930,20.516,21200
2007-08-23,24.920,24.920,24.880,20.483,1200
2007-08-24,24.820,24.820,24.730,20.393,52000
2007-08-27,24.740,24.760,24.740,20.376,2500
2007-08-28,24.750,24.760,24.730,20.376,17200
2007-08-29,24.760,24.780,24.730,20.360,3900
2007-08-30,24.830,24.850,24.760,20.450,27500
2007-08-31,24.730,24.830,24.730,20.401,5700
2007-09-04,24.890,24.900,24.830,20.434,4700
2007-09-05,24.730,24.740,24.710,20.360,900
2007-09-06,24.760,24.760,24.660,20.302,40600
2007-09-07,24.540,24.560,24.520,20.187,3000
2007-09-10,24.520,24.530,24.480,20.162,49600
2007-09-11,24.540,24.540,24.470,20.187,3500
2007-09-12,24.460,24.490,24.390,20.088,8200
2007-09-13,24.490,24.510,24.480,20.146,2500
2007-09-14,24.480,24.540,24.480,20.195,2400
2007-09-17,24.500,24.550,24.500,20.179,2500
2007-09-18,24.560,24.570,24.380,20.113,10700
2007-09-19,24.440,24.490,24.420,20.105,28000
2007-09-20,24.290,24.300,24.170,19.957,53900
2007-09-21,24.280,24.290,24.250,19.965,7500
2007-09-24,24.220,24.260,24.210,19.957,33800
2007-09-25,24.160,24.200,24.130,19.907,27800
2007-09-26,24.220,25.090,24.200,19.973,17700
2007-09-27,24.160,24.230,24.140,19.940,128700
2007-09-28,24.120,24.140,24.000,19.792,44800
2007-10-01,24.100,24.110,23.550,19.817,44600
2007-10-02,24.200,24.240,24.180,19.940,99700
2007-10-03,24.180,24.310,24.150,19.998,48800
2007-10-04,24.320,24.320,24.250,19.973,16600
2007-10-05,24.250,24.250,24.150,19.940,29000
2007-10-08,24.280,24.400,24.270,20.064,48600
2007-10-09,24.370,24.380,24.250,19.990,92800
2007-10-10,24.190,24.240,24.150,19.932,49800
2007-10-11,24.180,24.240,24.080,19.948,90600
2007-10-12,24.190,24.210,24.150,19.916,14100
2007-10-15,24.150,24.170,24.100,19.891,18400
2007-10-16,24.180,24.220,24.170,19.916,295500
2007-10-17,24.140,24.200,24.120,19.907,44200
2007-10-18,24.010,24.040,23.980,19.784,22600
2007-10-19,23.990,24.070,23.970,19.743,51100
2007-10-22,24.140,24.260,24.130,19.907,96800
2007-10-23,24.030,24.050,23.990,19.784,39600
2007-10-24,24.050,24.070,23.990,19.751,37100
2007-10-25,23.960,23.990,23.920,19.710,19500
2007-10-26,23.860,23.880,23.810,19.627,67100
2007-10-29,23.850,23.850,23.750,19.595,26400
2007-10-30,23.840,23.900,23.750,19.636,245300
2007-10-31,23.860,23.970,23.720,19.545,72500
2007-11-01,23.840,23.860,23.760,19.611,92600
2007-11-02,23.760,23.760,23.530,19.422,65000
2007-11-05,23.730,23.760,23.690,19.521,83300
2007-11-06,23.610,23.650,23.600,19.455,28100
2007-11-07,23.600,23.600,23.400,19.356,134400
2007-11-08,23.500,23.510,23.410,19.339,150000
2007-11-09,24.410,24.410,23.420,19.339,130500
2007-11-12,25.000,25.000,23.520,19.521,186300
2007-11-13,24.000,24.000,23.490,19.446,154800
2007-11-14,25.780,25.780,23.500,19.455,123100
2007-11-15,23.630,23.720,23.590,19.504,117100
2007-11-16,23.750,23.750,23.610,19.479,79400
2007-11-19,23.610,23.680,23.500,19.422,597100
2007-11-20,23.860,23.860,21.850,19.241,216600
2007-11-21,23.340,23.380,23.260,19.142,97900
2007-11-23,23.380,23.440,23.350,19.282,25300
2007-11-26,23.690,23.690,23.290,19.183,110600
2007-11-27,23.250,23.500,23.250,19.290,140600
2007-11-28,23.830,23.830,23.480,19.348,231200
2007-11-29,24.210,24.210,23.580,19.455,75900
2007-11-30,25.000,25.000,23.610,19.603,105100
2007-12-03,24.230,24.230,23.710,19.562,120200
2007-12-04,23.600,23.630,23.570,19.422,103200
2007-12-05,23.600,23.900,23.600,19.660,108500
2007-12-06,24.310,24.310,23.830,19.652,1259400
2007-12-07,24.240,24.240,23.820,19.685,278000
2007-12-10,23.510,23.850,23.510,19.545,482100
2007-12-11,23.540,23.880,23.540,19.504,213600
2007-12-12,24.060,24.060,23.750,19.578,83600
2007-12-13,23.830,23.910,23.800,19.644,181700
2007-12-14,24.420,24.420,24.060,19.891,312600
2007-12-17,24.370,24.370,24.020,20.057,188800
2007-12-18,23.990,24.020,23.930,19.866,174300
2007-12-19,24.000,24.060,23.970,19.924,76900
2007-12-20,24.050,24.090,24.010,19.957,117800
2007-12-21,23.970,24.330,23.970,20.007,255400
2007-12-24,24.000,24.140,23.950,19.874,32700
2007-12-26,23.900,24.100,23.830,19.800,117500
2007-12-27,23.840,23.840,23.680,19.675,224700
2007-12-28,23.630,23.660,22.800,19.542,194700
2007-12-31,23.530,23.750,23.520,19.667,112600
2008-01-02,23.840,23.840,23.430,19.493,97700
2008-01-03,23.470,23.570,23.440,19.534,70000
2008-01-04,23.170,23.500,23.160,19.327,1094600
2008-01-07,23.600,23.620,23.510,19.517,313200
2008-01-08,23.560,23.570,23.400,19.493,86000
2008-01-09,23.460,23.830,23.460,19.642,98800
2008-01-10,23.820,23.820,23.410,19.451,131900
2008-01-11,23.410,23.550,23.410,19.542,34400
2008-01-14,23.450,23.450,23.350,19.443,128300
2008-01-15,23.150,23.480,23.130,19.426,153900
2008-01-16,23.480,23.710,23.440,19.667,322200
2008-01-17,23.760,23.760,23.560,19.634,86900
2008-01-18,23.690,23.740,23.670,19.692,102200
2008-01-22,23.670,23.880,23.610,19.725,169000
2008-01-23,24.000,24.000,23.600,19.667,158100
2008-01-24,23.550,23.610,23.450,19.501,135500
2008-01-25,23.580,23.660,23.520,19.551,161200
2008-01-28,23.560,23.570,23.380,19.426,378900
2008-01-29,23.190,23.500,23.190,19.418,240900
2008-01-30,23.600,23.650,23.260,19.302,47000
2008-01-31,23.250,23.480,23.250,19.451,443700
2008-02-01,23.600,23.600,23.390,19.526,209300
2008-02-04,23.280,23.510,23.280,19.493,225600
2008-02-05,23.650,23.760,23.440,19.700,298000
2008-02-06,23.700,23.740,23.660,19.700,180000
2008-02-07,24.020,24.020,23.850,19.891,231800
2008-02-08,23.970,23.970,23.830,19.833,187600
2008-02-11,23.990,23.990,23.800,19.791,155800
2008-02-12,23.660,23.780,23.660,19.725,72800
2008-02-13,23.770,23.870,23.770,19.758,118800
