date,open,high,low,close,volume
2024-07-23,26.590,26.610,25.750,26.240,9858000
2024-07-24,26.310,26.330,25.470,25.500,10092800
2024-07-25,23.950,24.090,23.510,23.700,9141600
2024-07-26,24.620,24.940,24.420,24.870,8300500
2024-07-29,25.570,25.570,24.710,25.120,6590500
2024-07-30,25.400,25.490,24.725,24.820,4891000
2024-07-31,25.280,25.419,24.620,24.790,5588800
2024-08-01,24.130,24.250,23.360,23.750,4079700
2024-08-02,23.890,24.150,22.660,22.840,5555100
2024-08-05,16.610,19.130,16.580,18.250,11492200
2024-08-06,18.660,19.390,18.380,18.920,5592600
2024-08-07,18.740,18.880,17.660,17.840,6881900
2024-08-08,18.720,19.780,18.310,19.550,7559100
2024-08-09,19.890,20.220,19.385,19.670,1746400
2024-08-12,20.350,20.650,19.680,20.190,2615500
2024-08-13,20.050,20.720,19.970,20.580,1715400
2024-08-14,20.660,20.700,19.980,20.250,1660400
2024-08-15,20.160,20.290,19.130,19.350,2870500
2024-08-16,19.800,19.950,19.360,19.890,2462300
2024-08-19,19.700,19.945,19.460,19.790,1057200
2024-08-20,20.050,20.130,19.380,19.730,1650100
2024-08-21,19.530,20.100,19.240,20.080,2131500
2024-08-22,19.910,19.940,19.650,19.760,955400
2024-08-23,20.170,20.880,19.980,20.860,3211800
2024-08-26,20.750,20.770,20.290,20.330,2216100
2024-08-27,19.880,19.900,19.400,19.600,2201300
2024-08-28,19.130,19.315,18.620,19.000,2559400
2024-08-29,19.490,19.690,19.030,19.160,1209100
2024-08-30,19.170,19.265,18.440,19.010,2439000
2024-09-03,19.010,19.010,18.455,18.540,2004800
2024-09-04,18.150,18.870,18.130,18.600,1811400
2024-09-05,18.170,18.300,17.810,17.920,1477100
2024-09-06,18.170,18.190,16.730,16.830,2677900
2024-09-09,17.510,17.850,17.240,17.840,1321600
2024-09-10,17.780,18.122,17.605,18.060,1099300
2024-09-11,17.680,17.960,17.270,17.750,1609500
2024-09-12,17.780,17.940,17.560,17.910,1002600
2024-09-13,17.800,18.440,17.790,18.390,1256700
2024-09-16,17.460,17.500,17.200,17.230,1358500
2024-09-17,17.630,18.150,17.460,17.840,1879900
2024-09-18,17.530,17.930,17.350,17.540,1916400
2024-09-19,18.560,18.920,18.361,18.670,4302800
2024-09-20,19.230,19.490,19.090,19.290,1745000
2024-09-23,20.060,20.500,19.970,20.280,1893000
2024-09-24,19.970,20.145,19.650,20.100,1926600
2024-09-25,19.840,19.940,19.440,19.490,1379600
2024-09-26,19.910,20.230,19.780,20.110,2304100
2024-09-27,20.140,20.701,20.045,20.490,3803500
2024-09-30,19.950,19.962,19.515,19.670,2351100
2024-10-01,19.780,19.795,18.390,18.860,4937000
2024-10-02,18.370,18.795,17.950,17.980,2626300
2024-10-03,17.850,17.932,17.510,17.830,1688700
2024-10-04,18.070,18.520,17.825,18.430,1837700
2024-10-07,18.770,19.105,18.340,18.540,1418200
2024-10-08,18.410,18.599,18.190,18.490,1294600
2024-10-09,18.390,18.720,18.229,18.320,1567300
2024-10-10,18.120,18.335,17.650,17.910,1956700
2024-10-11,18.360,18.750,18.352,18.660,2496000
2024-10-14,19.370,20.045,19.310,19.880,2987800
2024-10-15,19.750,20.390,19.240,19.660,3204100
2024-10-16,19.950,20.069,19.660,19.830,1306800
2024-10-17,19.770,19.960,19.520,19.680,1194000
2024-10-18,19.840,20.310,19.810,20.120,1709500
2024-10-21,20.410,20.410,20.120,20.310,2312700
2024-10-22,19.930,20.025,19.740,19.910,1855900
2024-10-23,19.540,19.580,18.540,19.030,2897600
2024-10-24,19.190,19.283,18.990,19.250,1384400
2024-10-25,19.200,19.445,18.580,18.730,3052100
2024-10-28,19.170,19.210,18.840,19.000,2319500
2024-10-29,19.865,20.350,19.780,19.910,5048900
2024-10-30,20.390,20.640,20.110,20.130,3656900
2024-10-31,19.900,19.900,18.970,19.020,3829100
2024-11-01,19.210,19.590,18.790,19.040,1911300
2024-11-04,18.640,18.640,18.200,18.330,2615600
2024-11-05,18.620,18.780,18.180,18.370,2699600
2024-11-06,19.940,20.530,19.800,20.450,8425600
2024-11-07,21.360,22.115,21.101,22.040,9167700
2024-11-08,22.430,22.680,21.955,22.330,9624900
2024-11-11,24.050,25.615,23.950,25.510,15062500
2024-11-12,24.770,25.100,24.360,24.920,9781100
2024-11-13,24.530,25.340,23.700,24.010,11598200
2024-11-14,24.170,24.240,23.200,23.470,7479300
2024-11-15,23.250,23.415,22.820,23.390,9162500
2024-11-18,23.490,24.260,23.275,23.950,8631200
2024-11-19,23.480,23.875,23.400,23.550,7397000
2024-11-20,23.750,23.780,22.960,23.300,6457100
2024-11-21,25.410,25.720,24.570,25.440,13119200
2024-11-22,24.990,25.235,24.770,24.970,6218500
2024-11-25,26.490,26.900,25.380,26.600,13881200
2024-11-26,25.160,25.490,24.660,25.150,8504300
2024-11-27,26.510,27.650,26.430,27.600,17811800
2024-11-29,27.350,27.715,27.170,27.190,6115500
2024-12-02,27.540,27.966,26.970,27.430,13241900
2024-12-03,26.902,27.415,26.538,27.370,9824400
2024-12-04,28.240,29.585,28.183,29.540,21396800
2024-12-05,29.790,30.080,28.680,29.010,12787500
2024-12-06,29.740,31.085,29.645,30.770,15926100
2024-12-09,29.510,29.959,28.210,28.350,16348500
2024-12-10,28.220,28.298,26.660,27.660,13634100
2024-12-11,28.280,29.165,28.200,29.120,8785600
2024-12-12,30.160,30.280,29.190,29.470,12647400
2024-12-13,29.775,30.130,29.410,29.720,7806800
2024-12-16,29.660,31.180,29.640,30.690,14013000
2024-12-17,30.430,30.560,29.700,29.830,11421900
2024-12-18,29.260,29.660,27.530,27.950,14824200
2024-12-19,27.950,28.070,25.170,25.570,16999100
2024-12-20,25.200,26.530,25.040,26.090,15179200
2024-12-23,25.380,25.872,24.750,25.750,8473100
2024-12-24,26.130,26.680,26.030,26.570,5345500
2024-12-26,25.470,25.470,25.035,25.190,6135200
2024-12-27,25.660,25.669,25.015,25.240,5886100
2024-12-30,25.330,25.895,24.950,25.720,5466600
2024-12-31,26.030,26.130,25.195,25.290,5166700
2025-01-02,26.245,26.580,25.970,26.200,7317400
2025-01-03,26.640,27.545,26.595,27.330,8417600
2025-01-06,27.550,28.410,27.500,27.940,6091800
2025-01-07,27.570,27.610,25.430,25.650,11334800
2025-01-08,25.416,25.638,24.260,24.840,9094900
2025-01-10,24.760,25.180,24.198,24.690,7317100
2025-01-13,23.030,23.500,22.040,23.400,11445400
2025-01-14,24.365,24.520,24.020,24.420,5022900
2025-01-15,24.930,26.360,24.850,26.050,10220600
2025-01-16,25.350,25.510,24.721,25.290,7001200
2025-01-17,26.000,26.770,25.810,26.690,7869500
2025-01-21,25.260,25.535,24.725,25.100,12259200
