date,open,high,low,close,volume
2017-11-09,308.645,329.452,307.056,320.884,893249984
2017-11-10,320.671,324.718,294.542,299.253,885985984
2017-11-11,298.586,319.453,298.192,314.681,842300992
2017-11-12,314.690,319.153,298.513,307.908,1613479936
2017-11-13,307.025,328.415,307.025,316.716,1041889984
2017-11-14,316.763,340.177,316.763,337.631,1069680000
2017-11-15,337.964,340.912,329.813,333.357,722665984
2017-11-16,333.443,336.159,323.606,330.924,797254016
2017-11-17,330.167,334.964,327.523,332.394,621732992
2017-11-18,331.980,349.616,327.687,347.612,649638976
2017-11-19,347.401,371.291,344.740,354.386,1181529984
2017-11-20,354.094,372.137,353.289,366.730,807027008
2017-11-21,367.443,372.470,350.693,360.401,949912000
2017-11-22,360.312,381.420,360.147,380.652,800819008
2017-11-23,381.439,425.548,376.088,410.166,1845680000
2017-11-24,412.501,480.973,402.758,474.911,2292829952
2017-11-25,475.676,485.192,461.053,466.276,1422080000
2017-11-26,465.974,472.723,451.606,471.330,1197779968
2017-11-27,471.531,493.405,468.485,480.355,1396480000
2017-11-28,480.518,482.480,466.347,472.902,1346499968
2017-11-29,473.281,522.307,425.071,427.523,2675940096
2017-11-30,431.215,465.497,401.243,447.114,1903040000
2017-12-01,445.209,472.609,428.312,466.540,1247879936
2017-12-02,466.851,476.239,456.653,463.449,943649984
2017-12-03,463.705,482.814,451.852,465.853,990556992
2017-12-04,466.054,474.777,453.312,470.204,1005550016
2017-12-05,470.294,473.558,457.660,463.281,1216720000
2017-12-06,462.604,462.708,420.210,428.588,1998259968
2017-12-07,426.369,441.397,414.411,434.408,2129570048
2017-12-08,434.989,466.062,422.367,456.031,2336379904
2017-12-09,457.344,504.147,456.253,473.502,2003849984
2017-12-10,472.789,472.789,429.514,441.721,1404179968
2017-12-11,440.358,516.969,439.104,515.136,1771440000
2017-12-12,522.286,657.318,504.494,651.431,5179829760
2017-12-13,644.906,747.993,597.798,702.767,4524539904
2017-12-14,700.594,753.121,664.989,695.816,3821580032
2017-12-15,696.376,697.132,621.061,684.448,2758710016
2017-12-16,686.192,718.385,680.786,696.209,2165690112
2017-12-17,696.237,735.825,696.237,719.975,2147389952
2017-12-18,721.732,803.928,689.231,794.645,3249230080
2017-12-19,793.901,881.944,785.342,826.823,4096549888
2017-12-20,827.516,845.062,756.004,819.086,3969939968
2017-12-21,820.236,880.543,792.689,821.063,3569060096
2017-12-22,822.643,827.683,543.762,674.860,4977710080
2017-12-23,681.316,763.895,679.731,719.387,2480339968
2017-12-24,721.769,721.769,614.922,694.148,2300549888
2017-12-25,698.870,782.521,698.870,765.834,2491760128
2017-12-26,763.370,786.790,760.935,773.836,2201159936
2017-12-27,774.970,789.253,738.413,762.842,2100029952
2017-12-28,762.208,763.319,701.187,737.023,2389149952
2017-12-29,740.389,770.117,729.608,753.592,2648969984
2017-12-30,753.815,753.815,685.231,717.257,3187780096
2017-12-31,712.212,760.348,710.119,756.733,2554269952
2018-01-01,755.757,782.530,742.004,772.641,2595760128
2018-01-02,772.346,914.830,772.346,884.444,5783349760
2018-01-03,886.000,974.471,868.451,962.720,5093159936
2018-01-04,961.713,1045.080,946.086,980.922,6502859776
2018-01-05,975.750,1075.390,956.325,997.720,6683149824
2018-01-06,995.154,1060.710,994.622,1041.680,4662219776
2018-01-07,1043.010,1153.170,1043.010,1153.170,5569880064
2018-01-08,1158.260,1266.930,1016.050,1148.530,8450970112
2018-01-09,1146.000,1320.980,1145.490,1299.740,7965459968
2018-01-10,1300.340,1417.380,1226.600,1255.820,9214950400
2018-01-11,1268.090,1337.300,1135.170,1154.930,7235899904
2018-01-12,1158.290,1296.040,1120.090,1273.200,5222300160
2018-01-13,1270.470,1432.880,1270.470,1396.420,5746760192
2018-01-14,1397.480,1400.560,1286.210,1366.770,4841630208
2018-01-15,1365.210,1390.590,1290.600,1291.920,4781100032
2018-01-16,1292.630,1292.630,875.545,1053.690,8405139968
2018-01-17,1061.340,1090.230,780.922,1014.250,8545160192
2018-01-18,1016.440,1100.310,967.759,1036.280,5938319872
2018-01-19,1028.820,1093.220,1003.710,1039.100,4084450048
2018-01-20,1044.950,1167.110,1044.950,1155.150,3975190016
2018-01-21,1155.680,1155.680,1021.500,1049.580,3378089984
2018-01-22,1055.350,1089.100,930.741,1003.260,3810099968
2018-01-23,1004.170,1023.230,920.540,986.229,3556699904
2018-01-24,987.477,1062.440,965.808,1058.780,3944039936
2018-01-25,1063.220,1104.660,1034.740,1056.030,4050190080
2018-01-26,1052.700,1080.600,996.784,1055.170,3617690112
2018-01-27,1055.750,1121.980,1042.120,1107.070,3002870016
2018-01-28,1111.780,1257.770,1111.780,1246.010,5372329984
2018-01-29,1246.700,1256.700,1169.080,1182.360,3715079936
2018-01-30,1184.130,1184.630,1058.970,1071.130,4107859968
2018-01-31,1071.090,1128.660,1034.500,1118.310,3757560064
2018-02-01,1119.370,1161.350,984.819,1036.790,5261680128
2018-02-02,1035.770,1035.770,757.980,915.785,6713290240
2018-02-03,919.211,991.943,847.690,964.019,3243480064
2018-02-04,964.667,969.032,805.064,834.682,2997090048
2018-02-05,834.958,856.646,644.599,697.951,4269530112
2018-02-06,707.737,796.439,574.419,793.122,6518269952
2018-02-07,790.428,851.200,723.433,757.068,3896179968
2018-02-08,755.843,845.086,755.843,817.807,3708189952
2018-02-09,818.480,884.004,788.834,883.865,2495820032
2018-02-10,882.467,917.400,825.577,860.415,2930530048
2018-02-11,859.288,859.288,788.222,814.660,2486650112
2018-02-12,817.508,875.937,817.508,868.707,2243450112
2018-02-13,869.293,870.709,828.837,845.258,2081170048
2018-02-14,844.279,926.429,844.279,923.561,2818370048
2018-02-15,923.728,951.948,911.111,936.976,2900100096
2018-02-16,934.786,950.005,917.848,944.210,2369449984
2018-02-17,944.748,976.595,940.754,974.115,2525720064
2018-02-18,973.349,982.933,915.445,923.921,2567290112
2018-02-19,921.668,957.777,921.554,943.865,2169019904
2018-02-20,943.567,965.265,892.954,895.371,2545260032
2018-02-21,894.135,912.375,830.563,849.971,2531729920
2018-02-22,849.262,875.926,802.668,812.845,2150370048
2018-02-23,811.585,886.318,794.791,864.189,2334820096
2018-02-24,861.593,879.531,818.550,840.515,1926579968
2018-02-25,839.459,853.146,822.381,844.810,1646960000
2018-02-26,845.278,880.392,842.319,869.315,2044480000
2018-02-27,870.365,896.259,867.097,878.265,2053980032
2018-02-28,877.934,890.108,855.124,855.199,1963980032
2018-03-01,856.012,880.302,851.920,872.200,1868519936
2018-03-02,871.764,876.378,852.422,856.853,1894419968
2018-03-03,856.711,868.454,855.207,857.225,1699369984
2018-03-04,856.186,867.950,840.280,866.678,1697939968
2018-03-05,866.846,869.920,853.520,853.684,1898489984
2018-03-06,853.817,853.817,809.931,816.951,1943069952
2018-03-07,816.271,825.607,726.547,752.831,2175419904
2018-03-08,752.570,773.767,696.169,704.596,1891640064
2018-03-09,702.197,729.156,648.107,728.916,2233019904
2018-03-10,730.160,748.031,682.695,686.890,1532960000
2018-03-11,685.312,735.831,668.123,723.339,1562680064
2018-03-12,724.406,742.514,683.268,699.831,1764999936
2018-03-13,698.153,713.735,682.350,690.827,1425959936
2018-03-14,691.219,702.784,594.100,614.291,1810560000
2018-03-15,614.839,620.616,579.505,611.304,1770460032
2018-03-16,611.778,623.168,587.862,601.666,1417350016
2018-03-17,601.678,609.151,549.096,552.779,1267810048
2018-03-18,551.640,551.640,460.088,538.644,2685499904
2018-03-19,546.626,558.100,519.123,556.726,2046790016
2018-03-20,556.722,567.090,521.204,557.175,1833680000
2018-03-21,559.100,589.607,550.572,561.732,1781270016
2018-03-22,562.103,577.566,523.089,539.702,1523459968
2018-03-23,539.864,540.487,512.127,539.619,1596349952
2018-03-24,542.572,545.382,526.080,526.439,1300009984
