date,open,high,low,close,volume
2024-01-11,41.990,50.700,40.260,40.880,16805200
2024-01-12,40.740,40.810,37.950,38.350,11393000
2024-01-16,37.900,38.140,36.910,38.100,8479200
2024-01-17,37.450,37.690,37.030,37.400,7913000
2024-01-18,37.400,37.520,35.600,35.760,10271800
2024-01-19,36.080,36.915,35.284,36.490,13819400
2024-01-22,35.610,35.770,34.490,35.180,11640300
2024-01-23,33.950,34.685,33.770,34.340,10426500
2024-01-24,35.000,35.200,34.580,34.600,7558400
2024-01-25,35.050,35.100,34.610,34.810,6420800
2024-01-26,36.050,36.965,35.990,36.750,9170600
2024-01-29,36.780,37.935,36.600,37.820,8468300
2024-01-30,38.030,38.300,37.855,38.130,7622200
2024-01-31,37.380,38.310,37.185,37.240,6036500
2024-02-01,37.080,37.880,37.060,37.660,4569500
2024-02-02,37.390,38.060,37.370,37.580,4967400
2024-02-05,37.950,37.980,37.010,37.070,3112800
2024-02-06,37.540,37.985,37.500,37.730,3485900
2024-02-07,37.770,38.765,37.550,38.660,5326400
2024-02-08,39.450,39.970,39.280,39.880,6192800
2024-02-09,41.150,42.250,40.990,41.640,9931400
2024-02-12,42.210,44.180,42.180,44.020,10984400
2024-02-13,42.940,43.370,42.340,43.290,7508000
2024-02-14,45.300,45.660,44.880,45.320,10127000
2024-02-15,45.990,46.305,45.220,45.320,8284400
2024-02-16,45.770,45.965,45.230,45.430,5304600
2024-02-20,45.810,45.860,44.430,45.520,7629400
2024-02-21,44.600,45.030,44.355,44.620,7042400
2024-02-22,44.740,45.600,44.675,45.560,5628000
2024-02-23,44.850,44.940,44.320,44.750,5043800
2024-02-26,45.000,48.150,44.980,47.720,12383100
2024-02-27,49.860,50.480,49.280,49.930,11636500
2024-02-28,52.720,56.360,51.720,52.840,27106800
2024-02-29,55.480,55.760,52.850,54.330,18719000
2024-03-01,54.680,55.460,53.570,55.190,14617100
2024-03-04,57.340,59.585,57.300,59.270,18891300
2024-03-05,59.320,60.830,52.130,54.180,37918500
2024-03-06,58.550,59.200,57.210,58.630,19354800
2024-03-07,59.020,59.720,58.400,59.250,19018400
2024-03-08,59.690,61.640,57.910,60.730,27919100
2024-03-11,63.380,63.870,62.480,63.090,22552500
2024-03-12,63.330,64.080,60.120,62.500,26079300
2024-03-13,63.740,64.420,62.780,64.400,16266200
2024-03-14,63.590,63.671,59.850,60.630,20022200
2024-03-15,59.340,61.850,59.010,60.480,19669000
2024-03-18,59.430,60.000,58.210,58.530,10788900
2024-03-19,55.820,57.580,54.440,56.350,17171600
2024-03-20,55.510,57.810,54.320,57.590,18122400
2024-03-21,59.190,59.230,56.760,57.050,12246800
2024-03-22,56.180,56.290,54.800,55.910,9250700
2024-03-25,58.590,62.280,58.580,62.200,20329900
2024-03-26,62.060,62.140,60.660,60.800,9752400
2024-03-27,62.740,62.827,59.880,60.040,9846300
2024-03-28,62.250,62.810,61.710,62.060,10605800
2024-04-01,61.340,61.400,59.580,61.030,9116300
2024-04-02,56.810,58.050,56.460,57.660,11730500
2024-04-03,57.570,58.590,57.335,57.590,8566200
2024-04-04,58.900,60.740,58.750,59.930,9555500
2024-04-05,58.580,60.050,58.465,58.940,7150300
2024-04-08,63.170,63.210,62.310,62.830,7785200
2024-04-09,61.870,62.110,59.680,60.310,8102600
2024-04-10,59.220,61.340,59.020,61.330,9814500
2024-04-11,61.920,62.060,60.850,61.690,7879000
2024-04-12,61.410,61.520,57.010,58.510,13398700
2024-04-15,57.980,58.230,54.520,55.360,10387300
2024-04-16,55.320,55.430,53.975,54.890,7728000
2024-04-17,54.590,55.100,52.160,53.300,9862700
2024-04-18,54.630,56.170,54.130,55.590,8162300
2024-04-19,56.720,57.015,55.620,56.320,5964300
2024-04-22,57.860,58.530,57.470,58.230,6580400
2024-04-23,57.890,58.770,57.830,58.190,4001300
2024-04-24,57.780,58.030,55.700,55.900,8738500
2024-04-25,55.210,56.780,54.950,56.610,5595300
2024-04-26,55.800,56.670,55.340,55.750,5531400
2024-04-29,54.670,55.270,53.960,55.080,4100300
2024-04-30,53.490,53.760,51.520,51.680,9484200
2024-05-01,50.430,51.920,49.430,49.720,10785800
2024-05-02,51.360,52.150,50.920,51.930,6578200
2024-05-03,53.550,54.500,53.510,54.380,6741600
2024-05-06,55.640,56.210,54.860,55.290,5373100
2024-05-07,55.610,56.310,54.930,55.160,3769500
2024-05-08,54.260,54.960,54.000,54.360,3043900
2024-05-09,53.690,54.880,53.210,54.660,4555800
2024-05-10,55.000,55.250,52.610,53.050,7052500
2024-05-13,54.950,55.555,54.730,55.260,4618300
2024-05-14,54.230,54.480,53.430,53.860,3528300
2024-05-15,56.280,58.190,55.960,57.850,11333900
2024-05-16,57.770,58.170,56.520,57.020,4932600
2024-05-17,58.110,59.120,57.610,58.790,5365900
2024-05-20,58.650,61.450,58.420,61.420,8622500
2024-05-21,62.110,62.430,60.520,60.600,7238800
2024-05-22,61.070,61.910,60.580,61.090,6111100
2024-05-23,60.620,60.730,58.370,58.720,5591900
2024-05-24,59.000,60.760,58.590,60.570,6803800
2024-05-28,59.830,60.010,58.780,59.830,4708700
2024-05-29,59.340,59.470,58.710,58.790,3746800
2024-05-30,59.690,60.910,59.535,60.150,6969200
2024-05-31,60.170,60.210,58.220,59.110,4651900
2024-06-03,61.010,61.570,60.160,60.550,4311400
2024-06-04,60.760,62.260,60.585,61.670,7650400
2024-06-05,62.290,62.880,61.570,62.380,5593200
2024-06-06,62.310,62.700,61.580,61.650,3955400
2024-06-07,62.460,62.719,59.700,60.490,6075900
2024-06-10,60.590,61.400,60.461,60.790,2887600
2024-06-11,58.780,59.120,57.710,58.950,4744400
2024-06-12,60.590,61.290,58.780,59.000,5504700
2024-06-13,59.530,59.740,57.830,58.130,5583700
2024-06-14,58.850,58.910,56.834,57.250,6901500
2024-06-17,57.400,58.829,56.850,58.310,3539700
2024-06-18,56.730,57.150,55.940,56.280,4849100
2024-06-20,57.140,57.260,56.400,56.890,3626900
2024-06-21,55.630,56.280,55.370,56.140,4533500
2024-06-24,53.570,53.939,51.560,51.810,8900400
2024-06-25,53.520,54.580,53.320,54.170,6855400
2024-06-26,53.840,54.223,53.060,53.320,3507700
2024-06-27,53.850,54.570,53.630,53.710,3400100
2024-06-28,53.750,54.060,52.350,52.460,5284600
2024-07-01,54.970,55.865,54.620,55.280,4329200
2024-07-02,55.000,55.210,53.973,54.110,3339900
2024-07-03,52.740,53.140,52.380,52.870,2880900
2024-07-05,48.580,49.940,48.452,49.430,10715800
2024-07-08,50.030,50.197,48.090,49.400,8256400
2024-07-09,50.070,50.990,49.790,50.600,4677400
2024-07-10,50.750,50.770,50.135,50.150,4630000
2024-07-11,51.460,51.600,50.005,50.190,4370700
2024-07-12,50.350,51.260,50.300,50.430,4216100
2024-07-15,54.980,55.960,54.660,55.530,7482600
2024-07-16,55.940,57.105,55.200,57.070,4528300
2024-07-17,56.610,57.240,55.850,56.540,4151200
2024-07-18,56.800,56.870,55.300,55.600,4665400
2024-07-19,56.130,59.110,56.050,58.880,10452800
2024-07-22,59.200,59.770,58.250,59.730,5046800
2024-07-23,58.240,58.930,57.210,57.310,6683100
2024-07-24,58.340,58.730,57.340,57.410,3546500
2024-07-25,56.220,57.000,55.430,56.540,4786300
2024-07-26,59.000,59.680,58.520,59.520,7147800
2024-07-29,60.970,61.000,58.070,58.850,6512800
2024-07-30,58.290,58.540,57.260,57.630,4340200
2024-07-31,58.080,58.460,56.760,57.060,3993700
2024-08-01,56.510,56.740,54.370,55.350,9590300
2024-08-02,56.690,57.260,54.480,54.680,6370900
2024-08-05,43.530,48.600,43.340,46.800,18377400
2024-08-06,48.250,49.930,47.620,49.680,7384900
2024-08-07,50.150,50.330,47.800,47.880,5751800
2024-08-08,50.520,52.400,49.600,52.010,7452100
2024-08-09,52.830,53.500,52.110,53.100,3282500
2024-08-12,52.070,53.110,50.587,51.660,3605100
2024-08-13,51.570,53.910,51.510,53.240,3252700
2024-08-14,53.170,53.323,51.310,51.520,3359500
2024-08-15,51.720,52.370,49.580,49.880,4819800
2024-08-16,51.220,52.390,50.440,52.240,5886300
2024-08-19,51.380,51.885,50.810,51.600,2618800
2024-08-20,53.000,53.365,51.200,52.080,4137000
