date,open,high,low,close,volume
2006-06-23,20.590,20.590,20.520,20.432,200
2006-06-26,20.790,20.820,20.790,20.730,500
2006-06-27,20.870,20.870,20.870,20.780,700
2006-06-28,20.870,20.870,20.870,20.780,0
2006-06-29,20.610,20.890,20.610,20.800,15300
2006-06-30,21.250,21.250,21.250,21.159,200
2006-07-03,21.280,21.300,21.260,21.208,700
2006-07-05,21.160,21.160,20.900,20.810,4200
2006-07-06,20.870,20.870,20.760,20.671,85100
2006-07-07,20.540,20.540,20.380,20.292,700
2006-07-10,20.540,20.540,20.540,20.452,100
2006-07-11,20.090,20.090,20.090,20.004,200
2006-07-12,20.090,20.090,20.090,20.004,0
2006-07-13,19.780,19.800,19.780,19.715,600
2006-07-14,19.330,19.390,19.330,19.307,500
2006-07-17,19.390,19.390,19.390,19.307,0
2006-07-18,19.370,19.370,19.370,19.287,300
2006-07-19,19.470,19.470,19.470,19.386,500
2006-07-20,19.270,19.270,19.270,19.187,500
2006-07-21,19.270,19.270,19.270,19.187,0
2006-07-24,19.250,19.250,19.250,19.167,800
2006-07-25,19.280,19.280,19.280,19.197,200
2006-07-26,19.280,19.280,19.280,19.197,0
2006-07-27,19.280,19.280,19.280,19.197,0
2006-07-28,19.020,19.030,19.020,18.948,90000
2006-07-31,18.990,18.990,18.990,18.908,30000
2006-08-01,18.800,18.800,18.800,18.719,100
2006-08-02,18.750,18.750,18.750,18.669,100
2006-08-03,18.750,18.750,18.750,18.669,0
2006-08-04,18.750,18.750,18.750,18.669,0
2006-08-07,19.000,19.000,19.000,18.918,60000
2006-08-08,19.110,19.110,19.110,19.028,300
2006-08-09,19.110,19.110,19.110,19.028,0
2006-08-10,18.850,19.030,18.850,18.948,60100
2006-08-11,18.810,18.810,18.810,18.729,60000
2006-08-14,18.810,18.810,18.810,18.729,0
2006-08-15,18.810,18.810,18.810,18.729,0
2006-08-16,19.730,19.900,19.730,19.814,60600
2006-08-17,19.900,19.900,19.900,19.814,700
2006-08-18,20.220,20.340,20.220,20.253,700
2006-08-21,19.930,19.950,19.930,19.864,200
2006-08-22,20.070,20.070,20.030,19.944,1900
2006-08-23,19.760,19.810,19.760,19.725,1200
2006-08-24,19.760,19.760,19.620,19.585,1600
2006-08-25,19.670,19.690,19.640,19.556,1900
2006-08-28,19.930,19.940,19.920,19.854,900
2006-08-29,19.940,19.940,19.940,19.854,0
2006-08-30,20.360,20.420,20.360,20.332,700
2006-08-31,20.390,20.390,20.270,20.302,800
2006-09-01,20.370,20.510,20.370,20.422,4400
2006-09-05,20.600,20.630,20.550,20.541,900
2006-09-06,20.180,20.180,20.140,20.053,700
2006-09-07,20.060,20.060,19.870,19.785,1100
2006-09-08,20.140,20.160,20.140,20.073,1500
2006-09-11,19.960,20.270,19.960,20.183,1300
2006-09-12,20.580,20.580,20.580,20.492,100
2006-09-13,20.700,21.000,20.700,20.860,2400
2006-09-14,21.090,21.100,21.090,21.009,200
2006-09-15,21.330,21.400,21.170,21.149,2800
2006-09-18,21.220,21.340,21.080,20.989,24400
2006-09-19,21.050,21.050,20.270,20.412,10400
2006-09-20,20.860,20.890,20.740,20.721,1300
2006-09-21,20.900,20.900,20.600,20.511,900
2006-09-22,20.470,20.520,20.460,20.432,600
2006-09-25,20.760,20.790,20.740,20.701,800
2006-09-26,20.930,21.030,20.760,20.940,1200
2006-09-27,20.990,20.990,20.710,20.621,900
2006-09-28,20.800,20.970,20.790,20.880,12800
2006-09-29,20.960,21.090,20.960,20.890,4100
2006-10-02,20.980,20.980,20.710,20.621,1500
2006-10-03,20.670,21.000,20.670,20.860,2400
2006-10-04,21.400,21.500,21.400,21.408,10300
2006-10-05,21.550,21.660,21.480,21.567,11600
2006-10-06,21.520,21.560,21.520,21.457,1000
2006-10-09,21.510,21.640,21.510,21.457,32700
2006-10-10,21.560,21.560,21.350,21.258,400
2006-10-11,21.140,21.250,21.050,20.959,1700
2006-10-12,21.250,21.320,21.210,21.228,3100
2006-10-13,21.320,21.450,21.320,21.308,3400
2006-10-16,21.350,21.490,21.340,21.288,4900
2006-10-17,21.230,21.230,21.040,21.009,3800
2006-10-18,21.040,21.040,20.990,20.900,400
2006-10-19,21.030,21.290,21.030,21.179,3100
2006-10-20,21.310,21.310,21.110,21.169,2100
2006-10-23,21.220,21.770,21.220,21.647,10400
2006-10-24,21.620,21.810,21.570,21.637,3800
2006-10-25,21.750,22.130,21.750,22.025,15300
2006-10-26,22.190,22.490,22.080,22.393,15200
2006-10-27,22.430,22.490,22.190,22.115,15100
2006-10-30,22.180,22.360,22.040,22.134,16700
2006-10-31,22.500,22.500,22.310,22.274,2000
2006-11-01,22.240,22.240,21.880,21.786,32900
2006-11-02,21.950,22.190,21.920,22.095,3000
2006-11-03,22.270,22.270,21.840,21.915,8300
2006-11-06,22.110,22.400,22.110,22.284,4000
2006-11-07,22.470,22.730,22.470,22.423,4600
2006-11-08,22.620,22.840,22.620,22.622,11600
2006-11-09,22.800,22.820,22.440,22.344,2900
2006-11-10,22.490,22.680,22.490,22.563,3000
2006-11-13,22.680,22.890,22.680,22.752,17500
2006-11-14,22.920,23.150,22.810,23.050,8800
2006-11-15,23.190,23.420,23.190,23.230,14600
2006-11-16,23.250,23.250,23.080,23.060,6800
2006-11-17,23.060,23.170,23.060,23.070,2300
2006-11-20,23.120,23.240,23.000,23.011,9400
2006-11-21,23.290,23.430,23.290,23.260,4500
2006-11-22,23.600,23.770,23.510,23.658,6900
2006-11-24,23.600,23.700,23.550,23.489,9800
2006-11-27,23.490,23.490,22.830,22.732,10400
2006-11-28,22.640,22.780,22.600,22.533,2800
2006-11-29,22.980,23.020,22.740,22.831,16300
2006-11-30,23.060,23.310,22.930,23.120,4100
2006-12-01,23.010,23.010,22.590,22.493,8500
2006-12-04,22.800,23.150,22.770,22.951,25700
2006-12-05,23.090,23.160,23.060,23.060,66500
2006-12-06,23.100,23.160,23.100,23.021,23500
2006-12-07,23.210,23.210,22.920,22.831,6300
2006-12-08,22.940,23.130,22.870,22.921,500
2006-12-11,22.960,23.170,22.960,22.981,13400
2006-12-12,23.050,23.050,22.860,22.841,37400
2006-12-13,23.160,23.160,22.930,22.941,3500
2006-12-14,23.100,23.380,23.100,23.200,8800
2006-12-15,23.430,23.520,23.410,23.339,4200
2006-12-18,23.520,23.520,22.900,22.911,13100
2006-12-19,22.750,23.040,22.720,22.871,12100
2006-12-20,23.050,23.120,22.870,22.792,6700
2006-12-21,22.910,22.960,22.630,22.632,8900
2006-12-22,22.590,22.660,22.550,22.483,4800
2006-12-26,22.580,22.580,22.540,22.453,11300
2006-12-27,22.730,22.880,22.730,22.782,24800
2006-12-28,22.740,22.800,22.690,22.662,27800
2006-12-29,22.670,22.720,22.580,22.483,6800
2007-01-03,22.700,23.000,22.700,22.821,23700
2007-01-04,22.770,23.220,22.640,23.120,35100
2007-01-05,22.990,23.000,22.900,22.891,10600
2007-01-08,22.870,22.980,22.780,22.871,17600
2007-01-09,22.900,23.040,22.760,22.881,106100
2007-01-10,22.830,23.120,22.820,23.021,3900
2007-01-11,23.260,23.470,23.250,23.319,14000
2007-01-12,23.440,23.580,23.420,23.459,29600
2007-01-16,23.760,24.000,23.680,23.638,17200
2007-01-17,23.660,23.710,23.440,23.419,8800
2007-01-18,23.410,23.410,23.000,22.961,9200
2007-01-19,22.980,23.110,22.970,23.011,133000
2007-01-22,23.150,23.150,22.760,22.702,28800
2007-01-23,22.810,22.910,22.720,22.652,121200
2007-01-24,23.140,23.470,23.070,23.369,61700
2007-01-25,23.740,23.740,22.820,23.200,283000
2007-01-26,23.200,23.320,23.070,23.190,123800
2007-01-29,23.160,23.420,23.160,23.279,6700
2007-01-30,23.300,23.550,23.300,23.389,26700
2007-01-31,23.370,23.810,23.310,23.588,44600
2007-02-01,23.990,23.990,23.700,23.668,88100
2007-02-02,23.780,23.870,23.630,23.747,770300
2007-02-05,23.810,23.870,23.620,23.698,65700
2007-02-06,23.810,23.870,23.610,23.728,77800
2007-02-07,23.910,24.210,23.840,24.076,133000
2007-02-08,24.100,24.390,24.020,24.225,49600
2007-02-09,24.380,24.390,23.900,23.877,45100
2007-02-12,23.960,23.960,23.610,23.628,32400
2007-02-13,23.860,23.890,23.750,23.747,27700
2007-02-14,24.080,24.290,24.080,24.166,18300
2007-02-15,24.260,24.390,24.220,24.275,17000
2007-02-16,24.420,24.470,24.270,24.345,24700
2007-02-20,24.260,24.650,24.260,24.504,18500
2007-02-21,24.500,24.650,24.460,24.544,27900
2007-02-22,24.770,24.840,24.550,24.544,20400
2007-02-23,24.610,24.610,24.360,24.375,24400
2007-02-26,24.380,24.430,24.160,24.176,8400
2007-02-27,23.720,23.920,23.170,23.260,83700
2007-02-28,23.410,23.560,23.040,23.299,91800
2007-03-01,22.700,23.460,22.700,23.160,28500
2007-03-02,23.080,23.080,22.750,22.652,26300
2007-03-05,22.500,22.890,22.440,22.413,64200
2007-03-06,22.900,22.960,22.680,22.861,30200
2007-03-07,22.940,23.020,22.800,22.712,13900
2007-03-08,23.060,23.160,22.930,22.851,16200
2007-03-09,22.930,22.950,22.630,22.732,39100
2007-03-12,22.930,23.020,22.830,22.901,43800
2007-03-13,22.890,22.960,22.500,22.443,13900
