date,open,high,low,close,volume
2012-05-31,16.514,16.514,16.514,16.514,645
2012-06-01,16.198,16.198,16.096,16.124,675
2012-06-04,16.041,16.041,15.946,16.033,2453
2012-06-05,16.049,16.049,16.049,16.049,1161
2012-06-07,17.125,17.125,16.938,16.938,4377
2012-06-08,16.868,16.868,16.853,16.853,1291
2012-06-11,17.039,17.039,16.621,16.621,2065
2012-06-12,16.698,16.698,16.628,16.628,903
2012-06-13,16.429,16.429,16.429,16.429,903
2012-06-14,16.235,16.235,16.165,16.173,2690
2012-06-15,16.535,16.716,16.535,16.716,4777
2012-06-18,17.119,17.119,16.722,16.727,2601
2012-06-20,17.295,17.295,17.295,17.295,645
2012-06-21,16.398,16.398,16.250,16.250,1549
2012-06-22,16.267,16.267,16.267,16.267,129
2012-06-25,15.468,15.468,15.468,15.468,645
2012-06-26,15.398,15.536,15.398,15.536,2841
2012-06-27,15.445,15.630,15.438,15.630,2969
2012-06-28,15.438,15.438,15.438,15.438,129
2012-06-29,16.344,16.352,16.344,16.352,6456
2012-07-02,16.815,16.815,16.575,16.613,850
2012-07-03,16.799,16.799,16.799,16.799,1291
2012-07-05,16.381,16.605,16.381,16.422,549
2012-07-06,16.119,16.119,15.924,15.924,438
2012-07-10,15.809,15.909,15.776,15.909,9922
2012-07-11,15.902,15.902,15.902,15.902,129
2012-07-12,15.776,15.776,15.776,15.776,129
2012-07-16,16.003,16.041,15.879,16.011,3098
2012-07-17,16.087,16.104,15.886,16.079,4745
2012-07-18,15.987,15.987,15.987,15.987,645
2012-07-19,16.079,16.079,16.058,16.058,4517
2012-07-20,15.809,15.809,15.553,15.553,450
2012-07-23,14.708,15.188,14.708,15.188,697
2012-07-24,15.118,15.118,14.971,14.971,3140
2012-07-26,16.018,16.018,16.003,16.003,1936
2012-07-27,16.422,16.559,16.422,16.452,5021
2012-07-30,16.498,16.498,16.498,16.498,1549
2012-07-31,16.398,16.398,16.398,16.398,645
2012-08-01,16.475,16.475,16.198,16.227,6917
2012-08-03,16.492,16.492,16.492,16.492,259
2012-08-06,16.846,16.938,16.846,16.938,5292
2012-08-07,17.154,17.218,17.154,17.154,1032
2012-08-13,17.039,17.039,16.985,16.985,5678
2012-08-14,16.815,16.876,16.815,16.862,8919
2012-08-15,16.807,16.815,16.791,16.799,5292
2012-08-16,17.001,17.001,17.001,17.001,645
2012-08-20,17.171,17.171,17.164,17.164,11621
2012-08-21,17.607,17.621,17.607,17.621,723
2012-08-22,17.435,17.435,17.435,17.435,5809
2012-08-23,17.475,17.475,17.397,17.404,1322
2012-08-27,17.503,17.503,17.503,17.503,645
2012-08-29,17.092,17.092,17.086,17.086,6767
2012-08-30,16.876,16.876,16.799,16.799,1291
2012-08-31,16.993,16.993,16.993,16.993,194
2012-09-05,17.140,17.140,17.140,17.140,1936
2012-09-06,17.265,17.265,17.265,17.265,566
2012-09-07,17.861,17.938,17.861,17.938,645
2012-09-10,18.031,18.031,17.924,17.924,1161
2012-09-11,18.256,18.256,18.256,18.256,129
2012-09-12,18.441,18.441,18.441,18.441,517
2012-09-13,18.432,18.916,18.432,18.916,2453
2012-09-14,19.380,19.434,19.325,19.403,845
2012-09-17,19.286,19.295,19.286,19.295,2841
2012-09-18,18.837,18.837,18.697,18.728,2005
2012-09-19,18.513,18.798,18.513,18.783,11621
2012-09-21,18.621,18.690,18.573,18.643,5809
2012-09-24,18.280,18.280,18.217,18.217,707
2012-09-25,18.419,18.441,18.335,18.335,2969
2012-09-26,17.945,17.945,17.924,17.924,517
2012-10-02,18.155,18.155,18.155,18.155,645
2012-10-03,18.109,18.109,17.993,18.017,1799
2012-10-04,18.240,18.240,18.240,18.240,387
2012-10-05,18.580,18.628,18.580,18.596,2065
2012-10-08,18.379,18.379,18.364,18.364,1291
2012-10-10,18.125,18.125,17.945,17.969,2002
2012-10-15,18.186,18.248,18.186,18.224,949
2012-10-16,18.519,18.675,18.519,18.675,6135
2012-10-17,18.822,18.822,18.822,18.822,3615
2012-10-18,18.845,18.845,18.845,18.845,517
2012-10-19,18.513,18.513,18.427,18.427,776
2012-10-22,18.643,18.643,18.628,18.628,1549
2012-10-24,18.025,18.025,18.025,18.025,645
2012-10-31,18.419,18.419,18.335,18.335,555
2012-11-01,18.651,18.651,18.651,18.651,259
2012-11-02,18.573,18.573,18.573,18.573,1291
2012-11-05,18.480,18.480,18.480,18.480,645
2012-11-07,18.224,18.224,18.125,18.155,776
2012-11-08,18.132,18.132,17.976,17.976,923
2012-11-09,17.984,17.984,17.984,17.984,202
2012-11-12,17.969,18.076,17.969,18.076,5942
2012-11-13,17.909,17.909,17.893,17.893,3344
2012-11-14,18.017,18.017,17.715,17.722,7874
2012-11-16,17.722,17.722,17.635,17.644,2841
2012-11-19,18.138,18.230,18.138,18.230,4997
2012-11-20,18.280,18.280,18.264,18.264,4777
2012-11-21,18.419,18.580,18.419,18.565,5415
2012-11-23,19.177,19.177,19.177,19.177,259
2012-11-26,19.047,19.047,19.039,19.039,7100
2012-11-27,18.946,18.946,18.745,18.745,5551
2012-11-28,18.542,18.542,18.542,18.542,1291
2012-11-30,19.177,19.177,19.177,19.177,129
2012-12-04,19.363,19.620,19.363,19.589,26983
2012-12-05,19.850,19.959,19.850,19.959,1936
2012-12-06,19.828,19.843,19.765,19.796,12985
2012-12-07,19.759,19.812,19.688,19.812,3615
2012-12-10,19.596,19.596,19.596,19.596,776
2012-12-11,19.874,19.913,19.874,19.913,18335
2012-12-12,19.882,19.913,19.859,19.874,1419
2012-12-13,19.828,19.843,19.788,19.843,7748
2012-12-14,19.920,19.920,19.920,19.920,129
2012-12-17,20.261,20.261,20.061,20.061,10064
2012-12-18,20.433,20.447,20.433,20.433,6973
2012-12-19,20.626,20.626,20.354,20.354,12459
2012-12-20,20.409,20.519,20.409,20.519,10902
2012-12-21,20.231,20.254,20.223,20.254,2567
2012-12-24,20.261,20.261,20.098,20.098,3744
2012-12-26,20.178,20.178,20.178,20.178,1032
2012-12-27,20.447,20.447,20.207,20.207,776
2012-12-28,20.137,20.137,20.061,20.061,845
2012-12-31,20.045,20.277,19.951,20.277,12273
2013-01-02,21.053,21.053,20.687,20.687,1936
2013-01-03,20.720,20.812,20.720,20.812,4223
2013-01-04,20.836,20.960,20.836,20.960,4836
2013-01-07,20.842,20.850,20.842,20.850,259
2013-01-08,20.836,20.836,20.610,20.658,8393
2013-01-09,20.525,20.525,20.401,20.409,14427
2013-01-10,20.812,21.067,20.812,21.060,2841
2013-01-11,21.269,21.269,21.269,21.269,259
2013-01-14,21.199,21.199,21.199,21.199,645
2013-01-15,21.029,21.029,21.029,21.029,172
2013-01-17,21.686,21.686,21.508,21.525,2584
2013-01-18,21.392,21.392,21.377,21.377,473
2013-01-22,21.516,21.516,21.508,21.508,808
2013-01-23,21.702,21.702,21.556,21.681,7231
2013-01-24,21.525,21.540,21.284,21.362,14670
2013-01-25,21.508,21.564,21.508,21.564,311
2013-01-28,21.579,21.686,21.572,21.681,2923
2013-01-29,21.850,21.850,21.587,21.625,15499
2013-01-30,21.865,21.950,21.780,21.803,17699
2013-01-31,21.431,21.454,21.292,21.292,6922
2013-02-04,21.572,21.694,21.307,21.385,30545
2013-02-05,21.532,21.727,21.486,21.663,24929
2013-02-06,21.370,21.759,21.370,21.759,22989
2013-02-07,21.469,21.502,21.298,21.415,3668
2013-02-08,21.672,21.681,21.625,21.656,7747
2013-02-11,21.686,21.795,21.617,21.759,57669
