date,open,high,low,close,volume
2005-02-25,17.904,18.162,17.882,18.162,42331
2005-02-28,18.051,18.147,18.001,18.082,72102
2005-03-01,18.082,18.140,18.037,18.037,65409
2005-03-02,17.911,18.051,17.898,18.030,40284
2005-03-03,18.007,18.075,17.925,17.925,20211
2005-03-04,18.170,18.382,18.170,18.268,151160
2005-03-07,18.268,18.419,18.262,18.314,21027
2005-03-08,18.358,18.439,18.352,18.382,40011
2005-03-09,18.322,18.439,18.322,18.366,51210
2005-03-10,18.345,18.397,18.307,18.358,15842
2005-03-11,18.352,18.446,18.352,18.366,24170
2005-03-14,18.314,18.314,18.205,18.226,63225
2005-03-15,18.358,18.358,18.222,18.222,75790
2005-03-16,18.234,18.268,18.133,18.140,33046
2005-03-17,18.184,18.234,18.103,18.177,34822
2005-03-18,18.177,18.189,18.089,18.089,25264
2005-03-21,18.051,18.051,17.904,17.940,17479
2005-03-22,17.875,18.051,17.668,17.668,21164
2005-03-23,17.612,17.677,17.612,17.649,26494
2005-03-24,17.722,17.798,17.694,17.694,11880
2005-03-28,17.736,17.766,17.620,17.686,14613
2005-03-29,17.686,17.744,17.604,17.706,39327
2005-03-30,17.736,17.852,17.736,17.833,37554
2005-03-31,17.875,17.898,17.706,17.706,38237
2005-04-01,17.875,17.882,17.620,17.729,60218
2005-04-04,17.574,17.620,17.457,17.620,19255
2005-04-05,17.633,17.677,17.604,17.677,36597
2005-04-06,17.736,17.890,17.668,17.875,197455
2005-04-07,17.933,17.986,17.817,17.817,115798
2005-04-08,17.852,18.007,17.798,17.978,35367
2005-04-11,17.995,18.051,17.978,18.001,27992
2005-04-12,17.898,18.007,17.766,18.007,24851
2005-04-13,17.833,17.925,17.825,17.825,61176
2005-04-14,17.744,17.789,17.649,17.706,157312
2005-04-15,17.641,17.668,17.420,17.420,24715
2005-04-18,17.356,17.429,17.318,17.407,20073
2005-04-19,17.420,17.473,17.318,17.377,56943
2005-04-20,17.318,17.402,17.275,17.335,38646
2005-04-21,17.452,17.539,17.393,17.539,71964
2005-04-22,17.574,17.574,17.429,17.482,14883
