date,open,high,low,close,volume
2013-10-24,25.490,25.490,24.980,22.315,17700
2013-10-25,25.280,25.290,25.060,22.377,41700
2013-10-28,25.160,25.190,25.050,22.395,50600
2013-10-29,25.430,25.430,25.150,22.502,44800
2013-10-30,25.420,25.420,25.100,22.395,186500
2013-10-31,25.100,25.590,25.060,22.439,14400
2013-11-01,25.260,25.260,25.020,22.386,20600
2013-11-04,25.240,25.240,25.110,22.448,44100
2013-11-05,25.180,25.280,25.100,22.466,32500
2013-11-06,25.490,25.490,25.300,22.617,96600
2013-11-07,25.470,25.490,25.060,22.324,49000
2013-11-08,25.210,25.330,25.090,22.555,13700
2013-11-11,25.370,25.400,25.250,22.591,67400
2013-11-12,25.350,25.500,25.310,22.671,220600
2013-11-13,25.400,25.720,25.380,22.902,21200
2013-11-14,25.660,25.660,25.520,22.831,24400
2013-11-15,25.730,25.740,25.630,22.920,27900
2013-11-18,25.810,25.810,25.490,22.707,56200
2013-11-19,25.580,25.580,25.390,22.609,24400
2013-11-20,25.530,25.550,25.320,22.591,27800
2013-11-21,25.500,25.610,25.440,22.804,43100
2013-11-22,25.670,25.670,25.550,22.769,27100
2013-11-25,25.690,25.690,25.470,22.733,42600
2013-11-26,25.600,25.740,25.540,22.867,36900
2013-11-27,25.780,25.900,25.740,23.063,29300
2013-11-29,26.010,26.080,25.980,23.143,43500
2013-12-02,26.070,26.070,25.860,23.036,43700
2013-12-03,25.860,25.980,25.830,23.081,34800
2013-12-04,25.920,26.060,25.840,23.152,60400
2013-12-05,26.130,26.130,25.960,23.152,25500
2013-12-06,26.180,26.210,26.080,23.294,47200
2013-12-09,26.300,26.300,26.200,23.357,63200
2013-12-10,26.230,26.250,26.150,23.348,41500
2013-12-11,26.280,26.280,25.900,23.081,57900
2013-12-12,25.980,25.980,25.800,22.974,32600
2013-12-13,25.820,25.900,25.770,22.991,27300
2013-12-16,25.940,26.080,25.890,23.187,79800
2013-12-17,26.100,26.130,26.020,23.223,39100
2013-12-18,26.100,26.270,25.750,23.392,83500
2013-12-19,26.290,26.320,26.200,23.419,57600
2013-12-20,26.340,26.610,26.310,23.739,66500
2013-12-23,26.780,27.230,26.700,23.971,106700
2013-12-24,26.930,26.940,26.870,24.007,38100
2013-12-26,27.020,27.020,26.950,24.078,73800
2013-12-27,27.140,27.140,26.940,24.034,59400
2013-12-30,26.960,26.960,26.830,24.016,67600
2013-12-31,27.010,27.110,26.940,24.167,73700
2014-01-02,27.050,27.050,26.770,23.926,62900
2014-01-03,26.920,26.920,26.690,23.873,71300
2014-01-06,26.810,26.810,26.610,23.811,86600
2014-01-07,26.840,26.970,26.750,24.025,60500
2014-01-08,26.960,27.010,26.900,24.051,72700
2014-01-09,27.090,27.090,26.760,23.944,76500
2014-01-10,26.950,26.970,26.760,23.998,41900
2014-01-13,26.920,27.000,26.500,23.703,132800
2014-01-14,26.680,27.120,26.680,24.167,63500
2014-01-15,27.240,27.450,27.150,24.444,119100
2014-01-16,27.490,27.490,27.350,24.453,241300
2014-01-17,27.390,27.390,27.200,24.301,140900
2014-01-21,27.440,27.440,27.200,24.399,76000
2014-01-22,27.390,27.420,27.320,24.462,54400
2014-01-23,27.370,27.370,27.120,24.328,78300
2014-01-24,27.240,27.240,26.700,23.828,113400
2014-01-27,26.790,26.790,26.250,23.561,96300
2014-01-28,26.230,26.330,26.100,23.463,88900
2014-01-29,26.220,26.260,26.010,23.248,68700
2014-01-30,26.600,26.600,26.300,23.641,58400
2014-01-31,26.300,26.560,26.260,23.623,44800
2014-02-03,26.380,26.500,25.830,23.088,263400
2014-02-04,26.040,26.100,25.880,23.222,94200
2014-02-05,26.020,26.090,25.730,23.204,83200
2014-02-06,26.090,26.340,26.090,23.480,26000
2014-02-07,26.540,26.730,26.430,23.837,87400
2014-02-10,26.760,26.810,26.720,23.918,45200
2014-02-11,26.840,27.150,26.840,24.176,111100
2014-02-12,27.180,27.260,27.120,24.265,96100
2014-02-13,27.100,27.450,27.040,24.489,70000
2014-02-14,27.450,27.560,27.370,24.551,46100
2014-02-18,27.570,27.660,27.490,24.631,99700
2014-02-19,27.620,27.680,27.440,24.497,86800
2014-02-20,27.410,27.620,27.390,24.622,87000
