date,open,high,low,close,volume
2009-01-02,647.500,663.000,645.000,657.126,176170
2009-01-05,672.000,676.500,665.500,673.566,217737
2009-01-06,674.500,686.000,674.500,673.566,163873
2009-01-07,686.000,686.000,671.000,671.573,178347
2009-01-08,674.000,674.000,657.500,666.591,364373
2009-01-09,667.000,673.000,664.000,662.606,395086
2009-01-12,665.500,667.500,640.500,661.609,259109
2009-01-13,689.000,689.000,647.500,653.140,198398
2009-01-14,655.000,658.000,631.500,630.223,310971
2009-01-15,635.000,635.000,615.500,620.757,373384
2009-01-16,633.000,634.000,625.000,621.255,165580
2009-01-19,654.000,654.500,622.500,619.761,122329
2009-01-20,620.000,620.000,607.500,610.295,275558
2009-01-21,602.000,612.000,601.000,609.797,137143
2009-01-22,619.000,623.000,612.000,610.295,454673
2009-01-23,615.000,615.000,600.000,603.818,272122
2009-01-26,613.900,624.500,606.500,622.750,992625
2009-01-27,630.000,630.000,619.000,617.768,490642
2009-01-28,627.500,643.500,627.500,639.191,301658
2009-01-29,641.500,641.500,622.000,625.739,60293
2009-01-30,627.000,629.000,620.000,626.237,106547
2009-02-02,623.000,623.000,604.500,604.317,575194
2009-02-03,606.500,612.000,601.000,609.797,293016
2009-02-04,623.000,634.000,623.000,629.725,125051
2009-02-05,625.500,637.500,624.500,635.205,190001
2009-02-06,638.000,660.000,638.000,653.638,307130
2009-02-09,674.500,674.500,656.000,661.609,251760
2009-02-10,659.000,663.500,641.000,638.692,58785
2009-02-11,659.500,659.500,642.000,642.180,111778
2009-02-12,645.000,645.000,640.500,640.685,1019129
2009-02-13,655.500,657.000,625.000,643.176,267698
2009-02-16,650.000,650.000,644.000,641.682,317860
2009-02-17,646.000,646.000,620.000,617.768,275795
2009-02-18,626.500,626.500,611.500,619.761,174661
2009-02-19,628.000,628.000,620.500,617.768,387769
2009-02-20,615.500,615.500,604.500,603.320,346335
2009-02-23,610.000,612.500,591.000,587.876,852673
2009-02-24,586.000,595.000,574.500,589.869,515722
2009-02-25,595.000,612.000,595.000,598.836,349582
2009-02-26,608.500,613.500,605.000,608.800,161407
2009-02-27,602.500,602.500,594.500,597.840,299604
2009-03-02,595.500,611.500,583.500,581.400,359097
2009-03-03,591.000,594.000,578.500,576.417,336820
2009-03-04,586.000,606.000,586.000,603.320,413263
2009-03-05,603.000,603.000,593.000,591.862,1635155
2009-03-06,595.000,595.000,578.000,578.908,334360
2009-03-09,584.000,584.500,573.000,574.425,739096
2009-03-10,573.000,596.500,573.000,591.862,297672
2009-03-11,593.000,606.000,591.500,599.335,172237
2009-03-12,598.500,604.000,595.000,601.826,116933
2009-03-13,613.500,622.000,609.000,615.277,516948
2009-03-16,622.900,627.000,620.000,624.244,163405
2009-03-17,624.000,624.000,617.000,616.273,412158
2009-03-18,634.000,634.000,615.000,615.277,180338
2009-03-19,625.000,633.000,616.000,613.782,669092
2009-03-20,625.000,625.000,617.000,622.750,365386
2009-03-23,639.500,639.500,625.500,631.220,624022
2009-03-24,642.000,643.000,625.000,635.703,497083
2009-03-25,634.500,641.500,627.000,631.718,537478
2009-03-26,632.000,636.000,610.000,633.710,1551395
2009-03-27,635.000,638.000,631.000,630.721,1033709
2009-03-30,611.000,624.000,611.000,616.772,1279061
2009-03-31,626.000,633.500,624.000,631.220,764375
2009-04-01,634.500,646.000,634.000,642.180,767823
2009-04-02,628.000,679.000,628.000,672.570,1226405
2009-04-03,695.000,695.000,674.500,682.534,678340
2009-04-06,699.000,700.500,679.500,682.036,774789
2009-04-07,688.000,688.000,666.000,663.603,396391
2009-04-08,674.500,674.500,660.500,663.603,731548
2009-04-09,672.000,690.000,672.000,687.516,474493
2009-04-14,709.000,718.500,703.000,704.953,277646
2009-04-15,700.000,708.000,698.000,705.451,446326
2009-04-16,711.000,718.000,705.000,713.422,435355
2009-04-17,723.000,727.500,719.000,724.881,1593921
2009-04-20,726.000,726.500,698.000,695.985,251277
2009-04-21,699.000,703.500,686.000,693.494,368379
2009-04-22,702.000,712.000,700.000,709.437,306841
2009-04-23,707.500,719.500,707.500,710.433,139820
2009-04-24,713.500,732.500,713.500,729.863,146119
2009-04-27,727.500,727.500,718.000,722.390,414212
2009-04-28,708.500,717.500,703.000,707.942,820096
2009-04-29,714.500,730.000,714.500,724.383,275230
