date,open,high,low,close,volume
1990-01-02,1814.380,1814.380,1814.380,1814.380,0
1990-01-03,1869.660,1869.660,1869.660,1869.660,0
1990-01-04,1835.880,1835.880,1835.880,1835.880,0
1990-01-05,1820.000,1820.000,1820.000,1820.000,0
1990-01-08,1843.230,1843.230,1843.230,1843.230,0
1990-01-09,1865.940,1865.940,1865.940,1865.940,0
1990-01-10,1839.630,1839.630,1839.630,1839.630,0
1990-01-11,1855.830,1855.830,1855.830,1855.830,0
1990-01-12,1855.660,1855.660,1855.660,1855.660,0
1990-01-15,1841.610,1841.610,1841.610,1841.610,0
1990-01-16,1788.680,1788.680,1788.680,1788.680,0
1990-01-17,1802.480,1802.480,1802.480,1802.480,0
1990-01-18,1779.170,1779.170,1779.170,1779.170,0
1990-01-19,1773.560,1773.560,1773.560,1773.560,0
1990-01-22,1779.300,1779.300,1779.300,1779.300,0
1990-01-23,1801.520,1801.520,1801.520,1801.520,0
1990-01-24,1756.410,1756.410,1756.410,1756.410,0
1990-01-25,1787.590,1787.590,1787.590,1787.590,0
1990-01-26,1794.140,1794.140,1794.140,1794.140,0
1990-01-29,1811.550,1811.550,1811.550,1811.550,0
1990-01-30,1812.900,1812.900,1812.900,1812.900,0
1990-01-31,1822.780,1822.780,1822.780,1822.780,0
1990-02-01,1858.080,1858.080,1858.080,1858.080,0
1990-02-02,1910.670,1910.670,1910.670,1910.670,0
1990-02-05,1939.430,1939.430,1939.430,1939.430,0
1990-02-06,1937.720,1937.720,1937.720,1937.720,0
1990-02-07,1904.960,1904.960,1904.960,1904.960,0
1990-02-08,1915.790,1915.790,1915.790,1915.790,0
1990-02-09,1885.890,1885.890,1885.890,1885.890,0
1990-02-12,1860.390,1860.390,1860.390,1860.390,0
1990-02-13,1840.980,1840.980,1840.980,1840.980,0
1990-02-14,1832.230,1832.230,1832.230,1832.230,0
1990-02-15,1850.960,1850.960,1850.960,1850.960,0
1990-02-16,1893.660,1893.660,1893.660,1893.660,0
1990-02-19,1869.190,1869.190,1869.190,1869.190,0
1990-02-20,1823.810,1823.810,1823.810,1823.810,0
1990-02-21,1807.190,1807.190,1807.190,1807.190,0
1990-02-22,1820.150,1820.150,1820.150,1820.150,0
1990-02-23,1789.640,1789.640,1789.640,1789.640,0
1990-02-26,1776.040,1776.040,1776.040,1776.040,0
1990-02-27,1804.320,1804.320,1804.320,1804.320,0
1990-02-28,1809.920,1809.920,1809.920,1809.920,0
1990-03-01,1787.870,1787.870,1787.870,1787.870,0
1990-03-02,1818.230,1818.230,1818.230,1818.230,0
1990-03-05,1833.160,1833.160,1833.160,1833.160,0
1990-03-06,1822.220,1822.220,1822.220,1822.220,0
1990-03-07,1844.720,1844.720,1844.720,1844.720,0
1990-03-08,1860.920,1860.920,1860.920,1860.920,0
1990-03-09,1858.740,1858.740,1858.740,1858.740,0
1990-03-12,1846.080,1846.080,1846.080,1846.080,0
1990-03-13,1867.480,1867.480,1867.480,1867.480,0
1990-03-14,1862.840,1862.840,1862.840,1862.840,0
1990-03-15,1879.360,1879.360,1879.360,1879.360,0
