date,open,high,low,close,volume
2005-02-25,13.978,14.084,13.940,14.039,99459
2005-02-28,14.108,14.121,13.993,14.046,145108
2005-03-01,14.101,14.130,14.062,14.077,139451
2005-03-02,14.001,14.101,13.940,14.023,155105
2005-03-03,14.077,14.101,13.933,14.016,113272
2005-03-04,14.177,14.344,14.177,14.236,160370
2005-03-07,14.244,14.305,14.168,14.253,198126
2005-03-08,14.281,14.320,14.244,14.290,98931
2005-03-09,14.290,14.305,14.215,14.230,174839
2005-03-10,14.253,14.296,14.138,14.215,89459
2005-03-11,14.261,14.344,14.191,14.224,75777
2005-03-14,14.244,14.274,14.160,14.274,114846
2005-03-15,14.215,14.244,14.121,14.130,83274
2005-03-16,14.146,14.168,13.972,14.023,247064
2005-03-17,14.001,14.215,13.972,14.032,182339
2005-03-18,14.008,14.023,13.933,13.963,75382
2005-03-21,13.835,13.910,13.735,13.767,224702
2005-03-22,13.790,13.910,13.569,13.569,100511
2005-03-23,13.569,13.683,13.540,13.614,136428
2005-03-24,13.683,13.750,13.638,13.666,41307
2005-03-28,13.614,13.645,13.576,13.638,61043
2005-03-29,13.598,13.666,13.576,13.608,207728
2005-03-30,13.614,13.774,13.614,13.759,205625
2005-03-31,13.759,13.835,13.674,13.742,111958
2005-04-01,13.820,13.886,13.614,13.657,355338
2005-04-04,13.629,13.657,13.500,13.608,203127
2005-04-05,13.608,13.657,13.598,13.620,39468
2005-04-06,13.645,13.759,13.645,13.683,74594
2005-04-07,13.721,13.835,13.697,13.721,110244
2005-04-08,13.735,13.842,13.705,13.774,82618
2005-04-11,13.872,13.910,13.835,13.848,27364
2005-04-12,13.796,13.946,13.697,13.872,175105
2005-04-13,13.767,13.842,13.713,13.713,151423
2005-04-14,13.735,13.796,13.652,13.683,301530
2005-04-15,13.598,13.657,13.377,13.386,121033
2005-04-18,13.317,13.446,13.317,13.348,268510
2005-04-19,13.355,13.394,13.317,13.394,224702
2005-04-20,13.309,13.408,13.166,13.174,159974
2005-04-21,13.386,13.552,13.348,13.492,176156
2005-04-22,13.431,13.454,13.279,13.348,104852
2005-04-25,13.408,13.446,13.394,13.417,59463
2005-04-26,13.348,13.377,13.255,13.255,154053
2005-04-27,13.151,13.248,13.143,13.198,182602
2005-04-28,13.158,13.454,12.974,12.982,166157
2005-04-29,13.191,13.198,13.059,13.151,91435
2005-05-02,13.191,13.203,13.105,13.181,73409
2005-05-03,13.225,13.272,13.203,13.225,94194
2005-05-04,13.303,13.552,13.295,13.552,380730
2005-05-05,13.523,13.569,13.426,13.464,55648
2005-05-06,13.440,13.500,13.403,13.408,94194
2005-05-09,13.371,13.440,13.325,13.431,97092
2005-05-10,13.340,13.365,13.303,13.303,116033
2005-05-11,13.287,13.340,13.210,13.334,99196
2005-05-12,13.248,13.303,13.127,13.127,118139
2005-05-13,13.111,13.191,13.000,13.043,165502
2005-05-16,13.036,13.198,13.036,13.198,55386
2005-05-17,12.992,13.166,12.992,13.151,68674
2005-05-18,13.191,13.417,13.174,13.348,173392
2005-05-19,13.340,13.484,13.340,13.431,202731
2005-05-20,13.454,13.454,13.309,13.403,407302
2005-05-23,13.484,13.598,13.426,13.583,593195
2005-05-24,13.531,13.531,13.454,13.454,322056
2005-05-25,13.569,13.569,13.454,13.552,493212
2005-05-26,13.531,13.569,13.500,13.561,501236
2005-05-27,13.569,13.674,13.561,13.674,477161
2005-05-31,13.454,13.492,13.417,13.431,760667
2005-06-01,13.377,13.547,13.340,13.454,601746
2005-06-02,13.454,13.614,13.454,13.614,254827
2005-06-03,13.547,13.547,13.365,13.417,400858
2005-06-06,13.470,13.531,13.431,13.492,482556
2005-06-07,13.523,13.645,13.515,13.614,399148
2005-06-08,13.657,13.674,13.476,13.523,360733
2005-06-09,13.540,13.638,13.470,13.552,327974
2005-06-10,13.608,13.674,13.484,13.540,415592
2005-06-13,13.492,13.576,13.440,13.569,711860
2005-06-14,13.523,13.540,13.464,13.500,149977
2005-06-15,13.492,13.592,13.377,13.426,105772
2005-06-16,13.464,13.576,13.446,13.569,228121
2005-06-17,13.674,13.872,13.674,13.872,302847
2005-06-20,13.652,13.721,13.569,13.657,858287
2005-06-21,13.666,13.705,13.608,13.697,454798
2005-06-22,13.691,13.697,13.614,13.614,218255
2005-06-23,13.569,13.645,13.454,13.454,252854
2005-06-24,13.454,13.500,13.386,13.417,88932
2005-06-27,13.431,13.470,13.377,13.386,217071
2005-06-28,13.377,13.531,13.377,13.531,649897
2005-06-29,13.484,13.561,13.394,13.454,191417
2005-06-30,13.547,13.583,13.470,13.484,225489
2005-07-01,13.515,13.552,13.408,13.426,579906
2005-07-05,13.348,13.431,13.272,13.279,806055
2005-07-06,13.371,13.454,13.309,13.386,263381
2005-07-07,13.295,13.317,13.136,13.317,854599
2005-07-08,13.240,13.547,13.198,13.547,503473
2005-07-11,13.598,13.759,13.598,13.759,234038
2005-07-12,13.835,13.963,13.813,13.910,169182
2005-07-13,13.835,13.835,13.759,13.796,290086
2005-07-14,13.894,13.902,13.813,13.842,351656
2005-07-15,13.842,13.886,13.796,13.864,49202
2005-07-18,13.902,13.918,13.813,13.881,173657
2005-07-19,13.886,14.054,13.842,13.993,180365
2005-07-20,14.032,14.253,13.963,14.244,236801
2005-07-21,14.359,14.403,14.224,14.359,210231
2005-07-22,14.268,14.329,14.191,14.253,135371
2005-07-25,14.177,14.244,14.154,14.215,103407
2005-07-26,14.191,14.236,14.108,14.207,117613
2005-07-27,14.230,14.364,14.199,14.344,164186
2005-07-28,14.436,14.540,14.396,14.519,478608
2005-07-29,14.540,14.540,14.396,14.396,471635
2005-08-01,14.611,14.663,14.487,14.618,263246
2005-08-02,14.632,14.708,14.596,14.678,221279
