date,open,high,low,close,volume
2004-11-18,44.430,44.490,44.070,44.380,5992000
2004-11-19,44.490,44.920,44.470,44.780,11655300
2004-11-22,44.750,44.970,44.740,44.950,11996000
2004-11-23,44.880,44.920,44.720,44.750,3169200
2004-11-24,44.930,45.050,44.790,45.050,6105100
2004-11-26,45.250,45.600,45.060,45.290,3097700
2004-11-29,45.100,45.500,45.080,45.400,3759000
2004-11-30,45.370,45.410,44.820,45.120,3857200
2004-12-01,45.280,45.590,45.260,45.380,2037500
2004-12-02,45.550,45.570,44.680,44.950,6457800
2004-12-03,45.040,46.000,44.800,45.600,4218300
2004-12-06,45.390,45.470,45.110,45.170,3102400
2004-12-07,45.300,45.320,45.070,45.110,3797300
2004-12-08,43.800,44.020,43.360,44.010,6148600
2004-12-09,43.750,43.900,43.200,43.780,3553400
2004-12-10,43.370,43.600,43.310,43.440,2464300
2004-12-13,43.610,44.010,43.510,43.910,1445100
2004-12-14,43.760,43.800,43.510,43.550,2240600
2004-12-15,44.100,44.170,43.920,43.990,2641400
2004-12-16,43.990,44.050,43.580,43.680,3269800
2004-12-17,43.930,44.220,43.780,44.190,1889300
2004-12-20,44.330,44.370,44.130,44.340,1942100
2004-12-21,44.130,44.240,44.050,44.220,1373400
2004-12-22,44.200,44.230,43.890,44.020,2705800
2004-12-23,44.170,44.350,44.050,44.270,639800
2004-12-27,44.290,44.560,44.270,44.480,2643500
2004-12-28,44.420,44.470,44.290,44.370,773200
2004-12-29,43.920,44.020,43.350,43.660,5632200
2004-12-30,43.500,43.880,43.490,43.830,1289600
2004-12-31,43.850,43.940,43.730,43.800,531600
2005-01-03,42.980,43.170,42.740,43.020,4750400
2005-01-04,42.800,42.910,42.460,42.740,3456800
2005-01-05,42.750,42.880,42.600,42.670,2033600
2005-01-06,42.480,42.560,42.070,42.150,2556400
2005-01-07,42.090,42.390,41.700,41.840,4492700
2005-01-10,41.990,42.070,41.890,41.950,1025800
2005-01-11,42.210,42.280,42.120,42.210,1507300
2005-01-12,42.520,42.790,42.480,42.600,1738000
2005-01-13,42.390,42.600,42.340,42.600,718300
2005-01-14,42.190,42.320,42.130,42.320,1262300
2005-01-18,42.220,42.380,42.150,42.320,666800
