date,open,high,low,close,volume
2004-08-19,2.491,2.592,2.390,2.479,897427216
2004-08-20,2.516,2.717,2.503,2.676,458857488
2004-08-23,2.758,2.826,2.716,2.703,366857939
2004-08-24,2.771,2.780,2.580,2.591,306396159
2004-08-25,2.614,2.690,2.587,2.619,184645512
2004-08-26,2.614,2.689,2.607,2.666,142572401
2004-08-27,2.692,2.705,2.632,2.622,124826132
2004-08-30,2.622,2.627,2.541,2.520,104429967
2004-08-31,2.548,2.583,2.544,2.529,98825037
2004-09-01,2.558,2.565,2.482,2.477,183633734
2004-09-02,2.470,2.550,2.464,2.508,303810504
2004-09-03,2.514,2.534,2.474,2.471,103538639
2004-09-07,2.516,2.540,2.481,2.509,117506800
2004-09-08,2.509,2.566,2.503,2.527,100186120
2004-09-09,2.554,2.558,2.516,2.527,81620792
2004-09-10,2.531,2.654,2.523,2.602,174804764
2004-09-13,2.656,2.700,2.652,2.656,157628624
2004-09-14,2.676,2.790,2.660,2.754,217608605
2004-09-15,2.754,2.845,2.745,2.767,215279909
2004-09-16,2.798,2.884,2.781,2.815,186207345
2004-09-17,2.850,2.926,2.828,2.902,190350817
2004-09-20,2.913,3.029,2.908,2.949,213585582
2004-09-21,2.984,2.999,2.927,2.911,145262446
2004-09-22,2.924,2.981,2.909,2.924,152344894
2004-09-23,2.960,3.054,2.915,2.985,171524515
2004-09-24,3.012,3.091,2.983,2.960,183336625
2004-09-27,2.978,3.011,2.934,2.921,141994242
2004-09-28,3.021,3.173,2.994,3.134,340190355
2004-09-29,3.156,3.363,3.144,3.238,613229953
2004-09-30,3.235,3.295,3.213,3.202,276468402
2004-10-01,3.258,3.343,3.210,3.275,303934969
2004-10-04,3.369,3.409,3.338,3.336,261693228
2004-10-05,3.354,3.450,3.294,3.418,300887589
2004-10-06,3.426,3.448,3.387,3.386,268900140
2004-10-07,3.410,3.484,3.401,3.430,283643194
2004-10-08,3.455,3.479,3.413,3.402,222442656
2004-10-11,3.412,3.459,3.334,3.341,210437827
2004-10-12,3.348,3.427,3.323,3.394,234419380
2004-10-13,3.570,3.575,3.489,3.481,397203256
2004-10-14,3.512,3.546,3.451,3.508,209835578
2004-10-15,3.610,3.624,3.535,3.560,265150137
2004-10-18,3.567,3.716,3.517,3.685,282061287
2004-10-19,3.748,3.796,3.670,3.655,363918964
2004-10-20,3.687,3.711,3.477,3.471,456613107
2004-10-21,3.597,3.739,3.527,3.690,585767401
2004-10-22,4.248,4.487,4.087,4.260,1481207196
2004-10-25,4.394,4.843,4.298,4.629,1315480331
2004-10-26,4.641,4.798,4.483,4.491,895628499
2004-10-27,4.551,4.720,4.527,4.594,536262538
2004-10-28,4.650,4.842,4.623,4.775,596097978
2004-10-29,4.954,4.980,4.747,4.710,849672890
2004-11-01,4.821,4.923,4.764,4.843,490828877
2004-11-02,4.951,4.963,4.815,4.814,455553149
2004-11-03,4.936,5.021,4.751,4.735,557630330
2004-11-04,4.693,4.742,4.567,4.563,578544429
2004-11-05,4.533,4.540,4.198,4.184,796297573
2004-11-08,4.257,4.370,4.219,4.263,449349985
