date,open,high,low,close,volume
2004-08-19,2.503,2.604,2.401,2.490,893181924
2004-08-20,2.528,2.730,2.515,2.688,456686856
2004-08-23,2.772,2.840,2.729,2.715,365122512
2004-08-24,2.784,2.793,2.592,2.603,304946748
2004-08-25,2.627,2.703,2.600,2.631,183772044
2004-08-26,2.626,2.701,2.619,2.678,141897960
2004-08-27,2.705,2.718,2.645,2.635,124235640
2004-08-30,2.635,2.640,2.553,2.532,103935960
2004-08-31,2.560,2.595,2.557,2.541,98357544
2004-09-01,2.570,2.577,2.494,2.488,182765052
2004-09-02,2.482,2.562,2.476,2.519,302373324
2004-09-03,2.526,2.546,2.485,2.482,103048848
2004-09-07,2.528,2.553,2.493,2.521,116950932
2004-09-08,2.521,2.578,2.515,2.539,99712188
2004-09-09,2.566,2.570,2.528,2.539,81234684
2004-09-10,2.543,2.667,2.535,2.614,173977848
2004-09-13,2.668,2.713,2.664,2.668,156882960
2004-09-14,2.689,2.803,2.672,2.767,216579204
2004-09-15,2.767,2.859,2.758,2.780,214261524
2004-09-16,2.811,2.898,2.794,2.829,185326488
2004-09-17,2.863,2.940,2.842,2.916,189450360
2004-09-20,2.927,3.043,2.922,2.963,212575212
2004-09-21,2.998,3.014,2.941,2.925,144575280
2004-09-22,2.938,2.995,2.923,2.938,151624224
2004-09-23,2.974,3.069,2.928,2.999,170713116
2004-09-24,3.027,3.106,2.997,2.974,182469348
2004-09-27,2.992,3.025,2.948,2.935,141322536
2004-09-28,3.036,3.188,3.008,3.149,338581080
2004-09-29,3.171,3.379,3.159,3.253,610329060
2004-09-30,3.251,3.311,3.228,3.217,275160564
2004-10-01,3.273,3.359,3.226,3.291,302497200
2004-10-04,3.385,3.425,3.354,3.352,260455284
2004-10-05,3.370,3.467,3.309,3.434,299464236
2004-10-06,3.442,3.465,3.403,3.402,267628104
2004-10-07,3.426,3.501,3.417,3.446,282301416
2004-10-08,3.471,3.495,3.429,3.418,221390388
2004-10-11,3.428,3.475,3.350,3.357,209442348
2004-10-12,3.364,3.444,3.338,3.410,233310456
2004-10-13,3.587,3.592,3.506,3.497,395324280
2004-10-14,3.529,3.563,3.467,3.524,208842948
2004-10-15,3.627,3.641,3.552,3.577,263895840
2004-10-18,3.584,3.734,3.534,3.702,280726992
2004-10-19,3.766,3.814,3.687,3.672,362197440
2004-10-20,3.704,3.728,3.493,3.487,454453092
2004-10-21,3.614,3.757,3.544,3.708,582996420
2004-10-22,4.268,4.509,4.106,4.280,1474200324
2004-10-25,4.414,4.866,4.318,4.651,1309257432
2004-10-26,4.663,4.821,4.505,4.512,891391716
2004-10-27,4.573,4.743,4.549,4.616,533725740
2004-10-28,4.672,4.865,4.645,4.798,593278128
2004-10-29,4.977,5.004,4.770,4.732,845653500
2004-11-01,4.844,4.947,4.787,4.865,488507004
2004-11-02,4.974,4.986,4.838,4.837,453398148
2004-11-03,4.959,5.045,4.774,4.757,554992452
2004-11-04,4.716,4.765,4.588,4.584,575807616
2004-11-05,4.554,4.562,4.218,4.203,792530676
2004-11-08,4.278,4.390,4.239,4.283,447224328
2004-11-09,4.357,4.384,4.136,4.187,442125432
2004-11-10,4.271,4.317,4.162,4.166,425334240
2004-11-11,4.232,4.598,4.193,4.543,598820580
2004-11-12,4.635,4.750,4.439,4.517,669174156
2004-11-15,4.516,4.713,4.473,4.588,475583940
2004-11-16,4.442,4.491,4.275,4.282,835859304
2004-11-17,4.230,4.442,4.229,4.281,724590684
2004-11-18,4.262,4.365,4.147,4.158,664518816
2004-11-19,4.232,4.254,4.167,4.204,350421228
2004-11-22,4.116,4.242,4.037,4.098,494233272
2004-11-23,4.203,4.275,4.167,4.158,496035468
2004-11-24,4.375,4.435,4.317,4.338,610628760
