date,open,high,low,close,volume
1990-01-02,460.680,460.680,460.680,460.680,0
1990-01-03,472.980,472.980,472.980,472.980,0
1990-01-04,492.120,492.120,492.120,492.120,0
1990-01-05,488.930,488.930,488.930,488.930,0
1990-01-08,493.160,493.160,493.160,493.160,0
1990-01-09,505.640,505.640,505.640,505.640,0
1990-01-10,507.190,507.190,507.190,507.190,0
1990-01-11,511.740,511.740,511.740,511.740,0
1990-01-12,510.950,510.950,510.950,510.950,0
1990-01-15,519.100,519.100,519.100,519.100,0
1990-01-16,519.630,519.630,519.630,519.630,0
1990-01-17,511.450,511.450,511.450,511.450,0
1990-01-18,511.230,511.230,511.230,511.230,0
1990-01-19,518.410,518.410,518.410,518.410,0
1990-01-22,519.150,519.150,519.150,519.150,0
1990-01-23,517.300,517.300,517.300,517.300,0
1990-01-24,520.080,520.080,520.080,520.080,0
1990-01-25,525.370,525.370,525.370,525.370,0
1990-01-26,530.830,530.830,530.830,530.830,0
1990-01-29,537.480,537.480,537.480,537.480,0
1990-01-30,540.720,540.720,540.720,540.720,0
1990-01-31,540.510,540.510,540.510,540.510,0
1990-02-01,540.540,540.540,540.540,540.540,0
1990-02-02,537.130,537.130,537.130,537.130,0
1990-02-05,541.840,541.840,541.840,541.840,0
1990-02-06,547.440,547.440,547.440,547.440,0
1990-02-07,556.730,556.730,556.730,556.730,0
1990-02-08,559.490,559.490,559.490,559.490,0
1990-02-09,566.340,566.340,566.340,566.340,0
1990-02-12,568.210,568.210,568.210,568.210,0
1990-02-13,561.250,561.250,561.250,561.250,0
1990-02-14,567.530,567.530,567.530,567.530,0
1990-02-15,573.590,573.590,573.590,573.590,0
1990-02-16,577.020,577.020,577.020,577.020,0
1990-02-19,594.680,594.680,594.680,594.680,0
1990-02-20,610.290,610.290,610.290,610.290,0
1990-02-21,596.820,596.820,596.820,596.820,0
1990-02-22,596.070,596.070,596.070,596.070,0
1990-02-23,593.530,593.530,593.530,593.530,0
1990-02-27,586.020,586.020,586.020,586.020,0
1990-02-28,595.360,595.360,595.360,595.360,0
1990-03-01,623.760,623.760,623.760,623.760,0
1990-03-02,634.300,634.300,634.300,634.300,0
1990-03-05,643.350,643.350,643.350,643.350,0
1990-03-06,650.330,650.330,650.330,650.330,0
1990-03-07,652.070,652.070,652.070,652.070,0
1990-03-08,655.040,655.040,655.040,655.040,0
1990-03-09,675.840,675.840,675.840,675.840,0
1990-03-12,646.930,646.930,646.930,646.930,0
1990-03-13,711.770,711.770,711.770,711.770,0
1990-03-14,711.370,711.370,711.370,711.370,0
1990-03-15,681.320,681.320,681.320,681.320,0
1990-03-16,688.620,688.620,688.620,688.620,0
1990-03-19,706.370,706.370,706.370,706.370,0
1990-03-20,701.250,701.250,701.250,701.250,0
1990-03-21,690.750,690.750,690.750,690.750,0
1990-03-22,679.690,679.690,679.690,679.690,0
1990-03-23,665.810,665.810,665.810,665.810,0
1990-03-26,668.830,668.830,668.830,668.830,0
1990-03-27,663.600,663.600,663.600,663.600,0
1990-03-28,652.900,652.900,652.900,652.900,0
1990-03-29,636.740,636.740,636.740,636.740,0
1990-03-30,646.310,646.310,646.310,646.310,0
1990-04-02,641.410,641.410,641.410,641.410,0
1990-04-03,651.070,651.070,651.070,651.070,0
1990-04-04,670.720,670.720,670.720,670.720,0
1990-04-05,669.750,669.750,669.750,669.750,0
1990-04-06,671.990,671.990,671.990,671.990,0
1990-04-09,771.040,771.040,771.040,771.040,0
1990-04-10,822.610,822.610,822.610,822.610,0
1990-04-11,795.170,795.170,795.170,795.170,0
1990-04-12,807.720,807.720,807.720,807.720,0
1990-04-17,828.230,828.230,828.230,828.230,0
1990-04-18,843.330,843.330,843.330,843.330,0
1990-04-19,860.100,860.100,860.100,860.100,0
1990-04-20,902.120,902.120,902.120,902.120,0
1990-04-23,961.580,961.580,961.580,961.580,0
1990-04-24,949.630,949.630,949.630,949.630,0
1990-04-25,929.390,929.390,929.390,929.390,0
1990-04-26,933.170,933.170,933.170,933.170,0
1990-04-27,959.560,959.560,959.560,959.560,0
1990-04-30,973.550,973.550,973.550,973.550,0
1990-05-02,968.690,968.690,968.690,968.690,0
1990-05-03,984.960,984.960,984.960,984.960,0
1990-05-04,1002.070,1002.070,1002.070,1002.070,0
1990-05-07,994.390,994.390,994.390,994.390,0
1990-05-08,985.780,985.780,985.780,985.780,0
1990-05-09,974.680,974.680,974.680,974.680,0
1990-05-10,968.860,968.860,968.860,968.860,0
1990-05-11,986.110,986.110,986.110,986.110,0
1990-05-14,1015.050,1015.050,1015.050,1015.050,0
1990-05-15,1040.080,1040.080,1040.080,1040.080,0
1990-05-16,1071.480,1071.480,1071.480,1071.480,0
1990-05-17,1093.480,1093.480,1093.480,1093.480,0
1990-05-18,1102.170,1102.170,1102.170,1102.170,0
1990-05-21,1126.850,1126.850,1126.850,1126.850,0
1990-05-22,1119.600,1119.600,1119.600,1119.600,0
1990-05-23,1119.050,1119.050,1119.050,1119.050,0
1990-05-24,1102.240,1102.240,1102.240,1102.240,0
1990-05-25,1100.320,1100.320,1100.320,1100.320,0
1990-05-28,1111.980,1111.980,1111.980,1111.980,0
1990-05-29,1101.160,1101.160,1101.160,1101.160,0
1990-05-30,1087.250,1087.250,1087.250,1087.250,0
1990-05-31,1077.490,1077.490,1077.490,1077.490,0
1990-06-01,1109.450,1109.450,1109.450,1109.450,0
1990-06-05,1138.380,1138.380,1138.380,1138.380,0
1990-06-06,1154.570,1154.570,1154.570,1154.570,0
1990-06-07,1177.720,1177.720,1177.720,1177.720,0
1990-06-08,1184.940,1184.940,1184.940,1184.940,0
1990-06-11,1211.950,1211.950,1211.950,1211.950,0
1990-06-12,1249.180,1249.180,1249.180,1249.180,0
1990-06-13,1280.230,1280.230,1280.230,1280.230,0
1990-06-14,1268.350,1268.350,1268.350,1268.350,0
1990-06-15,1290.460,1290.460,1290.460,1290.460,0
1990-06-18,1330.870,1330.870,1330.870,1330.870,0
1990-06-19,1353.080,1353.080,1353.080,1353.080,0
1990-06-20,1394.140,1394.140,1394.140,1394.140,0
1990-06-21,1422.440,1422.440,1422.440,1422.440,0
1990-06-22,1428.780,1428.780,1428.780,1428.780,0
1990-06-25,1491.840,1491.840,1491.840,1491.840,0
1990-06-26,1572.290,1572.290,1572.290,1572.290,0
1990-06-27,1562.380,1562.380,1562.380,1562.380,0
1990-06-28,1556.980,1556.980,1556.980,1556.980,0
1990-06-29,1553.430,1553.430,1553.430,1553.430,0
1990-07-02,1579.670,1579.670,1579.670,1579.670,0
1990-07-03,1632.030,1632.030,1632.030,1632.030,0
1990-07-04,1650.460,1650.460,1650.460,1650.460,0
1990-07-05,1684.310,1684.310,1684.310,1684.310,0
1990-07-09,1658.030,1658.030,1658.030,1658.030,0
1990-07-10,1598.460,1598.460,1598.460,1598.460,0
1990-07-12,1560.760,1560.760,1560.760,1560.760,0
1990-07-13,1598.650,1598.650,1598.650,1598.650,0
1990-07-16,1661.640,1661.640,1661.640,1661.640,0
1990-07-17,1641.070,1641.070,1641.070,1641.070,0
1990-07-18,1603.050,1603.050,1603.050,1603.050,0
1990-07-19,1597.900,1597.900,1597.900,1597.900,0
1990-07-23,1604.060,1604.060,1604.060,1604.060,0
1990-07-24,1533.240,1533.240,1533.240,1533.240,0
1990-07-25,1508.270,1508.270,1508.270,1508.270,0
1990-07-26,1507.120,1507.120,1507.120,1507.120,0
1990-07-30,1527.660,1527.660,1527.660,1527.660,0
1990-07-31,1521.010,1521.010,1521.010,1521.010,0
1990-08-01,1501.570,1501.570,1501.570,1501.570,0
1990-08-02,1489.010,1489.010,1489.010,1489.010,0
1990-08-06,1405.090,1405.090,1405.090,1405.090,0
1990-08-07,1304.530,1304.530,1304.530,1304.530,0
1990-08-08,1354.500,1354.500,1354.500,1354.500,0
1990-08-09,1412.220,1412.220,1412.220,1412.220,0
1990-08-13,1447.850,1447.850,1447.850,1447.850,0
1990-08-14,1454.520,1454.520,1454.520,1454.520,0
1990-08-16,1496.610,1496.610,1496.610,1496.610,0
1990-08-20,1425.020,1425.020,1425.020,1425.020,0
1990-08-21,1366.850,1366.850,1366.850,1366.850,0
1990-08-22,1368.050,1368.050,1368.050,1368.050,0
1990-08-23,1326.440,1326.440,1326.440,1326.440,0
1990-08-27,1357.480,1357.480,1357.480,1357.480,0
1990-08-28,1398.820,1398.820,1398.820,1398.820,0
1990-08-29,1376.980,1376.980,1376.980,1376.980,0
1990-08-30,1379.260,1379.260,1379.260,1379.260,0
1990-09-03,1397.050,1397.050,1397.050,1397.050,0
1990-09-04,1370.400,1370.400,1370.400,1370.400,0
1990-09-05,1315.050,1315.050,1315.050,1315.050,0
1990-09-06,1311.280,1311.280,1311.280,1311.280,0
1990-09-10,1276.240,1276.240,1276.240,1276.240,0
1990-09-11,1240.970,1240.970,1240.970,1240.970,0
1990-09-12,1219.640,1219.640,1219.640,1219.640,0
1990-09-17,1302.200,1302.200,1302.200,1302.200,0
1990-09-18,1344.420,1344.420,1344.420,1344.420,0
1990-09-24,1238.300,1238.300,1238.300,1238.300,0
1990-09-25,1150.300,1150.300,1150.300,1150.300,0
1990-10-01,1082.460,1082.460,1082.460,1082.460,0
1990-10-02,1130.060,1130.060,1130.060,1130.060,0
1990-10-03,1165.740,1165.740,1165.740,1165.740,0
1990-10-04,1163.180,1163.180,1163.180,1163.180,0
1990-10-05,1154.440,1154.440,1154.440,1154.440,0
1990-10-08,1173.320,1173.320,1173.320,1173.320,0
1990-10-09,1168.550,1168.550,1168.550,1168.550,0
1990-10-10,1141.690,1141.690,1141.690,1141.690,0
1990-10-11,1118.120,1118.120,1118.120,1118.120,0
1990-10-12,1089.320,1089.320,1089.320,1089.320,0
1990-10-15,1050.570,1050.570,1050.570,1050.570,0
1990-10-16,1053.310,1053.310,1053.310,1053.310,0
1990-10-17,1026.190,1026.190,1026.190,1026.190,0
1990-10-18,997.890,997.890,997.890,997.890,0
1990-10-19,1023.920,1023.920,1023.920,1023.920,0
1990-10-22,1054.080,1054.080,1054.080,1054.080,0
1990-10-23,1078.540,1078.540,1078.540,1078.540,0
1990-10-24,1070.970,1070.970,1070.970,1070.970,0
1990-10-25,1053.960,1053.960,1053.960,1053.960,0
1990-10-26,1031.570,1031.570,1031.570,1031.570,0
1990-10-29,1010.470,1010.470,1010.470,1010.470,0
1990-10-30,989.160,989.160,989.160,989.160,0
1990-10-31,972.660,972.660,972.660,972.660,0
1990-11-01,925.800,925.800,925.800,925.800,0
1990-11-02,908.290,908.290,908.290,908.290,0
1990-11-05,949.640,949.640,949.640,949.640,0
1990-11-06,915.670,915.670,915.670,915.670,0
1990-11-07,895.420,895.420,895.420,895.420,0
1990-11-08,839.700,839.700,839.700,839.700,0
1990-11-09,810.560,810.560,810.560,810.560,0
1990-11-12,752.140,752.140,752.140,752.140,0
1990-11-13,782.060,782.060,782.060,782.060,0
1990-11-14,819.930,819.930,819.930,819.930,0
1990-11-15,827.790,827.790,827.790,827.790,0
1990-11-16,816.380,816.380,816.380,816.380,0
1990-11-19,884.260,884.260,884.260,884.260,0
1990-11-20,865.150,865.150,865.150,865.150,0
1990-11-21,873.410,873.410,873.410,873.410,0
1990-11-22,901.400,901.400,901.400,901.400,0
1990-11-23,906.170,906.170,906.170,906.170,0
1990-11-26,882.450,882.450,882.450,882.450,0
1990-11-27,855.180,855.180,855.180,855.180,0
1990-11-28,841.940,841.940,841.940,841.940,0
1990-11-29,858.370,858.370,858.370,858.370,0
1990-11-30,882.140,882.140,882.140,882.140,0
1990-12-03,1001.890,1001.890,1001.890,1001.890,0
1990-12-04,955.040,955.040,955.040,955.040,0
1990-12-05,977.220,977.220,977.220,977.220,0
1990-12-06,1010.410,1010.410,1010.410,1010.410,0
1990-12-07,1049.590,1049.590,1049.590,1049.590,0
1990-12-10,1070.040,1070.040,1070.040,1070.040,0
1990-12-11,1022.450,1022.450,1022.450,1022.450,0
1990-12-12,1020.710,1020.710,1020.710,1020.710,0
1990-12-13,1035.470,1035.470,1035.470,1035.470,0
1990-12-14,1017.930,1017.930,1017.930,1017.930,0
1990-12-17,971.190,971.190,971.190,971.190,0
1990-12-18,971.420,971.420,971.420,971.420,0
1990-12-19,978.370,978.370,978.370,978.370,0
1990-12-20,946.590,946.590,946.590,946.590,0
1990-12-21,966.250,966.250,966.250,966.250,0
1990-12-24,942.840,942.840,942.840,942.840,0
1990-12-27,935.180,935.180,935.180,935.180,0
1990-12-28,931.600,931.600,931.600,931.600,0
1990-12-31,932.000,932.000,932.000,932.000,0
1991-01-02,949.210,949.210,949.210,949.210,0
1991-01-03,948.920,948.920,948.920,948.920,0
1991-01-04,960.600,960.600,960.600,960.600,0
1991-01-07,968.620,968.620,968.620,968.620,0
1991-01-08,947.620,947.620,947.620,947.620,0
1991-01-09,958.140,958.140,958.140,958.140,0
1991-01-10,939.000,939.000,939.000,939.000,0
1991-01-11,948.230,948.230,948.230,948.230,0
1991-01-14,928.110,928.110,928.110,928.110,0
1991-01-15,924.480,924.480,924.480,924.480,0
1991-01-16,921.640,921.640,921.640,921.640,0
1991-01-17,990.510,990.510,990.510,990.510,0
1991-01-18,955.110,955.110,955.110,955.110,0
1991-01-21,931.800,931.800,931.800,931.800,0
1991-01-22,910.220,910.220,910.220,910.220,0
1991-01-23,872.190,872.190,872.190,872.190,0
1991-01-24,896.280,896.280,896.280,896.280,0
1991-01-25,913.130,913.130,913.130,913.130,0
1991-01-28,902.980,902.980,902.980,902.980,0
1991-01-29,900.980,900.980,900.980,900.980,0
1991-01-30,893.360,893.360,893.360,893.360,0
1991-01-31,906.530,906.530,906.530,906.530,0
1991-02-01,912.030,912.030,912.030,912.030,0
1991-02-04,925.180,925.180,925.180,925.180,0
1991-02-05,951.780,951.780,951.780,951.780,0
1991-02-06,961.720,961.720,961.720,961.720,0
1991-02-07,962.290,962.290,962.290,962.290,0
1991-02-08,968.240,968.240,968.240,968.240,0
1991-02-11,995.260,995.260,995.260,995.260,0
1991-02-12,1022.580,1022.580,1022.580,1022.580,0
1991-02-13,1023.300,1023.300,1023.300,1023.300,0
1991-02-14,1070.640,1070.640,1070.640,1070.640,0
1991-02-15,1116.470,1116.470,1116.470,1116.470,0
1991-02-19,1221.390,1221.390,1221.390,1221.390,0
1991-02-20,1202.200,1202.200,1202.200,1202.200,0
1991-02-21,1173.330,1173.330,1173.330,1173.330,0
1991-02-22,1223.630,1223.630,1223.630,1223.630,0
1991-02-25,1240.640,1240.640,1240.640,1240.640,0
1991-02-26,1274.370,1274.370,1274.370,1274.370,0
1991-02-27,1258.270,1258.270,1258.270,1258.270,0
1991-02-28,1291.720,1291.720,1291.720,1291.720,0
1991-03-01,1291.010,1291.010,1291.010,1291.010,0
1991-03-04,1317.850,1317.850,1317.850,1317.850,0
1991-03-05,1313.730,1313.730,1313.730,1313.730,0
1991-03-06,1288.370,1288.370,1288.370,1288.370,0
1991-03-07,1295.420,1295.420,1295.420,1295.420,0
1991-03-08,1288.930,1288.930,1288.930,1288.930,0
1991-03-11,1262.140,1262.140,1262.140,1262.140,0
1991-03-12,1233.240,1233.240,1233.240,1233.240,0
1991-03-13,1250.310,1250.310,1250.310,1250.310,0
1991-03-14,1249.420,1249.420,1249.420,1249.420,0
1991-03-15,1252.410,1252.410,1252.410,1252.410,0
1991-03-18,1241.830,1241.830,1241.830,1241.830,0
1991-03-19,1217.520,1217.520,1217.520,1217.520,0
1991-03-20,1215.170,1215.170,1215.170,1215.170,0
1991-03-21,1229.420,1229.420,1229.420,1229.420,0
1991-03-22,1248.240,1248.240,1248.240,1248.240,0
1991-03-26,1257.980,1257.980,1257.980,1257.980,0
1991-03-27,1273.330,1273.330,1273.330,1273.330,0
1991-03-28,1265.310,1265.310,1265.310,1265.310,0
1991-03-29,1242.880,1242.880,1242.880,1242.880,0
1991-04-01,1229.490,1229.490,1229.490,1229.490,0
1991-04-02,1254.700,1254.700,1254.700,1254.700,0
1991-04-03,1277.320,1277.320,1277.320,1277.320,0
1991-04-04,1286.850,1286.850,1286.850,1286.850,0
1991-04-09,1287.530,1287.530,1287.530,1287.530,0
1991-04-10,1267.450,1267.450,1267.450,1267.450,0
1991-04-11,1269.020,1269.020,1269.020,1269.020,0
1991-04-12,1274.440,1274.440,1274.440,1274.440,0
1991-04-15,1269.420,1269.420,1269.420,1269.420,0
1991-04-16,1250.830,1250.830,1250.830,1250.830,0
1991-04-17,1245.590,1245.590,1245.590,1245.590,0
1991-04-18,1251.500,1251.500,1251.500,1251.500,0
1991-04-19,1246.970,1246.970,1246.970,1246.970,0
1991-04-22,1230.750,1230.750,1230.750,1230.750,0
1991-04-23,1200.950,1200.950,1200.950,1200.950,0
1991-04-24,1213.910,1213.910,1213.910,1213.910,0
1991-04-25,1212.490,1212.490,1212.490,1212.490,0
1991-04-26,1188.990,1188.990,1188.990,1188.990,0
1991-04-29,1153.370,1153.370,1153.370,1153.370,0
1991-04-30,1158.490,1158.490,1158.490,1158.490,0
1991-05-02,1172.230,1172.230,1172.230,1172.230,0
1991-05-03,1143.580,1143.580,1143.580,1143.580,0
1991-05-06,1093.230,1093.230,1093.230,1093.230,0
1991-05-07,1108.620,1108.620,1108.620,1108.620,0
1991-05-08,1098.230,1098.230,1098.230,1098.230,0
1991-05-09,1063.700,1063.700,1063.700,1063.700,0
1991-05-10,1076.440,1076.440,1076.440,1076.440,0
1991-05-13,1086.480,1086.480,1086.480,1086.480,0
1991-05-14,1072.240,1072.240,1072.240,1072.240,0
1991-05-15,1046.590,1046.590,1046.590,1046.590,0
1991-05-16,1018.950,1018.950,1018.950,1018.950,0
1991-05-17,1027.930,1027.930,1027.930,1027.930,0
1991-05-20,990.590,990.590,990.590,990.590,0
1991-05-21,984.750,984.750,984.750,984.750,0
1991-05-22,1008.230,1008.230,1008.230,1008.230,0
1991-05-23,1027.420,1027.420,1027.420,1027.420,0
1991-05-24,1043.400,1043.400,1043.400,1043.400,0
1991-05-28,1055.420,1055.420,1055.420,1055.420,0
1991-05-29,1021.900,1021.900,1021.900,1021.900,0
1991-05-30,1011.080,1011.080,1011.080,1011.080,0
1991-05-31,1019.360,1019.360,1019.360,1019.360,0
1991-06-03,1030.610,1030.610,1030.610,1030.610,0
1991-06-04,1018.390,1018.390,1018.390,1018.390,0
1991-06-05,1026.370,1026.370,1026.370,1026.370,0
1991-06-06,1036.430,1036.430,1036.430,1036.430,0
1991-06-07,1042.840,1042.840,1042.840,1042.840,0
1991-06-10,1040.830,1040.830,1040.830,1040.830,0
1991-06-11,1027.400,1027.400,1027.400,1027.400,0
1991-06-12,1024.260,1024.260,1024.260,1024.260,0
1991-06-13,1014.840,1014.840,1014.840,1014.840,0
1991-06-14,999.890,999.890,999.890,999.890,0
1991-06-17,992.170,992.170,992.170,992.170,0
1991-06-18,971.020,971.020,971.020,971.020,0
1991-06-19,966.840,966.840,966.840,966.840,0
1991-06-20,970.830,970.830,970.830,970.830,0
1991-06-21,978.210,978.210,978.210,978.210,0
1991-06-24,972.160,972.160,972.160,972.160,0
1991-06-25,966.260,966.260,966.260,966.260,0
1991-06-26,963.980,963.980,963.980,963.980,0
1991-06-27,955.800,955.800,955.800,955.800,0
1991-06-28,954.380,954.380,954.380,954.380,0
1991-07-01,934.860,934.860,934.860,934.860,0
1991-07-02,927.760,927.760,927.760,927.760,0
1991-07-03,916.480,916.480,916.480,916.480,0
1991-07-04,915.840,915.840,915.840,915.840,0
1991-07-05,921.230,921.230,921.230,921.230,0
1991-07-08,925.420,925.420,925.420,925.420,0
1991-07-09,938.520,938.520,938.520,938.520,0
1991-07-10,956.910,956.910,956.910,956.910,0
1991-07-11,962.010,962.010,962.010,962.010,0
1991-07-12,955.880,955.880,955.880,955.880,0
1991-07-15,948.880,948.880,948.880,948.880,0
1991-07-16,938.850,938.850,938.850,938.850,0
1991-07-17,933.430,933.430,933.430,933.430,0
1991-07-18,930.280,930.280,930.280,930.280,0
1991-07-19,932.960,932.960,932.960,932.960,0
1991-07-22,932.980,932.980,932.980,932.980,0
1991-07-23,933.080,933.080,933.080,933.080,0
1991-07-24,937.360,937.360,937.360,937.360,0
1991-07-25,940.350,940.350,940.350,940.350,0
1991-07-26,941.990,941.990,941.990,941.990,0
1991-07-29,946.340,946.340,946.340,946.340,0
1991-07-30,951.190,951.190,951.190,951.190,0
1991-07-31,950.940,950.940,950.940,950.940,0
1991-08-01,952.840,952.840,952.840,952.840,0
1991-08-02,967.120,967.120,967.120,967.120,0
1991-08-05,993.600,993.600,993.600,993.600,0
1991-08-06,1000.470,1000.470,1000.470,1000.470,0
1991-08-07,992.450,992.450,992.450,992.450,0
1991-08-08,991.860,991.860,991.860,991.860,0
1991-08-09,984.970,984.970,984.970,984.970,0
1991-08-12,986.140,986.140,986.140,986.140,0
1991-08-13,1000.600,1000.600,1000.600,1000.600,0
1991-08-14,1017.250,1017.250,1017.250,1017.250,0
1991-08-19,939.580,939.580,939.580,939.580,0
1991-08-20,976.510,976.510,976.510,976.510,0
1991-08-21,991.620,991.620,991.620,991.620,0
1991-08-22,1021.350,1021.350,1021.350,1021.350,0
1991-08-23,1022.710,1022.710,1022.710,1022.710,0
1991-08-26,1026.030,1026.030,1026.030,1026.030,0
1991-08-27,1021.680,1021.680,1021.680,1021.680,0
1991-08-28,1020.640,1020.640,1020.640,1020.640,0
1991-08-29,1021.230,1021.230,1021.230,1021.230,0
1991-08-30,1010.900,1010.900,1010.900,1010.900,0
1991-09-02,998.620,998.620,998.620,998.620,0
1991-09-03,995.390,995.390,995.390,995.390,0
1991-09-04,980.450,980.450,980.450,980.450,0
1991-09-05,985.250,985.250,985.250,985.250,0
1991-09-06,987.790,987.790,987.790,987.790,0
1991-09-09,960.710,960.710,960.710,960.710,0
1991-09-10,958.960,958.960,958.960,958.960,0
1991-09-11,951.470,951.470,951.470,951.470,0
1991-09-12,932.000,932.000,932.000,932.000,0
1991-09-13,934.080,934.080,934.080,934.080,0
1991-09-16,923.000,923.000,923.000,923.000,0
1991-09-17,912.880,912.880,912.880,912.880,0
1991-09-18,920.460,920.460,920.460,920.460,0
1991-09-19,928.170,928.170,928.170,928.170,0
1991-09-20,924.670,924.670,924.670,924.670,0
1991-09-23,904.410,904.410,904.410,904.410,0
1991-09-24,891.400,891.400,891.400,891.400,0
1991-09-25,886.300,886.300,886.300,886.300,0
1991-09-26,875.560,875.560,875.560,875.560,0
1991-09-27,861.960,861.960,861.960,861.960,0
1991-09-30,841.830,841.830,841.830,841.830,0
1991-10-01,831.120,831.120,831.120,831.120,0
1991-10-02,832.000,832.000,832.000,832.000,0
1991-10-03,860.880,860.880,860.880,860.880,0
1991-10-04,871.280,871.280,871.280,871.280,0
1991-10-07,884.450,884.450,884.450,884.450,0
1991-10-09,878.960,878.960,878.960,878.960,0
1991-10-10,860.490,860.490,860.490,860.490,0
1991-10-11,860.080,860.080,860.080,860.080,0
1991-10-14,862.390,862.390,862.390,862.390,0
1991-10-15,852.490,852.490,852.490,852.490,0
1991-10-16,850.020,850.020,850.020,850.020,0
1991-10-17,845.670,845.670,845.670,845.670,0
1991-10-18,847.200,847.200,847.200,847.200,0
1991-10-21,846.380,846.380,846.380,846.380,0
1991-10-22,841.870,841.870,841.870,841.870,0
1991-10-23,836.530,836.530,836.530,836.530,0
1991-10-24,832.170,832.170,832.170,832.170,0
1991-10-25,833.180,833.180,833.180,833.180,0
1991-10-29,828.340,828.340,828.340,828.340,0
1991-10-30,832.860,832.860,832.860,832.860,0
1991-10-31,845.690,845.690,845.690,845.690,0
1991-11-01,847.520,847.520,847.520,847.520,0
1991-11-04,847.900,847.900,847.900,847.900,0
1991-11-05,840.110,840.110,840.110,840.110,0
1991-11-06,836.360,836.360,836.360,836.360,0
1991-11-07,830.770,830.770,830.770,830.770,0
1991-11-08,831.740,831.740,831.740,831.740,0
1991-11-11,832.450,832.450,832.450,832.450,0
1991-11-12,830.550,830.550,830.550,830.550,0
1991-11-13,822.500,822.500,822.500,822.500,0
1991-11-14,813.870,813.870,813.870,813.870,0
1991-11-15,817.480,817.480,817.480,817.480,0
1991-11-18,808.200,808.200,808.200,808.200,0
1991-11-19,811.190,811.190,811.190,811.190,0
1991-11-20,809.140,809.140,809.140,809.140,0
1991-11-21,813.270,813.270,813.270,813.270,0
1991-11-22,817.840,817.840,817.840,817.840,0
1991-11-25,830.270,830.270,830.270,830.270,0
1991-11-26,854.410,854.410,854.410,854.410,0
