date,open,high,low,close,volume
2011-12-13,36.723,36.723,34.435,34.708,3210
2011-12-14,34.385,34.385,33.452,34.070,235
2011-12-15,34.314,34.414,34.314,34.414,1546
2011-12-16,34.435,34.628,32.715,33.770,4470
2011-12-19,33.551,35.567,33.108,33.595,1758
2011-12-20,34.143,34.655,33.946,33.946,1341
2011-12-21,34.534,34.534,34.534,34.534,203
2011-12-22,34.561,35.249,34.358,34.358,853
2011-12-23,34.070,34.858,34.070,34.858,868
2011-12-27,35.072,35.072,34.808,34.808,548
2011-12-28,33.701,33.919,33.701,33.919,284
2011-12-30,35.420,35.420,34.484,34.484,305
2012-01-03,34.435,34.928,34.020,34.884,1047
2012-01-04,33.822,33.822,33.822,33.822,814
2012-01-05,32.616,33.210,32.616,33.210,488
2012-01-09,33.210,33.210,31.778,31.900,1178
2012-01-10,31.487,31.511,31.241,31.241,612
2012-01-11,31.606,31.606,31.434,31.434,529
2012-01-12,31.981,32.249,31.362,31.953,2219
2012-01-13,31.487,32.002,31.487,32.002,503
2012-01-17,33.648,33.872,32.199,33.306,5259
2012-01-18,34.435,35.175,34.194,34.684,2619
2012-01-19,35.666,36.257,35.666,35.915,4085
2012-01-20,37.140,37.557,36.775,37.262,4065
2012-01-23,40.312,40.312,38.984,39.381,6029
2012-01-24,38.984,39.064,37.414,37.414,2404
2012-01-25,39.653,40.610,39.381,40.610,2074
2012-01-26,44.276,44.325,41.910,42.675,814
2012-01-27,42.432,43.539,42.432,42.797,1910
2012-01-30,42.797,43.290,42.310,42.851,1544
2012-01-31,45.212,47.425,45.212,47.231,5836
2012-02-01,47.743,47.743,46.438,46.736,5430
2012-02-02,46.460,46.487,45.576,46.142,5419
2012-02-03,43.787,43.787,43.048,43.514,15697
2012-02-06,44.615,45.481,44.227,45.037,8307
2012-02-07,46.487,48.066,46.487,47.693,20157
2012-02-08,47.722,48.038,46.982,47.126,3262
2012-02-09,48.264,48.850,46.438,47.249,11737
2012-02-10,44.401,45.551,43.238,44.248,6801
2012-02-13,46.858,49.024,46.562,47.498,5263
2012-02-14,47.943,47.943,46.023,46.291,2348
2012-02-15,45.404,45.404,42.647,43.216,7087
2012-02-16,43.048,44.693,42.360,44.643,2478
2012-02-17,46.636,48.213,46.636,47.722,25632
2012-02-21,46.982,46.982,45.088,45.657,7915
2012-02-22,43.904,43.904,41.816,41.869,5075
2012-02-23,41.816,42.059,40.707,42.035,1579
2012-02-24,41.816,43.194,41.816,42.310,3218
2012-02-27,41.816,42.998,41.816,42.189,2612
2012-02-28,41.571,41.571,40.168,40.267,4462
2012-02-29,41.816,42.432,41.816,41.816,3674
2012-03-01,42.162,42.332,41.450,41.469,6821
2012-03-02,41.496,42.209,41.101,41.450,1113
2012-03-05,41.074,41.074,39.974,40.094,765
2012-03-06,41.074,42.456,40.830,40.830,7703
2012-03-07,41.910,42.256,41.521,41.692,2520
2012-03-08,43.589,43.589,41.642,43.437,3683
2012-03-09,43.437,43.437,41.469,41.742,3492
2012-03-12,41.074,41.074,39.827,40.094,716
2012-03-13,39.603,40.585,38.644,40.464,5290
2012-03-14,40.438,40.952,39.525,39.525,12226
2012-03-15,39.827,40.585,39.624,40.290,2477
2012-03-16,40.784,41.668,40.784,41.074,2520
2012-03-19,41.816,43.266,41.816,42.976,3375
2012-03-20,42.797,42.797,42.162,42.603,3344
