date,open,high,low,close,volume
2014-11-12,24.950,25.140,24.800,24.007,134000
2014-11-13,25.240,25.450,25.110,24.093,278400
2014-11-14,25.230,25.780,25.060,24.658,477000
2014-11-17,25.620,25.630,25.060,24.017,330700
2014-11-18,25.240,25.400,25.060,23.969,152200
2014-11-19,25.170,25.170,24.441,23.558,153700
2014-11-20,24.600,25.030,24.500,23.816,253800
2014-11-21,25.410,25.540,24.940,23.912,105900
2014-11-24,25.190,25.430,25.170,24.313,121700
2014-11-25,25.610,25.740,25.510,24.533,149600
2014-11-26,25.860,25.990,25.729,24.801,171800
2014-11-28,26.460,26.460,25.850,24.730,316100
2014-12-01,25.940,25.940,25.311,24.333,138200
2014-12-02,25.520,25.933,25.410,24.725,102900
2014-12-03,26.000,26.100,25.780,24.830,126600
2014-12-04,25.980,26.057,25.822,24.801,80400
2014-12-05,25.990,26.300,25.990,25.031,113300
2014-12-08,26.230,26.380,25.540,24.600,135200
2014-12-09,25.500,26.030,25.140,24.782,127600
2014-12-10,25.990,26.170,25.603,24.543,125100
2014-12-11,25.800,26.190,25.800,24.801,119200
2014-12-12,25.730,25.855,25.460,24.352,131200
2014-12-15,25.700,25.810,25.000,24.122,74900
2014-12-16,25.050,25.370,24.860,23.797,83600
2014-12-17,24.890,25.480,24.890,24.361,118900
2014-12-18,26.110,26.380,25.806,25.174,198300
2014-12-19,26.500,26.900,26.330,25.672,419300
2014-12-22,27.190,27.220,26.810,25.796,508200
2014-12-23,27.150,27.200,26.980,25.853,436500
2014-12-24,27.110,27.250,27.060,25.978,225800
2014-12-26,27.340,27.499,27.120,26.159,301600
2014-12-29,27.460,27.620,26.800,25.719,381200
2014-12-30,26.900,26.920,26.420,25.423,445800
2014-12-31,26.850,26.850,26.490,25.337,292400
2015-01-02,26.640,26.770,25.900,25.040,285100
2015-01-05,26.080,26.300,25.950,24.964,240800
2015-01-06,26.250,26.290,25.380,24.591,217500
2015-01-07,26.050,26.149,25.860,24.993,245800
2015-01-08,26.500,26.700,26.293,25.442,231200
2015-01-09,26.650,26.679,26.254,25.232,139800
2015-01-12,26.550,26.550,26.000,25.308,320000
2015-01-13,26.750,27.000,26.084,25.165,554400
2015-01-14,26.160,26.350,26.000,25.079,197800
2015-01-15,26.420,26.420,25.470,24.361,252300
2015-01-16,25.500,26.070,25.500,24.868,203800
2015-01-20,26.250,26.330,25.810,25.031,491800
2015-01-21,26.270,26.270,25.920,24.868,198000
2015-01-22,26.100,26.190,25.610,24.973,292900
2015-01-23,26.200,26.480,26.050,25.184,157400
2015-01-26,26.450,26.450,26.050,25.126,172700
2015-01-27,26.070,26.170,25.660,24.820,208800
2015-01-28,26.200,26.200,25.470,24.361,558700
2015-01-29,25.500,25.670,25.250,24.486,170300
2015-01-30,25.480,25.729,25.200,24.115,106900
2015-02-02,25.400,25.440,24.850,24.247,280800
2015-02-03,25.410,25.750,25.407,24.591,114600
2015-02-04,25.700,25.950,25.630,24.610,83900
2015-02-05,25.960,26.460,25.900,25.299,333200
2015-02-06,26.550,26.580,26.130,25.107,435400
2015-02-09,26.190,26.250,25.950,24.887,185400
2015-02-10,26.240,26.620,26.130,25.433,238500
2015-02-11,26.650,26.840,26.580,25.614,358100
2015-02-12,27.180,27.500,27.100,26.303,540000
2015-02-13,28.090,28.320,27.880,27.011,1397800
2015-02-17,28.470,28.710,28.300,27.374,1787000
2015-02-18,28.770,28.790,28.450,27.336,869100
2015-02-19,28.660,28.970,28.351,27.671,841600
2015-02-20,28.960,29.580,28.860,28.283,1191900
2015-02-23,29.510,29.510,28.830,27.632,1493400
2015-02-24,29.000,29.240,28.950,27.814,964900
2015-02-25,29.220,29.340,29.100,27.948,497600
2015-02-26,29.420,29.500,29.070,27.939,767600
2015-02-27,29.610,29.610,29.113,27.862,699300
2015-03-02,29.220,29.320,29.000,28.034,480000
2015-03-03,29.290,29.290,29.010,27.891,779700
2015-03-04,29.120,29.300,28.600,27.537,487000
2015-03-05,28.920,29.140,28.750,27.805,475400
2015-03-06,29.060,29.160,28.550,27.355,425700
2015-03-09,28.800,28.800,28.400,27.298,442500
2015-03-10,28.250,28.340,27.720,26.513,615100
2015-03-11,27.920,27.920,27.610,26.571,367700
2015-03-12,27.840,28.051,27.780,26.819,522300
2015-03-13,28.020,28.200,27.680,26.609,287200
2015-03-16,27.940,28.090,27.814,26.819,363400
2015-03-17,28.060,28.360,28.000,27.087,253900
2015-03-18,28.330,28.790,28.200,27.393,390600
2015-03-19,28.600,28.740,28.560,27.432,352100
2015-03-20,28.930,28.950,28.501,27.307,374400
2015-03-23,28.680,28.720,28.520,27.374,275900
2015-03-24,28.680,28.680,28.250,27.030,334300
2015-03-25,28.390,28.390,27.390,26.198,364100
2015-03-26,27.200,27.760,27.050,26.485,275000
2015-03-27,27.720,27.890,27.510,26.628,273400
2015-03-30,28.090,28.310,28.050,27.068,328900
2015-03-31,28.300,28.300,27.950,26.752,264800
2015-04-01,27.960,27.960,27.510,26.590,293400
2015-04-02,27.900,27.930,27.750,26.647,198400
2015-04-06,27.780,28.260,27.670,26.953,186600
2015-04-07,28.250,28.787,28.200,27.298,452100
2015-04-08,28.850,29.080,28.770,27.747,492000
2015-04-09,29.040,29.160,28.880,27.824,458800
2015-04-10,29.170,29.510,29.130,28.225,529000
2015-04-13,29.460,29.520,28.900,27.699,444500
2015-04-14,29.070,29.110,28.720,27.661,341800
2015-04-15,29.070,29.490,29.000,28.168,610800
2015-04-16,29.500,29.710,29.400,28.340,459900
2015-04-17,29.460,29.490,28.900,27.776,541600
2015-04-20,29.320,29.610,29.270,28.254,403900
2015-04-21,30.090,30.330,30.010,28.933,1020100
2015-04-22,30.390,30.440,30.030,29.067,556600
2015-04-23,30.320,30.630,30.122,29.153,647600
2015-04-24,30.740,30.740,30.450,29.201,789600
2015-04-27,30.700,30.930,30.290,29.019,685600
2015-04-28,30.470,30.690,30.000,29.153,411100
2015-04-29,30.360,30.520,30.100,29.000,486100
2015-04-30,30.240,30.370,29.570,28.417,472000
2015-05-01,30.070,30.220,29.900,28.780,343800
2015-05-04,30.290,30.440,30.181,28.972,415100
2015-05-05,29.850,29.850,29.020,27.795,1069000
2015-05-06,29.230,29.260,28.800,27.728,489900
2015-05-07,28.920,29.200,28.830,27.776,355700
2015-05-08,29.530,29.830,29.430,28.378,591500
2015-05-11,29.760,29.980,29.630,28.340,395900
2015-05-12,29.490,29.580,29.140,28.101,350500
2015-05-13,29.630,29.800,29.530,28.493,486700
2015-05-14,30.000,30.140,29.786,28.828,443800
2015-05-15,30.150,30.150,29.880,28.646,267700
2015-05-18,29.890,30.210,29.700,28.885,377900
2015-05-19,30.310,30.340,30.110,28.818,391700
