date,open,high,low,close,volume
1990-01-02,2836.000,2851.000,2798.000,2838.100,0
1990-01-03,2836.000,2873.000,2836.000,2858.700,0
1990-01-04,2858.000,2876.000,2850.000,2868.000,0
1990-01-05,2867.000,2875.000,2838.000,2839.900,0
1990-01-08,2839.000,2839.000,2815.000,2816.000,0
1990-01-09,2816.000,2838.000,2816.000,2822.000,0
1990-01-10,2822.000,2875.000,2822.000,2868.000,0
1990-01-11,2868.000,2889.000,2855.000,2855.000,0
1990-01-12,2855.000,2855.000,2832.000,2835.000,0
1990-01-15,2835.000,2835.000,2778.000,2788.600,0
1990-01-16,2786.000,2789.000,2751.000,2751.800,0
1990-01-17,2752.000,2785.000,2736.000,2754.800,0
1990-01-18,2755.000,2774.000,2747.000,2771.700,0
1990-01-19,2771.000,2782.000,2771.000,2776.300,0
1990-01-22,2776.000,2777.000,2766.000,2771.700,0
1990-01-23,2771.000,2771.000,2745.000,2762.500,0
1990-01-24,2762.000,2762.000,2755.000,2756.400,0
1990-01-25,2756.000,2770.000,2732.000,2768.900,0
1990-01-30,2769.000,2774.000,2756.000,2760.800,0
1990-01-31,2760.000,2761.000,2748.000,2751.600,0
1990-02-01,2751.000,2767.000,2738.000,2738.200,0
1990-02-02,2737.000,2739.000,2697.000,2736.600,0
1990-02-05,2736.000,2758.000,2736.000,2756.600,0
1990-02-06,2756.000,2792.000,2756.000,2792.000,0
1990-02-07,2794.000,2844.800,2793.000,2844.800,0
1990-02-08,2844.000,2910.000,2844.000,2903.800,0
1990-02-09,2906.000,2912.000,2879.000,2893.900,0
1990-02-12,2892.000,2900.000,2885.000,2894.700,0
1990-02-13,2894.000,2894.000,2851.000,2863.600,0
1990-02-14,2862.000,2882.000,2862.000,2870.400,0
1990-02-15,2872.000,2910.000,2870.000,2910.000,0
1990-02-16,2912.000,2959.000,2912.000,2939.300,0
1990-02-19,2940.000,2968.000,2940.000,2968.000,0
1990-02-20,2968.000,2982.000,2959.000,2980.000,0
1990-02-21,2974.000,2974.000,2862.000,2862.300,0
1990-02-22,2862.000,2931.000,2862.000,2927.900,0
1990-02-23,2927.000,2927.000,2863.000,2894.300,0
1990-02-26,2881.000,2883.000,2838.000,2872.600,0
1990-02-27,2872.000,2932.600,2872.000,2932.600,0
1990-02-28,2931.000,2955.000,2931.000,2952.000,0
1990-03-01,2951.000,2952.000,2928.000,2933.100,0
1990-03-02,2932.000,2942.000,2924.000,2937.000,0
1990-03-05,2937.000,2949.000,2925.000,2938.000,0
1990-03-06,2938.000,2941.000,2921.000,2933.000,0
1990-03-07,2933.000,2936.000,2925.000,2926.000,0
1990-03-08,2926.000,2927.000,2906.000,2915.000,0
1990-03-09,2916.000,2937.000,2912.000,2912.000,0
1990-03-12,2912.000,2913.000,2882.000,2892.000,0
1990-03-13,2892.000,2898.000,2877.000,2887.000,0
1990-03-14,2885.000,2885.000,2873.000,2881.000,0
1990-03-15,2884.000,2907.000,2884.000,2892.000,0
1990-03-16,2893.000,2906.000,2869.000,2886.000,0
1990-03-19,2887.000,2903.000,2862.000,2871.000,0
1990-03-20,2871.000,2888.000,2870.000,2880.000,0
1990-03-21,2880.000,2932.000,2880.000,2926.000,0
1990-03-22,2926.000,2956.000,2913.000,2948.000,0
1990-03-23,2948.000,2974.000,2940.000,2974.000,0
1990-03-26,2981.000,3018.000,2981.000,3014.000,0
1990-03-27,3014.000,3027.000,2999.000,3010.000,0
1990-03-28,3010.000,3014.000,2985.000,2990.000,0
1990-03-29,2990.000,3008.000,2980.000,3000.000,0
1990-03-30,3004.000,3015.000,2989.000,2997.000,0
1990-04-02,2997.000,2997.000,2931.000,2934.000,0
1990-04-03,2936.000,2962.000,2936.000,2962.000,0
1990-04-04,2961.000,2975.000,2954.000,2960.000,0
1990-04-06,2958.000,2975.000,2956.000,2956.000,0
1990-04-09,2951.000,2964.000,2949.000,2954.000,0
1990-04-10,2954.000,2956.000,2935.000,2942.000,0
1990-04-11,2942.000,2961.000,2939.000,2959.000,0
1990-04-12,2948.000,2996.000,2948.000,2995.000,0
1990-04-17,2996.000,3028.000,2996.000,3020.000,0
1990-04-18,3020.000,3052.000,3020.000,3052.000,0
1990-04-19,3054.000,3072.000,3049.000,3067.000,0
1990-04-20,3060.000,3067.000,3038.000,3067.000,0
1990-04-23,3066.000,3073.000,3056.000,3056.000,0
1990-04-24,3057.000,3057.000,3014.000,3015.000,0
