date,open,high,low,close,volume
2005-02-25,20.554,21.669,20.554,20.587,4693770
2005-02-28,21.021,21.021,20.009,20.628,2316844
2005-03-01,20.666,20.913,20.083,20.370,3264294
2005-03-02,20.334,20.706,20.068,20.357,1958439
2005-03-03,20.399,20.399,20.161,20.222,692861
2005-03-04,20.193,20.877,20.193,20.370,2061016
2005-03-07,20.370,20.574,20.262,20.262,2640232
2005-03-08,20.262,20.262,19.347,19.900,2145050
2005-03-09,19.864,20.520,19.864,19.938,1707870
2005-03-10,20.009,20.262,19.374,19.680,1520430
2005-03-11,19.680,20.115,19.620,19.885,1170610
2005-03-14,19.794,19.829,18.473,19.454,3153406
2005-03-15,19.539,19.669,18.854,19.115,872974
2005-03-16,18.529,18.784,17.662,18.413,5607995
2005-03-17,18.348,18.897,18.241,18.888,1565699
2005-03-18,18.746,18.796,18.181,18.458,1059582
2005-03-21,18.419,18.458,17.698,17.994,633477
2005-03-22,17.843,18.564,17.843,18.419,1349599
2005-03-23,18.784,18.962,17.927,18.020,1204802
2005-03-24,17.914,18.204,17.344,17.453,2251920
2005-03-28,17.372,17.589,16.831,17.142,2493769
2005-03-29,16.781,17.447,16.723,16.766,1961205
2005-03-30,16.650,16.730,15.890,16.435,6292966
2005-03-31,16.601,17.049,16.435,16.845,4857539
2005-04-01,16.917,17.177,16.443,16.891,2290405
2005-04-04,16.758,16.831,16.621,16.686,772887
2005-04-05,16.643,16.709,16.167,16.246,2437699
2005-04-06,16.108,16.354,15.760,15.890,2143527
2005-04-07,16.002,16.346,15.752,16.292,1889638
2005-04-08,16.292,16.292,15.972,16.158,1256019
2005-04-11,16.158,16.254,16.037,16.148,890551
2005-04-12,16.123,16.460,16.002,16.292,4170351
2005-04-13,16.254,16.261,15.850,16.056,4646290
2005-04-14,16.037,16.037,14.954,15.445,3651500
2005-04-15,15.386,15.392,14.990,15.134,4078154
2005-04-18,15.025,15.125,14.602,14.763,1742619
2005-04-19,14.990,15.460,14.990,15.293,2243063
2005-04-20,15.420,15.420,14.380,14.650,770251
2005-04-21,15.025,15.392,14.805,15.317,694668
2005-04-22,15.420,15.420,14.298,14.454,1075916
2005-04-25,14.339,15.603,14.339,15.497,1912061
2005-04-26,15.420,16.102,14.778,15.171,1615260
2005-04-27,15.171,15.171,14.325,14.680,1048229
2005-04-28,14.879,15.084,14.158,14.584,1006696
2005-04-29,14.954,15.197,14.593,15.197,941079
2005-05-02,15.276,15.662,15.276,15.603,1358879
2005-05-03,15.530,16.010,15.453,16.010,932085
2005-05-04,16.686,16.789,16.088,16.628,1884926
2005-05-05,16.723,16.859,16.421,16.586,1016249
2005-05-06,16.758,16.766,16.292,16.435,1211030
2005-05-09,16.435,16.758,15.747,16.758,1032029
2005-05-10,16.758,16.758,16.148,16.399,996729
2005-05-11,16.399,16.399,15.747,15.890,1089206
2005-05-12,15.819,16.056,15.329,15.473,2616972
2005-05-13,15.473,15.473,14.380,14.615,1516421
2005-05-16,14.537,14.537,13.254,13.796,2690758
2005-05-17,13.805,13.934,13.219,13.595,824519
2005-05-18,13.686,14.260,13.618,13.941,2721214
2005-05-19,14.158,14.412,14.086,14.101,578937
2005-05-20,14.128,14.128,13.726,13.838,370728
2005-05-23,13.726,13.978,13.672,13.886,722350
2005-05-24,13.927,13.941,13.544,13.602,1374658
2005-05-25,13.654,13.654,13.342,13.443,725398
2005-05-26,13.479,13.654,13.111,13.342,3361339
2005-05-27,13.436,13.625,13.227,13.572,648982
2005-05-31,13.631,13.978,13.397,13.908,1269308
2005-06-01,13.872,14.086,13.544,13.738,1961483
2005-06-02,13.654,13.726,13.415,13.680,788662
2005-06-03,13.680,13.796,13.330,13.537,909103
2005-06-06,13.581,13.581,13.356,13.537,570212
2005-06-07,13.595,13.894,13.268,13.397,1363171
2005-06-08,13.415,13.472,13.227,13.472,955204
2005-06-09,13.443,13.611,13.282,13.581,676949
2005-06-10,13.581,13.829,13.530,13.654,642752
2005-06-13,13.654,13.920,13.654,13.829,743119
2005-06-14,13.894,14.339,13.784,14.283,904119
2005-06-15,14.352,14.621,14.269,14.584,1209228
2005-06-16,14.694,15.113,14.672,14.830,2142697
2005-06-17,14.859,14.954,14.124,14.291,1541611
2005-06-20,14.412,14.427,13.824,14.050,1382410
2005-06-21,14.050,14.158,13.595,13.680,1424087
2005-06-22,13.694,13.872,13.694,13.855,820361
2005-06-23,13.927,14.252,13.908,14.109,819948
2005-06-24,14.109,14.277,13.776,13.900,568136
2005-06-27,13.864,14.086,13.864,13.990,654658
2005-06-28,14.135,14.664,14.086,14.609,693976
2005-06-29,15.293,15.293,14.520,14.621,1042831
2005-06-30,14.657,14.734,14.447,14.641,638185
2005-07-01,14.694,14.796,14.547,14.742,239077
2005-07-05,14.830,15.025,14.621,14.976,306358
2005-07-06,15.530,15.987,15.322,15.565,1425605
2005-07-07,15.445,15.640,15.171,15.633,1650282
2005-07-08,15.552,16.526,15.412,16.466,1684756
2005-07-11,16.586,17.192,16.550,17.105,1580788
2005-07-12,17.127,17.258,16.678,17.011,965584
2005-07-13,16.975,17.049,16.399,16.586,518435
2005-07-14,16.615,17.043,16.407,16.628,709339
2005-07-15,16.643,16.810,16.140,16.686,544186
2005-07-18,16.659,17.127,16.628,16.817,348993
2005-07-19,17.192,17.654,17.085,17.338,884046
2005-07-20,17.230,17.555,17.085,17.350,675560
2005-07-21,17.409,17.409,16.901,17.085,428313
2005-07-22,16.975,17.085,16.615,16.766,570212
2005-07-25,16.594,16.702,16.021,16.114,1203275
2005-07-26,15.987,16.079,15.711,15.835,650367
2005-07-27,15.890,16.384,15.890,16.306,319504
2005-07-28,16.269,17.264,16.140,17.264,652447
2005-07-29,17.272,17.272,16.758,16.823,398136
2005-08-01,16.867,17.085,16.686,16.901,273823
2005-08-02,16.968,17.294,16.803,17.092,621707
2005-08-03,17.105,17.156,16.361,16.975,720137
2005-08-04,15.731,16.643,15.731,15.797,2039976
2005-08-05,15.747,15.926,15.317,15.603,930557
2005-08-08,15.612,15.676,15.386,15.504,692451
2005-08-09,15.545,15.633,15.190,15.322,536990
2005-08-10,15.364,15.676,15.184,15.518,423195
2005-08-11,15.518,16.484,15.518,16.413,1064424
2005-08-12,16.323,16.331,15.776,15.858,528410
2005-08-15,15.858,15.858,15.392,15.420,446171
2005-08-16,15.420,15.525,14.814,14.820,859542
2005-08-17,14.820,15.025,14.527,14.707,288086
2005-08-18,14.664,14.770,14.412,14.680,467499
2005-08-19,14.814,14.990,14.650,14.923,385819
2005-08-22,14.968,15.149,14.954,15.058,409908
2005-08-23,15.058,15.119,14.843,15.019,641505
2005-08-24,15.019,15.052,14.700,14.749,797660
2005-08-25,14.756,14.770,14.158,14.318,1185554
2005-08-26,14.318,14.318,13.824,13.838,1725589
2005-08-29,13.829,14.058,13.680,13.791,1272215
2005-08-30,13.618,13.872,13.308,13.349,1354307
2005-08-31,13.378,13.654,13.298,13.611,1092388
2005-09-01,13.686,14.269,13.450,13.970,970848
2005-09-02,13.941,14.412,13.805,13.872,434687
2005-09-06,13.829,14.228,13.829,14.013,1091975
2005-09-07,14.013,14.368,13.818,14.269,1369815
2005-09-08,14.372,14.593,13.998,14.210,849020
2005-09-09,14.215,14.252,13.913,13.978,444927
2005-09-12,13.978,14.116,13.720,13.872,1013620
2005-09-13,13.872,13.872,13.184,13.234,1811699
2005-09-14,13.261,13.472,13.147,13.191,720553
2005-09-15,13.191,13.254,12.777,12.915,977216
2005-09-16,12.929,12.943,12.747,12.810,416274
2005-09-19,12.929,12.929,12.542,12.629,560661
2005-09-20,12.747,12.951,12.567,12.567,1014591
2005-09-21,12.483,12.678,12.282,12.282,455174
2005-09-22,12.353,12.390,11.919,12.093,1538980
2005-09-23,12.119,12.785,12.099,12.613,1499529
2005-09-26,13.004,13.139,12.821,12.929,1476823
2005-09-27,13.075,13.075,12.527,12.678,1168667
2005-09-28,12.671,12.956,12.567,12.897,905365
2005-09-29,12.866,13.847,12.821,13.805,2763852
2005-09-30,13.770,14.412,13.702,14.124,2043302
2005-10-03,14.128,14.269,13.796,13.838,1334238
2005-10-04,13.838,14.135,13.796,13.934,599421
2005-10-05,13.920,14.066,13.588,13.660,458083
2005-10-06,13.665,13.680,13.378,13.544,649956
2005-10-07,13.726,14.124,13.726,14.050,1638374
