date,open,high,low,close,volume
2024-01-11,27.940,30.000,26.280,26.630,37657300
2024-01-12,26.400,26.410,24.750,24.970,22991900
2024-01-16,24.700,24.862,24.040,24.720,15078200
2024-01-17,24.350,24.560,24.150,24.410,13964500
2024-01-18,24.350,24.470,23.200,23.340,17823200
2024-01-19,23.490,24.120,23.030,23.800,18284100
2024-01-22,23.200,23.330,22.500,22.950,17222100
2024-01-23,22.190,22.630,22.020,22.320,13431700
2024-01-24,22.820,22.970,22.570,22.600,11929100
2024-01-25,22.860,22.900,22.580,22.760,8954900
2024-01-26,23.520,24.120,23.480,23.990,20273800
2024-01-29,23.990,24.770,23.880,24.670,19012900
2024-01-30,24.840,24.980,24.685,24.880,15541300
2024-01-31,24.380,25.000,24.260,24.300,13369300
2024-02-01,24.210,24.720,24.190,24.540,12411400
2024-02-02,24.390,24.825,24.380,24.500,10329000
2024-02-05,24.750,24.790,24.130,24.190,6807500
2024-02-06,24.470,24.770,24.450,24.600,7352900
2024-02-07,24.660,25.286,24.490,25.220,13952200
2024-02-08,25.755,26.080,25.640,26.030,18568500
2024-02-09,26.850,27.570,26.750,27.150,20742800
2024-02-12,27.530,28.860,27.515,28.660,35138600
2024-02-13,27.970,28.280,27.620,28.220,20913600
2024-02-14,29.580,29.825,29.240,29.550,28134500
2024-02-15,29.995,30.230,29.480,29.520,22844700
2024-02-16,29.858,29.970,29.490,29.620,15976500
2024-02-20,29.880,29.920,28.970,29.670,21166400
2024-02-21,29.055,29.350,28.910,29.080,17664400
2024-02-22,29.170,29.760,29.135,29.720,15468400
2024-02-23,29.260,29.310,28.910,29.160,13285800
2024-02-26,29.340,31.430,29.330,31.120,42806400
2024-02-27,32.530,32.960,32.170,32.590,42006400
2024-02-28,34.410,36.870,33.800,34.450,96833400
2024-02-29,36.205,36.380,34.470,35.420,53837500
2024-03-01,35.650,36.170,34.930,35.990,35133600
2024-03-04,37.420,38.890,37.400,38.650,63439000
2024-03-05,38.665,39.690,34.030,35.320,107143600
2024-03-06,38.160,38.595,37.295,38.290,45934300
2024-03-07,38.500,38.940,38.080,38.630,41450800
2024-03-08,38.935,40.200,37.770,39.550,89934000
2024-03-11,41.310,41.650,40.740,41.120,74430400
2024-03-12,41.280,41.800,39.210,40.730,98022800
2024-03-13,41.520,41.990,40.930,41.950,59347000
2024-03-14,41.460,41.530,39.010,39.510,99521100
2024-03-15,38.690,40.324,38.440,39.390,68768300
2024-03-18,38.810,39.130,37.930,38.140,53201600
2024-03-19,36.350,37.530,35.490,36.700,69685200
2024-03-20,36.180,37.690,35.410,37.550,71309300
2024-03-21,38.605,38.610,37.000,37.150,47085900
