date,open,high,low,close,volume
2001-07-17,10.150,10.150,10.128,9.746,1500
2001-07-18,9.746,9.746,9.686,9.320,1000
2001-07-19,9.550,9.550,9.550,9.190,500
2001-07-20,9.370,9.424,9.370,9.068,250500
2001-07-23,9.424,9.424,9.424,9.068,0
2001-07-24,9.224,9.310,9.224,8.959,250000
2001-07-25,9.376,9.376,9.376,9.022,25000
2001-07-26,9.540,9.750,9.540,9.382,500000
2001-07-27,9.780,9.900,9.780,9.507,152000
2001-07-30,9.680,9.680,9.680,9.315,1500
2001-07-31,9.738,9.860,9.738,9.488,26000
2001-08-01,9.930,9.990,9.780,9.411,103500
2001-08-02,10.070,10.078,9.940,9.565,257000
2001-08-03,9.940,9.940,9.800,9.430,2000
2001-08-06,9.700,9.710,9.680,9.315,5500
2001-08-07,9.680,9.680,9.680,9.315,0
2001-08-08,9.420,9.500,9.230,8.882,625500
2001-08-09,9.040,9.140,9.040,8.795,3000
2001-08-10,9.012,9.012,8.690,8.526,11000
2001-08-13,8.860,8.860,8.860,8.526,0
2001-08-14,9.030,9.030,9.030,8.689,1000
2001-08-15,8.900,8.900,8.690,8.362,7500
2001-08-16,8.372,8.530,8.372,8.208,981000
2001-08-17,8.350,8.370,8.330,8.016,1500
2001-08-20,8.330,8.330,8.330,8.016,0
2001-08-21,8.450,8.450,8.050,7.746,505500
2001-08-22,8.020,8.020,8.018,7.717,3500
2001-08-23,8.350,8.350,8.070,7.765,5500
2001-08-24,8.070,8.070,8.070,7.765,0
2001-08-27,8.410,8.590,8.410,8.266,25500
2001-08-28,8.326,8.326,8.326,8.012,489500
2001-08-29,8.120,8.120,8.060,7.756,36500
2001-08-30,7.722,7.738,7.722,7.446,6500
2001-08-31,7.860,7.860,7.860,7.563,5000
2001-09-04,7.860,7.860,7.860,7.563,0
2001-09-05,7.552,7.552,7.450,7.169,6000
2001-09-06,7.340,7.340,7.152,6.899,11500
2001-09-07,7.090,7.178,7.090,6.907,27500
2001-09-10,7.160,7.160,7.160,6.890,1000
2001-09-17,6.730,6.856,6.640,6.389,7000
2001-09-18,6.640,6.640,6.580,6.332,2500
2001-09-19,6.200,6.200,6.200,5.966,500
2001-09-20,6.136,6.142,6.030,5.802,83500
2001-09-21,5.900,5.900,5.900,5.677,13000
2001-09-24,6.270,6.270,6.170,5.937,3000
