date,open,high,low,close,volume
2007-09-17,4518.450,4549.050,4482.850,4494.650,0
2007-09-18,4494.100,4551.800,4481.550,4546.200,0
2007-09-19,4550.250,4739.000,4550.250,4732.350,0
2007-09-20,4734.850,4760.850,4721.150,4747.550,0
2007-09-21,4752.950,4855.700,4733.700,4837.550,0
2007-09-24,4837.150,4941.150,4837.150,4932.200,0
2007-09-25,4939.100,4953.900,4878.150,4938.850,0
2007-09-26,4937.600,4980.850,4930.350,4940.500,0
2007-09-27,4942.700,5016.400,4942.700,5000.550,0
2007-09-28,4996.450,5055.800,4996.450,5021.350,0
2007-10-01,5021.500,5089.300,5001.350,5068.950,0
2007-10-03,5069.000,5261.350,5034.150,5210.800,0
2007-10-04,5211.650,5233.100,5126.050,5208.650,0
2007-10-05,5208.150,5248.550,5164.500,5185.850,0
2007-10-08,5186.250,5249.300,5024.750,5085.100,0
2007-10-09,5062.650,5348.700,5000.950,5327.250,0
2007-10-10,5328.150,5454.700,5328.150,5441.450,0
2007-10-11,5438.900,5532.750,5424.250,5524.850,0
2007-10-12,5525.300,5549.300,5402.600,5428.250,0
2007-10-15,5428.350,5682.650,5419.900,5670.400,0
2007-10-16,5670.650,5708.350,5578.450,5668.050,0
2007-10-17,5658.900,5658.900,5107.300,5559.300,0
2007-10-18,5551.100,5736.800,5269.650,5351.000,0
2007-10-19,5360.350,5390.850,5101.750,5215.300,0
2007-10-22,5202.750,5247.400,5070.900,5184.000,0
2007-10-23,5185.300,5488.500,5176.850,5473.700,0
2007-10-24,5477.600,5577.900,5419.400,5496.150,0
2007-10-25,5499.050,5605.950,5469.300,5568.950,0
2007-10-26,5564.250,5716.900,5513.350,5702.300,0
2007-10-29,5708.900,5922.500,5708.900,5905.900,0
2007-10-30,5917.550,5976.000,5833.900,5868.750,0
2007-10-31,5868.900,5952.250,5861.300,5900.650,0
2007-11-01,5903.800,6011.950,5837.200,5866.450,0
2007-11-02,5854.850,5944.750,5714.250,5932.400,0
2007-11-05,5931.900,5948.550,5819.600,5847.300,0
2007-11-06,5847.100,5957.200,5759.950,5786.500,0
2007-11-07,5782.400,5861.350,5744.300,5782.350,0
2007-11-08,5779.300,5780.800,5646.750,5698.750,0
2007-11-12,5660.600,5660.600,5477.500,5617.100,0
2007-11-13,5612.350,5758.850,5591.600,5695.400,0
2007-11-14,5703.950,5950.200,5700.050,5937.900,0
2007-11-15,5942.700,5966.950,5895.650,5912.100,0
2007-11-16,5913.150,5948.050,5817.400,5906.850,0
2007-11-19,5908.050,5981.800,5893.800,5907.650,0
2007-11-20,5911.250,5923.700,5755.800,5780.900,0
2007-11-21,5778.800,5790.050,5530.850,5561.050,0
2007-11-22,5564.650,5608.650,5394.350,5519.350,0
2007-11-23,5524.300,5638.600,5514.750,5608.600,0
2007-11-26,5611.300,5772.550,5608.950,5731.700,0
2007-11-27,5729.250,5743.550,5655.600,5698.150,0
2007-11-28,5699.550,5749.950,5595.500,5617.550,0
2007-11-29,5617.800,5725.000,5612.100,5634.600,0
2007-11-30,5633.900,5782.550,5632.650,5762.750,0
2007-12-03,5765.450,5878.800,5754.600,5865.000,0
2007-12-04,5870.200,5897.250,5840.300,5858.350,0
2007-12-05,5861.900,5949.300,5859.950,5940.000,0
2007-12-06,5941.050,6027.050,5919.800,5954.700,0
2007-12-07,5963.600,6042.100,5894.800,5974.300,0
2007-12-10,5974.000,6015.300,5923.350,5960.600,0
2007-12-11,5960.400,6111.200,5960.400,6097.250,0
2007-12-12,6067.050,6175.650,6005.450,6159.300,0
2007-12-13,6159.250,6185.400,6040.400,6058.100,0
2007-12-14,6056.200,6078.550,6015.050,6047.700,0
2007-12-17,6037.950,6039.950,5740.600,5777.000,0
2007-12-18,5777.600,5874.600,5710.600,5742.300,0
2007-12-19,5730.250,5840.800,5676.700,5751.150,0
2007-12-20,5751.750,5799.500,5742.750,5766.500,0
2007-12-24,5771.300,6001.050,5771.300,5985.100,0
2007-12-26,5988.450,6085.250,5988.450,6070.750,0
2007-12-27,6069.000,6110.850,6060.200,6081.500,0
2007-12-28,6079.550,6098.600,6021.900,6079.700,0
2007-12-31,6095.000,6167.750,6095.000,6138.600,0
2008-01-01,6136.750,6165.350,6109.850,6144.350,0
2008-01-02,6144.700,6197.000,6060.850,6179.400,0
2008-01-03,6184.250,6230.150,6126.400,6178.550,0
2008-01-04,6179.100,6300.050,6179.100,6274.300,0
2008-01-07,6271.000,6289.800,6193.350,6279.100,0
2008-01-08,6282.450,6357.100,6221.600,6287.850,0
2008-01-09,6287.550,6338.300,6231.250,6272.000,0
2008-01-10,6278.100,6347.000,6142.900,6156.950,0
2008-01-11,6166.650,6224.200,6112.550,6200.100,0
2008-01-14,6208.800,6244.150,6172.000,6206.800,0
2008-01-15,6226.350,6260.450,6053.300,6074.250,0
2008-01-16,6065.000,6065.000,5825.750,5935.750,0
2008-01-17,5937.950,6013.150,5880.300,5913.200,0
2008-01-18,5907.750,5908.750,5677.000,5705.300,0
2008-01-21,5705.000,5705.000,4977.100,5208.800,0
2008-01-22,5203.350,5203.350,4448.500,4899.300,0
2008-01-23,4903.050,5328.050,4891.600,5203.400,0
2008-01-24,5208.000,5357.200,4995.800,5033.450,0
2008-01-25,5035.050,5399.250,5035.050,5383.350,0
2008-01-28,5380.950,5380.950,5071.000,5274.100,0
2008-01-29,5279.550,5391.600,5225.250,5280.800,0
2008-01-30,5283.750,5314.300,5142.250,5167.600,0
2008-01-31,5172.250,5251.650,5071.150,5137.450,0
2008-02-01,5140.600,5339.950,5090.750,5317.250,0
2008-02-04,5315.550,5545.200,5315.550,5463.500,0
2008-02-05,5463.750,5500.600,5412.950,5483.900,0
2008-02-06,5470.400,5470.400,5257.050,5322.550,0
2008-02-07,5322.550,5344.600,5113.850,5133.250,0
2008-02-08,5132.100,5173.850,5034.250,5120.350,0
2008-02-11,5120.550,5126.400,4803.600,4857.000,0
2008-02-12,4877.850,4949.600,4820.450,4838.250,0
2008-02-13,4836.550,4986.550,4836.550,4929.450,0
2008-02-14,4944.650,5220.250,4944.650,5202.000,0
2008-02-15,5202.850,5315.400,5104.750,5302.900,0
2008-02-18,5304.450,5348.600,5224.000,5276.900,0
2008-02-19,5278.400,5368.450,5262.000,5280.800,0
2008-02-20,5267.150,5267.150,5116.300,5154.450,0
2008-02-21,5156.900,5241.350,5120.050,5191.800,0
2008-02-22,5183.400,5184.000,5092.800,5110.750,0
2008-02-25,5112.250,5212.350,5055.150,5200.700,0
2008-02-26,5200.800,5281.200,5200.800,5270.050,0
2008-02-27,5271.400,5368.150,5249.750,5268.400,0
2008-02-28,5266.350,5302.850,5227.150,5285.100,0
2008-02-29,5285.000,5290.800,5098.350,5223.500,0
2008-03-03,5222.800,5222.800,4936.050,4953.000,0
2008-03-04,4958.550,4976.700,4812.950,4864.250,0
2008-03-05,4866.850,4936.750,4847.250,4921.400,0
2008-03-07,4918.300,4918.300,4672.250,4771.600,0
2008-03-10,4767.800,4814.950,4620.500,4800.400,0
2008-03-11,4796.300,4888.500,4732.850,4865.900,0
2008-03-12,4869.750,5019.200,4854.750,4872.000,0
2008-03-13,4868.700,4868.800,4580.150,4623.600,0
2008-03-14,4623.800,4758.950,4607.550,4745.800,0
2008-03-17,4745.450,4745.450,4482.100,4503.100,0
2008-03-18,4519.900,4617.950,4468.550,4533.000,0
2008-03-19,4534.750,4718.400,4533.900,4573.950,0
2008-03-24,4576.800,4649.450,4539.800,4609.850,0
2008-03-25,4616.800,4896.800,4616.800,4877.500,0
2008-03-26,4878.700,4912.300,4808.650,4828.850,0
2008-03-27,4828.800,4863.750,4769.600,4830.250,0
2008-03-28,4830.000,4970.800,4796.350,4942.000,0
2008-03-31,4942.150,4947.000,4703.850,4734.500,0
2008-04-01,4735.650,4800.750,4628.750,4739.550,0
2008-04-02,4741.400,4916.750,4741.400,4754.200,0
2008-04-03,4753.900,4833.250,4738.200,4771.600,0
2008-04-04,4766.700,4791.700,4632.700,4647.000,0
2008-04-07,4631.350,4798.550,4628.800,4761.200,0
2008-04-08,4760.650,4769.550,4677.800,4709.650,0
2008-04-09,4707.050,4758.250,4667.500,4747.050,0
2008-04-10,4747.550,4799.500,4720.900,4733.000,0
2008-04-11,4734.350,4817.400,4727.250,4777.800,0
2008-04-15,4779.950,4917.100,4708.300,4879.650,0
2008-04-16,4881.650,4951.400,4874.050,4887.300,0
2008-04-17,4890.600,4984.950,4889.650,4958.400,0
2008-04-21,4955.900,5053.400,4955.900,5037.000,0
2008-04-22,5037.050,5074.250,4994.050,5049.300,0
2008-04-23,5044.350,5083.500,5003.550,5022.800,0
2008-04-24,5022.900,5072.700,4991.350,4999.850,0
2008-04-25,4999.150,5117.700,4999.150,5111.700,0
2008-04-28,5112.500,5147.450,5079.150,5089.650,0
2008-04-29,5092.400,5210.900,5082.150,5195.500,0
2008-04-30,5198.350,5230.750,5155.850,5165.900,0
2008-05-02,5265.300,5298.850,5197.600,5228.200,0
2008-05-05,5227.250,5254.500,5182.600,5192.250,0
2008-05-06,5192.350,5206.500,5110.900,5144.650,0
2008-05-07,5156.700,5159.050,5101.250,5135.500,0
2008-05-08,5135.800,5143.050,5062.450,5081.700,0
2008-05-09,5070.850,5087.650,4969.400,4982.600,0
2008-05-12,4981.000,5021.750,4913.800,5012.650,0
2008-05-13,5008.600,5066.000,4943.750,4957.800,0
2008-05-14,4958.450,5026.100,4932.050,5011.750,0
2008-05-15,5010.900,5118.550,4999.600,5115.250,0
2008-05-16,5115.650,5167.400,5106.400,5157.700,0
2008-05-20,5157.000,5160.050,5072.400,5104.950,0
2008-05-21,5105.700,5135.550,5048.700,5117.650,0
2008-05-22,5117.000,5118.900,5010.700,5025.450,0
2008-05-23,5026.550,5059.050,4940.700,4946.550,0
2008-05-26,4953.600,4953.600,4858.000,4875.050,0
2008-05-27,4877.150,4932.000,4846.200,4859.800,0
2008-05-28,4862.700,4926.900,4835.650,4918.350,0
2008-05-29,4926.300,4957.400,4801.900,4835.300,0
2008-05-30,4844.050,4908.850,4833.450,4870.100,0
2008-06-02,4869.250,4908.800,4713.000,4739.600,0
2008-06-03,4739.300,4739.300,4634.000,4715.900,0
2008-06-04,4718.700,4731.500,4564.500,4585.600,0
2008-06-05,4586.950,4690.600,4536.250,4676.950,0
2008-06-06,4680.550,4746.300,4614.250,4627.800,0
2008-06-09,4626.450,4626.450,4411.600,4500.950,0
2008-06-10,4522.000,4522.550,4369.800,4449.800,0
2008-06-11,4469.650,4541.050,4468.050,4523.600,0
2008-06-12,4524.400,4550.000,4392.000,4539.350,0
2008-06-13,4539.500,4563.350,4491.350,4517.100,0
2008-06-16,4536.300,4617.700,4536.300,4572.500,0
2008-06-17,4572.500,4664.050,4561.750,4653.000,0
2008-06-18,4652.800,4679.750,4569.900,4582.400,0
2008-06-19,4582.550,4585.700,4488.950,4504.250,0
2008-06-20,4504.200,4532.000,4333.600,4347.550,0
2008-06-23,4351.150,4351.150,4225.500,4266.400,0
2008-06-24,4271.050,4305.900,4156.100,4191.100,0
2008-06-25,4189.600,4264.550,4093.200,4252.650,0
2008-06-26,4252.600,4324.750,4230.000,4315.850,0
2008-06-27,4315.300,4315.300,4119.200,4136.650,0
2008-06-30,4136.250,4163.000,4021.700,4040.550,0
2008-07-01,4039.750,4075.400,3878.200,3896.750,0
2008-07-02,3895.300,4107.150,3848.250,4093.350,0
2008-07-03,4094.600,4097.350,3874.850,3925.750,0
2008-07-04,3926.650,4033.500,3896.400,4016.000,0
2008-07-07,4002.000,4114.500,4002.000,4030.000,0
2008-07-08,4028.700,4028.700,3896.050,3988.550,0
2008-07-09,3990.900,4169.400,3990.900,4157.100,0
2008-07-10,4155.650,4187.950,4110.400,4162.200,0
2008-07-11,4166.000,4215.500,4014.450,4049.000,0
2008-07-14,4047.450,4118.100,4004.250,4039.700,0
2008-07-15,4039.300,4040.700,3835.500,3861.100,0
2008-07-16,3861.550,3920.050,3790.200,3816.700,0
2008-07-17,3823.150,3968.750,3823.150,3947.200,0
2008-07-18,3962.950,4110.550,3926.300,4092.250,0
2008-07-21,4092.200,4168.150,4072.750,4159.500,0
2008-07-22,4158.450,4262.450,4137.950,4240.100,0
2008-07-23,4246.700,4491.550,4246.700,4476.800,0
2008-07-24,4476.200,4539.450,4385.850,4433.550,0
2008-07-25,4440.850,4440.850,4297.150,4311.850,0
2008-07-28,4282.250,4352.650,4282.250,4332.100,0
2008-07-29,4332.200,4332.200,4159.150,4189.850,0
2008-07-30,4191.200,4327.000,4191.200,4313.550,0
2008-07-31,4314.350,4342.000,4285.550,4332.950,0
2008-08-01,4331.600,4422.950,4235.700,4413.550,0
2008-08-04,4426.100,4436.150,4362.900,4395.350,0
2008-08-05,4395.800,4515.150,4376.000,4502.850,0
2008-08-06,4506.250,4615.900,4503.900,4517.550,0
2008-08-07,4515.250,4580.150,4493.700,4523.850,0
2008-08-08,4518.350,4546.350,4464.000,4529.500,0
2008-08-11,4529.350,4625.200,4529.350,4620.400,0
2008-08-12,4620.950,4649.850,4525.750,4552.250,0
2008-08-13,4548.050,4572.650,4497.250,4529.050,0
2008-08-14,4524.200,4529.800,4421.250,4430.700,0
2008-08-18,4430.700,4447.400,4379.850,4393.050,0
2008-08-19,4393.100,4393.700,4316.550,4368.250,0
2008-08-20,4365.450,4434.900,4365.450,4415.750,0
2008-08-21,4416.200,4418.550,4271.300,4283.850,0
2008-08-22,4283.850,4337.000,4248.000,4327.450,0
2008-08-25,4317.950,4398.800,4317.950,4335.350,0
2008-08-26,4335.200,4345.050,4283.300,4337.500,0
2008-08-27,4336.850,4364.250,4282.650,4292.100,0
2008-08-28,4290.750,4304.500,4201.850,4214.000,0
2008-08-29,4230.600,4368.800,4230.600,4360.000,0
2008-09-01,4356.100,4365.000,4281.350,4348.650,0
2008-09-02,4358.850,4522.400,4343.100,4504.000,0
2008-09-04,4512.950,4514.600,4419.450,4447.750,0
2008-09-05,4444.700,4444.700,4328.900,4352.300,0
2008-09-08,4358.300,4558.000,4358.300,4482.300,0
2008-09-09,4485.150,4497.500,4418.950,4468.700,0
2008-09-10,4467.500,4467.500,4382.350,4400.250,0
2008-09-11,4397.250,4399.300,4272.750,4290.300,0
2008-09-12,4291.600,4323.900,4200.150,4228.450,0
