date,open,high,low,close,volume
2012-05-30,18.573,18.639,18.475,18.539,13786
2012-05-31,18.630,18.708,18.573,18.708,2890
2012-06-01,18.620,18.620,18.494,18.494,8727
2012-06-04,18.439,18.583,18.439,18.583,11006
2012-06-06,19.267,19.292,19.185,19.292,4964
2012-06-07,19.600,19.914,19.574,19.592,10765
2012-06-08,19.527,19.565,19.527,19.565,907
2012-06-11,19.320,19.320,19.069,19.069,5428
2012-06-12,19.419,19.419,19.419,19.419,222
2012-06-13,19.618,19.618,19.574,19.574,4112
2012-06-14,19.292,19.400,19.231,19.365,3425
2012-06-15,19.627,19.662,19.627,19.662,3223
2012-06-18,19.194,19.382,19.185,19.382,10254
2012-06-19,19.474,19.555,19.474,19.555,387
2012-06-20,19.329,19.365,19.275,19.311,4002
2012-06-21,19.258,19.258,19.051,19.051,8450
2012-06-22,19.025,19.025,18.998,19.025,2668
2012-06-25,18.872,18.881,18.872,18.881,443
2012-06-26,18.926,19.085,18.926,19.042,6337
2012-06-27,19.148,19.258,19.140,19.258,10563
2012-06-28,19.131,19.131,19.060,19.060,12230
2012-06-29,20.222,20.295,20.195,20.295,10205
2012-07-02,19.609,20.276,19.609,20.266,2447
2012-07-03,20.749,20.749,20.749,20.749,334
2012-07-05,20.482,20.490,20.482,20.490,3114
2012-07-06,20.076,20.076,20.076,20.076,111
2012-07-10,20.266,20.266,20.130,20.130,11655
2012-07-12,19.778,19.805,19.778,19.805,647
2012-07-13,20.195,20.295,20.149,20.295,2336
2012-07-16,19.987,19.987,19.987,19.987,222
2012-07-17,20.076,20.076,19.862,19.961,17589
2012-07-18,19.961,19.961,19.834,19.834,1392
2012-07-19,20.168,20.186,20.149,20.177,4528
2012-07-20,19.880,19.880,19.880,19.880,332
2012-07-23,19.167,19.267,19.167,19.267,4112
2012-07-25,19.356,19.356,19.356,19.356,255
2012-07-30,19.923,19.923,19.923,19.923,1890
2012-07-31,19.862,19.862,19.862,19.862,2645
2012-08-02,19.759,19.759,19.501,19.501,8206
2012-08-06,20.337,20.337,20.337,20.337,111
2012-08-07,20.722,20.758,20.651,20.651,12123
2012-08-09,20.507,20.507,20.507,20.507,184
2012-08-13,20.473,20.526,20.364,20.400,28834
2012-08-14,20.482,20.482,20.482,20.482,209
2012-08-15,20.418,20.455,20.418,20.455,554
2012-08-16,20.668,20.668,20.490,20.651,3004
2012-08-17,20.713,20.713,20.465,20.465,1517
2012-08-20,20.564,20.564,20.564,20.564,222
2012-08-21,21.029,21.029,21.029,21.029,234
2012-08-22,20.696,20.849,20.696,20.785,5336
2012-08-24,20.722,20.722,20.713,20.713,3223
2012-08-27,20.687,20.687,20.465,20.465,638
2012-08-29,20.295,20.295,20.295,20.295,148
2012-08-30,20.239,20.239,20.231,20.231,11313
2012-08-31,20.203,20.203,20.112,20.149,2388
2012-09-05,19.951,19.951,19.951,19.951,111
2012-09-06,20.346,20.346,20.257,20.257,3457
2012-09-07,20.659,20.687,20.659,20.659,566
2012-09-12,21.010,21.010,20.984,21.002,1512
2012-09-13,20.867,21.362,20.859,21.362,56368
2012-09-14,22.111,22.128,22.056,22.101,15009
2012-09-17,22.047,22.163,21.940,21.940,23570
2012-09-18,22.037,22.037,21.730,21.730,41468
2012-09-19,22.028,22.092,21.903,22.092,24903
2012-09-20,21.974,21.991,21.922,21.966,4450
2012-09-25,22.550,22.882,22.550,22.765,2995
2012-09-26,22.440,22.575,22.290,22.360,5734
2012-09-27,22.656,22.846,22.656,22.846,2431
2012-10-01,23.188,23.496,23.188,23.496,1890
2012-10-02,23.442,23.577,23.442,23.577,78825
2012-10-03,23.826,23.826,23.577,23.747,86938
2012-10-04,24.151,24.340,24.151,24.340,3750
2012-10-05,24.133,24.133,24.024,24.024,6257
2012-10-08,23.323,23.451,23.306,23.432,3250
2012-10-09,23.630,23.630,23.145,23.197,46718
2012-10-10,22.901,22.901,22.765,22.801,1252
2012-10-11,23.170,23.253,23.116,23.116,49213
2012-10-12,22.963,22.963,22.747,22.793,7698
2012-10-15,22.873,23.036,22.873,23.036,22903
2012-10-16,22.963,22.963,22.775,22.811,24090
2012-10-17,23.654,23.654,22.846,22.846,7655
2012-10-18,22.630,23.533,22.604,22.604,388533
2012-10-19,22.541,22.585,22.341,22.559,35132
2012-10-22,22.756,22.873,22.729,22.738,41780
2012-10-23,22.332,22.585,22.332,22.575,1009
2012-10-24,22.639,22.747,22.416,22.440,220274
2012-10-25,22.928,22.928,22.622,22.738,37689
2012-10-26,22.738,22.738,22.477,22.513,4112
2012-10-31,22.775,22.775,22.227,22.235,2668
2012-11-01,22.811,22.811,22.486,22.765,5669
2012-11-02,23.162,23.162,22.846,22.846,1112
2012-11-05,22.244,22.523,22.244,22.523,607
2012-11-06,22.711,22.711,22.504,22.532,2535
2012-11-07,22.495,22.495,22.495,22.495,111
2012-11-08,22.639,22.639,22.639,22.639,222
2012-11-09,22.360,22.360,22.351,22.351,610
2012-11-12,22.369,22.369,22.199,22.199,554
2012-11-13,22.101,22.217,22.101,22.111,10661
2012-11-14,22.190,22.208,21.876,21.876,103774
2012-11-15,22.387,22.387,22.387,22.387,165
2012-11-16,21.625,21.749,21.625,21.749,890
2012-11-19,21.903,21.948,21.749,21.940,894
2012-11-20,21.739,21.739,21.705,21.705,348
2012-11-23,21.958,21.966,21.958,21.966,1112
2012-11-26,21.912,21.974,21.912,21.966,11504
2012-11-27,22.424,22.424,22.181,22.227,15040
2012-11-28,22.217,22.217,22.163,22.190,6573
2012-11-29,23.044,23.044,22.882,22.882,1890
2012-11-30,22.920,23.272,22.920,23.162,10794
2012-12-03,23.216,23.216,23.081,23.107,9776
2012-12-05,23.341,23.415,23.188,23.415,10839
2012-12-06,23.551,23.594,23.424,23.594,3304
2012-12-07,23.604,23.604,23.289,23.397,4488
2012-12-10,23.613,23.613,23.613,23.613,1073
2012-12-11,23.442,23.542,23.387,23.387,11856
2012-12-13,23.225,23.235,23.225,23.235,3057
2012-12-14,23.289,23.289,23.188,23.188,2279
2012-12-18,23.272,23.871,23.272,23.387,153649
2012-12-19,23.478,23.524,23.432,23.451,47959
2012-12-20,23.487,23.514,23.451,23.505,340633
2012-12-21,23.044,23.053,22.945,23.053,297612
2012-12-24,23.225,23.225,23.019,23.107,3665
2012-12-26,23.378,23.432,23.378,23.432,10430
2012-12-27,23.306,23.816,23.071,23.816,356399
2012-12-28,23.262,23.397,23.153,23.153,344964
2012-12-31,23.397,23.594,23.062,23.594,117803
2013-01-02,24.077,24.077,23.861,24.033,29673
2013-01-03,23.907,24.051,23.853,23.934,67891
2013-01-04,23.747,23.816,23.647,23.816,7856
2013-01-07,23.586,23.586,23.333,23.496,33738
2013-01-08,23.718,23.718,23.496,23.558,195707
2013-01-09,23.594,23.647,23.551,23.630,45451
2013-01-10,23.663,23.772,23.586,23.756,28879
2013-01-11,23.663,23.790,23.487,23.604,188932
2013-01-14,23.960,23.960,23.960,23.960,771
2013-01-15,24.024,24.086,23.960,24.086,112704
2013-01-16,23.952,23.960,23.663,23.960,95238
2013-01-17,24.151,24.349,24.151,24.331,104481
2013-01-18,24.269,24.547,24.261,24.547,59549
2013-01-22,24.467,24.485,24.385,24.467,22400
2013-01-23,24.504,24.504,24.242,24.321,202118
2013-01-24,24.340,24.340,24.016,24.177,28189
2013-01-25,24.286,24.321,24.077,24.187,16232
2013-01-28,24.376,24.376,24.187,24.242,2214
2013-01-29,24.385,24.430,24.252,24.394,1520
2013-01-30,24.556,24.556,24.376,24.521,26299
2013-01-31,24.421,24.430,24.294,24.421,48798
2013-02-01,24.476,24.647,24.233,24.647,77217
2013-02-04,24.278,24.278,24.024,24.096,10152
2013-02-05,24.206,24.214,24.143,24.177,11570
2013-02-06,24.096,24.233,24.096,24.233,33283
2013-02-07,24.077,24.077,23.772,23.861,7319
2013-02-08,23.907,23.924,23.613,23.621,471852
2013-02-11,23.613,23.613,23.487,23.594,40038
2013-02-12,23.558,23.844,23.551,23.763,34268
2013-02-13,23.737,23.737,23.663,23.699,33294
2013-02-14,23.378,23.496,23.378,23.432,27580
2013-02-15,23.225,23.298,23.081,23.145,70646
2013-02-19,23.350,23.737,23.350,23.718,381413
2013-02-20,23.654,23.663,23.442,23.533,7421
2013-02-21,23.081,23.081,22.838,22.882,24438
2013-02-22,23.090,23.170,23.081,23.126,109094
2013-02-25,23.197,23.460,23.126,23.162,23881
2013-02-26,22.873,23.081,22.873,23.053,115043
2013-02-27,23.272,23.387,23.216,23.341,10252
2013-02-28,22.784,22.784,22.448,22.495,35629
2013-03-01,22.387,22.397,22.281,22.281,3230
2013-03-04,22.298,22.513,22.199,22.513,310811
2013-03-05,22.747,22.873,22.747,22.793,69641
2013-03-06,22.864,22.920,22.811,22.829,23198
2013-03-07,23.272,23.306,23.244,23.289,4366
2013-03-08,23.718,23.772,23.524,23.709,107099
2013-03-11,23.790,23.790,23.586,23.663,12368
2013-03-12,23.718,23.718,23.415,23.487,86617
2013-03-13,23.289,23.315,23.081,23.298,499067
2013-03-14,23.298,23.604,23.298,23.604,42523
2013-03-15,23.460,23.524,23.451,23.514,31748
2013-03-18,23.451,23.451,23.244,23.298,4248
2013-03-19,22.920,22.920,22.513,22.675,12987
2013-03-20,22.747,22.747,22.585,22.666,3916
2013-03-21,22.559,22.559,22.307,22.307,16265
2013-03-22,22.360,22.486,22.360,22.416,554029
2013-03-25,22.575,22.575,22.190,22.369,50219
2013-03-26,22.477,22.513,22.315,22.315,473472
2013-03-27,22.281,22.541,22.254,22.541,155768
2013-03-28,22.532,22.613,22.532,22.613,3236
2013-04-01,22.622,22.622,22.513,22.585,18400
2013-04-02,22.829,22.838,22.702,22.793,171117
2013-04-03,22.630,22.639,22.315,22.397,247371
2013-04-04,22.135,22.135,21.857,22.020,109355
2013-04-05,21.589,21.912,21.589,21.912,65834
2013-04-08,22.047,22.135,22.028,22.128,66233
2013-04-09,22.047,22.135,21.958,22.092,340260
2013-04-10,22.254,22.360,22.254,22.360,20926
2013-04-11,22.416,22.440,22.298,22.351,210775
2013-04-12,21.814,22.010,21.749,21.876,202819
2013-04-15,22.208,22.208,21.677,21.687,89555
2013-04-16,22.575,22.711,22.477,22.647,127979
2013-04-17,22.559,22.559,22.332,22.495,344863
2013-04-18,22.756,22.864,22.702,22.793,9411
2013-04-19,23.090,23.170,22.955,23.170,200249
2013-04-22,23.116,23.179,23.000,23.145,38461
2013-04-23,23.162,23.315,23.145,23.281,855709
2013-04-24,23.387,23.432,23.341,23.387,235982
2013-04-25,23.524,23.524,23.281,23.368,138063
2013-04-26,23.262,23.262,22.945,22.972,24281
2013-04-29,23.235,23.397,23.216,23.368,39399
2013-04-30,23.568,23.890,23.505,23.861,144764
2013-05-01,23.690,23.690,23.568,23.586,20093
2013-05-02,23.816,24.060,23.816,24.051,147437
2013-05-03,23.934,24.114,23.934,23.943,868559
2013-05-06,23.943,23.943,23.808,23.871,433454
2013-05-07,24.033,24.143,23.960,24.051,119387
2013-05-08,24.096,24.252,24.096,24.252,12874
2013-05-09,23.916,24.024,23.780,23.844,30377
2013-05-10,23.699,23.907,23.699,23.907,47148
2013-05-13,23.514,23.542,23.451,23.478,307003
2013-05-14,23.630,23.699,23.568,23.663,721129
2013-05-15,24.077,24.133,23.987,24.077,33248
2013-05-16,24.261,24.261,24.086,24.105,36345
2013-05-17,24.077,24.196,24.077,24.187,5510
2013-05-20,24.042,24.143,24.033,24.067,19836
2013-05-21,23.907,23.907,23.756,23.844,53315
2013-05-22,23.681,23.890,23.387,23.451,39413
2013-05-23,22.963,23.116,22.963,23.098,20129
2013-05-24,23.081,23.135,23.000,23.081,500259
2013-05-28,23.654,23.654,23.387,23.424,53937
2013-05-29,23.289,23.289,23.162,23.170,28633
2013-05-30,23.179,23.333,23.179,23.235,16417
2013-05-31,22.928,22.955,22.513,22.568,295333
2013-06-03,22.513,22.829,22.513,22.784,64571
2013-06-04,22.585,22.613,22.495,22.504,74604
2013-06-05,22.568,22.568,22.235,22.254,51327
2013-06-06,22.440,22.477,22.290,22.477,83192
2013-06-07,22.153,22.397,22.153,22.298,1229939
2013-06-10,21.822,21.857,21.739,21.767,54452
2013-06-11,21.380,21.407,21.227,21.292,27381
2013-06-12,21.652,21.652,21.192,21.201,74515
2013-06-13,21.136,21.443,21.118,21.434,32963
2013-06-14,21.730,21.757,21.498,21.562,315033
2013-06-17,21.847,21.847,21.597,21.597,153049
2013-06-18,21.372,21.552,21.353,21.516,1987329
2013-06-19,21.571,21.571,20.932,20.992,1396625
2013-06-20,21.057,21.057,19.887,20.030,2494401
2013-06-21,20.777,20.777,20.222,20.507,987763
2013-06-24,21.273,21.273,20.021,20.186,274039
2013-06-25,20.239,20.545,20.177,20.517,1571982
2013-06-26,19.987,20.400,19.987,20.400,125499
2013-06-27,20.758,20.867,20.615,20.785,98276
2013-06-28,21.101,21.174,21.020,21.118,109775
2013-07-01,21.579,21.579,21.183,21.210,797663
2013-07-02,21.183,21.326,20.923,20.959,116283
2013-07-03,20.668,20.896,20.564,20.777,784099
2013-07-05,21.301,21.301,20.437,20.582,1433719
2013-07-08,20.886,20.886,20.545,20.651,1240649
2013-07-09,20.932,21.039,20.877,20.896,548308
2013-07-10,20.859,20.941,20.704,20.722,924108
2013-07-11,21.543,21.579,21.301,21.516,709697
2013-07-12,21.589,21.634,21.470,21.516,998819
2013-07-15,21.705,21.991,21.696,21.903,197633
2013-07-16,21.705,22.074,21.677,21.903,150578
2013-07-17,21.776,21.940,21.776,21.857,198551
2013-07-18,21.948,22.066,21.857,21.903,137745
2013-07-19,21.895,21.912,21.776,21.847,88994
2013-07-22,21.847,22.001,21.822,21.974,433053
2013-07-23,21.857,22.001,21.749,21.785,183591
2013-07-24,21.822,21.903,21.533,21.652,395172
2013-07-25,21.642,21.669,21.507,21.616,3930546
2013-07-26,21.479,21.589,21.380,21.571,1093508
2013-07-29,21.235,21.263,21.146,21.192,128043
2013-07-30,20.554,20.634,20.465,20.465,223496
2013-07-31,20.373,20.651,20.285,20.490,381397
2013-08-01,20.704,20.841,20.607,20.758,148941
2013-08-02,20.409,20.582,20.364,20.465,931045
2013-08-05,20.266,20.311,20.177,20.222,115489
2013-08-06,19.880,19.880,19.662,19.788,90464
2013-08-07,19.680,19.751,19.609,19.618,217766
2013-08-08,20.086,20.213,19.904,20.149,245653
2013-08-09,20.213,20.231,20.112,20.121,203713
2013-08-12,19.970,20.177,19.887,20.048,43273
2013-08-13,20.276,20.391,20.248,20.337,253739
2013-08-14,20.427,20.554,20.427,20.482,41942
2013-08-15,20.239,20.276,20.130,20.177,94497
2013-08-16,19.509,19.518,19.231,19.267,562551
2013-08-19,18.698,18.881,18.466,18.521,690168
2013-08-20,18.698,18.889,18.657,18.826,225689
2013-08-21,18.296,18.296,17.854,17.918,755913
2013-08-22,18.403,18.485,18.323,18.458,1337193
2013-08-23,18.845,18.917,18.745,18.845,331440
2013-08-26,18.673,18.817,18.494,18.555,174992
2013-08-27,17.540,17.549,17.326,17.326,568148
2013-08-28,17.126,17.656,16.875,17.308,227326
2013-08-29,17.620,17.872,17.620,17.639,96242
2013-08-30,18.278,18.323,17.935,18.323,1777175
2013-09-03,17.592,17.673,17.433,17.523,1087756
2013-09-04,18.034,18.539,18.034,18.494,165862
2013-09-05,18.573,19.032,18.548,18.998,267314
2013-09-06,18.998,19.546,18.998,19.382,322004
2013-09-09,19.870,20.058,19.555,19.994,395135
2013-09-10,20.418,20.573,20.355,20.400,912060
2013-09-11,20.634,20.634,20.409,20.573,501986
2013-09-12,20.455,20.455,20.168,20.168,543268
2013-09-13,20.121,20.490,20.121,20.231,1020289
2013-09-16,20.582,20.599,20.302,20.320,297982
2013-09-17,20.564,20.564,20.320,20.427,290779
2013-09-18,20.285,21.434,20.222,21.434,682708
2013-09-19,21.155,21.652,21.155,21.416,1244798
2013-09-20,20.822,20.949,20.704,20.758,294326
2013-09-23,20.659,20.739,20.507,20.659,403343
2013-09-24,20.545,20.713,20.507,20.607,225545
2013-09-25,20.634,20.704,20.490,20.573,286433
2013-09-26,20.677,20.949,20.677,20.849,265066
2013-09-27,20.465,20.473,20.094,20.177,372192
2013-09-30,19.824,20.186,19.824,20.048,161067
2013-10-01,20.149,20.499,20.104,20.437,565577
2013-10-02,20.526,20.599,20.337,20.599,180120
2013-10-03,20.984,20.984,20.659,20.795,568968
2013-10-04,21.076,21.263,21.039,21.085,376105
2013-10-07,21.146,21.263,21.085,21.127,68136
2013-10-08,20.949,20.967,20.607,20.651,77785
2013-10-09,21.218,21.218,21.020,21.127,289558
2013-10-10,21.652,21.991,21.642,21.814,405878
2013-10-11,21.616,21.966,21.616,21.966,814015
2013-10-14,21.940,22.290,21.847,22.244,339362
2013-10-15,22.227,22.227,21.543,21.562,134189
2013-10-16,21.607,21.857,21.579,21.804,39595
2013-10-17,21.677,21.876,21.652,21.847,42470
2013-10-18,22.379,22.379,22.056,22.119,652409
2013-10-21,22.298,22.298,21.966,22.010,142605
2013-10-22,22.028,22.406,22.028,22.290,51542
2013-10-23,22.047,22.047,21.739,21.814,85376
2013-10-24,21.876,21.876,21.642,21.687,110358
2013-10-25,21.749,22.020,21.696,21.857,23124
2013-10-28,21.982,21.982,21.616,21.677,23308
2013-10-29,21.958,22.153,21.958,22.074,39143
2013-10-30,22.181,22.181,21.895,22.066,123623
2013-10-31,22.199,22.235,21.885,21.895,1119429
2013-11-01,22.084,22.144,21.876,22.074,201904
2013-11-04,22.092,22.315,22.066,22.315,139071
2013-11-05,21.757,22.056,21.757,21.866,560953
2013-11-06,21.714,21.795,21.642,21.705,175700
2013-11-07,21.616,21.652,21.183,21.218,92769
2013-11-08,21.165,21.165,20.822,21.010,549310
2013-11-11,21.002,21.020,20.785,20.841,387694
2013-11-12,20.722,20.722,20.311,20.427,492697
2013-11-13,20.545,20.822,20.427,20.822,137948
2013-11-14,20.749,21.136,20.739,21.118,339662
2013-11-15,21.210,21.488,21.210,21.434,601317
2013-11-18,21.804,21.974,21.730,21.739,99158
2013-11-19,21.767,21.795,21.571,21.571,143369
2013-11-20,21.434,21.479,21.076,21.235,136123
2013-11-21,20.959,20.959,20.795,20.849,303918
