date,open,high,low,close,volume
1990-04-06,641.269,641.269,641.269,641.244,0
1990-04-09,633.482,633.482,633.482,633.457,0
1990-04-10,632.086,632.086,632.086,632.061,0
1990-04-11,634.693,634.693,634.693,634.668,0
1990-04-12,639.614,639.614,639.614,639.589,0
1990-04-16,640.014,640.014,640.014,639.989,0
1990-04-17,641.873,641.873,641.873,641.848,0
1990-04-18,640.528,640.528,640.528,640.503,0
1990-04-19,643.906,643.906,643.906,643.881,0
1990-04-20,641.686,641.686,641.686,641.661,0
1990-04-23,643.910,643.910,643.910,643.885,0
1990-04-24,638.798,638.798,638.798,638.773,0
1990-05-01,639.010,639.010,639.010,638.985,0
1990-05-02,636.154,636.154,636.154,636.129,0
1990-05-03,642.160,642.160,642.160,642.135,0
1990-05-04,643.094,643.094,643.094,643.069,0
1990-05-07,641.946,641.946,641.946,641.921,0
1990-05-08,642.984,642.984,642.984,642.959,0
1990-05-09,645.012,645.012,645.012,644.987,0
1990-05-11,643.312,643.312,643.312,643.287,0
1990-05-14,638.922,638.922,638.922,638.897,0
1990-05-15,640.855,640.855,640.855,640.830,0
1990-05-16,639.337,639.337,639.337,639.312,0
1990-05-17,644.441,644.441,644.441,644.416,0
1990-05-21,647.216,647.216,647.216,647.191,0
1990-05-22,647.401,647.401,647.401,647.376,0
1990-05-23,646.247,646.247,646.247,646.222,0
1990-05-25,647.360,647.360,647.360,647.335,0
1990-05-28,640.130,640.130,640.130,640.105,0
1990-05-29,641.140,641.140,641.140,641.115,0
1990-05-30,640.580,640.580,640.580,640.555,0
1990-05-31,636.400,636.400,636.400,636.375,0
1990-06-01,635.020,635.020,635.020,634.995,0
1990-06-04,636.240,636.240,636.240,636.215,0
1990-06-05,637.080,637.080,637.080,637.055,0
1990-06-06,636.642,636.642,636.642,636.617,0
1990-06-07,636.000,636.000,636.000,635.975,0
1990-06-08,636.060,636.060,636.060,636.035,0
1990-06-11,634.760,634.760,634.760,634.735,0
1990-06-12,634.420,634.420,634.420,634.395,0
1990-06-13,631.380,631.380,631.380,631.355,0
1990-06-14,630.300,630.300,630.300,630.276,0
1990-06-15,628.280,628.280,628.280,628.256,0
1990-06-18,626.900,626.900,626.900,626.876,0
1990-06-19,621.790,621.790,621.790,621.766,0
1990-06-20,622.430,622.430,622.430,622.406,0
1990-06-21,622.980,622.980,622.980,622.956,0
1990-06-22,623.950,623.950,623.950,623.926,0
1990-06-25,626.140,626.140,626.140,626.116,0
1990-06-26,623.760,623.760,623.760,623.736,0
1990-06-27,627.100,627.100,627.100,627.076,0
1990-06-28,626.760,626.760,626.760,626.736,0
1990-06-29,624.320,624.320,624.320,624.296,0
1990-07-02,629.440,629.440,629.440,629.416,0
1990-07-03,629.700,629.700,629.700,629.676,0
1990-07-04,629.708,629.708,629.708,629.684,0
1990-07-05,627.423,627.423,627.423,627.398,0
1990-07-06,626.811,626.811,626.811,626.787,0
1990-07-09,623.298,623.298,623.298,623.274,0
1990-07-10,624.601,624.601,624.601,624.577,0
1990-07-11,627.469,627.469,627.469,627.445,0
1990-07-12,627.969,627.969,627.969,627.945,0
1990-07-13,630.021,630.021,630.021,629.997,0
1990-07-16,630.734,630.734,630.734,630.710,0
1990-07-17,629.531,629.531,629.531,629.507,0
1990-07-18,631.170,631.170,631.170,631.145,0
1990-07-19,629.473,629.473,629.473,629.449,0
1990-07-20,630.096,630.096,630.096,630.072,0
1990-07-24,625.906,625.906,625.906,625.882,0
1990-07-25,627.960,627.960,627.960,627.936,0
1990-07-26,626.000,626.000,626.000,625.976,0
1990-07-27,624.087,624.087,624.087,624.063,0
1990-07-30,619.662,619.662,619.662,619.638,0
1990-07-31,614.406,614.406,614.406,614.382,0
1990-08-01,611.981,611.981,611.981,611.957,0
1990-08-02,612.222,612.222,612.222,612.198,0
1990-08-03,613.494,613.494,613.494,613.470,0
1990-08-06,607.626,607.626,607.626,607.602,0
1990-08-07,603.124,603.124,603.124,603.101,0
1990-08-08,595.935,595.935,595.935,595.912,0
1990-08-09,593.473,593.473,593.473,593.450,0
1990-08-10,591.969,591.969,591.969,591.946,0
1990-08-13,590.011,590.011,590.011,589.988,0
1990-08-14,587.334,587.334,587.334,587.311,0
1990-08-15,584.156,584.156,584.156,584.133,0
1990-08-16,585.150,585.150,585.150,585.127,0
1990-08-20,583.471,583.471,583.471,583.448,0
1990-08-21,577.477,577.477,577.477,577.455,0
1990-08-22,573.298,573.298,573.298,573.276,0
1990-08-23,563.490,563.490,563.490,563.468,0
1990-08-24,551.782,551.782,551.782,551.760,0
1990-08-27,546.830,546.830,546.830,546.809,0
1990-08-28,556.337,556.337,556.337,556.315,0
1990-08-30,559.383,559.383,559.383,559.361,0
1990-08-31,571.020,571.020,571.020,570.998,0
1990-09-03,567.407,567.407,567.407,567.385,0
1990-09-04,562.336,562.336,562.336,562.314,0
1990-09-05,557.058,557.058,557.058,557.036,0
1990-09-06,557.147,557.147,557.147,557.125,0
1990-09-07,546.599,546.599,546.599,546.578,0
1990-09-11,541.870,541.870,541.870,541.849,0
1990-09-12,539.391,539.391,539.391,539.370,0
1990-09-13,530.423,530.423,530.423,530.402,0
1990-09-14,529.120,529.120,529.120,529.099,0
1990-09-17,523.114,523.114,523.114,523.094,0
1990-09-18,515.144,515.144,515.144,515.124,0
1990-09-19,507.072,507.072,507.072,507.052,0
1990-09-20,500.690,500.690,500.690,500.671,0
1990-09-21,500.299,500.299,500.299,500.280,0
1990-09-24,493.936,493.936,493.936,493.917,0
1990-09-25,477.378,477.378,477.378,477.359,0
1990-09-26,464.253,464.253,464.253,464.235,0
1990-09-27,454.512,454.512,454.512,454.494,0
1990-09-28,468.509,468.509,468.509,468.491,0
1990-10-01,468.500,468.500,468.500,468.482,0
1990-10-02,460.580,460.580,460.580,460.562,0
1990-10-03,456.901,456.901,456.901,456.883,0
1990-10-04,452.615,452.615,452.615,452.597,0
1990-10-05,450.058,450.058,450.058,450.040,0
1990-10-08,446.341,446.341,446.341,446.324,0
1990-10-09,441.766,441.766,441.766,441.749,0
1990-10-10,433.500,433.500,433.500,433.483,0
1990-10-11,428.560,428.560,428.560,428.543,0
1990-10-12,425.397,425.397,425.397,425.380,0
1990-10-15,419.243,419.243,419.243,419.227,0
1990-10-16,414.747,414.747,414.747,414.731,0
1990-10-17,407.543,407.543,407.543,407.527,0
1990-10-18,398.558,398.558,398.558,398.542,0
1990-10-19,396.981,396.981,396.981,396.966,0
1990-10-22,407.675,407.675,407.675,407.659,0
1990-10-23,405.112,405.112,405.112,405.096,0
1990-10-24,409.128,409.128,409.128,409.112,0
1990-10-25,417.576,417.576,417.576,417.560,0
1990-10-26,437.757,437.757,437.757,437.740,0
1990-10-29,453.229,453.229,453.229,453.211,0
1990-10-30,430.686,430.686,430.686,430.669,0
1990-10-31,416.489,416.489,416.489,416.473,0
1990-11-01,416.343,416.343,416.343,416.327,0
1990-11-02,419.732,419.732,419.732,419.716,0
1990-11-05,416.623,416.623,416.623,416.607,0
1990-11-06,415.081,415.081,415.081,415.065,0
1990-11-07,414.507,414.507,414.507,414.491,0
1990-11-08,412.826,412.826,412.826,412.810,0
1990-11-09,412.030,412.030,412.030,412.014,0
1990-11-12,408.968,408.968,408.968,408.952,0
1990-11-13,406.419,406.419,406.419,406.403,0
1990-11-14,402.510,402.510,402.510,402.494,0
1990-11-15,398.955,398.955,398.955,398.939,0
1990-11-16,398.521,398.521,398.521,398.505,0
1990-11-19,395.210,395.210,395.210,395.195,0
1990-11-20,391.794,391.794,391.794,391.779,0
1990-11-21,391.930,391.930,391.930,391.915,0
1990-11-22,390.042,390.042,390.042,390.027,0
1990-11-23,390.987,390.987,390.987,390.972,0
1990-11-26,389.658,389.658,389.658,389.643,0
1990-11-27,388.472,388.472,388.472,388.457,0
1990-11-28,387.377,387.377,387.377,387.362,0
