date,open,high,low,close,volume
2010-05-07,22.200,22.200,21.790,16.042,1600
2010-05-10,23.690,23.690,23.600,17.417,1000
2010-05-11,23.290,23.500,23.290,17.278,200
2010-05-12,23.500,23.500,23.500,17.278,0
2010-05-13,23.610,23.840,23.590,17.527,4800
2010-05-14,23.550,23.550,23.020,16.932,5500
2010-05-17,23.160,23.160,23.060,17.005,1400
2010-05-18,23.330,23.330,23.330,17.153,300
2010-05-19,22.480,22.500,22.130,16.432,3700
2010-05-20,21.450,21.450,21.090,15.513,7500
2010-05-21,21.110,21.460,21.110,15.623,2900
2010-05-24,20.900,20.900,20.890,15.359,900
2010-05-25,19.780,20.260,19.780,14.616,4700
2010-05-26,21.810,21.810,21.810,16.035,300
2010-05-27,22.240,22.240,22.240,16.351,300
2010-05-28,22.310,22.310,22.040,16.329,4600
2010-06-01,22.210,22.210,22.210,16.329,0
2010-06-02,22.480,22.480,22.480,16.528,1800
2010-06-03,22.970,22.970,22.780,16.785,14500
2010-06-04,22.410,22.410,21.960,16.197,5000
2010-06-07,22.400,22.400,22.130,16.351,2600
2010-06-08,22.440,22.800,22.430,16.645,6900
2010-06-09,22.860,22.860,22.860,16.807,200
2010-06-10,22.630,22.850,22.630,16.800,2200
2010-06-11,22.860,22.860,22.800,16.763,400
2010-06-14,23.220,23.220,23.090,16.976,37300
2010-06-15,23.260,23.440,23.240,17.233,17900
2010-06-16,23.500,23.680,23.490,17.395,4000
2010-06-17,23.950,23.980,23.700,17.498,48200
2010-06-18,24.470,24.490,24.330,17.998,2000
2010-06-21,24.780,24.800,24.470,17.991,9900
2010-06-22,24.650,24.670,24.180,17.777,10400
2010-06-23,24.390,24.390,24.110,17.835,9300
2010-06-24,24.340,24.950,23.930,17.732,117200
2010-06-25,24.460,24.750,24.440,18.255,1500
2010-06-28,24.710,24.710,24.450,18.160,5700
2010-06-29,23.920,23.920,23.450,17.297,2800
2010-06-30,24.160,24.200,24.160,17.850,300
2010-07-01,23.760,23.860,23.550,17.577,4900
2010-07-02,23.830,23.830,23.830,17.577,0
2010-07-06,24.090,24.120,24.090,17.791,800
2010-07-07,24.550,24.730,24.530,18.241,5100
2010-07-08,24.450,24.660,24.440,18.189,34400
2010-07-09,24.670,24.820,24.610,18.307,10800
2010-07-12,24.850,24.990,24.850,18.366,3100
2010-07-13,25.000,25.170,24.960,18.462,11300
2010-07-14,25.510,25.510,24.820,18.307,13000
2010-07-15,24.810,24.980,24.810,18.403,4000
2010-07-16,24.850,24.850,24.540,18.101,1100
2010-07-19,24.830,24.910,24.630,18.366,3900
2010-07-20,25.090,25.500,25.080,18.809,4200
2010-07-21,25.290,25.290,24.850,18.381,9600
2010-07-22,25.200,25.550,25.200,18.779,11600
