date,open,high,low,close,volume
2010-05-07,17.824,17.824,17.824,17.824,239
2010-05-10,19.462,19.462,19.462,19.462,120
2010-05-11,19.104,20.651,19.104,19.278,4136
2010-05-12,19.508,20.968,19.498,19.498,1193
2010-05-13,19.104,19.104,19.086,19.096,716
2010-05-14,18.400,18.475,18.400,18.475,716
2010-05-17,17.847,17.847,17.847,17.847,239
2010-05-18,18.074,18.233,17.564,17.564,2513
2010-05-19,17.974,17.974,17.974,17.974,120
2010-05-20,17.588,17.588,16.636,16.720,11119
2010-05-21,17.062,17.102,17.062,17.102,957
2010-05-25,16.067,16.067,16.067,16.067,477
2010-05-26,16.430,16.430,16.312,16.312,360
2010-05-27,16.745,16.745,16.745,16.745,597
2010-06-01,16.728,16.728,16.728,16.728,5976
2010-06-02,16.595,17.004,16.595,17.004,2513
2010-06-04,16.745,16.745,16.228,16.228,14411
2010-06-07,16.312,16.312,16.049,16.057,1673
2010-06-08,16.119,16.119,15.764,15.764,1911
2010-06-09,16.411,16.411,16.033,16.033,597
2010-06-11,16.033,16.033,16.033,16.033,1193
2010-06-14,17.205,17.346,17.165,17.346,1733
2010-06-16,17.588,17.588,17.588,17.588,360
2010-06-17,17.481,17.606,17.387,17.606,2115
2010-06-18,17.499,17.499,17.499,17.499,126
2010-06-21,17.230,17.230,17.230,17.230,142
2010-06-22,16.892,16.892,16.892,16.892,239
2010-06-23,16.846,16.846,16.811,16.811,3615
2010-06-24,16.969,16.969,16.969,16.969,597
2010-06-28,16.892,16.892,16.892,16.892,477
2010-06-29,16.312,16.362,15.993,16.049,3484
2010-06-30,15.971,15.971,15.971,15.971,360
2010-07-01,16.067,16.134,16.067,16.134,1077
2010-07-06,17.437,17.437,16.720,16.819,18414
2010-07-07,16.284,16.703,16.278,16.703,2027
2010-07-08,19.394,19.394,16.662,16.670,34852
2010-07-09,16.686,16.686,16.686,16.686,360
2010-07-12,16.654,16.654,16.645,16.645,360
2010-07-13,17.077,17.077,17.077,17.077,120
2010-07-14,17.053,17.053,17.053,17.053,120
2010-07-16,16.811,16.811,16.811,16.811,1193
2010-07-19,16.838,16.838,16.728,16.728,239
2010-07-20,16.477,16.654,16.477,16.544,7953
2010-07-21,16.901,16.901,16.654,16.654,381
2010-07-22,17.077,17.297,17.062,17.297,868
2010-07-23,17.037,17.148,16.995,17.148,32518
2010-07-27,17.667,17.667,17.667,17.667,120
2010-07-29,17.598,17.598,17.598,17.598,239
2010-08-02,17.915,18.042,17.915,18.042,597
2010-08-04,18.042,18.149,18.042,18.149,597
2010-08-05,18.409,18.409,18.409,18.409,120
2010-08-06,18.192,18.192,18.192,18.192,5976
2010-08-11,17.564,17.564,17.414,17.414,1316
2010-08-13,16.770,16.819,16.770,16.811,2513
2010-08-16,16.477,16.477,16.477,16.477,360
2010-08-18,16.954,16.954,16.954,16.954,120
2010-08-19,16.477,16.477,16.468,16.468,597
2010-08-23,16.167,16.167,16.167,16.167,477
2010-08-24,15.640,15.640,15.474,15.508,1193
2010-08-26,15.491,15.548,15.491,15.548,1077
2010-08-27,15.382,15.465,15.382,15.457,1685
2010-08-30,15.474,15.474,15.431,15.431,957
2010-08-31,15.640,15.801,15.640,15.801,597
2010-09-01,16.218,16.218,16.209,16.209,597
2010-09-07,16.318,16.318,16.318,16.318,344
2010-09-09,16.978,16.978,16.512,16.512,1673
2010-09-13,16.619,16.619,16.619,16.619,957
2010-09-15,16.728,16.728,16.728,16.728,239
2010-09-16,16.745,16.745,16.745,16.745,239
2010-09-20,16.521,16.521,16.521,16.521,120
2010-09-22,16.969,16.978,16.892,16.961,2033
2010-09-23,16.601,16.601,16.521,16.528,360
2010-09-28,16.601,16.728,16.561,16.728,1316
2010-09-29,16.878,16.878,16.878,16.878,270
2010-09-30,17.037,17.110,16.720,16.770,4006
2010-10-01,16.935,16.935,16.802,16.811,2513
2010-10-04,16.986,17.004,16.986,17.004,1193
2010-10-07,17.614,17.614,17.529,17.614,837
2010-10-08,17.396,17.396,17.396,17.396,360
2010-10-11,18.107,18.107,17.455,17.455,987
2010-10-12,17.094,17.305,17.094,17.246,1276
2010-10-13,17.506,17.506,17.506,17.506,820
2010-10-15,17.614,17.614,17.614,17.614,239
2010-10-18,17.396,17.396,17.396,17.396,239
2010-10-20,17.313,17.313,17.313,17.313,120
2010-10-21,17.640,17.640,17.463,17.555,1554
2010-10-22,17.614,17.614,17.614,17.614,477
2010-10-25,17.606,17.606,17.571,17.571,477
2010-10-26,17.211,17.211,17.205,17.205,597
2010-10-27,17.555,17.555,17.172,17.172,1625
2010-10-29,17.275,17.275,17.275,17.275,120
2010-11-02,17.463,17.489,17.463,17.489,360
2010-11-05,17.499,17.499,17.499,17.499,120
2010-11-08,17.414,17.414,17.254,17.254,6814
2010-11-09,17.506,18.034,17.387,17.387,2990
2010-11-10,17.030,17.220,17.030,17.062,1077
2010-11-11,16.935,16.935,16.628,16.628,1316
2010-11-12,16.787,16.787,16.561,16.569,1193
2010-11-16,16.446,16.446,16.141,16.193,1852
2010-11-17,16.586,16.878,16.411,16.485,5499
2010-11-18,17.156,17.364,17.156,17.364,3152
2010-11-19,17.791,17.791,17.523,17.538,3311
2010-11-22,17.238,17.472,16.871,17.254,26123
2010-11-23,16.901,16.901,16.268,16.485,17463
2010-11-24,16.446,16.502,16.353,16.353,6193
2010-11-26,16.228,16.228,15.918,16.040,4174
2010-11-29,15.875,15.952,15.640,15.952,8572
2010-11-30,15.725,16.392,15.299,15.700,4934
2010-12-01,15.985,16.093,15.875,16.093,6098
2010-12-02,16.302,16.578,16.293,16.569,3448
2010-12-03,16.561,16.770,16.561,16.654,4426
2010-12-06,16.961,16.961,16.610,16.694,909
2010-12-07,17.196,17.196,16.909,17.022,4871
2010-12-08,17.022,17.070,16.909,17.044,3808
2010-12-09,17.179,17.179,17.077,17.077,1347
2010-12-10,17.220,17.262,17.156,17.156,3229
2010-12-13,17.321,17.373,17.321,17.373,1181
2010-12-14,17.481,17.564,17.420,17.420,2944
2010-12-15,17.270,17.420,16.986,16.986,2832
2010-12-16,17.086,17.179,16.995,17.179,2319
2010-12-17,16.969,16.969,16.969,16.969,429
2010-12-20,17.037,17.037,17.037,17.037,278
2010-12-21,16.887,17.013,16.878,17.013,1554
2010-12-22,16.762,16.854,16.728,16.854,7377
2010-12-23,16.703,16.754,16.686,16.728,16244
2010-12-27,16.595,16.678,16.477,16.678,17541
2010-12-28,16.838,16.838,16.512,16.551,2704
2010-12-29,16.725,17.079,16.725,17.079,3104
2010-12-30,17.046,17.054,17.046,17.054,597
2010-12-31,17.232,17.232,17.002,17.020,5379
2011-01-03,16.961,17.824,16.961,17.824,10300
2011-01-04,17.373,17.373,17.120,17.220,197993
2011-01-05,17.120,17.120,16.720,17.013,8499
2011-01-06,16.738,16.819,16.738,16.745,10744
2011-01-07,16.551,16.595,16.551,16.595,2033
2011-01-10,16.610,16.720,16.610,16.720,1077
2011-01-11,16.494,16.944,16.494,16.944,4400
2011-01-12,17.120,17.321,17.120,17.321,716
2011-01-13,17.481,17.481,17.481,17.481,597
2011-01-14,17.489,17.659,17.446,17.523,2662
2011-01-18,17.364,17.630,17.364,17.630,414
2011-01-19,17.816,17.816,17.588,17.588,2595
2011-01-20,17.463,17.499,17.346,17.346,3335
2011-01-21,17.667,17.667,17.313,17.455,20773
2011-01-24,17.598,17.606,17.538,17.606,506
2011-01-25,17.675,17.816,17.529,17.816,7632
2011-01-26,17.714,17.763,17.630,17.682,39141
2011-01-27,17.890,17.890,17.890,17.890,36056
2011-01-28,17.581,17.606,17.238,17.238,11955
2011-01-31,17.471,17.471,17.150,17.150,932
2011-02-01,17.430,17.890,17.430,17.874,4928
2011-02-02,17.667,17.763,17.659,17.763,1482
2011-02-03,17.705,17.874,17.630,17.714,3505
