date,open,high,low,close,volume
1992-10-08,178.040,178.040,178.040,178.040,0
1992-10-20,180.900,180.900,180.900,180.900,0
1992-10-21,182.950,182.950,182.950,182.950,0
1992-10-22,183.800,183.800,183.800,183.800,0
1992-10-23,183.800,183.800,183.800,183.800,0
1992-10-26,187.600,187.600,187.600,187.600,0
1992-10-27,187.890,187.890,187.890,187.890,0
1992-10-28,188.480,188.480,188.480,188.480,0
1992-10-29,190.770,190.770,188.480,190.770,0
1992-10-30,190.770,190.770,188.480,190.770,0
1992-11-02,194.890,194.890,194.890,194.890,0
1992-11-03,195.590,195.590,195.590,195.590,0
1992-11-04,187.820,187.820,187.820,187.820,0
1992-11-05,188.690,188.690,188.690,188.690,0
1992-11-09,180.550,180.550,180.550,180.550,0
1992-11-10,180.750,180.750,180.750,180.750,0
1992-11-11,184.950,184.950,184.950,184.950,0
1992-11-12,187.990,187.990,187.990,187.990,0
1992-11-16,184.060,184.060,184.060,184.060,0
1992-11-17,183.190,183.190,183.190,183.190,0
1992-11-18,185.900,185.900,185.900,185.900,0
1992-11-19,187.380,187.380,187.380,187.380,0
1992-11-20,187.380,187.380,187.380,187.380,0
1992-11-23,193.050,193.050,193.050,193.050,0
1992-11-24,192.530,192.530,192.530,192.530,0
1992-11-25,191.880,191.880,191.880,191.880,0
1992-11-26,194.810,194.810,194.810,194.810,0
1992-11-27,194.810,194.810,194.810,194.810,0
1992-11-30,193.340,193.340,193.340,193.340,0
1992-12-01,194.000,194.000,194.000,194.000,0
1992-12-02,191.470,191.470,191.470,191.470,0
1992-12-03,188.190,188.190,188.190,188.190,0
1992-12-04,188.190,188.190,188.190,188.190,0
1992-12-07,193.740,193.740,193.740,193.740,0
1992-12-08,192.530,192.530,192.530,192.530,0
1992-12-09,195.090,195.090,195.090,195.090,0
1992-12-10,194.900,194.900,194.900,194.900,0
1992-12-14,194.620,194.620,194.620,194.620,0
1992-12-15,192.710,192.710,192.710,192.710,0
1992-12-16,192.590,192.590,192.590,192.590,0
1992-12-17,193.280,193.280,193.280,193.280,0
1992-12-18,193.280,193.280,193.280,193.280,0
1992-12-21,199.280,199.280,199.280,199.280,0
1992-12-22,200.530,200.530,200.530,200.530,0
1992-12-23,202.650,202.650,202.650,202.650,0
1992-12-24,201.860,201.860,201.860,201.860,0
1992-12-25,201.860,201.860,201.860,201.860,0
1992-12-28,201.560,201.560,201.560,201.560,0
1992-12-29,202.860,202.860,202.860,202.860,0
1992-12-30,202.590,202.590,202.590,202.590,0
1992-12-31,204.780,204.780,204.780,204.780,0
1993-01-04,212.120,212.120,212.120,212.120,0
1993-01-05,211.530,211.530,211.530,211.530,0
1993-01-06,214.340,214.340,214.340,214.340,0
1993-01-07,216.410,216.410,216.410,216.410,0
1993-01-11,215.580,215.580,215.580,215.580,0
1993-01-12,214.370,214.370,214.370,214.370,0
1993-01-13,211.930,211.930,211.930,211.930,0
1993-01-14,216.520,216.520,216.520,216.520,0
1993-01-15,216.520,216.520,216.520,216.520,0
1993-01-18,218.620,218.620,218.620,218.620,0
1993-01-19,223.610,223.610,223.610,223.610,0
1993-01-20,222.370,222.370,222.370,222.370,0
1993-01-21,218.620,218.620,218.620,218.620,0
1993-01-22,218.620,218.620,218.620,218.620,0
1993-01-25,218.880,218.880,218.880,218.880,0
1993-01-26,216.440,216.440,216.440,216.440,0
1993-01-27,213.500,213.500,213.500,213.500,0
1993-01-28,209.840,209.840,209.840,209.840,0
1993-01-29,209.840,209.840,209.840,209.840,0
1993-02-01,218.160,218.160,218.160,218.160,0
1993-02-02,220.300,220.300,220.300,220.300,0
1993-02-03,222.530,222.530,222.530,222.530,0
1993-02-04,222.710,222.710,222.710,222.710,0
1993-02-08,225.030,225.030,225.030,225.030,0
1993-02-09,219.300,219.300,219.300,219.300,0
1993-02-10,220.620,220.620,220.620,220.620,0
1993-02-11,211.740,211.740,211.740,211.740,0
1993-02-12,211.740,211.740,211.740,211.740,0
1993-02-15,208.050,208.050,208.050,208.050,0
1993-02-16,213.560,213.560,213.560,213.560,0
1993-02-17,207.310,207.310,207.310,207.310,0
1993-02-18,199.870,199.870,199.870,199.870,0
1993-02-19,199.870,199.870,199.870,199.870,0
1993-02-22,199.740,199.740,199.740,199.740,0
1993-02-23,190.930,190.930,190.930,190.930,0
1993-02-24,193.430,193.430,193.430,193.430,0
1993-02-25,199.240,199.240,199.240,199.240,0
1993-02-26,199.240,199.240,199.240,199.240,0
1993-03-01,201.370,201.370,201.370,201.370,0
1993-03-02,199.870,199.870,199.870,199.870,0
1993-03-03,201.580,201.580,201.580,201.580,0
1993-03-04,200.430,200.430,200.430,200.430,0
1993-03-05,200.430,200.430,200.430,200.430,0
1993-03-08,204.750,204.750,204.750,204.750,0
1993-03-09,205.000,205.000,205.000,205.000,0
1993-03-10,209.870,209.870,209.870,209.870,0
