date,open,high,low,close,volume
2008-03-28,49.920,50.040,49.770,35.513,25300
2008-03-31,48.880,49.370,48.880,35.006,27000
2008-04-01,50.990,50.990,49.580,35.876,228500
2008-04-02,50.670,50.670,50.310,35.919,175300
2008-04-03,50.140,50.410,49.830,35.862,22400
2008-04-04,52.990,52.990,49.700,35.891,109600
2008-04-07,50.690,50.690,49.840,35.627,163700
2008-04-08,50.120,50.410,50.090,35.941,21700
2008-04-09,50.780,50.820,50.250,35.919,81900
2008-04-10,50.590,51.180,50.420,36.397,108800
2008-04-11,50.700,51.180,50.250,36.076,94000
2008-04-14,51.160,51.560,51.100,36.576,110200
2008-04-15,51.960,52.070,51.640,37.146,34400
2008-04-16,53.110,53.730,52.960,38.188,171800
2008-04-17,53.420,54.230,53.400,38.559,186200
2008-04-18,54.600,54.820,54.280,38.987,44000
2008-04-21,54.230,54.280,53.930,38.680,36900
2008-04-22,54.140,54.220,53.800,38.580,43200
2008-04-23,54.270,54.850,54.270,39.087,50000
2008-04-24,54.620,54.810,54.200,38.873,55900
2008-04-25,54.420,54.440,54.010,38.837,25900
2008-04-28,53.770,53.880,53.470,38.145,27400
2008-04-29,53.230,53.230,52.860,37.795,53000
2008-04-30,53.180,54.160,53.140,38.637,38400
2008-05-01,53.420,53.690,53.320,38.302,24900
2008-05-02,53.420,53.720,53.180,38.166,67200
2008-05-05,54.400,54.400,53.900,38.666,16600
2008-05-06,54.050,55.000,53.900,39.108,46000
2008-05-07,54.100,54.580,53.430,38.145,65800
2008-05-08,53.310,61.320,53.300,38.359,57700
2008-05-09,53.770,53.770,53.270,38.052,79800
2008-05-12,53.800,54.330,53.700,38.687,64200
2008-05-13,54.220,54.220,53.880,38.594,76500
2008-05-14,54.610,55.150,54.610,39.101,86100
2008-05-15,54.790,55.620,54.790,39.679,149400
2008-05-16,56.010,56.430,55.850,40.249,109000
2008-05-19,56.020,59.970,55.790,39.886,61200
2008-05-20,55.450,55.490,54.720,39.101,81500
2008-05-21,55.940,56.540,55.640,39.700,94400
2008-05-22,56.000,56.170,55.930,39.936,17200
2008-05-23,55.950,55.950,55.530,39.629,68600
2008-05-27,56.100,56.940,56.040,40.620,62000
2008-05-28,57.200,57.200,56.770,40.713,174100
2008-05-29,57.590,59.010,57.550,41.505,45100
2008-05-30,58.200,59.970,58.030,41.812,40900
2008-06-02,57.540,57.540,56.800,40.884,47800
2008-06-03,57.540,57.540,56.500,40.599,21600
2008-06-04,56.270,57.080,56.170,40.513,47900
2008-06-05,56.000,56.910,55.970,40.585,59800
2008-06-06,56.450,56.600,55.820,39.821,95100
2008-06-09,55.560,56.000,55.000,39.693,46400
2008-06-10,55.000,55.170,54.700,39.101,71200
2008-06-11,55.280,55.340,54.500,38.908,1669600
2008-06-12,54.360,55.080,54.130,38.844,39400
2008-06-13,54.710,55.000,54.550,39.229,19200
2008-06-16,55.730,56.460,55.360,40.200,61600
2008-06-17,56.630,57.420,56.630,40.692,183600
2008-06-18,57.000,57.040,56.290,40.328,124400
2008-06-19,56.710,58.510,56.350,40.578,1011600
2008-06-20,57.300,57.300,55.940,40.093,567300
2008-06-23,56.590,56.720,56.000,40.264,136200
2008-06-24,56.260,56.280,55.570,39.764,136900
2008-06-25,56.060,56.540,55.700,40.035,101800
2008-06-26,55.270,55.520,54.850,39.151,105800
2008-06-27,54.810,54.900,54.450,39.115,75300
2008-06-30,55.130,57.760,54.460,39.201,66400
2008-07-01,55.480,56.410,55.150,40.000,84900
2008-07-02,55.740,55.740,54.060,38.566,116600
2008-07-03,54.420,54.470,52.170,38.395,57900
2008-07-07,52.700,52.990,51.050,37.325,88500
2008-07-08,52.330,53.150,52.080,37.888,67700
2008-07-09,53.760,54.270,52.510,37.531,102800
2008-07-10,51.950,52.350,51.180,37.132,82900
2008-07-11,51.400,51.400,49.730,35.826,177300
2008-07-14,50.730,50.870,50.270,36.069,53700
2008-07-15,50.450,50.730,50.030,35.955,112400
2008-07-16,49.640,50.260,49.100,35.834,208700
2008-07-17,50.160,50.410,49.940,35.784,233000
2008-07-18,49.760,51.080,49.760,36.119,31700
2008-07-21,50.190,50.400,49.250,35.798,43700
2008-07-22,49.870,50.930,49.870,36.219,202800
2008-07-23,50.340,51.550,50.180,36.625,86300
2008-07-24,50.640,50.640,49.520,35.420,73200
2008-07-25,50.200,50.740,50.090,36.190,55600
2008-07-28,50.600,50.600,49.840,35.677,84300
2008-07-29,50.220,50.620,50.120,35.983,96600
2008-07-30,50.560,50.650,49.710,35.869,172000
2008-07-31,49.910,50.500,49.900,35.641,55700
2008-08-01,50.540,50.840,50.010,35.983,47000
2008-08-04,49.380,49.380,48.550,34.657,18200
2008-08-05,48.750,49.520,48.750,35.327,44100
2008-08-06,48.920,49.280,48.640,35.113,101500
2008-08-07,48.740,49.140,48.370,34.685,44000
2008-08-08,48.270,49.240,48.250,34.913,73100
2008-08-11,48.840,48.980,48.440,34.821,45600
2008-08-12,48.210,48.210,47.730,34.214,52300
2008-08-13,47.680,48.230,46.280,33.993,55200
2008-08-14,48.040,48.950,48.000,34.742,211100
2008-08-15,49.200,49.800,49.060,35.520,24000
2008-08-18,49.430,49.780,48.690,34.906,46000
2008-08-19,49.040,49.140,48.750,35.056,78500
2008-08-20,49.200,49.550,49.020,35.163,16500
2008-08-21,49.470,49.770,49.300,35.363,38800
2008-08-22,49.670,50.100,49.640,35.505,176400
2008-08-25,49.560,49.560,49.020,35.199,71400
2008-08-26,48.820,49.090,48.690,34.878,29200
2008-08-27,48.480,49.130,48.480,35.020,26000
2008-08-28,48.200,48.470,48.150,34.578,28400
2008-08-29,48.480,48.480,47.920,34.200,44300
2008-09-02,47.620,47.750,47.180,33.765,13000
2008-09-03,47.220,47.340,46.870,33.765,19900
2008-09-04,47.560,47.590,46.390,33.330,99900
2008-09-05,46.420,46.460,45.450,33.030,155700
2008-09-08,47.860,47.860,46.720,33.479,41900
2008-09-09,46.970,46.970,45.410,32.395,67300
2008-09-10,46.020,46.170,45.620,32.545,42300
2008-09-11,44.830,45.310,44.310,32.324,107600
2008-09-12,44.540,45.310,44.540,32.217,120300
2008-09-15,43.550,44.820,43.200,31.354,100400
2008-09-16,42.720,43.600,42.720,30.933,49600
2008-09-17,41.670,42.200,40.660,29.006,59700
2008-09-18,40.980,42.070,39.800,29.905,103000
2008-09-19,43.360,45.990,42.940,31.425,68700
2008-09-22,42.850,44.740,42.850,31.239,108700
2008-09-23,44.390,44.390,41.830,31.075,36300
2008-09-24,44.290,44.690,44.070,31.518,48100
2008-09-25,44.390,45.220,44.390,32.074,16500
2008-09-26,44.850,44.850,44.260,31.846,10900
2008-09-29,43.530,43.530,41.500,29.684,33000
2008-09-30,41.680,43.540,41.680,31.061,59800
2008-10-01,42.750,43.500,42.490,30.918,88400
2008-10-02,42.450,42.450,41.120,29.335,58400
2008-10-03,41.790,42.320,41.130,29.406,18700
2008-10-06,39.540,42.800,36.140,27.023,96600
2008-10-07,38.580,38.970,36.790,26.246,31400
2008-10-08,35.860,37.720,35.540,26.238,77900
