date,open,high,low,close,volume
2005-02-25,36.012,36.650,36.012,36.650,42990
2005-02-28,36.592,36.663,36.480,36.607,55835
2005-03-01,36.592,36.620,36.323,36.408,24777
2005-03-02,36.125,36.376,35.955,36.310,27038
2005-03-03,36.434,36.434,35.925,36.250,32329
2005-03-04,36.592,37.030,36.592,37.030,16519
2005-03-07,36.762,36.974,36.650,36.918,14261
2005-03-08,36.918,37.074,36.774,36.774,13060
2005-03-09,36.861,37.002,36.762,36.931,4023
2005-03-10,36.747,36.931,36.592,36.620,23930
2005-03-11,36.789,36.960,36.650,36.650,13060
2005-03-14,36.650,36.762,36.425,36.506,14401
2005-03-15,36.676,36.762,36.592,36.747,3740
2005-03-16,36.636,36.762,36.480,36.480,4941
2005-03-17,36.506,36.734,36.280,36.449,12989
2005-03-18,36.534,36.734,36.408,36.734,15956
2005-03-21,36.636,36.676,36.323,36.408,5999
2005-03-22,36.265,36.620,35.842,35.842,33035
2005-03-23,35.740,36.095,35.697,35.768,58095
2005-03-24,35.909,36.108,35.842,35.842,13483
2005-03-28,35.855,35.909,35.684,35.768,155014
2005-03-29,35.813,36.070,35.768,35.768,32614
2005-03-30,36.108,36.434,36.108,36.349,20119
2005-03-31,36.480,36.650,36.265,36.534,16095
2005-04-01,36.636,36.774,36.180,36.238,19341
2005-04-04,36.138,36.164,35.998,36.155,4941
2005-04-05,35.768,36.394,35.768,36.394,1762
2005-04-06,36.138,36.449,36.138,36.265,9671
2005-04-07,36.747,37.002,36.650,36.650,12989
2005-04-08,36.592,36.889,36.592,36.833,2823
2005-04-11,37.146,37.158,36.931,37.133,8472
2005-04-12,36.607,36.918,36.425,36.918,12565
2005-04-13,36.650,36.718,36.519,36.519,5364
2005-04-14,36.323,36.363,36.039,36.125,5930
2005-04-15,35.855,36.070,35.487,35.697,28729
2005-04-18,35.418,35.587,35.260,35.487,25765
2005-04-19,35.432,35.545,35.247,35.358,22378
2005-04-20,35.232,35.587,35.188,35.432,4519
2005-04-21,35.502,35.558,35.402,35.558,3740
2005-04-22,35.813,35.813,35.628,35.684,8260
2005-04-25,35.659,35.740,35.558,35.740,4308
2005-04-26,35.571,35.571,35.545,35.545,2187
2005-04-27,35.019,35.132,34.906,34.949,4092
2005-04-28,34.850,34.919,34.537,34.537,13198
2005-04-29,34.934,35.064,34.709,34.723,1978
2005-05-02,35.064,35.216,34.934,34.990,3740
2005-05-03,35.064,35.116,35.019,35.034,31411
2005-05-04,35.201,35.432,35.188,35.344,11154
2005-05-05,35.545,35.641,35.289,35.517,2894
2005-05-06,35.318,35.318,35.048,35.103,5012
2005-05-09,35.188,35.272,34.977,35.247,2611
2005-05-10,35.034,35.077,34.850,34.850,1762
2005-05-11,34.990,34.990,34.709,34.818,2754
2005-05-12,34.709,34.895,34.609,34.677,2331
2005-05-13,34.564,34.564,34.015,34.241,10095
2005-05-16,34.452,34.609,34.440,34.594,15179
2005-05-17,34.281,34.468,34.209,34.226,6072
2005-05-18,34.367,34.734,34.281,34.723,13060
2005-05-19,34.850,35.048,34.693,34.734,23295
2005-05-20,34.895,34.895,34.594,34.850,28658
2005-05-23,34.949,35.318,34.850,35.318,13625
2005-05-24,34.964,35.172,34.850,34.850,14682
2005-05-25,35.132,35.318,35.064,35.132,9883
2005-05-26,35.132,35.318,35.064,35.132,5788
2005-05-27,35.247,35.318,35.091,35.188,4590
2005-05-31,34.564,34.709,34.427,34.427,61341
2005-06-01,34.314,34.766,34.314,34.564,13836
2005-06-02,34.564,34.880,34.564,34.880,2894
2005-06-03,34.723,34.723,34.324,34.564,6211
2005-06-06,34.564,34.609,34.396,34.468,9600
2005-06-07,34.662,34.791,34.652,34.709,6707
2005-06-08,35.019,35.091,34.636,34.636,5507
2005-06-09,34.609,34.895,34.609,34.777,1762
2005-06-10,34.498,34.693,34.427,34.452,3953
2005-06-13,34.652,34.949,34.440,34.895,6848
2005-06-14,34.537,34.791,34.537,34.709,13198
2005-06-15,34.750,35.034,34.750,35.034,847
2005-06-16,34.919,34.919,34.677,34.734,6495
2005-06-17,34.990,35.389,34.990,35.303,9883
2005-06-20,35.103,35.103,34.750,35.019,10942
2005-06-21,35.034,35.147,34.791,35.064,4023
2005-06-22,35.064,35.064,34.750,34.949,1624
2005-06-23,34.652,34.709,34.427,34.427,6354
2005-06-24,34.636,34.636,34.281,34.314,9248
2005-06-27,34.226,34.452,34.209,34.209,5930
2005-06-28,34.267,34.381,34.267,34.381,4870
2005-06-29,34.314,34.652,34.314,34.526,2541
2005-06-30,34.750,34.895,34.652,34.895,6072
2005-07-01,34.906,34.906,34.484,34.625,12001
2005-07-05,34.297,34.578,34.297,34.440,3953
2005-07-06,34.468,34.723,34.468,34.552,10518
2005-07-07,35.418,35.418,33.048,34.281,13766
2005-07-08,34.564,35.064,34.564,35.064,32046
2005-07-11,35.048,35.344,35.048,35.272,8046
2005-07-12,35.418,35.670,35.418,35.603,5507
2005-07-13,35.614,35.614,35.442,35.487,13554
2005-07-14,35.870,35.925,35.641,35.785,5999
2005-07-15,35.571,35.614,35.571,35.587,3669
2005-07-18,35.487,35.684,35.418,35.487,4730
2005-07-19,35.628,35.870,35.558,35.785,15179
2005-07-20,35.670,36.056,35.487,36.056,8401
2005-07-21,36.056,36.138,35.798,35.955,6141
2005-07-22,36.108,36.125,35.785,35.983,4378
2005-07-25,36.012,36.024,35.785,35.827,9176
2005-07-26,35.659,35.983,35.659,35.768,2541
2005-07-27,35.842,36.108,35.827,36.056,6848
2005-07-28,36.108,36.480,36.108,36.480,1553
2005-07-29,36.519,36.519,36.195,36.209,1624
2005-08-01,36.449,36.636,36.323,36.480,5788
2005-08-02,36.534,36.833,36.534,36.691,5295
2005-08-03,36.889,37.256,36.846,37.188,12707
2005-08-04,36.877,36.948,36.704,36.762,11013
2005-08-05,36.663,36.704,36.408,36.449,3038
2005-08-08,36.833,36.861,36.607,36.747,7340
2005-08-09,36.747,37.060,36.747,36.948,2965
2005-08-10,37.370,37.499,37.016,37.105,20400
2005-08-11,37.526,37.526,37.256,37.455,16307
2005-08-12,37.370,37.440,37.088,37.256,8825
2005-08-15,37.114,37.243,36.903,37.060,4519
2005-08-16,36.948,36.948,36.620,36.636,10378
2005-08-17,36.394,36.577,36.394,36.534,13483
2005-08-18,36.125,36.125,35.768,35.827,17790
2005-08-19,36.125,36.408,36.125,36.138,10589
2005-08-22,36.519,36.676,36.323,36.323,4519
2005-08-23,36.363,36.449,36.125,36.195,8191
2005-08-24,36.363,36.663,36.265,36.280,3316
2005-08-25,36.394,36.519,36.349,36.394,4870
2005-08-26,36.425,36.480,35.855,35.870,9742
2005-08-29,36.209,36.209,35.941,36.125,24990
2005-08-30,35.697,35.842,35.697,35.827,12356
2005-08-31,36.056,36.747,36.056,36.747,15388
2005-09-01,36.988,37.314,36.988,37.301,9953
2005-09-02,37.402,37.542,37.330,37.542,15249
2005-09-06,37.682,37.713,37.499,37.682,9883
2005-09-07,37.542,37.667,37.424,37.483,39460
2005-09-08,37.612,37.612,37.402,37.526,30777
2005-09-09,37.526,37.823,37.499,37.769,8751
2005-09-12,37.483,37.542,37.256,37.256,5720
2005-09-13,37.045,37.188,37.016,37.060,10730
2005-09-14,37.471,37.542,37.270,37.424,6422
2005-09-15,37.314,37.330,37.105,37.230,12356
2005-09-16,37.402,37.570,37.402,37.570,12638
2005-09-19,37.330,37.330,37.174,37.256,3530
2005-09-20,37.330,37.385,36.974,37.030,4023
2005-09-21,37.542,37.542,37.284,37.284,423
2005-09-22,37.188,37.215,37.074,37.088,2331
2005-09-23,36.620,36.918,36.620,36.774,7272
2005-09-26,36.012,37.256,36.012,37.114,7272
2005-09-27,36.948,37.188,36.918,37.188,2117
2005-09-28,37.174,37.424,37.174,37.370,2401
2005-09-29,37.402,37.542,37.215,37.542,4023
2005-09-30,37.370,37.370,36.493,37.270,21037
2005-10-03,36.861,37.045,36.833,37.002,7622
2005-10-04,36.789,36.846,36.534,36.636,19482
2005-10-05,36.493,36.534,36.265,36.408,5295
2005-10-06,36.519,36.636,36.280,36.280,19766
2005-10-07,36.550,36.577,36.310,36.434,1978
2005-10-10,36.550,36.550,36.164,36.164,6141
2005-10-11,36.081,36.081,35.813,35.970,32190
2005-10-12,36.095,36.095,35.545,35.641,39672
2005-10-13,34.990,35.358,34.977,35.358,14115
2005-10-14,35.531,35.842,35.531,35.728,4800
2005-10-17,35.473,35.670,35.455,35.455,20332
2005-10-18,35.163,35.163,34.791,34.806,4590
2005-10-19,34.256,34.949,34.256,34.766,15812
2005-10-20,34.578,34.750,34.142,34.142,11013
2005-10-21,34.677,34.791,34.281,34.564,9248
2005-10-24,34.766,35.064,34.766,35.064,3740
2005-10-25,35.048,35.272,34.964,35.103,4092
2005-10-26,35.147,35.147,34.866,34.880,15318
2005-10-27,34.723,34.723,34.452,34.484,779
2005-10-28,34.750,34.750,34.468,34.709,6495
2005-10-31,34.709,35.048,34.709,34.990,28797
2005-11-01,34.806,35.048,34.766,34.934,2541
2005-11-02,34.677,35.272,34.677,35.272,5647
2005-11-03,35.418,35.455,35.103,35.272,11154
2005-11-04,35.216,35.272,34.977,35.034,209086
2005-11-07,35.091,35.132,34.866,34.919,128899
2005-11-08,34.609,34.919,34.609,34.919,32329
2005-11-09,34.791,34.949,34.723,34.866,51389
2005-11-10,34.709,34.835,34.564,34.677,21037
2005-11-11,34.791,35.034,34.791,35.034,7622
2005-11-14,35.077,35.201,34.750,34.835,27458
2005-11-15,34.850,35.048,34.625,34.850,28096
2005-11-16,34.791,34.850,34.625,34.750,7553
2005-11-17,35.103,35.289,35.003,35.289,59649
2005-11-18,35.332,35.332,34.990,35.232,15884
2005-11-21,35.402,35.517,35.163,35.517,5152
2005-11-22,35.418,35.785,35.303,35.785,11365
2005-11-23,35.768,36.250,35.670,36.024,8613
2005-11-25,35.909,35.909,35.545,35.855,54003
2005-11-28,35.740,35.925,35.558,35.628,9458
2005-11-29,35.768,35.855,35.455,35.455,27317
2005-11-30,35.531,35.571,35.375,35.389,8046
2005-12-01,35.587,35.897,35.587,35.813,23575
2005-12-02,35.558,35.870,35.558,35.697,5647
2005-12-05,35.970,36.108,35.798,36.056,12141
2005-12-06,36.195,36.434,35.983,36.265,14682
2005-12-07,36.180,36.265,35.827,35.970,10870
2005-12-08,36.095,36.449,35.970,36.225,11082
2005-12-09,36.180,36.363,36.180,36.280,9319
2005-12-12,36.718,36.833,36.592,36.833,19626
2005-12-13,36.817,36.988,36.718,36.889,12707
2005-12-14,36.889,37.215,36.889,37.114,4941
2005-12-15,36.747,36.861,36.718,36.846,9035
2005-12-16,36.974,37.215,36.974,37.074,37200
2005-12-19,37.114,37.243,37.045,37.074,26330
2005-12-20,36.948,37.016,36.833,36.833,10166
2005-12-21,37.174,37.174,36.903,37.016,16587
2005-12-22,37.243,37.340,37.133,37.340,23718
2005-12-23,36.577,36.577,36.323,36.394,3387
2005-12-27,36.408,36.564,36.238,36.238,8191
2005-12-28,36.519,36.734,36.323,36.425,756437
2005-12-29,36.636,36.636,36.467,36.550,31554
2005-12-30,36.195,36.310,36.024,36.238,7272
2006-01-03,37.105,37.695,36.877,37.612,77649
2006-01-04,37.823,37.852,37.542,37.810,255465
2006-01-05,37.642,37.796,37.471,37.570,127059
2006-01-06,37.906,38.108,37.769,38.108,42638
2006-01-09,37.752,37.752,37.499,37.600,39742
2006-01-10,37.542,37.682,37.230,37.682,78215
2006-01-11,37.682,38.093,37.682,38.080,12918
2006-01-12,37.906,37.906,37.627,37.642,11365
2006-01-13,37.471,37.823,37.471,37.823,9883
2006-01-17,37.752,37.752,37.542,37.667,13412
2006-01-18,37.526,37.584,37.301,37.584,53929
