date,open,high,low,close,volume
2000-05-19,27.766,27.766,27.438,23.572,80000
2000-05-22,26.500,26.500,26.500,22.766,400
2000-05-23,27.312,27.312,27.000,23.276,104000
2000-05-24,25.734,26.812,24.875,23.035,96400
2000-05-25,27.594,27.617,26.438,22.712,64800
2000-05-26,26.531,26.531,26.406,22.686,1200
2000-05-30,27.250,28.070,27.250,24.115,11600
2000-05-31,28.773,28.898,28.773,24.746,9600
2000-06-01,28.688,29.500,28.688,25.337,13600
2000-06-02,31.250,31.312,31.117,26.793,13600
2000-06-05,30.938,31.906,30.891,27.088,77200
2000-06-06,31.461,31.625,30.992,26.733,2800
2000-06-07,30.555,31.492,30.500,27.055,11200
2000-06-08,31.906,31.906,31.430,27.001,9600
2000-06-09,31.766,31.875,31.625,27.330,12800
2000-06-12,31.570,31.570,30.938,26.739,3600
2000-06-13,30.688,31.375,30.258,26.954,18400
2000-06-14,31.641,31.688,31.000,26.632,22000
2000-06-15,31.016,31.504,30.875,27.001,8800
2000-06-16,31.531,31.570,31.125,27.045,3200
2000-06-19,31.750,32.961,31.742,28.216,10000
2000-06-20,33.531,33.531,32.973,28.327,40400
2000-06-21,32.734,33.484,32.734,28.686,13600
2000-06-22,33.312,33.312,32.523,27.941,17200
2000-06-23,32.500,32.500,31.500,27.263,13200
2000-06-26,31.812,31.953,31.797,27.317,3200
2000-06-27,32.117,32.117,31.625,27.243,2000
2000-06-28,31.766,32.367,31.766,27.491,10000
2000-06-29,31.445,31.590,31.156,27.139,1200
2000-06-30,31.633,31.891,31.625,27.397,710400
2000-07-03,32.059,32.141,32.059,27.612,800
2000-07-05,31.562,31.562,30.641,26.357,112000
2000-07-06,30.781,31.469,30.312,27.035,8400
2000-07-07,32.016,32.406,32.016,27.679,12800
2000-07-10,32.211,32.211,31.816,27.333,16400
2000-07-11,31.719,32.297,31.492,27.055,34400
2000-07-12,32.109,32.641,31.984,28.021,47200
2000-07-13,32.914,33.562,32.859,28.719,285200
2000-07-14,33.781,34.055,33.656,29.256,48000
2000-07-17,33.953,34.438,33.953,29.491,27200
2000-07-18,33.641,33.641,33.254,28.672,16400
2000-07-19,33.109,33.109,32.344,27.787,26000
2000-07-20,32.688,33.203,32.688,28.458,167200
2000-07-21,32.840,32.840,32.328,27.773,17200
2000-07-24,32.172,32.172,31.527,27.085,4000
2000-07-25,31.840,31.891,31.500,27.397,2400
2000-07-26,31.172,31.289,31.000,26.880,5200
2000-07-27,31.039,31.039,30.312,26.203,10000
2000-07-28,30.469,30.469,29.035,24.944,51200
2000-07-31,29.484,30.070,28.984,25.833,88800
2000-08-01,29.969,29.969,29.484,25.330,24000
2000-08-02,29.688,29.750,29.129,25.025,2800
2000-08-03,28.250,29.750,28.234,25.558,10400
2000-08-04,30.406,30.562,29.770,25.575,28800
2000-08-07,30.156,30.750,30.156,26.414,8800
2000-08-08,30.762,31.094,30.762,26.585,6400
2000-08-09,31.340,31.625,30.926,26.682,12400
2000-08-10,30.859,30.930,30.344,26.068,6800
2000-08-11,29.625,30.277,29.625,25.941,69200
2000-08-14,30.523,30.953,30.344,26.565,39600
2000-08-15,31.344,31.426,31.000,26.817,6000
