date,open,high,low,close,volume
1990-01-03,908.590,908.590,908.590,908.590,0
1990-01-04,928.820,928.820,928.820,928.820,0
1990-01-05,915.110,915.110,915.110,915.110,0
1990-01-06,912.860,912.860,912.860,912.860,0
1990-01-08,919.460,919.460,919.460,919.460,0
1990-01-09,920.210,920.210,920.210,920.210,0
1990-01-10,911.480,911.480,911.480,911.480,0
1990-01-11,903.270,903.270,903.270,903.270,0
1990-01-12,903.110,903.110,903.110,903.110,0
1990-01-13,893.470,893.470,893.470,893.470,0
1990-01-15,883.040,883.040,883.040,883.040,0
1990-01-16,883.430,883.430,883.430,883.430,0
1990-01-17,874.410,874.410,874.410,874.410,0
1990-01-18,874.810,874.810,874.810,874.810,0
1990-01-19,868.200,868.200,868.200,868.200,0
1990-01-20,872.970,872.970,872.970,872.970,0
1990-01-22,898.890,898.890,898.890,898.890,0
1990-01-23,890.520,890.520,890.520,890.520,0
1990-01-24,903.580,903.580,903.580,903.580,0
1990-01-25,905.750,905.750,905.750,905.750,0
1990-01-29,897.320,897.320,897.320,897.320,0
1990-01-30,888.470,888.470,888.470,888.470,0
1990-01-31,896.160,896.160,896.160,896.160,0
1990-02-01,885.830,885.830,885.830,885.830,0
1990-02-02,878.150,878.150,878.150,878.150,0
1990-02-03,874.920,874.920,874.920,874.920,0
1990-02-05,877.450,877.450,877.450,877.450,0
1990-02-06,886.860,886.860,886.860,886.860,0
1990-02-07,880.390,880.390,880.390,880.390,0
1990-02-08,882.520,882.520,882.520,882.520,0
1990-02-09,879.100,879.100,879.100,879.100,0
1990-02-10,873.590,873.590,873.590,873.590,0
1990-02-12,867.050,867.050,867.050,867.050,0
1990-02-13,866.570,866.570,866.570,866.570,0
1990-02-14,872.630,872.630,872.630,872.630,0
1990-02-15,874.090,874.090,874.090,874.090,0
1990-02-16,872.500,872.500,872.500,872.500,0
1990-02-17,866.930,866.930,866.930,866.930,0
1990-02-19,859.240,859.240,859.240,859.240,0
1990-02-20,856.640,856.640,856.640,856.640,0
1990-02-21,853.040,853.040,853.040,853.040,0
1990-02-22,853.450,853.450,853.450,853.450,0
1990-02-23,850.840,850.840,850.840,850.840,0
1990-02-24,845.250,845.250,845.250,845.250,0
1990-02-26,833.810,833.810,833.810,833.810,0
1990-02-27,859.830,859.830,859.830,859.830,0
1990-02-28,861.590,861.590,861.590,861.590,0
1990-03-02,884.070,884.070,884.070,884.070,0
1990-03-03,881.440,881.440,881.440,881.440,0
1990-03-05,865.220,865.220,865.220,865.220,0
1990-03-06,857.580,857.580,857.580,857.580,0
1990-03-07,847.460,847.460,847.460,847.460,0
1990-03-08,847.770,847.770,847.770,847.770,0
1990-03-09,852.700,852.700,852.700,852.700,0
1990-03-12,850.650,850.650,850.650,850.650,0
1990-03-13,841.560,841.560,841.560,841.560,0
1990-03-14,838.190,838.190,838.190,838.190,0
1990-03-15,835.590,835.590,835.590,835.590,0
1990-03-16,842.270,842.270,842.270,842.270,0
1990-03-17,835.130,835.130,835.130,835.130,0
1990-03-19,839.420,839.420,839.420,839.420,0
1990-03-20,849.980,849.980,849.980,849.980,0
1990-03-21,849.910,849.910,849.910,849.910,0
1990-03-22,845.960,845.960,845.960,845.960,0
1990-03-23,841.790,841.790,841.790,841.790,0
1990-03-24,837.400,837.400,837.400,837.400,0
1990-03-26,834.540,834.540,834.540,834.540,0
1990-03-27,827.920,827.920,827.920,827.920,0
1990-03-28,819.040,819.040,819.040,819.040,0
1990-03-29,824.590,824.590,824.590,824.590,0
1990-03-30,845.980,845.980,845.980,845.980,0
1990-03-31,840.890,840.890,840.890,840.890,0
1990-04-02,838.290,838.290,838.290,838.290,0
1990-04-03,836.630,836.630,836.630,836.630,0
1990-04-04,828.980,828.980,828.980,828.980,0
1990-04-06,831.730,831.730,831.730,831.730,0
1990-04-07,819.300,819.300,819.300,819.300,0
1990-04-09,816.780,816.780,816.780,816.780,0
1990-04-10,810.760,810.760,810.760,810.760,0
1990-04-11,813.660,813.660,813.660,813.660,0
