date,open,high,low,close,volume
2005-02-25,28.697,29.163,28.402,28.842,475336
2005-02-28,29.163,29.282,28.918,29.019,688634
2005-03-01,29.204,29.418,29.045,29.264,922871
2005-03-02,28.883,29.028,28.596,28.731,877208
2005-03-03,28.909,29.070,28.832,28.950,363425
2005-03-04,28.783,29.196,28.783,29.163,277181
2005-03-07,28.950,29.078,28.832,28.875,404831
2005-03-08,28.783,28.858,28.531,28.613,587247
2005-03-09,28.656,28.868,28.402,28.562,703068
2005-03-10,28.604,28.613,28.188,28.360,416659
2005-03-11,29.036,29.171,28.775,28.868,887974
2005-03-14,28.918,29.155,28.875,28.875,395954
2005-03-15,28.351,28.351,27.750,27.928,1054779
2005-03-16,27.936,28.023,27.473,27.683,975870
2005-03-17,27.709,27.978,27.429,27.818,751926
2005-03-18,27.852,27.978,27.650,27.852,529637
2005-03-21,27.895,27.978,27.481,27.574,235065
2005-03-22,27.810,27.887,27.236,27.311,593757
2005-03-23,27.397,27.413,27.101,27.217,1321905
2005-03-24,27.066,27.177,26.847,26.931,533779
2005-03-28,27.514,27.514,27.184,27.262,955404
2005-03-29,26.289,26.922,26.289,26.541,1212238
2005-03-30,27.127,27.127,26.272,26.746,1332668
2005-03-31,26.524,27.177,26.524,26.890,816519
2005-04-01,27.058,27.903,27.058,27.217,949962
2005-04-04,27.050,27.683,27.050,27.490,342010
2005-04-05,27.346,27.726,27.346,27.643,197328
2005-04-06,27.262,28.023,27.149,27.852,430973
2005-04-07,27.388,28.149,27.388,28.149,565958
2005-04-08,27.726,28.149,27.726,27.895,263930
2005-04-11,27.556,28.023,27.556,27.589,379512
2005-04-12,27.683,27.887,27.226,27.810,804215
2005-04-13,27.970,27.970,27.311,27.481,388384
2005-04-14,27.050,27.050,26.375,26.415,870583
2005-04-15,26.415,26.627,25.883,26.070,500059
2005-04-18,25.850,26.027,25.655,25.908,973624
2005-04-19,26.204,26.451,26.103,26.375,503492
2005-04-20,26.627,26.627,25.984,26.009,445523
2005-04-21,26.501,26.822,26.415,26.736,534251
2005-04-22,26.653,26.660,26.204,26.330,381641
2005-04-25,26.754,27.041,26.754,26.922,247016
2005-04-26,26.922,26.922,26.559,26.670,393590
2005-04-27,25.715,26.375,25.715,26.163,2134872
2005-04-28,25.951,25.951,25.494,25.689,568321
2005-04-29,25.867,26.163,25.655,26.070,355260
2005-05-02,25.824,26.110,25.782,25.874,253759
2005-05-03,25.798,25.816,25.655,25.723,347334
2005-05-04,26.281,26.948,26.204,26.881,804098
2005-05-05,26.254,27.262,26.254,26.754,191177
2005-05-06,26.830,26.965,26.711,26.798,171300
2005-05-09,26.584,26.788,26.549,26.788,475690
2005-05-10,26.432,26.568,26.254,26.330,634686
2005-05-11,26.163,26.415,26.001,26.375,397611
2005-05-12,26.998,26.998,25.916,25.916,250326
2005-05-13,26.163,26.315,25.944,26.018,245360
2005-05-16,26.163,26.330,26.043,26.330,186562
2005-05-17,26.289,26.375,26.129,26.357,184904
2005-05-18,26.501,26.931,26.467,26.881,353129
2005-05-19,26.965,27.244,26.956,27.194,606297
2005-05-20,27.177,27.252,26.975,27.118,207619
2005-05-23,27.091,27.294,26.975,27.177,121258
2005-05-24,26.457,27.337,26.457,27.294,591036
2005-05-25,27.007,27.007,26.686,26.839,197918
2005-05-26,26.778,27.149,26.778,27.135,284161
2005-05-27,27.760,27.760,27.217,27.294,154383
2005-05-31,27.262,27.346,27.075,27.177,140306
2005-06-01,27.226,27.473,27.091,27.422,335742
2005-06-02,27.262,27.388,27.168,27.328,337870
2005-06-03,27.355,27.589,27.271,27.346,144446
2005-06-06,27.429,27.589,27.355,27.589,200994
2005-06-07,27.302,27.574,27.302,27.328,217911
2005-06-08,27.473,27.599,27.369,27.473,135455
2005-06-09,27.643,27.793,27.522,27.726,336330
2005-06-10,27.810,27.862,27.607,27.785,248669
2005-06-13,27.887,27.955,27.683,27.699,188336
2005-06-14,27.699,27.726,27.514,27.699,76895
2005-06-15,27.978,28.149,27.785,28.122,486457
2005-06-16,28.149,28.275,27.895,28.149,328406
2005-06-17,28.233,28.309,28.149,28.250,305099
2005-06-20,27.852,27.852,27.599,27.769,297055
2005-06-21,27.683,27.801,27.643,27.717,198154
2005-06-22,27.978,27.978,27.836,27.955,331835
2005-06-23,28.188,28.216,27.810,27.895,382114
2005-06-24,27.769,27.801,27.556,27.625,215546
2005-06-27,27.473,27.514,27.320,27.388,158288
2005-06-28,27.346,27.540,27.204,27.473,493318
2005-06-29,27.217,27.388,27.135,27.262,174969
2005-06-30,27.294,27.388,26.984,27.050,351710
2005-07-01,27.302,27.388,27.262,27.388,407194
2005-07-05,26.839,27.271,26.839,27.127,335149
2005-07-06,26.931,27.159,26.890,26.890,463503
2005-07-07,26.670,27.041,26.670,27.041,258252
2005-07-08,27.135,27.397,27.058,27.346,336688
2005-07-11,28.063,28.275,27.903,28.242,206319
2005-07-12,28.301,28.580,28.266,28.522,387910
2005-07-13,28.417,28.580,28.417,28.487,562169
2005-07-14,28.994,29.584,28.918,29.204,560038
2005-07-15,28.783,29.028,28.707,28.868,370047
2005-07-18,28.868,28.950,28.799,28.868,176743
2005-07-19,28.994,29.418,28.994,29.418,527625
2005-07-20,29.120,29.425,29.052,29.264,244175
2005-07-21,29.332,29.830,29.332,29.755,165030
2005-07-22,29.584,29.764,29.509,29.696,203480
2005-07-25,29.839,30.083,29.795,29.822,450729
2005-07-26,29.830,29.923,29.637,29.795,274815
2005-07-27,30.423,30.423,28.707,29.881,475217
2005-07-28,30.304,30.481,30.168,30.456,418550
2005-07-29,30.557,30.642,30.363,30.423,343432
2005-08-01,30.659,30.895,30.651,30.829,237195
2005-08-02,31.115,31.259,30.971,31.242,260500
2005-08-03,31.107,31.234,31.024,31.065,310779
2005-08-04,31.065,31.065,30.726,30.726,744944
2005-08-05,30.135,30.692,29.342,29.795,680946
2005-08-08,29.365,30.481,29.365,30.092,357271
2005-08-09,29.863,30.889,29.863,30.796,715844
2005-08-10,31.201,31.224,30.767,30.853,440911
2005-08-11,31.318,31.742,31.293,31.529,451911
2005-08-12,31.656,31.673,31.309,31.548,362359
2005-08-15,31.107,31.614,30.524,31.444,363897
2005-08-16,30.853,31.047,30.600,30.600,664974
2005-08-17,30.776,31.057,29.941,30.939,373597
2005-08-18,30.135,30.270,29.863,29.975,496750
2005-08-19,29.863,30.000,29.795,29.948,405537
2005-08-22,30.776,31.089,30.726,30.836,329588
2005-08-23,30.767,30.811,30.430,30.516,401043
2005-08-24,30.262,30.262,29.501,29.543,755475
2005-08-25,29.839,30.092,29.814,30.043,505977
2005-08-26,30.051,30.051,29.305,29.342,851297
2005-08-29,29.078,29.375,28.994,29.342,609964
2005-08-30,29.795,29.795,28.976,29.036,621911
2005-08-31,29.305,29.712,29.213,29.670,665565
2005-09-01,30.177,30.414,29.923,30.355,816992
2005-09-02,30.187,31.024,30.135,30.939,724836
2005-09-06,31.174,31.403,30.995,31.403,419142
2005-09-07,31.614,31.901,31.529,31.868,644153
2005-09-08,31.487,31.859,31.487,31.614,562879
2005-09-09,31.826,32.333,31.784,32.206,397020
2005-09-12,32.629,32.629,32.078,32.078,448718
2005-09-13,32.036,32.248,31.868,31.877,317048
2005-09-14,32.333,32.392,32.138,32.265,387320
2005-09-15,32.527,32.621,32.342,32.587,673847
2005-09-16,32.629,32.789,32.544,32.730,242638
2005-09-19,32.974,33.474,32.746,33.177,1191533
2005-09-20,33.177,33.347,32.723,32.798,721760
2005-09-21,33.050,33.304,32.974,33.059,716080
2005-09-22,33.381,33.432,33.068,33.322,957889
2005-09-23,32.459,32.670,32.290,32.629,666867
2005-09-26,33.432,33.474,32.798,33.177,647820
2005-09-27,32.798,33.221,32.798,33.135,403765
2005-09-28,33.617,33.642,33.389,33.549,636699
2005-09-29,33.474,33.802,33.474,33.559,748493
2005-09-30,33.095,33.778,32.670,33.347,473206
2005-10-03,33.347,33.347,32.924,33.109,622623
2005-10-04,33.642,34.158,33.389,33.456,512249
2005-10-05,33.261,33.304,32.714,32.714,1505981
2005-10-06,32.163,32.257,31.496,31.630,1671365
2005-10-07,32.409,32.509,32.163,32.426,891404
2005-10-10,33.034,33.118,32.552,32.662,576128
2005-10-11,33.474,33.474,33.186,33.288,633268
2005-10-12,32.373,32.544,31.699,32.036,1090979
2005-10-13,31.868,31.868,30.092,31.470,1162669
2005-10-14,31.318,31.784,30.709,31.742,764467
2005-10-17,31.082,31.699,31.082,31.302,475810
2005-10-18,31.352,31.395,30.767,30.819,238968
