date,open,high,low,close,volume
2020-09-03,25.530,25.530,25.060,19.456,4400
2020-09-04,25.180,25.180,24.870,19.475,17100
2020-09-08,25.320,25.320,25.206,19.513,200
2020-09-09,25.470,25.560,25.440,19.778,5500
2020-09-10,25.720,25.720,25.380,19.731,800
2020-09-11,25.610,25.640,25.460,19.737,2700
2020-09-14,26.000,26.019,25.930,20.142,500
2020-09-15,26.050,26.050,25.955,20.092,200
2020-09-16,26.090,26.090,26.038,20.157,100
2020-09-17,26.280,26.467,26.280,20.489,800
2020-09-18,26.336,26.336,26.336,20.387,0
2020-09-21,26.890,27.003,26.855,20.904,800
2020-09-22,27.140,27.200,27.110,21.015,4600
2020-09-23,27.315,27.315,27.033,20.927,500
2020-09-24,27.230,27.530,27.230,21.218,500
2020-09-25,27.515,27.614,27.490,21.377,1800
2020-09-28,27.620,27.620,27.180,21.106,1100
2020-09-29,26.750,26.750,26.311,20.368,400
2020-09-30,26.444,26.444,26.444,20.471,100
2020-10-01,26.487,26.487,26.487,20.504,100
2020-10-02,26.280,26.367,26.280,20.411,200
2020-10-05,27.210,27.510,27.210,21.250,26300
2020-10-06,27.584,27.650,27.431,21.235,500
2020-10-07,27.887,27.993,27.840,21.670,700
2020-10-08,28.090,28.255,28.060,21.740,2000
2020-10-09,28.280,28.300,28.140,21.854,1700
2020-10-12,28.385,28.485,28.300,21.973,3300
2020-10-13,28.143,28.143,28.143,21.786,100
2020-10-14,28.046,28.046,28.046,21.711,100
2020-10-15,28.040,28.205,27.845,21.834,2300
2020-10-16,28.300,28.300,28.140,21.860,400
2020-10-19,27.430,27.670,27.080,20.963,13900
2020-10-20,27.340,27.560,27.340,21.285,1200
2020-10-21,27.640,27.716,27.620,21.456,700
2020-10-22,27.650,27.650,27.540,21.394,600
2020-10-23,27.590,27.677,27.590,21.425,500
2020-10-26,26.960,26.960,26.490,20.507,900
2020-10-27,26.400,26.400,26.282,20.346,400
2020-10-28,26.240,26.240,26.111,20.213,900
2020-10-29,26.020,26.323,26.020,20.377,300
2020-10-30,26.060,26.060,26.043,20.160,300
2020-11-02,26.110,26.110,25.850,20.061,400
2020-11-03,26.510,26.670,26.470,20.580,4400
2020-11-04,26.410,26.637,26.410,20.620,100
2020-11-05,26.710,26.710,26.600,20.661,200
2020-11-06,26.640,26.712,26.580,20.678,400
2020-11-09,27.430,27.660,27.000,20.901,1900
2020-11-10,27.246,27.246,27.246,21.092,100
2020-11-11,27.210,27.210,26.850,20.867,500
2020-11-12,26.660,26.737,26.660,20.698,300
2020-11-13,26.870,26.900,26.793,20.741,4000
2020-11-16,26.530,26.530,26.463,20.486,200
2020-11-17,26.563,26.563,26.563,20.563,100
2020-11-18,26.579,26.640,26.579,20.576,10200
2020-11-19,26.730,26.980,26.730,20.855,9900
2020-11-20,26.950,26.960,26.950,20.870,3000
2020-11-23,27.020,27.140,26.980,20.963,4800
2020-11-24,27.150,27.329,27.080,21.093,5800
2020-11-25,27.120,27.120,27.027,20.922,1100
2020-11-27,26.956,27.090,26.956,20.906,800
2020-11-30,26.480,26.540,26.300,20.429,42400
2020-12-01,26.360,26.490,26.350,20.468,5200
2020-12-02,26.660,26.860,26.640,20.793,7000
2020-12-03,27.280,27.300,27.169,21.032,700
2020-12-04,27.300,27.440,27.260,21.103,1000
2020-12-07,27.560,27.580,27.503,21.291,2400
2020-12-08,27.450,27.450,27.400,21.250,800
2020-12-09,27.270,27.270,27.185,21.045,300
2020-12-10,27.310,27.440,27.310,21.182,1200
2020-12-11,27.340,27.370,27.300,21.173,17700
2020-12-14,27.190,27.190,27.135,21.063,100
2020-12-15,27.250,27.570,27.250,21.400,7200
2020-12-16,27.400,27.400,27.331,21.215,200
2020-12-17,27.520,27.592,27.520,21.418,700
2020-12-18,27.578,27.578,27.578,21.407,100
2020-12-21,27.210,27.266,27.120,21.165,700
2020-12-22,27.072,27.072,27.072,21.014,100
2020-12-23,27.205,27.280,27.205,21.117,300
2020-12-24,27.250,27.260,27.215,21.125,800
2020-12-28,27.122,27.122,27.122,21.053,100
2020-12-29,27.270,27.370,27.223,21.131,44500
2020-12-30,27.260,27.260,27.177,21.095,300
2020-12-31,27.338,27.338,27.338,21.220,100
2021-01-04,27.180,27.180,26.850,21.028,14600
2021-01-05,27.260,27.560,27.260,21.393,1300
2021-01-06,27.420,27.490,27.330,21.281,600
2021-01-07,27.280,27.390,27.260,21.160,900
2021-01-08,27.404,27.404,27.404,21.272,100
2021-01-11,27.640,27.640,27.593,21.418,400
2021-01-12,27.650,27.800,27.650,21.536,200
2021-01-13,27.814,27.814,27.814,21.590,100
2021-01-14,27.920,27.920,27.818,21.593,200
2021-01-15,27.695,27.708,27.695,21.508,100
2021-01-19,27.930,28.038,27.930,21.764,700
2021-01-20,28.200,28.284,28.120,21.955,800
2021-01-21,28.100,28.149,28.100,21.850,400
2021-01-22,28.074,28.074,28.074,21.792,800
2021-01-25,28.270,28.350,28.270,21.944,8500
2021-01-26,28.366,28.366,28.366,22.018,100
2021-01-27,28.450,28.470,28.150,21.874,31300
2021-01-28,28.630,28.860,28.630,22.301,35700
2021-01-29,28.610,28.610,28.514,22.133,900
2021-02-01,28.581,28.581,28.581,22.185,100
2021-02-02,28.490,28.610,28.490,22.122,600
2021-02-03,28.170,28.210,28.120,21.897,1400
2021-02-04,28.120,28.185,28.120,21.878,300
2021-02-05,28.282,28.282,28.282,21.953,400
2021-02-08,28.320,28.320,28.260,21.936,300
2021-02-09,28.300,28.314,28.260,21.978,4500
2021-02-10,28.260,28.260,28.258,21.935,200
2021-02-11,28.240,28.291,28.190,21.960,31400
2021-02-12,28.371,28.371,28.371,22.022,100
2021-02-16,28.480,28.529,28.480,22.145,100
2021-02-17,28.530,28.530,28.420,22.060,1100
2021-02-18,28.379,28.379,28.379,22.028,100
2021-02-19,28.470,28.470,28.360,22.014,300
