date,open,high,low,close,volume
1990-01-02,571.860,571.860,571.860,571.860,0
1990-01-03,582.670,582.670,582.670,582.670,0
1990-01-04,586.050,586.050,586.050,586.050,0
1990-01-05,582.560,582.560,582.560,582.560,0
1990-01-08,583.450,583.450,583.450,583.450,0
1990-01-09,583.290,583.290,583.290,583.290,0
1990-01-10,587.820,587.820,587.820,587.820,0
1990-01-11,592.890,592.890,592.890,592.890,0
1990-01-12,587.920,587.920,587.920,587.920,0
1990-01-15,569.460,569.460,569.460,569.460,0
1990-01-16,567.340,567.340,567.340,567.340,0
1990-01-17,574.320,574.320,574.320,574.320,0
1990-01-18,574.090,574.090,574.090,574.090,0
1990-01-19,574.720,574.720,574.720,574.720,0
1990-01-22,572.120,572.120,572.120,572.120,0
1990-01-23,567.250,567.250,567.250,567.250,0
1990-01-24,558.070,558.070,558.070,558.070,0
1990-01-25,560.130,560.130,560.130,560.130,0
1990-01-26,562.980,562.980,562.980,562.980,0
1990-01-31,570.210,570.210,570.210,570.210,0
1990-02-01,570.210,570.210,570.210,570.210,0
1990-02-02,587.850,587.850,587.850,587.850,0
1990-02-05,600.510,600.510,600.510,600.510,0
1990-02-06,610.950,610.950,610.950,610.950,0
1990-02-07,611.970,611.970,611.970,611.970,0
1990-02-08,611.000,611.000,611.000,611.000,0
1990-02-09,605.790,605.790,605.790,605.790,0
1990-02-12,609.060,609.060,609.060,609.060,0
1990-02-13,610.920,610.920,610.920,610.920,0
1990-02-14,606.890,606.890,606.890,606.890,0
1990-02-15,610.370,610.370,610.370,610.370,0
1990-02-16,614.370,614.370,614.370,614.370,0
1990-02-19,620.130,620.130,620.130,620.130,0
1990-02-20,622.200,622.200,622.200,622.200,0
1990-02-21,603.470,603.470,603.470,603.470,0
1990-02-22,607.910,607.910,607.910,607.910,0
1990-02-23,601.250,601.250,601.250,601.250,0
1990-02-26,581.500,581.500,581.500,581.500,0
1990-02-27,592.910,592.910,592.910,592.910,0
1990-02-28,603.180,603.180,603.180,603.180,0
1990-03-01,600.200,600.200,600.200,600.200,0
