date,open,high,low,close,volume
2005-02-25,13.872,13.872,13.756,13.815,201584
2005-02-28,13.931,13.952,13.815,13.854,154281
2005-03-01,13.740,13.740,13.659,13.680,338784
2005-03-02,13.564,13.643,13.448,13.545,301417
2005-03-03,13.468,13.564,13.468,13.524,210122
2005-03-04,13.487,13.622,13.448,13.524,185281
2005-03-07,13.603,13.622,13.524,13.622,220422
2005-03-08,13.718,13.756,13.582,13.643,127470
2005-03-09,13.777,13.835,13.643,13.659,151174
2005-03-10,13.659,13.740,13.603,13.680,266277
2005-03-11,13.718,13.815,13.603,13.777,450936
2005-03-14,13.718,13.740,13.643,13.700,107130
2005-03-15,13.718,13.718,13.524,13.564,178087
2005-03-16,13.370,13.524,13.352,13.505,255769
2005-03-17,13.524,13.680,13.505,13.659,76907
2005-03-18,13.524,13.718,13.505,13.505,56721
2005-03-21,13.428,13.428,13.198,13.215,389246
2005-03-22,13.198,13.256,12.984,13.022,869628
2005-03-23,13.101,13.256,13.043,13.235,475052
2005-03-24,13.235,13.391,13.235,13.235,364867
2005-03-28,13.412,13.412,13.256,13.333,46528
2005-03-29,13.235,13.313,13.139,13.139,122296
2005-03-30,13.043,13.256,13.043,13.060,208672
2005-03-31,13.060,13.118,13.004,13.118,132748
2005-04-01,13.101,13.198,13.022,13.022,175085
2005-04-04,12.925,13.060,12.908,12.965,473500
2005-04-05,12.965,13.043,12.946,13.022,85136
2005-04-06,12.946,13.004,12.849,13.004,564641
2005-04-07,12.984,12.984,12.829,12.925,321341
2005-04-08,13.004,13.004,12.908,12.946,112048
2005-04-11,13.060,13.139,13.022,13.022,123330
2005-04-12,12.946,13.043,12.908,13.022,123227
2005-04-13,13.060,13.159,12.984,13.043,91761
2005-04-14,13.139,13.235,13.043,13.101,117069
2005-04-15,13.022,13.139,13.004,13.043,117277
2005-04-18,12.984,13.022,12.849,12.869,184194
2005-04-19,13.022,13.139,12.925,13.139,211056
2005-04-20,13.060,13.082,12.908,12.946,328898
2005-04-21,13.060,13.118,12.984,13.060,172394
2005-04-22,13.215,13.235,13.139,13.198,438307
2005-04-25,13.060,13.178,13.060,13.118,105113
2005-04-26,13.139,13.139,13.060,13.118,107910
2005-04-27,12.925,13.139,12.925,13.118,246456
2005-04-28,13.060,13.139,13.004,13.043,79392
2005-04-29,13.139,13.333,13.139,13.293,399440
2005-05-02,13.313,13.412,13.256,13.370,322843
2005-05-03,13.412,13.603,13.370,13.564,616084
2005-05-04,13.680,13.797,13.643,13.777,448762
2005-05-05,13.756,13.797,13.700,13.777,420867
2005-05-06,13.835,13.835,13.718,13.740,667633
2005-05-09,13.756,13.797,13.680,13.680,172446
2005-05-10,13.622,13.700,13.603,13.622,186160
2005-05-11,13.680,13.680,13.564,13.659,86533
2005-05-12,13.524,13.582,13.487,13.582,87414
2005-05-13,13.505,13.505,13.256,13.352,112149
2005-05-16,13.313,13.468,13.293,13.468,79961
2005-05-17,13.524,13.524,13.313,13.391,61019
2005-05-18,13.391,13.487,13.352,13.468,107444
2005-05-19,13.487,13.487,13.352,13.412,102580
2005-05-20,13.352,13.370,13.235,13.370,135185
2005-05-23,13.293,13.448,13.235,13.448,157178
2005-05-24,13.448,13.448,13.293,13.313,108634
2005-05-25,13.139,13.256,13.082,13.178,217161
2005-05-26,13.118,13.235,13.043,13.139,95178
2005-05-27,13.198,13.198,12.965,13.139,285063
2005-05-31,13.060,13.139,13.004,13.043,276938
2005-06-01,12.946,13.118,12.946,13.118,378532
2005-06-02,13.043,13.082,13.004,13.060,138497
2005-06-03,13.101,13.198,13.060,13.139,174051
2005-06-06,13.139,13.370,13.139,13.333,319013
2005-06-07,13.235,13.391,13.235,13.333,137615
2005-06-08,13.333,13.333,13.235,13.293,99316
2005-06-09,13.022,13.391,13.022,13.391,176844
2005-06-10,13.428,13.468,13.391,13.428,78097
2005-06-13,13.505,13.505,13.352,13.487,314772
2005-06-14,13.412,13.524,13.412,13.524,303126
2005-06-15,13.524,13.603,13.505,13.545,115261
2005-06-16,13.505,13.582,13.505,13.582,158886
2005-06-17,13.545,13.603,13.487,13.487,89381
2005-06-20,13.524,13.545,13.428,13.545,89640
2005-06-21,13.524,13.564,13.428,13.448,125658
2005-06-22,13.524,13.756,13.524,13.659,199617
2005-06-23,13.659,13.680,13.524,13.622,106094
2005-06-24,13.564,13.582,13.448,13.505,76854
2005-06-27,13.352,13.487,13.293,13.333,122761
2005-06-28,13.428,13.524,13.370,13.448,200392
2005-06-29,13.370,13.448,13.256,13.256,216540
2005-06-30,13.293,13.391,13.256,13.370,157697
2005-07-01,13.370,13.412,13.313,13.333,181813
2005-07-05,13.582,13.680,13.428,13.680,186833
2005-07-06,13.680,13.777,13.622,13.740,177518
2005-07-07,13.468,13.643,13.391,13.564,229529
2005-07-08,13.564,13.700,13.564,13.700,101956
2005-07-11,13.622,13.797,13.622,13.777,163648
2005-07-12,13.815,13.931,13.756,13.931,180054
2005-07-13,13.756,13.911,13.756,13.854,188646
2005-07-14,13.872,14.009,13.872,13.970,72508
2005-07-15,13.777,13.990,13.777,13.952,140981
2005-07-18,13.894,13.911,13.815,13.815,117638
2005-07-19,13.815,14.009,13.815,13.931,184402
2005-07-20,13.931,14.164,13.931,14.104,97041
2005-07-21,14.125,14.820,14.125,14.667,2062305
2005-07-22,14.471,14.644,14.434,14.609,1028619
2005-07-25,14.609,14.628,14.530,14.588,335836
2005-07-26,14.549,14.549,14.413,14.413,472933
2005-07-27,14.298,14.434,14.280,14.356,250233
2005-07-28,14.356,14.413,14.298,14.317,501707
2005-07-29,14.298,14.396,14.280,14.376,457094
2005-08-01,14.376,14.376,14.317,14.376,99161
2005-08-02,14.493,14.569,14.434,14.434,405496
2005-08-03,14.510,14.667,14.510,14.667,211311
2005-08-04,14.413,14.510,14.413,14.471,72612
2005-08-05,14.454,14.510,14.317,14.338,131455
2005-08-08,14.644,14.644,14.493,14.628,438048
2005-08-09,14.493,14.704,14.493,14.685,427543
2005-08-10,14.569,14.722,14.493,14.609,294171
2005-08-11,14.454,14.644,14.454,14.471,335006
2005-08-12,14.454,14.471,14.356,14.396,184814
2005-08-15,14.317,14.376,14.164,14.258,222905
2005-08-16,14.183,14.183,14.048,14.067,171720
2005-08-17,14.104,14.241,14.067,14.223,207847
2005-08-18,14.183,14.183,14.009,14.048,273782
2005-08-19,14.067,14.223,14.067,14.200,114170
2005-08-22,14.200,14.241,14.104,14.241,179279
2005-08-23,14.164,14.241,14.028,14.104,278956
2005-08-24,14.009,14.241,14.009,14.143,249042
2005-08-25,14.067,14.223,14.067,14.200,156609
2005-08-26,14.200,14.200,14.143,14.200,226997
2005-08-29,14.067,14.200,14.009,14.048,239934
