date,open,high,low,close,volume
2012-05-18,42.050,45.000,38.000,37.932,573576400
2012-05-21,36.530,36.660,33.000,33.765,168192700
2012-05-22,32.610,33.590,30.940,30.759,101786600
2012-05-23,31.370,32.500,31.360,31.751,73600000
2012-05-24,32.950,33.210,31.770,32.773,50237200
2012-05-25,32.900,32.950,31.110,31.662,37149800
2012-05-29,31.480,31.690,28.650,28.615,78063400
2012-05-30,28.700,29.550,27.860,27.971,57267900
2012-05-31,28.550,29.670,26.830,29.370,111639200
2012-06-01,28.890,29.150,27.390,27.504,41855500
2012-06-04,27.200,27.650,26.440,26.691,35230300
2012-06-05,26.700,27.760,25.750,25.669,42473400
2012-06-06,26.070,27.170,25.520,26.601,61489200
2012-06-07,27.000,27.350,26.150,26.105,26159500
2012-06-08,26.550,27.760,26.440,26.889,38034000
2012-06-11,27.180,28.070,26.840,26.800,28219600
2012-06-12,27.480,27.770,26.960,27.187,15816800
2012-06-13,27.660,28.100,27.100,27.058,17102800
2012-06-14,27.650,28.320,27.380,28.070,16855000
2012-06-15,28.510,30.100,28.350,29.776,43563800
2012-06-18,29.960,32.080,29.410,31.165,42978900
2012-06-19,31.540,32.180,30.700,31.662,30849000
2012-06-20,31.920,31.930,31.150,31.354,15553600
2012-06-21,31.670,32.500,31.510,31.592,21875300
2012-06-22,32.410,33.450,32.060,32.793,74834000
2012-06-25,32.860,33.020,31.550,31.810,24352900
2012-06-26,32.690,33.440,32.500,32.842,24858700
2012-06-27,32.460,32.900,31.900,31.979,28568000
2012-06-28,31.960,32.190,30.900,31.116,17713300
2012-06-29,31.920,31.990,30.760,30.858,19526900
2012-07-02,31.250,31.730,30.550,30.530,14122000
2012-07-03,30.910,31.440,30.800,30.957,8763600
2012-07-05,31.320,31.630,31.020,31.225,10032100
2012-07-06,31.440,31.900,31.260,31.483,10945600
2012-07-09,32.100,32.880,31.990,31.920,17785200
2012-07-10,32.430,32.480,31.160,31.225,14269500
2012-07-11,31.480,31.560,30.550,30.729,13030300
2012-07-12,30.700,31.400,30.600,30.570,11300700
2012-07-13,31.040,31.070,30.560,30.481,8108300
2012-07-16,30.500,30.500,28.210,28.030,24672100
2012-07-17,28.480,28.590,27.150,27.871,30438600
2012-07-18,28.310,29.290,28.150,28.883,16841800
2012-07-19,29.410,29.500,28.630,28.774,13685100
2012-07-20,29.000,29.470,28.720,28.536,11869100
2012-07-23,28.120,29.000,28.010,28.526,12390700
2012-07-24,28.820,29.450,28.100,28.228,11539800
2012-07-25,28.390,29.490,28.080,29.112,17230200
2012-07-26,27.750,28.230,26.730,26.641,64597400
2012-07-27,23.190,24.540,22.280,23.525,123102300
2012-07-30,24.000,24.040,23.030,22.970,29285900
2012-07-31,23.370,23.370,21.610,21.541,56179400
2012-08-01,21.500,21.580,20.840,20.717,44604400
2012-08-02,20.770,20.840,19.820,19.884,56374500
2012-08-03,20.360,22.160,19.900,20.926,80647000
2012-08-06,21.390,22.150,21.300,21.749,27778900
2012-08-07,22.200,22.450,20.500,20.559,36782900
2012-08-08,20.710,21.150,20.220,20.559,29537400
2012-08-09,20.750,21.170,20.610,20.846,15610700
2012-08-10,21.410,21.820,21.130,21.640,25794700
2012-08-13,22.150,22.450,21.400,21.432,24973100
2012-08-14,21.410,21.600,20.250,20.221,39308800
2012-08-15,20.640,21.410,20.400,21.035,47861100
2012-08-16,20.440,20.480,19.690,19.715,157565300
2012-08-17,20.010,20.080,19.000,18.902,129293400
2012-08-20,19.050,20.130,18.750,19.854,101186600
2012-08-21,19.580,19.980,19.090,19.011,70640600
2012-08-22,19.360,19.530,18.960,19.289,49892200
2012-08-23,19.500,19.730,19.360,19.289,32813700
2012-08-24,19.520,19.680,19.250,19.259,29622200
2012-08-27,19.490,19.530,19.100,19.001,20704000
2012-08-28,19.100,19.380,18.950,19.189,25417000
2012-08-29,19.320,19.380,19.070,18.951,16124700
2012-08-30,19.270,19.450,19.060,18.941,30647500
2012-08-31,18.680,18.700,18.030,17.919,58764200
2012-09-04,18.080,18.270,17.550,17.592,46622400
2012-09-05,18.270,18.750,18.180,18.435,60781800
2012-09-06,18.740,19.260,18.720,18.812,46066500
2012-09-07,19.100,19.420,18.780,18.832,36371700
2012-09-10,19.060,19.200,18.550,18.664,24797800
2012-09-11,18.920,19.580,18.850,19.279,50508200
2012-09-12,20.760,21.160,20.280,20.767,121584000
2012-09-13,20.960,21.480,20.610,20.549,65041600
2012-09-14,21.130,22.080,20.900,21.829,72819800
2012-09-17,22.670,22.750,21.500,21.352,50667600
