date,open,high,low,close,volume
1996-03-18,10.375,10.375,10.375,5.401,100
1996-03-19,10.375,10.375,10.375,5.401,400
1996-03-20,10.688,10.750,10.625,5.563,26200
1996-03-21,10.625,10.625,10.625,5.531,5500
1996-03-22,10.750,10.812,10.750,5.596,1500
1996-03-25,10.750,10.750,10.750,5.596,10000
1996-03-26,10.750,11.000,10.750,5.629,29700
1996-03-27,11.125,11.125,10.562,5.498,6100
1996-03-28,10.625,10.688,10.625,5.563,21400
1996-03-29,10.625,10.625,10.625,5.531,3400
1996-04-01,10.812,10.938,10.812,5.694,12100
1996-04-02,10.875,10.938,10.812,5.629,17200
1996-04-03,10.812,10.875,10.812,5.661,2600
1996-04-04,10.938,10.938,10.812,5.661,1600
1996-04-08,10.750,10.750,10.562,5.531,6400
1996-04-09,10.625,10.625,10.625,5.531,1100
1996-04-10,10.750,10.750,10.750,5.596,2500
1996-04-11,10.625,10.625,10.562,5.498,20500
1996-04-12,10.500,11.188,10.500,5.824,3400
1996-04-15,11.125,11.375,11.125,5.921,1200
1996-04-16,11.375,11.375,11.250,5.889,29900
1996-04-17,11.312,11.750,11.312,6.051,18000
1996-04-18,11.625,11.875,11.625,6.182,16700
1996-04-19,12.000,12.062,11.562,6.279,20300
1996-04-22,11.875,12.125,11.875,6.247,3500
1996-04-23,12.000,12.000,11.750,6.182,3600
1996-04-24,11.875,11.875,11.812,6.149,6500
1996-04-25,11.812,11.812,11.625,6.084,10100
1996-04-26,11.875,11.875,11.750,6.117,63600
1996-04-29,11.625,11.625,11.500,5.986,11300
1996-04-30,11.500,11.562,11.500,6.019,3600
1996-05-01,11.625,11.625,11.438,6.051,2800
1996-05-02,11.625,11.625,11.250,5.856,4700
1996-05-03,11.500,11.500,11.312,5.889,9700
1996-05-06,11.062,11.062,11.000,5.726,10800
1996-05-07,11.250,11.312,11.125,5.791,2600
1996-05-08,11.312,11.438,11.250,5.954,53100
1996-05-09,11.500,11.562,11.500,6.019,1600
1996-05-10,11.562,11.625,11.562,6.051,11400
1996-05-13,11.625,11.688,11.625,6.084,2000
1996-05-14,11.875,11.875,11.750,6.117,4700
1996-05-15,11.812,11.812,11.750,6.117,2000
1996-05-16,11.688,11.688,11.625,6.084,2400
1996-05-17,11.500,11.812,11.500,6.149,27500
1996-05-20,11.875,11.938,11.875,6.214,52500
1996-05-21,12.000,12.125,12.000,6.312,7000
1996-05-22,12.062,12.062,12.062,6.279,51900
1996-05-23,12.062,12.125,12.062,6.279,6600
1996-05-24,12.125,12.125,12.000,6.247,1600
1996-05-28,12.125,12.125,12.062,6.279,13200
1996-05-29,12.062,12.062,11.875,6.214,6200
1996-05-30,11.812,11.938,11.750,6.149,21100
1996-05-31,11.750,11.750,11.625,6.051,2600
1996-06-03,11.688,11.688,11.625,6.084,700
1996-06-04,11.875,11.875,11.875,6.182,1500
1996-06-05,11.938,11.938,11.812,6.149,1200
1996-06-06,11.875,11.875,11.875,6.182,400
1996-06-07,11.625,11.625,11.625,6.051,700
1996-06-10,11.625,11.625,11.625,6.051,0
1996-06-11,11.688,11.688,11.625,6.051,3000
1996-06-12,11.500,11.500,11.500,5.986,200
1996-06-13,11.500,11.500,11.500,5.986,0
1996-06-14,11.438,11.438,11.438,5.954,1000
1996-06-17,11.438,11.438,11.438,5.954,0
1996-06-18,11.625,11.688,11.562,6.019,142000
1996-06-19,11.750,11.750,11.688,6.084,2900
1996-06-20,11.750,11.750,11.500,6.051,2300
1996-06-21,11.500,11.500,11.500,5.986,2000
1996-06-24,11.312,11.312,11.125,5.791,5000
1996-06-25,11.375,11.375,11.375,5.921,200
1996-06-26,11.188,11.312,11.188,5.889,1400
1996-06-27,11.375,11.688,11.375,6.084,31600
1996-06-28,11.625,11.625,11.625,6.051,6900
1996-07-01,11.625,11.625,11.375,5.921,400
1996-07-02,11.375,11.438,11.375,5.954,4000
1996-07-03,11.500,11.500,11.375,5.921,3200
1996-07-05,11.125,11.125,11.000,5.726,33900
1996-07-08,11.000,11.000,10.750,5.596,900
1996-07-09,10.875,10.875,10.875,5.661,3000
1996-07-10,10.812,11.000,10.812,5.726,800
1996-07-11,10.875,10.875,10.625,5.531,4500
1996-07-12,10.875,10.875,10.875,5.661,600
1996-07-15,10.500,10.500,10.312,5.368,18400
1996-07-16,10.250,10.250,10.125,5.271,14200
1996-07-17,10.500,10.625,10.500,5.531,7800
1996-07-18,10.875,10.875,10.875,5.661,11500
1996-07-19,10.875,10.875,10.875,5.661,0
1996-07-22,10.750,10.750,10.688,5.563,8600
1996-07-23,10.625,10.750,10.625,5.531,30300
1996-07-24,10.562,10.625,10.500,5.466,37900
1996-07-25,10.688,10.688,10.688,5.563,100
1996-07-26,10.625,10.625,10.500,5.466,25500
1996-07-29,10.688,10.688,10.438,5.433,11000
1996-07-30,10.625,10.625,10.562,5.498,2100
1996-07-31,10.562,10.562,10.500,5.466,100000
1996-08-01,10.750,11.125,10.750,5.726,800
1996-08-02,11.375,11.375,11.375,5.921,3000
1996-08-05,11.250,11.312,11.125,5.889,1800
1996-08-06,11.250,11.312,11.125,5.889,16900
1996-08-07,11.375,11.500,11.250,5.921,115600
1996-08-08,11.312,11.312,11.312,5.889,2500
1996-08-09,11.312,11.312,11.312,5.889,0
1996-08-12,11.500,11.500,11.375,5.986,6300
1996-08-13,11.625,11.625,11.562,6.019,7500
1996-08-14,11.562,11.625,11.438,5.986,9800
1996-08-15,11.375,11.812,11.375,6.149,5800
1996-08-16,11.875,11.938,11.688,6.214,4800
1996-08-19,12.000,12.125,12.000,6.279,3800
1996-08-20,12.000,12.125,11.938,6.247,14300
1996-08-21,12.250,12.250,12.125,6.344,6000
1996-08-22,12.188,12.250,12.125,6.344,33900
1996-08-23,12.188,12.188,12.000,6.247,3600
1996-08-26,12.000,12.125,12.000,6.320,19900
1996-08-27,12.250,12.250,12.062,6.352,36700
1996-08-28,12.375,12.375,12.250,6.417,78100
1996-08-29,12.250,12.250,11.750,6.124,17600
1996-08-30,11.875,11.875,11.438,6.026,27300
1996-09-03,11.500,11.750,11.438,6.026,84000
1996-09-04,11.562,11.750,11.562,6.124,3800
1996-09-05,11.625,11.688,11.562,6.026,2600
1996-09-06,11.562,11.750,11.562,6.124,1400
1996-09-09,11.750,11.750,11.625,6.059,2300
1996-09-10,11.938,12.000,11.812,6.189,157400
1996-09-11,11.812,11.875,11.750,6.189,3400
1996-09-12,11.875,11.875,11.750,6.189,1500
1996-09-13,11.938,12.062,11.750,6.124,10600
1996-09-16,11.625,11.750,11.625,6.124,3500
1996-09-17,11.875,11.875,11.688,6.157,1000
1996-09-18,11.812,12.000,11.812,6.189,19700
1996-09-19,11.938,12.000,11.938,6.254,12700
1996-09-20,11.938,11.938,11.812,6.157,700
1996-09-23,11.750,11.750,11.562,6.124,1600
1996-09-24,11.750,11.812,11.750,6.157,500
1996-09-25,11.812,11.875,11.750,6.189,800
1996-09-26,11.750,11.750,11.750,6.124,300
1996-09-27,11.688,11.688,11.562,6.026,12700
1996-09-30,11.500,11.562,11.500,6.026,800
1996-10-01,11.750,11.812,11.750,6.157,10800
1996-10-02,11.938,11.938,11.938,6.222,10000
1996-10-03,11.938,12.062,11.938,6.254,1300
1996-10-04,12.062,12.062,12.062,6.287,400
1996-10-07,12.125,12.125,12.000,6.254,6900
1996-10-08,12.062,12.062,11.938,6.254,13800
1996-10-09,12.000,12.000,12.000,6.254,1000
1996-10-10,12.000,12.062,11.875,6.189,46300
1996-10-11,11.875,12.000,11.812,6.157,16100
1996-10-14,11.625,11.625,11.375,5.994,3800
1996-10-15,11.375,11.438,11.250,5.864,5000
1996-10-16,11.250,11.250,11.125,5.864,2200
1996-10-17,11.188,11.375,11.188,5.929,7400
1996-10-18,11.625,11.625,11.625,6.059,2700
1996-10-21,11.625,11.625,11.438,5.994,2600
1996-10-22,11.500,11.562,11.375,5.961,3300
1996-10-23,11.375,11.375,11.062,5.766,1100
1996-10-24,11.375,11.375,11.250,5.896,5900
1996-10-25,11.438,11.438,11.062,5.766,20900
1996-10-28,11.125,11.188,11.125,5.798,2500
