date,open,high,low,close,volume
1990-01-02,0.606,0.616,0.598,0.376,53035200
1990-01-03,0.622,0.627,0.615,0.378,113774400
1990-01-04,0.620,0.639,0.616,0.389,125740800
1990-01-05,0.635,0.639,0.622,0.379,69566400
1990-01-08,0.622,0.632,0.615,0.385,58982400
1990-01-09,0.632,0.639,0.627,0.384,70300800
1990-01-10,0.625,0.634,0.612,0.374,103766400
1990-01-11,0.616,0.622,0.590,0.366,95774400
1990-01-12,0.591,0.606,0.583,0.365,148910400
1990-01-15,0.595,0.604,0.592,0.365,62467200
1990-01-16,0.594,0.620,0.587,0.376,80092800
1990-01-17,0.611,0.628,0.604,0.370,97588800
1990-01-18,0.622,0.660,0.622,0.402,292363200
1990-01-19,0.661,0.667,0.649,0.398,99259200
1990-01-22,0.653,0.653,0.628,0.384,167688000
1990-01-23,0.632,0.634,0.620,0.380,139348800
1990-01-24,0.611,0.630,0.605,0.384,180345600
1990-01-25,0.635,0.642,0.628,0.384,112752000
1990-01-26,0.628,0.634,0.625,0.384,68083200
1990-01-29,0.635,0.641,0.627,0.387,55080000
1990-01-30,0.637,0.642,0.625,0.386,73108800
1990-01-31,0.639,0.642,0.634,0.391,112939200
1990-02-01,0.642,0.655,0.642,0.397,89193600
1990-02-02,0.646,0.663,0.646,0.397,71395200
1990-02-05,0.650,0.655,0.648,0.399,59731200
1990-02-06,0.653,0.655,0.641,0.398,81964800
1990-02-07,0.649,0.658,0.646,0.395,134150400
1990-02-08,0.650,0.660,0.648,0.399,95227200
1990-02-09,0.655,0.658,0.653,0.400,62380800
1990-02-12,0.656,0.663,0.653,0.401,56088000
1990-02-13,0.660,0.661,0.656,0.401,58752000
1990-02-14,0.661,0.661,0.656,0.402,35870400
1990-02-15,0.660,0.681,0.660,0.411,89496000
1990-02-16,0.682,0.686,0.679,0.415,70876800
1990-02-20,0.679,0.698,0.674,0.424,132652800
1990-02-21,0.686,0.694,0.665,0.407,103348800
1990-02-22,0.672,0.682,0.668,0.408,60811200
1990-02-23,0.665,0.679,0.663,0.413,56851200
1990-02-26,0.677,0.694,0.675,0.420,69220800
1990-02-27,0.691,0.691,0.681,0.415,62020800
1990-02-28,0.681,0.693,0.681,0.418,39312000
1990-03-01,0.684,0.707,0.684,0.423,76867200
1990-03-02,0.696,0.725,0.695,0.439,100209600
1990-03-05,0.719,0.734,0.710,0.445,75528000
1990-03-06,0.727,0.729,0.712,0.442,68630400
1990-03-07,0.727,0.733,0.714,0.435,47606400
1990-03-08,0.715,0.745,0.707,0.450,88977600
1990-03-09,0.736,0.750,0.731,0.451,75744000
1990-03-12,0.738,0.755,0.736,0.458,68875200
1990-03-13,0.753,0.757,0.738,0.450,85204800
1990-03-14,0.745,0.755,0.736,0.457,130968000
1990-03-15,0.749,0.776,0.748,0.470,81676800
1990-03-16,0.778,0.800,0.776,0.482,118900800
1990-03-19,0.790,0.812,0.785,0.493,81172800
1990-03-20,0.809,0.811,0.781,0.478,92145600
1990-03-21,0.784,0.802,0.780,0.479,69840000
1990-03-22,0.788,0.790,0.766,0.471,92419200
1990-03-23,0.778,0.786,0.757,0.467,53596800
