date,open,high,low,close,volume
1990-01-02,223.835,227.725,220.435,227.725,221440000
1990-01-03,227.725,228.940,226.100,226.100,305320000
1990-01-04,226.100,226.175,222.710,224.715,295900000
1990-01-05,224.715,224.795,222.890,223.140,274460000
1990-01-08,223.140,223.580,221.640,223.540,231000000
1990-01-09,223.540,224.330,221.080,221.180,266260000
1990-01-10,221.180,221.180,216.465,216.555,287780000
1990-01-11,216.555,218.220,213.505,213.505,266000000
1990-01-12,213.505,213.505,208.405,208.795,287000000
1990-01-15,208.795,209.335,207.290,207.615,216120000
1990-01-16,207.615,212.000,204.760,211.915,295180000
1990-01-17,211.915,213.900,210.450,210.605,278300000
1990-01-18,210.605,210.625,208.310,210.570,272660000
1990-01-19,210.570,214.890,210.570,213.910,304340000
1990-01-22,213.910,213.910,207.885,208.060,260980000
1990-01-23,208.060,209.985,206.075,207.480,282880000
1990-01-24,207.480,209.750,205.750,206.745,326860000
1990-01-25,206.745,209.830,205.470,205.775,261000000
1990-01-26,205.775,206.750,201.240,203.245,272680000
1990-01-29,203.245,204.815,200.120,202.055,237180000
1990-01-30,202.055,202.055,196.685,197.655,320320000
1990-01-31,197.655,201.965,197.655,201.940,296000000
1990-02-01,201.940,203.045,200.525,203.045,270940000
1990-02-02,203.045,206.755,202.690,205.615,270040000
1990-02-05,205.615,206.835,205.070,206.490,216700000
1990-02-06,206.490,206.715,203.775,205.075,239400000
1990-02-07,205.075,207.200,202.910,206.805,298600000
1990-02-08,206.805,209.580,206.805,207.245,280060000
1990-02-09,207.245,208.745,206.920,208.495,250660000
1990-02-12,208.495,208.520,205.945,206.880,226060000
1990-02-13,206.880,207.995,205.345,207.200,254460000
1990-02-14,207.200,208.535,206.985,208.060,279080000
1990-02-15,208.060,210.105,206.870,209.930,304760000
1990-02-16,209.930,210.435,208.310,208.355,240440000
1990-02-20,208.355,208.355,203.345,205.065,216560000
1990-02-21,205.065,205.440,201.820,204.750,240200000
1990-02-22,204.750,206.855,203.975,204.190,269740000
1990-02-23,204.190,204.190,200.405,201.795,234440000
1990-02-26,201.795,204.675,201.395,204.625,229200000
1990-02-27,204.650,206.710,204.650,205.785,261700000
1990-02-28,205.785,208.590,205.600,207.915,258800000
1990-03-01,207.915,210.020,206.525,209.105,268480000
1990-03-02,209.105,211.545,208.905,211.540,264740000
1990-03-05,211.540,212.080,209.345,210.390,222000000
1990-03-06,210.390,212.505,207.670,210.960,278300000
1990-03-07,210.960,211.865,209.810,210.155,335100000
1990-03-08,210.155,213.570,209.610,213.110,291460000
1990-03-09,213.110,214.130,212.475,213.820,270240000
1990-03-12,213.820,213.830,211.920,213.525,207680000
1990-03-13,213.525,214.025,211.490,211.510,247240000
1990-03-14,211.510,212.845,210.710,212.270,244360000
1990-03-15,212.305,214.130,212.095,213.480,257360000
1990-03-16,214.080,218.800,214.080,217.960,352080000
1990-03-19,217.960,220.135,215.960,219.870,258800000
1990-03-20,219.870,220.105,216.250,216.925,288440000
1990-03-21,216.925,217.825,215.700,215.850,262160000
1990-03-22,215.850,216.255,211.225,212.540,292440000
1990-03-23,212.540,215.385,212.540,214.490,261480000
1990-03-26,214.490,217.275,214.490,216.435,192560000
1990-03-27,216.435,217.950,214.970,217.470,213820000
1990-03-28,217.470,217.470,213.220,214.230,264520000
1990-03-29,214.230,214.610,212.370,213.110,248380000
1990-03-30,213.110,214.265,211.705,213.145,253260000
1990-04-02,213.145,213.145,209.895,212.670,222760000
1990-04-03,212.670,216.810,212.670,216.810,269500000
1990-04-04,216.810,217.730,214.580,215.480,276760000
1990-04-05,215.480,216.055,213.870,214.060,268480000
1990-04-06,214.060,214.695,212.015,212.475,273140000
1990-04-09,212.475,213.150,211.275,212.115,224740000
1990-04-10,212.115,214.045,211.945,213.225,259000000
1990-04-11,213.225,215.600,213.225,214.525,267640000
1990-04-12,214.525,217.190,214.525,216.045,282820000
1990-04-16,216.045,218.250,216.045,216.925,249300000
1990-04-17,216.880,216.880,214.400,216.500,272900000
1990-04-18,216.500,217.095,212.805,213.145,299500000
1990-04-19,213.145,213.145,210.705,210.870,291280000
1990-04-20,210.870,212.065,207.935,208.620,300640000
1990-04-23,208.580,208.580,203.765,205.630,251980000
1990-04-24,205.630,207.845,204.230,204.760,253580000
1990-04-25,204.760,205.935,204.460,205.580,243420000
1990-04-26,205.580,207.095,204.745,205.785,231860000
1990-04-27,205.785,206.520,203.015,203.670,232020000
1990-04-30,203.670,206.050,202.970,205.815,211580000
1990-05-01,205.815,207.590,205.815,207.040,248260000
1990-05-02,207.040,208.685,207.040,208.500,286520000
1990-05-03,208.580,211.265,208.580,210.090,321700000
1990-05-04,210.090,212.730,209.900,212.705,273620000
1990-05-07,212.705,216.055,212.705,215.030,245380000
1990-05-08,215.030,215.625,214.185,215.170,267680000
1990-05-09,215.170,215.655,214.120,215.430,293260000
1990-05-10,215.430,217.075,214.865,216.810,284980000
1990-05-11,216.810,221.095,216.620,220.890,335120000
1990-05-14,220.920,225.675,220.920,223.860,354340000
1990-05-15,223.860,224.785,222.285,224.490,324660000
1990-05-16,224.490,225.215,222.505,225.125,304980000
1990-05-17,225.130,227.305,225.130,226.640,342820000
1990-05-18,226.640,228.975,225.845,228.510,382820000
1990-05-21,228.510,232.415,228.510,232.215,338940000
1990-05-22,232.215,234.725,230.945,232.845,380320000
1990-05-23,232.845,236.120,232.105,236.060,377480000
1990-05-24,236.060,237.825,235.810,237.035,348660000
1990-05-25,236.990,236.990,232.005,232.200,304380000
1990-05-29,232.200,235.990,232.020,235.840,268000000
1990-05-30,235.840,237.925,235.240,236.355,338700000
1990-05-31,236.355,237.470,234.780,236.150,314520000
1990-06-01,236.150,238.670,236.150,237.885,336120000
1990-06-04,237.885,240.260,235.935,240.110,284340000
1990-06-05,240.110,240.970,236.990,237.845,346920000
1990-06-06,237.845,238.785,236.675,238.055,313040000
1990-06-07,238.055,239.585,235.935,237.385,302080000
1990-06-08,237.385,237.385,233.155,234.730,275800000
1990-06-11,234.730,236.970,232.755,236.950,224440000
1990-06-12,236.950,240.205,236.830,240.110,326580000
1990-06-13,240.110,242.845,240.080,242.055,327100000
1990-06-14,242.055,242.115,239.265,240.515,310340000
1990-06-15,240.515,241.365,239.510,240.785,337000000
1990-06-18,240.785,240.785,236.290,236.710,315300000
1990-06-19,236.710,237.270,234.940,236.775,285960000
1990-06-20,236.775,238.385,235.715,237.315,296180000
1990-06-21,237.315,238.260,236.085,238.145,288580000
1990-06-22,238.145,239.570,235.690,235.740,335080000
1990-06-25,235.740,236.535,232.665,232.915,227120000
1990-06-26,232.915,235.605,232.585,232.940,263240000
1990-06-27,232.940,235.475,231.760,234.950,274900000
1990-06-28,235.260,237.730,235.260,237.415,297640000
1990-06-29,237.490,238.930,237.490,238.460,317620000
1990-07-02,238.460,238.905,237.575,238.420,228300000
1990-07-03,238.420,238.420,236.825,238.185,262040000
1990-07-05,238.185,238.185,236.210,237.300,195520000
1990-07-06,237.300,238.730,235.840,238.465,202800000
1990-07-09,238.465,240.185,238.250,239.600,237000000
1990-07-10,239.600,240.445,238.035,238.660,284540000
1990-07-11,238.660,240.825,237.190,240.775,318060000
1990-07-12,240.775,243.585,239.930,243.425,307400000
1990-07-13,243.425,246.470,243.130,244.740,321180000
1990-07-16,244.740,246.815,244.250,246.180,276140000
1990-07-17,246.180,246.390,240.935,241.525,335620000
1990-07-18,241.525,241.525,237.325,238.220,317980000
1990-07-19,238.220,238.220,233.140,236.400,365120000
1990-07-20,236.400,237.820,232.135,232.440,349160000
1990-07-23,232.440,232.440,224.365,227.380,337760000
1990-07-24,227.380,229.270,222.040,226.485,321000000
1990-07-25,226.485,229.635,226.485,228.765,283200000
1990-07-26,228.765,229.075,226.105,227.200,272120000
1990-07-27,227.200,227.200,224.975,225.635,243600000
1990-07-30,225.635,225.635,221.360,223.920,240880000
1990-07-31,223.920,224.860,221.930,223.385,270300000
1990-08-01,223.385,224.625,221.655,223.115,257960000
1990-08-02,223.095,223.095,217.180,218.970,293080000
1990-08-03,218.970,218.970,204.615,212.605,406340000
1990-08-06,212.605,212.605,200.865,201.455,349620000
1990-08-07,201.455,206.545,201.455,202.655,330940000
1990-08-08,202.655,206.030,202.655,205.580,289700000
1990-08-09,205.580,209.875,205.580,209.125,259860000
1990-08-10,209.125,209.460,204.555,206.230,224060000
1990-08-13,206.230,207.880,203.205,207.420,175280000
1990-08-14,207.420,209.340,206.825,208.295,214980000
1990-08-15,208.295,210.870,207.980,208.465,210480000
1990-08-16,208.465,208.465,202.180,202.190,229800000
1990-08-17,202.190,202.190,194.030,196.845,293900000
1990-08-20,196.845,197.930,192.700,193.100,230940000
1990-08-21,193.100,193.100,184.110,188.255,332980000
1990-08-22,188.255,191.335,184.995,185.015,292200000
1990-08-23,185.015,185.015,177.055,178.295,405520000
1990-08-24,178.295,185.055,178.295,184.965,322160000
1990-08-27,184.965,194.880,184.965,193.975,258800000
1990-08-28,193.975,195.985,193.035,194.905,235600000
1990-08-29,194.905,194.905,192.225,192.905,236140000
1990-08-30,192.905,194.195,190.570,190.725,212600000
1990-08-31,190.725,193.700,189.300,193.615,159700000
1990-09-04,193.615,194.865,191.320,194.745,156280000
1990-09-05,194.745,195.875,193.260,193.815,178100000
1990-09-06,193.815,193.815,189.565,190.670,197460000
1990-09-07,190.670,192.510,188.260,191.800,206320000
1990-09-10,191.800,195.870,191.800,192.650,192520000
1990-09-11,192.650,192.840,189.535,190.965,200140000
1990-09-12,190.965,192.775,190.060,192.355,196940000
1990-09-13,192.355,193.730,189.170,189.720,211300000
1990-09-14,189.720,189.795,187.515,189.520,206980000
1990-09-17,189.520,190.415,187.955,189.605,188040000
1990-09-18,189.605,189.605,186.750,189.430,230140000
1990-09-19,189.430,190.905,188.490,188.775,241740000
1990-09-20,188.775,188.775,183.675,183.980,215840000
1990-09-21,183.980,184.865,181.400,183.200,248480000
1990-09-24,183.200,183.200,176.275,177.605,229660000
1990-09-25,177.605,180.720,177.400,180.710,219860000
1990-09-26,180.710,180.940,177.585,179.455,237420000
1990-09-27,179.455,181.635,173.055,174.190,306560000
1990-09-28,174.190,177.085,169.325,177.055,315020000
1990-10-01,177.055,184.945,177.055,184.735,248760000
1990-10-02,184.745,189.055,184.745,184.920,271620000
1990-10-03,184.920,184.920,180.035,180.505,212060000
1990-10-04,180.505,180.625,177.905,179.495,209980000
1990-10-05,179.495,180.675,174.635,178.365,219280000
1990-10-08,178.365,180.790,178.365,179.565,149820000
1990-10-09,179.565,179.565,173.050,173.625,219160000
1990-10-10,173.625,173.625,169.200,169.465,242080000
1990-10-11,169.465,170.305,163.605,165.195,281700000
1990-10-12,165.195,167.640,162.550,166.715,264660000
1990-10-15,166.715,169.540,165.130,169.350,208440000
1990-10-16,169.350,169.740,164.965,165.490,234260000
1990-10-17,165.490,168.475,164.215,167.270,243560000
1990-10-18,167.270,172.580,167.220,172.380,278580000
1990-10-19,172.380,176.195,172.380,174.620,318220000
1990-10-22,174.620,179.610,173.765,178.565,229340000
1990-10-23,178.565,180.130,177.350,178.400,240160000
1990-10-24,178.400,178.610,176.125,178.470,253460000
1990-10-25,178.470,179.590,175.635,177.340,208780000
1990-10-26,177.340,177.340,173.950,174.210,203000000
1990-10-29,174.210,175.175,171.175,171.755,184460000
1990-10-30,171.755,173.170,169.785,172.995,218020000
1990-10-31,172.995,174.555,171.950,172.555,237560000
1990-11-01,172.555,173.225,170.880,172.885,215900000
1990-11-02,172.885,177.175,172.685,176.865,225300000
1990-11-05,176.865,180.695,176.865,180.460,198000000
1990-11-06,180.460,182.580,179.800,180.260,221460000
1990-11-07,180.260,180.260,176.610,177.080,219600000
1990-11-08,177.080,179.140,176.195,177.705,213820000
1990-11-09,177.705,182.240,177.705,182.240,226700000
1990-11-12,182.240,188.875,182.240,188.670,238600000
1990-11-13,188.670,190.845,187.795,189.875,246740000
1990-11-14,189.875,192.670,189.135,192.450,261620000
1990-11-15,192.450,192.450,188.625,189.550,235940000
1990-11-16,189.550,189.550,183.160,184.960,263940000
1990-11-19,184.960,187.495,184.960,187.040,216520000
1990-11-20,187.040,187.545,183.070,183.315,253360000
1990-11-21,183.315,184.200,182.360,183.935,233340000
1990-11-23,183.935,185.255,183.865,184.280,138840000
1990-11-26,184.280,185.215,181.800,185.120,169460000
1990-11-27,185.120,189.350,185.120,189.175,229200000
